countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
TW,Taiwan,106083,Alishan,1374816,Gau Shan Ching Hotel,ThreeStar,43 Jhongjheng Village 605  AlishanChiayi County ,,"Located in the centre of Jhongjheng Village in Alishan Township, Gau Shan Ching Hotel offers basic rooms with free Wi-Fi. Guests have access to free private parking and the hotels restaurant.

Gau Shan Ching Hotel is a 10-minute walk to Alishan Train Station. Chaiyi Train Station is a 1.5 hour drive away.

All rooms are equipped with a TV and telephone. Private bathroom includes a hot shower and hairdryer.

Luggage storage facilities are available at Gau Shan Ching Hotel, which can also assist with arranging tours and fax/photocopying services.

Breakfast is served at the hotels restaurant, which offers a selection of local Chinese dishes for lunch and dinner. In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.",+88652679780,thermometers for guests provided by property Parking 24-hour front desk Non-smoking rooms Family rooms internet services lift Tour desk Heating Fax/photocopying Luggage storage wifi Free WiFi first aid kit available,23.51204|120.80385,+88652679716|+88652679988|+88652679388,605,https://www.booking.com/hotel/tw/gau-shan-ching-hotel.html
TW,Taiwan,106083,Alishan,1374951,Alishan House The Modern House,FiveStar,"No.16, Xianlin Village, Alishan, Chiayi County CHIAYI ",,"This outstanding hotel is located in Chiayi. A total of 35 units are available for guests' convenience. This property underwent renovation in 2004. Alishan House - The Historical House offers Wi-Fi internet connection in communal areas. This establishment's common areas are disability-friendly. Alishan House - The Historical House is not a pet-friendly establishment. Alishan House - The Historical House has functional business facilities, ideal for business travellers.",,Hotel MasterCard Visa Room service Air conditioning in public areas Lift access Shop Garden Gym Café Restaurant Conference room Meeting room Business centre Kids club Massage Spa treatments Fitness,23.516414|120.809243,,605,http://www.alishanhouse.com.tw/en/
TW,Taiwan,106083,Alishan,1375165,Ho Fong Villa Hotel,ThreeStar,51 Jhongjheng Village 605 AlishanChiayi County ,,HotelDescription#Ideally located within the famous Alishan Forest Recreation Area Ho Fong Villa Hotel is a delightful Alishan hotel for your Taiwan travel. The strategically designed stone carving exterior of our hotel building is to integrate the classical Chinese interiors for an enchanting essence of Alishan.  Our hotel provides the ideal balance of space comfort and warm Alishan hospitality surrounded by rich greeneries and mainly fitted with wood features to create a relaxing yet elegant accommodation environment. Staying at Ho Fong Villa Hotel gives you a delightful blend of picturesque natural sceneries and a great location with convenient access to major Alishan attractions.  Guests may simply explore the treasures of Alishan include Zhushan (Mt. Zhu) for magnificent sunrise sceneries Alishan Sacred Tree for the divine tree aged over 3000 years as well as a romantic tour in springtime for Alishan cherry blossoms and a fun tour for flickering fireflies in summertime.,+88652679780,NO Connecting rooms Hotel MasterCard Visa Bathroom NO Disability-friendly bathroom Shower Hairdryer Toiletries Slippers Wi-fi Internet access Cable TV Tea and coffee making facilities Carpeted floors Centrally regulated air conditioning   NO Wheelchair-accessible Wake-up service NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) YES Car park NO Garage 24-hour reception Check-in hour 14:00  Check-out hour 11:00  Room service Air conditioning in public areas   Lift access Restaurant Air conditioning in Restaurant   Breakfast  ,23.51216|120.80381,+88652679716,605,http://www.alishan-hofong.com.tw/eng/
TW,Taiwan,106083,Alishan,1375460,Alishan House The Historical House,FiveStar,"No.16, Xianlin Village, Alishan, Chiayi County CHIAYI ",,"This outstanding hotel is located in Chiayi. A total of 35 units are available for guests' convenience. This property underwent renovation in 2004. Alishan House - The Historical House offers Wi-Fi internet connection in communal areas. This establishment's common areas are disability-friendly. Alishan House - The Historical House is not a pet-friendly establishment. Alishan House - The Historical House has functional business facilities, ideal for business travellers.",,MasterCard Visa Room service Air conditioning in public areas Lift access Shop Garden Gym Café Restaurant Conference room Meeting room Business centre Kids club Massage Hotel Spa treatments Fitness,23.516414|120.809243,,605,https://alishanhouse.hotel.com.tw/eng/
TW,Taiwan,106083,Alishan,1384624,Alishan Shermuh Hotel,ThreeStar,No. 50 Zhongzheng Village AlishanChiayi County ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alishan National Forest Recreation Area - 0.3 km / 0.2 mi <br /> Jeimei Lake - 1.6 km / 1 mi <br /> Shouzhen Temple - 1.6 km / 1 mi <br /> Zhaoping Park - 1.6 km / 1 mi <br /> Pagoda of the Tree Spirit - 1.9 km / 1.2 mi <br /> Mount Ali - 1.9 km / 1.2 mi <br /> Zhushan Sunrise Observation Deck - 3.6 km / 2.2 mi <br /> Mount Ogasawara Observatory - 4 km / 2.5 mi <br /> Mount Daito - 2 km / 1.2 mi <br /> Yushan National Park - 18.4 km / 11.4 mi <br /> Alishan Chiayi County Library - 21.7 km / 13.5 mi <br /> Leye Mihu Trail - 22.5 km / 14 mi <br /> Mount Hsia - 25 km / 15.5 mi <br /> Trail of Tea Trailhead - 25.4 km / 15.8 mi <br /> YuyupasTsou Cultural Park - 27.9 km / 17.3 mi <br /> </p><p>The nearest airports are:<br />Taoyuan International Airport (TPE) - 296.9 km / 184.5 mi<br /> Songshan Airport (TSA) - 318.7 km / 198 mi<br /> Chiayi (CYI) - 76.9 km / 47.8 mi<br /> </p><p></p>,"<p>HeadLine : Near Alishan National Forest Recreation Area</p><p>Location : With a stay at Alishan Shermuh Int  Tourist Hotel in Alishan, you ll be in a national park, just a 3-minute walk from Alishan National Forest Recreation Area and within a 5-minute drive of Mount Ali.  This hotel is 19 mi (30.6 km) from Fenqihu Old Street and 1 mi (1.6 km) from Shouzhen Temple.</p><p>Rooms : Make yourself at home in one of the 33 individually decorated guestrooms. Your pillowtop bed comes with down comforters and premium bedding. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Satisfy your appetite for lunch or dinner at ???????, a restaurant which specializes in Taiwanese cuisine, or stay in and take advantage of the room service. A complimentary self-serve breakfast is served daily from 7:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",886-5-2679667,Concierge services Self parking (surcharge) Smoke-free property Barbecue grill(s) Daily Water dispenser 24-hour front desk Multilingual staff Free bus station shuttle Porter/bellhop Grocery/convenience store Free breakfast Luggage storage Free self-serve breakfast Airport transportation (surcharge) Free area shuttle Tours/ticket assistance Free newspapers in lobby Wheelchair accessible parking Picnic area Garden Shared refrigerator Free WiFi Free grocery shopping service,23.511139|120.802476,886-5-2679511,60541,http://www.alishan-shermuh.com/en/
TW,Taiwan,106083,Alishan,1436372,Dafong Hotel,All,"No.46, Zhongzheng Village 605 Alishan TownshipChiayi County ",,"Dafong Hotel is just a 10-minute walk from Alishan Railway Station, where restaurants serving traditional Taiwanese delights reside. It also offers free WiFi access and private parking.

The hotel is a 2.5-hour drive from Chiayi Railway Station.

Equipped with air conditioning and heating systems, rooms feature a flat-screen TV with cable channels, an electric kettle and a telephone. The private bathroom comes with shower facilities, toiletries and a hairdryer.

Self-service tea making amenities are available at the shared lounge. Travel arrangements can be made at the tour desk. Luggage storage are also provided free of charge. Please note that the propertys front desk operates from 07:00 to 23:00.",+88652679577,invoice provided first aid kit available guest accommodation sealed after cleaning guest accommodation is disinfected between stays use of cleaning chemicals that are effective against coronavirus Shuttle service Street parking parking on site Daily housekeeping shared lounge/TV area shuttle service (additional charge) shuttle service (free) designated smoking area Non-smoking throughout Free WiFi wifi Luggage storage Tour desk internet services Free parking Family rooms Non-smoking rooms Room service Parking,23.50805|120.80117,+88652679769,605,https://www.booking.com/hotel/tw/dafong-hotel.html
TW,Taiwan,106083,Alishan,1487536,Tea Homestay,OneStar,"No.123-11, Leye Village 4 Chiayi ",,"Stop at Tea Homestay to discover the wonders of Chiayi. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. Daily housekeeping, grocery deliveries, postal service, taxi service, luggage storage are there for guest's enjoyment. Designed for comfort, selected guestrooms offer television LCD/plasma screen, non smoking rooms, desk, fan, television to ensure a restful night. The hotel offers various recreational opportunities. Tea Homestay combines warm hospitality with a lovely ambiance to make your stay in Chiayi unforgettable.",,Hotel Airport shuttle Luggage room Smoking area Breakfast Non-smoking establishment,23.46738|120.6946,,604,
TW,Taiwan,106083,Alishan,1487765,Chinshan Hotel,ThreeStar,No.42 ZhongZheng Village605 Alishan TownshipChiayi County ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alishan National Forest Recreation Area - 0.6 km / 0.3 mi <br /> Zhaoping Park - 1.3 km / 0.8 mi <br /> Jeimei Lake - 1.3 km / 0.8 mi <br /> Shouzhen Temple - 1.3 km / 0.8 mi <br /> Pagoda of the Tree Spirit - 1.5 km / 0.9 mi <br /> Mount Ali - 2.2 km / 1.3 mi <br /> Zhushan Sunrise Observation Deck - 3.3 km / 2 mi <br /> Mount Ogasawara Observatory - 3.8 km / 2.3 mi <br /> Mount Daito - 4.9 km / 3 mi <br /> Yushan National Park - 18.6 km / 11.6 mi <br /> Alishan Chiayi County Library - 22.1 km / 13.7 mi <br /> Leye Mihu Trail - 22.9 km / 14.2 mi <br /> Mount Hsia - 25.4 km / 15.8 mi <br /> Trail of Tea Trailhead - 25.7 km / 15.9 mi <br /> YuyupasTsou Cultural Park - 28.3 km / 17.6 mi <br /> </p><p>The nearest airports are:<br />Taoyuan International Airport (TPE) - 297.2 km / 184.6 mi<br /> Songshan Airport (TSA) - 319 km / 198.2 mi<br /> Chiayi (CYI) - 77.4 km / 48.1 mi<br /> </p><p></p>,"<p>HeadLine : Near Alishan National Forest Recreation Area</p><p>Location : Located in Alishan, ChinShanvilla is in a national park, within a 5-minute drive of Alishan National Forest Recreation Area and Jeimei Lake.  This hotel is 1 mi (1.7 km) from Shouzhen Temple and 1.2 mi (2 km) from Pagoda of the Tree Spirit.</p><p>Rooms : Make yourself at home in one of the 22 air-conditioned rooms featuring LED televisions. Your pillowtop bed comes with down comforters. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). A complimentary buffet breakfast is served daily from 9 AM to 11 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 10:00 PM. If you are planning to arrive after 5:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",886-5-2679040,Wheelchair accessible  no Parking (limited spaces) Luggage storage Free breakfast Front desk (limited hours) Water dispenser Free WiFi Daily Well-lit path to entrance Housekeeping on request Change of towels (on request) Garden Picnic area Smoke-free property Laundry facilities Tours/ticket assistance Free self parking Free Buffet Breakfast Concierge services,23.511715|120.80377,+88652679733,605,http://www.chinshan.com
TW,Taiwan,106083,Alishan,1487813,Alishan Lauya Homestay,TwoStar,64.8Km Of Alishan Highway) No. 301 3 Ler Ye Ler Ye Village No.301-3Leye Village605 Alishan Township ,,"Our bathroom in each room is tiny.
Our breakfast is very simple for lots of guests will go to see the sunrise at 03:30~5:00.
Our location is only available for driving yourself or 13  buses to Alishan Forest Park everyday for Lauya has a bus stop(ShangHuDi station) next to our door.
Our sound isolation in our breathable wood carbin (stanard double,family quadruple) is not very good even we ask our guest to keep voice low after 21:00.
Beside above  shortcomings,most guests can enjoy our cordial reception.We want everyone who visit here can relax with nature, dance with the wind,peruse Alishan with Lauya. Nestled in Leye Sec., the rural Leye Village of Alishan Township, Alishan Lauya Homestay features rooms with views of the surrounding mountain and nature. Rooms offer free Wi-Fi, and complimentary private parking is available.

The property is a 15-minute drive to Fenqihu train station. Alishan is a 30-minute drive, while Chiayi Station is an hours drive away. Tainan City is approximately 1.5 hour drive away. Alishan Lauya is located at 64.8 km from Alishan Express, where the busses lead to Alishan Forest Park.

Fitted with wooden flooring, rooms are simply furnished with a flat-screen TV and an electric kettle and a heater. Small Private bathrooms come with 24-hour hot water and shower facilities.

Alishan Lauya Homestay is a non-smoking property where guests can get assistance services like luggage storage.

The property serves simple breakfast for guests who wish to see early sunrise. Please inform Alishan Lauya Homestay in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
 A damage deposit of TWD 3000 is required on arrival. This will be collected by credit card. You should be reimbursed on check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.",,Internet access Free valet parking Hiking Tour desk Heating Luggage storage Free WiFi Free WiFi Non-smoking throughout Terrace Adult only Parking onsite Street parking Free self parking Meeting rooms Garden Terrace Non-smoking rooms Laundry facilities,23.47427|120.7114,+886928618654,605,https://www.booking.com/hotel/tw/lauya-restaurant-and-guesthouse.html
TW,Taiwan,106083,Alishan,1501793,Applause In The Mountain,ThreeStar,No.209 6 Leye AlishanLeyeChiayi County ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Leye Mihu Trail - 4.3 km / 2.7 mi <br /> Trail of Tea Trailhead - 7 km / 4.4 mi <br /> YuyupasTsou Cultural Park - 9.7 km / 6 mi <br /> Longtouping - 11.2 km / 6.9 mi <br /> Fenqi hu Museum - 12 km / 7.5 mi <br /> Fenqihu Old Street - 12.2 km / 7.6 mi <br /> Alishan Chiayi County Library - 15.2 km / 9.4 mi <br /> Dinghu Eco Park - 15.9 km / 9.9 mi <br /> Xiding Eryanping Trail Cloud Viewing Platform - 17 km / 10.6 mi <br /> Eryanping Trail - 17.3 km / 10.8 mi <br /> Xi Dong Alishan National Scenic Area - 17.6 km / 11 mi <br /> Alishan National Forest Recreation Area - 21.4 km / 13.3 mi <br /> Mount Ali - 22.9 km / 14.2 mi <br /> Shouzhen Temple - 23.2 km / 14.4 mi <br /> Zhaoping Park - 23.3 km / 14.5 mi <br /> </p><p>The nearest airports are:<br />Taoyuan International Airport (TPE) - 278.5 km / 173.1 mi<br /> Songshan Airport (TSA) - 300.3 km / 186.6 mi<br /> Chiayi (CYI) - 58.6 km / 36.4 mi<br /> </p><p></p>,"<p>HeadLine : Near YuyupasTsou Cultural Park</p><p>Location : Located in Alishan, Applause In The Mountain is in the mountains, within a 15-minute drive of Leye Mihu Trail and YuyupasTsou Cultural Park.  This bed & breakfast is 10.6 mi (17 km) from Xiding Eryanping Trail Cloud Viewing Platform and 13.3 mi (21.4 km) from Alishan National Forest Recreation Area.</p><p>Rooms : Make yourself at home in one of the 10 guestrooms featuring refrigerators and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature hair dryers and slippers. Conveniences include coffee/tea makers and ceiling fans, and housekeeping is provided on request.</p><p>Dining : At Applause In The Mountain, enjoy a satisfying meal at the restaurant. A complimentary local cuisine breakfast is served daily from 7 AM to 8:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 8 PM. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 3:30 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",886-05-2562929,Energy-saving switches Free long-term parking Uncovered parking Water dispenser use by guests actively encouraged Parking (limited spaces) Luggage storage Water-efficient showers only Free breakfast Front desk (limited hours) Free breakfast (local cuisine) Change of bed sheets (on request) Water dispenser Free WiFi Daily Housekeeping on request Change of towels (on request) Free self parking,23.457568|120.719069,+886 05 2562909,60594,
