countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PH,Philippines,100834,Alcoy,1015014,Dive Point Alcoy Resort,ThreeStar,National Highway Guiwang Guiwang6023 Cebu ,,"Here in Alcoy we offer full service for a great scuba diving trip in the Philippines. Equipped with modern dive equipment, experienced dive instructors and friendly service staff, it is our pleasure to make your holiday trip unforgettable. Our own restaurant offers you freshly made regional and international dishes. All our rooms have air conditioning and free Wifi. Featuring an outdoor pool and terrace, Divepoint Alcoy is situated in Alcoy, 47 km from Dumaguete. Surrounded by lush greenery, it offers a bar and restaurant, and provides free WiFi access throughout the property. Modern dive equipments with experienced dive instructors are available.

Certain rooms feature a seating area to relax in after a busy day. Views of the sea, pool or garden are featured in selected rooms. All rooms include a private bathroom fitted with shower facility.

Scuba diving and guided land tours can be arranged. Guests can enjoy exploring the waterfalls, caves and the rural side of the island. A pool table is featured on site, while airport transfers and shuttle services are available upon request.

Moalboal is 31 km from Divepoint Alcoy, while Tagbilaran City is approximately 39 km away. Please inform Divepoint Alcoy in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the propertys boat will be docked from 14 May 2017 to 13 June 2017. As a result, day trips for outer island dives is unavailable. The propertys smaller boat is available for local dives.",,Free self parking Restaurant Room service Bar/lounge Garden Terrace Non-smoking rooms Airport shuttle Laundry facilities Ironing service Internet access Express check-in Safe-deposit box at front desk Massage Billiards or pool table Gift shops or newsstand Shoeshine Hiking Packed lunches Tour desk Fax/photocopying Diving Snorkelling Luggage storage Free WiFi Free WiFi Air conditioning On private beach Snack bar/deli Outdoor pool Area shuttle (surcharge) Airport transportation (surcharge) Daily housekeeping Parking onsite Private parking,9.68621|123.50438,+63324838059,6023,https://www.booking.com/hotel/ph/divepoint-alcoy-alcoy8.html
PH,Philippines,100834,Alcoy,1031175,Parrot Paradise Resort,ThreeStar,Triple B Road Pasol PasolJoyce Jabagat Lehmann6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tingko Beach - 0.3 km / 0.2 mi <br /> Eli Rock - 7.1 km / 4.4 mi <br /> San Patrocinio de Maria Church - 7.6 km / 4.7 mi <br /> San Roque Chapel - 7.9 km / 4.9 mi <br /> Dalaguete Church - 10.8 km / 6.7 mi <br /> Dalaguete Beach - 20.1 km / 12.5 mi <br /> Oslob Beach - 21.4 km / 13.3 mi <br /> Oslob Church - 21.6 km / 13.4 mi <br /> Osmena Peak - 26.5 km / 16.5 mi <br /> Argao Hall of Justice - 28.8 km / 17.9 mi <br /> Tumalog Falls - 31.2 km / 19.4 mi <br /> Kandungaw Peak - 32.2 km / 20 mi <br /> Cambais Falls - 32.6 km / 20.3 mi <br /> Sumilon Island - 32.9 km / 20.4 mi <br /> Sumilon Island Beach - 32.9 km / 20.4 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 105.1 km / 65.3 mi<br /> Panglao (TAG-Bohol Intl.) - 189.9 km / 118 mi<br /> Dumaguete (DGT) - 52.5 km / 32.6 mi<br /> </p><p>The preferred airport for Parrot Paradise Resort is Mactan - Cebu Intl. Airport (CEB). </p>,"<p>HeadLine : Near Tingko Beach</p><p>Location : With a stay at Parrot Paradise Resort in Alcoy, you ll be 13.3 mi (21.4 km) from Oslob Beach and 20.4 mi (32.9 km) from Sumilon Island.  This spa resort is 31.1 mi (50.1 km) from Kawasan Falls.</p><p>Rooms : Make yourself at home in one of the 14 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include safes and complimentary newspapers, as well as phones with free local calls.</p><p>Dining : Enjoy international cuisine at Panorama, a restaurant where you can take in the ocean view, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the poolside bar. Full breakfasts are available daily from 7 AM to 11 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul> Noise-free guestrooms cannot be guaranteed. </ul></p><p>Special Instructions : 24-hour airport shuttle service is available on request. Fees may apply. Contact the property in advance to make arrangements.</p>",63-32-4839024,Airport transportation - pickup (surcharge) Breakfast available (surcharge) Full-service spa Gift shops or newsstand Poolside bar Billiards or pool table Restaurant Spa tub Tours/ticket assistance Television in common areas Coffee shop or café One meeting room Free self parking Dry cleaning/laundry service Free WiFi Pool sun loungers Wedding services Outdoor pool Garden,9.685056|123.503204,+63 32 4839119,6023,http://www.bbb-alcoy.com/
PH,Philippines,100834,Alcoy,1441400,Voda Krasna Resort & Restaurant,ThreeStar,Daanglungsod 6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tingko Beach - 0.3 km / 0.2 mi <br /> Eli Rock - 6.9 km / 4.3 mi <br /> San Patrocinio de Maria Church - 7.4 km / 4.6 mi <br /> San Roque Chapel - 8.3 km / 5.2 mi <br /> Dalaguete Church - 11.2 km / 7 mi <br /> Dalaguete Beach - 20.5 km / 12.7 mi <br /> Oslob Beach - 21.1 km / 13.1 mi <br /> Oslob Church - 21.3 km / 13.3 mi <br /> Osmena Peak - 27 km / 16.8 mi <br /> Cambais Falls - 27.2 km / 16.9 mi <br /> Bugasok Falls - 27.6 km / 17.2 mi <br /> Argao Hall of Justice - 29.4 km / 18.3 mi <br /> Tumalog Falls - 31 km / 19.3 mi <br /> Kandungaw Peak - 32.5 km / 20.2 mi <br /> Sumilon Island Beach - 32.7 km / 20.3 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 105.5 km / 65.6 mi<br /> Panglao (TAG-Bohol Intl.) - 113.2 km / 70.3 mi<br /> Dumaguete (DGT) - 52.6 km / 32.7 mi<br /> </p><p>The preferred airport for Voda Krasna Resort & Restaurant is Mactan - Cebu Intl. Airport (CEB). </p>,"<p>HeadLine : Near Tingko Beach</p><p>Location : When you stay at Voda Krasna Resort & Restaurant in Alcoy, you ll be on the beach and 3 minutes by foot from Tingko Beach.  This beach resort is 20.3 mi (32.7 km) from Sumilon Island and 4.3 mi (6.9 km) from Eli Rock.</p><p>Rooms : Make yourself at home in one of the 7 air-conditioned guestrooms. Complimentary wired and wireless Internet access is available. Conveniences include phones and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at Voda Krasna, a restaurant which specializes in Filipino cuisine, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 6 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",63-32-4839063,Dry cleaning/laundry service Banquet hall Beach umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Garden Picnic area Wedding services Beach towels Boat tours nearby Area shuttle (surcharge) Airport transportation (surcharge) Wheelchair accessible  no Luggage storage 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Free self parking Free beach cabanas Snorkeling on site Kayaking on site Beach sun loungers Terrace,9.682962|123.501616,+63 32 4839060,6023,http://www.vodakrasna.com
PH,Philippines,100834,Alcoy,1485389,Meili Beach Resort,TwoStar,Lower Poblacion Alcoy 6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tingko Beach - 3.6 km / 2.3 mi <br /> San Roque Chapel - 6.2 km / 3.9 mi <br /> Dalaguete Church - 9.1 km / 5.7 mi <br /> Eli Rock - 10.3 km / 6.4 mi <br /> San Patrocinio de Maria Church - 10.7 km / 6.7 mi <br /> Dalaguete Beach - 18.4 km / 11.4 mi <br /> Oslob Beach - 24.4 km / 15.2 mi <br /> Oslob Church - 24.7 km / 15.4 mi <br /> Osmena Peak - 24.9 km / 15.5 mi <br /> Cambais Falls - 25 km / 15.6 mi <br /> Bugasok Falls - 25.5 km / 15.8 mi <br /> Argao Hall of Justice - 27.3 km / 17 mi <br /> Kandungaw Peak - 30.4 km / 18.9 mi <br /> Tumalog Falls - 34.4 km / 21.4 mi <br /> Montaneza Falls - 34.5 km / 21.4 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 103.4 km / 64.3 mi<br /> Panglao (TAG-Bohol Intl.) - 111.1 km / 69 mi<br /> Dumaguete (DGT) - 55.9 km / 34.7 mi<br /> </p><p>The preferred airport for Meili Beach Resort is Mactan - Cebu Intl. Airport (CEB). </p>,"<p>HeadLine : Near Tingko Beach</p><p>Location : Located in Alcoy, Meili Beach Resort is by the sea, within a 10-minute drive of San Roque Chapel and Tingko Beach.  This hotel is 22.4 mi (36 km) from Sumilon Island and 5.7 mi (9.1 km) from Dalaguete Church.</p><p>Rooms : Make yourself at home in one of the 14 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms have complimentary toiletries and bidets. Conveniences include desks and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 8:00 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts mobile payments and cash</li><li>Mobile payment options include: GCash, PayMaya, and PayPal</li><li>Parties and events are allowed on site</li>  </ul></p><p>Special Instructions : The front desk is open daily from 9:00 AM - 5:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",63-032-4839674,Snorkeling on site Terrace Scuba diving on site Pool sun loungers Tile flooring in public areas Wheelchair accessible  no Parking (limited spaces) Gravel flooring in public areas Front desk (limited hours) Swimming nearby Cobblestone flooring in public areas Water dispenser Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Designated smoking areas Barbecue grill(s) Number of outdoor pools - 1 Spa services on site Garden Laundry facilities,9.703128|123.509752,63-032-4839674,6023,http://www.meilibeachresort.ch/?lang=en
PH,Philippines,100834,Alcoy,1485546,BBB Resort and Restaurant,ThreeStar,Triple B Road Pasol 6023 Cebu PasolRengie Belda6023 Alcoy ,,"The 3.5-star Triple B Resort offers comfort and convenience whether you're on business or holiday in Cebu. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. Free Wi-Fi in all rooms, facilities for disabled guests, Wi-Fi in public areas, car park, room service are there for guest's enjoyment. Some of the well-appointed guestrooms feature television LCD/plasma screen, internet access  wireless, internet access  wireless (complimentary), air conditioning, wake-up service. Take a break from a long day and make use of hot tub, fitness center, outdoor pool, massage, garden. No matter what your reasons are for visiting Cebu, Triple B Resort will make you feel instantly at home.",,languages spoken things to do  ways to relax dining  drinking  and snacking services and conveniences access getting around available in all rooms,9.6803560256958|123.50180053710938,63324839119,6023,http://www.bbb-alcoy.com
PH,Philippines,100834,Alcoy,1561720,Narrapark Resort & Hotel,ThreeStar,Lalin Atabay Lalin6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Roque Chapel - 8.9 km / 5.6 mi <br /> Dalaguete Church - 11.9 km / 7.4 mi <br /> Eli Rock - 13.1 km / 8.1 mi <br /> San Patrocinio de Maria Church - 13.6 km / 8.5 mi <br /> Dalaguete Beach - 21.4 km / 13.3 mi <br /> Kawasan Falls - 26.7 km / 16.6 mi <br /> Oslob Beach - 27.5 km / 17.1 mi <br /> Oslob Church - 27.5 km / 17.1 mi <br /> Osmena Peak - 27.8 km / 17.3 mi <br /> Argao Hall of Justice - 30 km / 18.6 mi <br /> Kawasan Falls - 36 km / 22.4 mi <br /> Tumalog Falls - 37.2 km / 23.1 mi <br /> Sumilon Island Beach - 38.9 km / 24.2 mi <br /> Sumilon Island - 39 km / 24.2 mi <br /> Sumilon Island Dock - 39 km / 24.2 mi <br /> </p><p>The nearest airports are:<br />Dumaguete (DGT) - 75.9 km / 47.1 mi<br /> Tagbilaran (TAG) - 91.9 km / 57.1 mi<br /> Cebu (CEB-Mactan - Cebu Intl.) - 109.3 km / 67.9 mi<br /> </p><p></p>,"<p><b>Property Location</b> <br />With a stay at Narrapark Resort & Hotel in Alcoy, you'll be 5.6 mi (8.9 km) from San Roque Chapel and 7.4 mi (11.9 km) from Dalaguete Church.  This hotel is 8.1 mi (13.1 km) from Eli Rock and 8.5 mi (13.6 km) from San Patrocinio de Maria Church.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 9 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Enjoy recreation amenities such as an outdoor pool or take in the view from a garden.</p><p><b>Dining</b> <br />At Narrapark Resort & Hotel, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the poolside bar. Breakfast is available for a fee.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a 24-hour front desk and laundry facilities. Free self parking is available onsite.</p>",,24-hour front desk Breakfast available (surcharge) Children's pool Designated smoking areas Free WiFi Free self parking Garden Laundry facilities Outdoor pool Poolside bar Restaurant Total number of rooms - 9,9.703619957|123.49394226,+63 0 9185486344,6023,http://narrapark-resort.com
PH,Philippines,100834,Alcoy,1651312,Mangrove ECO Resort,ThreeStar,Pasol Alcoy Natalio Bacalso Avenue Cebu Barangay Pasol Barangay Pasol6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Roque Chapel - 3.1 km / 1.9 mi <br /> Tingko Beach - 5.2 km / 3.2 mi <br /> Dalaguete Church - 6 km / 3.7 mi <br /> Eli Rock - 11.9 km / 7.4 mi <br /> San Patrocinio de Maria Church - 12.4 km / 7.7 mi <br /> Dalaguete Beach - 15.3 km / 9.5 mi <br /> Osmena Peak - 21.8 km / 13.5 mi <br /> Bugasok Falls - 22.4 km / 13.9 mi <br /> Argao Hall of Justice - 24 km / 14.9 mi <br /> Oslob Beach - 26 km / 16.2 mi <br /> Oslob Church - 26.3 km / 16.4 mi <br /> Kandungaw Peak - 27.3 km / 17 mi <br /> Cambais Falls - 31 km / 19.3 mi <br /> Tumalog Falls - 36 km / 22.4 mi <br /> Monastery of the Holy Eucharist - 37.4 km / 23.2 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 102.2 km / 63.5 mi<br /> Panglao (TAG-Bohol Intl.) - 108 km / 67.1 mi<br /> Dumaguete (DGT) - 57.5 km / 35.7 mi<br /> </p><p></p>,"<p>HeadLine : Near San Roque Chapel</p><p>Location : With a stay at Mangrove ECO Resort in Alcoy, you ll be 23.4 mi (37.6 km) from Sumilon Island Beach and 26.2 mi (42.2 km) from Kawasan Falls.  This hotel is 27.9 mi (45 km) from Binalayan Falls.</p><p>Rooms : Make yourself at home in one of the 10 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and hair dryers.</p><p>Dining : Enjoy local and international cuisine at Mangrove Restaurant, a poolside restaurant which features a bar/lounge. Wrap up your day with a drink at the poolside bar. Full breakfasts are available daily from 7:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7 AM - 9 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 9 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",63-32-4839066,Dry cleaning/laundry service Parking (limited spaces) Pool umbrellas 24-hour pool access Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Garden Tours/ticket assistance Scooter/moped rentals on site Boat tours on site Scuba diving on site Airport transportation (surcharge) Billiards or pool table Multilingual staff Front desk (limited hours) Water dispenser Breakfast available (surcharge) Library Safe-deposit box at front desk Smoke-free property Coffee/tea in common areas Laundry facilities Free self parking Snorkeling on site Terrace Pool sun loungers,9.726658|123.508887,63324839066,6023,http://de.mangrove-resort.com
PH,Philippines,100834,Alcoy,1652033,King Arthur's Place,TwoStar,Tingko White Beach 6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Roque Chapel - 4.2 km / 2.6 mi <br /> Tingko Beach - 4.4 km / 2.7 mi <br /> Dalaguete Church - 7.1 km / 4.4 mi <br /> Eli Rock - 10.8 km / 6.7 mi <br /> San Patrocinio de Maria Church - 11.3 km / 7 mi <br /> Dalaguete Beach - 16.4 km / 10.2 mi <br /> Osmena Peak - 22.8 km / 14.2 mi <br /> Bugasok Falls - 23.5 km / 14.6 mi <br /> Oslob Beach - 24.9 km / 15.5 mi <br /> Oslob Church - 25.2 km / 15.7 mi <br /> Argao Hall of Justice - 25.3 km / 15.7 mi <br /> Kandungaw Peak - 28.4 km / 17.6 mi <br /> Cambais Falls - 32.1 km / 19.9 mi <br /> Tumalog Falls - 34.9 km / 21.7 mi <br /> Montaneza Falls - 35 km / 21.8 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 103.3 km / 64.2 mi<br /> Panglao (TAG-Bohol Intl.) - 109.1 km / 67.8 mi<br /> Dumaguete (DGT) - 56.4 km / 35.1 mi<br /> </p><p></p>,"<p>HeadLine : On the beach</p><p>Location : When you stay at King Arthur s Place in Alcoy, you ll be on the beach and within a 5-minute drive of San Roque Chapel.  This beach apartment is 22.7 mi (36.6 km) from Sumilon Island and 2.6 mi (4.1 km) from Tingko Beach.</p><p>Rooms : Make yourself at home in one of the 3 air-conditioned guestrooms. Rooms have private furnished balconies or patios. Bathrooms with showers are provided. Housekeeping is provided on a limited basis, and rollaway/extra beds (surcharge) can be requested.</p><p>Dining : Wrap up your day with a drink at the beach bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8 AM - 5 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 5 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",63-32-4839673,Airport transportation (surcharge) Private picnics Wheelchair accessible (may have limitations) Number of meeting rooms - 1 Front desk (limited hours) Barbecue grill(s) Number of outdoor pools - 1 Number of beach bars - 1 Garden Picnic area In-room accessibility (in select rooms) Children's pool Tours/ticket assistance Accessible bathroom (in select rooms) Free self parking Free beach cabanas Terrace,9.716972|123.509968,63-923-3020236,6023,
PH,Philippines,100834,Alcoy,1652098,El Paradiso Resort,ThreeStar,Tingko White Beach Guiwang Alcoy Cebu 6023 AlcoyCebu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tingko Beach - 0.4 km / 0.2 mi <br /> Eli Rock - 7.2 km / 4.5 mi <br /> San Patrocinio de Maria Church - 7.7 km / 4.8 mi <br /> San Roque Chapel - 7.8 km / 4.8 mi <br /> Dalaguete Church - 10.7 km / 6.6 mi <br /> Dalaguete Beach - 20.1 km / 12.5 mi <br /> Oslob Beach - 21.5 km / 13.4 mi <br /> Oslob Church - 21.7 km / 13.5 mi <br /> Osmena Peak - 26.4 km / 16.4 mi <br /> Argao Hall of Justice - 28.7 km / 17.9 mi <br /> Tumalog Falls - 31.3 km / 19.4 mi <br /> Kandungaw Peak - 32.1 km / 20 mi <br /> Cambais Falls - 32.5 km / 20.2 mi <br /> Kawasan Falls - 38.8 km / 24.1 mi <br /> Binalayan Falls - 40.3 km / 25 mi <br /> </p><p>The nearest airports are:<br />Dumaguete (DGT) - 52.8 km / 32.8 mi<br /> Panglao (TAG-Bohol Intl.) - 112.9 km / 70.1 mi<br /> </p><p></p>,"<p>HeadLine : Near Tingko Beach</p><p>Location : When you stay at El Paradiso Resort in Alcoy, you ll be on the beach and 4 minutes by foot from Tingko Beach.  This beach aparthotel is 6.6 mi (10.7 km) from Dalaguete Church and 12.5 mi (20.1 km) from Dalaguete Beach.</p><p>Rooms : Make yourself at home in one of the 23 guestrooms, featuring kitchenettes. Conveniences include safes, and housekeeping is provided daily.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of El Paradiso Resort, or stop in at the snack bar/deli. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Cooked-to-order breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 10:30 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10:30 PM please contact the property in advance using the information on the booking confirmation. Guests will receive an email 24 hours before arrival with check-in instructions. Front desk staff will greet guests on arrival.</p>",63-32-4839065,Barbecue grill(s) Picnic area Couples/private dining Private picnics Number of outdoor pools - 1 Karaoke Number of bars/lounges - 1 Number of poolside bars - 1 Number of swim-up bars - 1 Front desk (limited hours) Business center Billiards or pool table Express check-out Tours/ticket assistance Free pool cabanas Free self parking Dry cleaning/laundry service Free WiFi Pool sun loungers Outdoor seasonal pool Children's pool Safe-deposit box at front desk Terrace Luggage storage Proposal/romance packages available Breakfast available (surcharge) Concierge services Snack bar/deli Designated smoking areas Wheelchair accessible (may have limitations) Laundry facilities Accessible bathroom Wheelchair accessible parking Airport transportation (surcharge) Wheelchair-accessible van parking Garden Wheelchair-accessible registration desk 24-hour pool access Wheelchair-accessible pool Free newspapers in lobby,9.685919|123.503402,63-923-3020236,6023,
PH,Philippines,100834,Alcoy,1924625,Larville Pool Garden Resort And Restaurant,ThreeStar,Pugalo Pugalo Alcoy ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Roque Chapel - 2.5 km / 1.6 mi <br /> Dalaguete Church - 5.4 km / 3.4 mi <br /> Tingko Beach - 5.8 km / 3.6 mi <br /> Eli Rock - 12.5 km / 7.8 mi <br /> San Patrocinio de Maria Church - 12.9 km / 8 mi <br /> Dalaguete Beach - 14.7 km / 9.2 mi <br /> Osmena Peak - 21.2 km / 13.2 mi <br /> Bugasok Falls - 21.8 km / 13.6 mi <br /> Argao Hall of Justice - 23.5 km / 14.6 mi <br /> Oslob Beach - 26.6 km / 16.5 mi <br /> Kandungaw Peak - 26.7 km / 16.6 mi <br /> Oslob Church - 26.9 km / 16.7 mi <br /> Cambais Falls - 30.5 km / 18.9 mi <br /> Tumalog Falls - 36.6 km / 22.7 mi <br /> Monastery of the Holy Eucharist - 36.8 km / 22.9 mi <br /> </p><p>The nearest airports are:<br />Mactan - Cebu Intl. Airport (CEB) - 101.6 km / 63.2 mi<br /> Panglao (TAG-Bohol Intl.) - 107.4 km / 66.8 mi<br /> Dumaguete (DGT) - 58.1 km / 36.1 mi<br /> </p><p></p>,"<p>HeadLine : Near San Roque Chapel</p><p>Location : When you stay at Larville Pool Garden Resort & Restaurant in Alcoy, you ll be on the beach and within a 5-minute drive of San Roque Chapel.  This beach hotel is 23.7 mi (38.2 km) from Sumilon Island and 3.4 mi (5.4 km) from Dalaguete Church.</p><p>Rooms : Make yourself at home in one of the 7 air-conditioned guestrooms. Digital television is provided for your entertainment. Bathrooms have showers and complimentary toiletries.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s 24-hour room service. Cooked-to-order breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:30 AM - 10 PM. Front desk staff will greet guests on arrival.</p>",63-32-5118830,Designated smoking areas Number of outdoor pools - 1 elevator Free self parking Front desk (limited hours) Swimming pool Karaoke Breakfast available (surcharge) Free WiFi,9.731484|123.508835,+63324839295,6023,http://larvilleresort.com
