countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
ZA,South Africa,100658,Addo Elephant National Park,1012837,Zuurberg Mountain Village,FourStar,R335 Zuuberg Mountain Pass Addo 6105Eastern Cape ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 18.2 km / 11.3 mi <br /> Bucks Kloof Hiking Trail - 34.2 km / 21.3 mi <br /> Sir Percy Fitzpatrick Lookout - 36.4 km / 22.6 mi <br /> Schotia Tooth and Claw Safari - 43.5 km / 27 mi <br /> Shamwari Game Reserve - 48.3 km / 30 mi <br /> </p><p>The preferred airport for Zuurberg Mountain Village is Port Elizabeth (PLZ) - 86.4 km / 53.7 mi </p>,"<p>HeadLine : In the mountains</p><p>Location : With a stay at Zuurberg Mountain Village in Addo, you ll be 11.3 mi (18.2 km) from Addo Elephant National Park and 30 mi (48.3 km) from Shamwari Game Reserve.  This 4-star guesthouse is within the region of Amakhala Game Reserve and Lalibela Game Reserve.</p><p>Rooms : Make yourself at home in one of the 33 guestrooms featuring minibars. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : At Zuurberg Mountain Village, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. A complimentary full breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests can access their accommodation through a private entrance.</p>",27-42-233 83 33,Outdoor tennis courts - 2 Horse riding nearby Spa services on site Safe-deposit box at front desk Ecotours nearby Coffee/tea in common areas Hiking/biking trails nearby Laundry facilities Free self parking Tennis on site Terrace Wheelchair accessible path of travel Pool sun loungers Gift shops or newsstand Dry cleaning/laundry service Wheelchair accessible (may have limitations) Free full breakfast Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 24-hour pool access Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of outdoor pools - 1 Upper floors accessible by stairs only Garden Airport transportation (surcharge) Luggage storage Free breakfast,-33.351345|25.744609,27-42-233 83 00,6105,http://zuurberg-inn.co.za/
ZA,South Africa,100658,Addo Elephant National Park,1014181,Elephant House,FiveStar,P.O. Box 82 Addo 6105 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Schotia Tooth and Claw Safari - 2.6 km / 1.6 mi <br /> Addo Elephant National Park - 34.4 km / 21.4 mi <br /> Sir Percy Fitzpatrick Lookout - 36.9 km / 22.9 mi <br /> Amakhala Game Reserve - 37.2 km / 23.1 mi <br /> Shamwari Game Reserve - 44 km / 27.3 mi <br /> Sundays River Dunes - 51.3 km / 31.9 mi <br /> </p><p>The preferred airport for Gorah Elephant Camp is Port Elizabeth (PLZ) - 79.1 km / 49.1 mi </p>,"<p>HeadLine : In a national park</p><p>Location : With a stay at Gorah Elephant Camp in Addo, you ll be in a national park, and 21.4 mi (34.4 km) from Addo Elephant National Park and 13.4 mi (21.5 km) from Schotia Tooth and Claw Safari.  This 5-star lodge is 22.9 mi (36.9 km) from Sir Percy Fitzpatrick Lookout and 23.1 mi (37.2 km) from Amakhala Game Reserve.</p><p>Rooms : Make yourself at home in one of the 11 guestrooms. Your Select Comfort bed comes with premium bedding. Rooms have private furnished balconies. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a satisfying meal at Gorah House serving guests of Gorah Elephant Camp. Quench your thirst with your favorite drink at the bar/lounge. A complimentary full breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, and a smoke detector</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",+27422330393,Library Coffee/tea in common areas Number of outdoor pools - 1 elevator Number of bars/lounges - 1 24-hour front desk Free breakfast Free self parking Dry cleaning/laundry service Free WiFi Pool sun loungers Hiking/biking trails nearby Game viewing on site Safe-deposit box at front desk Game drive on site Terrace Safari on site Free full breakfast Concierge services Gift shops or newsstand Designated smoking areas Wheelchair accessible (may have limitations) Laundry facilities Accessible bathroom Wedding services In-room accessibility Airport transportation (surcharge) Garden Fireplace in lobby,-33.508724|25.800915,+27422332462|+27837995671,6105,https://www.booking.com/hotel/za/elephant-house.html
ZA,South Africa,100658,Addo Elephant National Park,1015815,River Bend Lodge,FiveStar,River Bend Lodge Addo Elephant National Park Addo Elephant National ParkAddo 6105Port Elizabeth ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 4.9 km / 3.1 mi <br /> Sir Percy Fitzpatrick Lookout - 23.2 km / 14.4 mi <br /> Schotia Tooth and Claw Safari - 30.3 km / 18.8 mi <br /> Shamwari Game Reserve - 34.6 km / 21.5 mi <br /> Kirkwood Golf Course - 41 km / 25.5 mi <br /> Olifantskop Pass Lookout - 48 km / 29.8 mi <br /> Bucks Kloof Hiking Trail - 50.3 km / 31.2 mi <br /> </p><p>The preferred airport for River Bend Lodge is Port Elizabeth (PLZ) - 73.2 km / 45.5 mi </p>,"<p>HeadLine : In a national park</p><p>Location : When you stay at River Bend Lodge in Addo, you ll be in a national park and 9 minutes by car from Addo Elephant National Park.  This 5-star lodge is 14.4 mi (23.2 km) from Sir Percy Fitzpatrick Lookout and 18.8 mi (30.3 km) from Schotia Tooth and Claw Safari.</p><p>Rooms : Make yourself at home in one of the 8 individually decorated guestrooms, featuring refrigerators and minibars. Your Tempur-Pedic bed comes with premium bedding. 40-inch Smart televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : All-inclusive rates are available at this lodge. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Satisfy your appetite for lunch, dinner, or brunch at Silver Thorns, a restaurant which specializes in French cuisine, or stay in and take advantage of the room service. Quench your thirst with your favorite drink at the bar/lounge. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 8:30 AM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",27-42-2338028,Television in common areas Arcade/game room Gift shops or newsstand Dry cleaning/laundry service Game viewing on site Babysitting or childcare (free) Game drive on site Outdoor furniture Pool umbrellas Swimming pool Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 In-room accessibility (in select rooms) Airport transportation (surcharge) Barbecue grill(s) Ecotours nearby Laundry facilities Safari on site Tasting room Infant/toddler toys Fully fenced Spa treatment room(s) Horse riding/rental on site Garden Full-service spa Wedding services Wheelchair accessible  no Luggage storage Business center 24-hour front desk Library Playground on site Spa services on site Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Free self parking Free pool cabanas Computer station Terrace Mountain biking on site Pool sun loungers Concierge services,-33.426993|25.718648,+27 42 2338000,6105,http://www.riverbendlodge.co.za/
ZA,South Africa,100658,Addo Elephant National Park,1027346,Cosmos Cuisine,FourStar,R336 6115 Eastern Cape ,,"Nomic 148cc Beyond Cui Bono? features a restaurant, outdoor swimming pool, a bar and garden in Addo. Featuring family rooms, this property also provides guests with a terrace. All rooms are equipped with a patio.

All units are equipped with air conditioning, a flat-screen TV with satellite channels, a kettle, a shower, a hairdryer and a wardrobe. Featuring a private bathroom with a bath and free toiletries, rooms at the guest house also provide guests with a garden view. At Nomic 148cc Beyond Cui Bono?, every room is equipped with a seating area.

A continental breakfast is available daily at the accommodation.

Dutch Reformed Church Sunlands is 1.6 km from Nomic 148cc Beyond Cui Bono?, while Beacon Kenmure (161) is 14 km away. The nearest airport is Port Elizabeth International Airport, 67 km from the guest house. Please inform Beyond Cui Bono Guesthouse in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",27422340796,wifi Garden Canoeing Massage internet services Air conditioning Packed lunches CCTV in common areas Bridal suite Daily housekeeping outdoor pool (all year) designated smoking area Hiking Restaurant pool/beach towels Terrace invoice provided Outdoor pool Horse riding game drives Laundry Plunge pool Bar Free WiFi concierge service Swimming pool Family rooms Kid meals Fire extinguishers Special diet menus (on request) Free parking Non-smoking rooms Safety Deposit Box Parking Ironing service,-33.5032|25.62815,+27422340323,6115,https://www.booking.com/hotel/za/cosmos-cuisine-addo.html
ZA,South Africa,100658,Addo Elephant National Park,1053082,Addo Dung Beetle Guest Farm,FourStar,Off The R335 Addo Elephant National Park Kirkwood6120 Sundays River ValleyEastern Cape ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 7.3 km / 4.5 mi <br /> Sir Percy Fitzpatrick Lookout - 16.3 km / 10.1 mi <br /> Kirkwood Golf Course - 25.1 km / 15.6 mi <br /> Schotia Tooth and Claw Safari - 32.6 km / 20.3 mi <br /> Shamwari Game Reserve - 40.1 km / 24.9 mi <br /> Olifantskop Pass Lookout - 50.3 km / 31.3 mi <br /> </p><p>The preferred airport for Addo Dung Beetle Guest Farm is Port Elizabeth (PLZ) - 75.6 km / 47 mi </p>,"<p>HeadLine : In the mountains</p><p>Location : When you stay at Addo Dung Beetle Guest Farm in Addo, you ll be in the mountains, you ll be a 13-minute drive from Addo Elephant National Park.  This 4-star country house is 10.1 mi (16.3 km) from Sir Percy Fitzpatrick Lookout and 15.6 mi (25.1 km) from Kirkwood Golf Course.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms featuring refrigerators. Your room comes with a Select Comfort bed. Conveniences include coffee/tea makers and blackout drapes/curtains.</p><p>Dining : At Addo Dung Beetle Guest Farm, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 8:00 AM to 9:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7:30 AM - 6:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",27-86-5574375,Mountain biking nearby secured parking Uncovered parking Game viewing nearby Game drive nearby WiFi (surcharge) Number of bars/lounges - 1 Number of spa tubs - 1 Number of outdoor pools - 2 Hiking/biking trails on site Well-lit path to entrance Upper floors accessible by stairs only Garden Tours/ticket assistance Airport transportation (surcharge) Wheelchair accessible  no Front desk (limited hours) Breakfast available (surcharge) Barbecue grill(s) Golfing nearby Smoke-free property Laundry facilities Free self parking Safari on site Terrace Pool sun loungers,-33.441604|25.680819,27-83-3994129,6105,http://www.addodungbeetle.co.za/
ZA,South Africa,100658,Addo Elephant National Park,1053100,Addo African Home,TwoStar,Caesar Avenue Addo 6105 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 11.7 km / 7.3 mi <br /> Sir Percy Fitzpatrick Lookout - 14.4 km / 8.9 mi <br /> Schotia Tooth and Claw Safari - 26 km / 16.1 mi <br /> Matyholweni Gate - 27.6 km / 17.2 mi <br /> Kirkwood Golf Course - 32.1 km / 20 mi <br /> Coega Conference Centre - 40.1 km / 24.9 mi <br /> Aldo Scribante Race Circuit - 41.2 km / 25.6 mi <br /> Cape Floral Region Protected Areas - 41.5 km / 25.8 mi <br /> Shamwari Game Reserve - 44.4 km / 27.6 mi <br /> Amakhala Game Reserve - 45.7 km / 28.4 mi <br /> Uitenhage Golf Club - 51 km / 31.7 mi <br /> Saint Joseph s Roman Catholic Church - 51.5 km / 32 mi <br /> </p>,"<p>HeadLine : In Addo</p><p>Location : With a stay at Addo African Home in Addo, you ll be 7.3 mi (11.7 km) from Addo Elephant National Park and 27.6 mi (44.4 km) from Shamwari Game Reserve.  This guesthouse is 28.4 mi (45.7 km) from Amakhala Game Reserve.</p><p>Rooms : Make yourself at home in one of the 15 guestrooms featuring refrigerators. Complimentary wireless Internet access is available to keep you connected. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include safes and electric kettles, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the guesthouse s room service (during limited hours). Continental breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards and cash</li><li>Safety features at this property include a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:30 AM - 8:00 PM. Guests will receive an email 10 days before arrival with check-in instructions. Front desk staff will greet guests on arrival.</p>",,Gift shops or newsstand Dry cleaning/laundry service secured parking Game viewing on site Pool sun loungers Game drive nearby Concierge services Ziplining nearby Shared microwave Television in common areas Free WiFi Shared refrigerator Designated smoking areas Number of outdoor pools - 1 Garden Bicycle rentals nearby Stair-free path to entrance Tours/ticket assistance Fireplace in lobby Art gallery on site Private picnics Couples/private dining Designer stores on site Wheelchair accessible  no Horse riding nearby Multilingual staff Front desk (limited hours) Breakfast available (surcharge) Library Barbecue grill(s) Spa services on site Safe-deposit box at front desk Ecotours nearby Coffee/tea in common areas Designated smoking areas (fines apply) Snack bar/deli Hiking/biking trails nearby Free self parking Safari nearby Terrace ATM/banking,-33.535081|25.696785,+27 42 2331244,6105,http://theaardvarkguesthouse.co.za
ZA,South Africa,100658,Addo Elephant National Park,1053103,Addo Afrique Estate,FiveStar,Farm Addo Afrique R342 Road Between Addo And Paterson Addo Elephant Park Addo 6105 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 14.5 km / 9 mi <br /> Shamwari Game Reserve - 18.3 km / 11.3 mi <br /> Olifantskop Pass Lookout - 28.5 km / 17.7 mi <br /> Bucks Kloof Hiking Trail - 30.8 km / 19.1 mi <br /> Bushman Sands Golf Club - 35.4 km / 22 mi <br /> Sir Percy Fitzpatrick Lookout - 36 km / 22.4 mi <br /> Schotia Tooth and Claw Safari - 38.3 km / 23.8 mi <br /> Sundays River Dunes - 43.8 km / 27.2 mi <br /> Matyholweni Gate - 46.8 km / 29.1 mi <br /> Amakhala Game Reserve - 48 km / 29.8 mi <br /> </p><p>The preferred airport for Addo Afrique Estate is Port Elizabeth (PLZ) - 86 km / 53.4 mi </p>,"<p>HeadLine : In Addo</p><p>Location : With a stay at Addo Afrique Estate in Addo, you ll be 9 mi (14.5 km) from Addo Elephant National Park and 11.3 mi (18.3 km) from Shamwari Game Reserve.  This 5-star lodge is 17.7 mi (28.5 km) from Olifantskop Pass Lookout and 19.1 mi (30.8 km) from Bucks Kloof Hiking Trail.</p><p>Rooms : Make yourself at home in one of the 7 guestrooms featuring refrigerators and minibars. Rooms have private balconies. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Quench your thirst with your favorite drink at the poolside bar. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",27-31-5638988,Dry cleaning/laundry service 24-hour front desk Breakfast available (surcharge) Designated smoking areas Number of poolside bars - 1 Barbecue grill(s) Outdoor seasonal pool Garden Babysitting or childcare Hiking/biking trails nearby Laundry facilities Tours/ticket assistance Free self parking Terrace Rooftop terrace,-33.419725|25.882453,27-71-6024672,6105,http://www.addoafrique.com/
ZA,South Africa,100658,Addo Elephant National Park,1053105,Hopefield Country House,FourStar,Hopefield Farm Off R 336 Sundays River Valley Sunland 6115 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sir Percy Fitzpatrick Lookout - 7.9 km / 4.9 mi <br /> Addo Elephant National Park - 8.3 km / 5.2 mi <br /> Schotia Tooth and Claw Safari - 23.6 km / 14.6 mi <br /> Kirkwood Golf Course - 25.6 km / 15.9 mi <br /> Matyholweni Gate - 33.2 km / 20.6 mi <br /> Cape Floral Region Protected Areas - 37.9 km / 23.6 mi <br /> Shamwari Game Reserve - 45.1 km / 28 mi <br /> Aldo Scribante Race Circuit - 46.7 km / 29 mi <br /> </p><p>The preferred airport for Hopefield Country House is Port Elizabeth (PLZ) - 66.5 km / 41.3 mi </p>,"<p>HeadLine : In a rural location</p><p>Location : Located in Addo, Hopefield Country House is in a rural location, within a 15-minute drive of Addo Elephant National Park and Sir Percy Fitzpatrick Lookout.  This 4-star country house is 14.6 mi (23.6 km) from Schotia Tooth and Claw Safari.</p><p>Rooms : Make yourself at home in one of the 9 individually decorated guestrooms, featuring refrigerators and LED televisions. Your Select Comfort bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Partially open bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the country house s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary full breakfast is served daily from 8:00 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 7 PM. Front desk staff will greet guests on arrival. This property can only accept bookings for essential travel or stays. You may be asked to provide evidence of this on arrival. For more information, check local advisories before you book.</p>",27-86-566 0152,Safe-deposit box at front desk Library Daily Terrace Luggage storage Number of outdoor pools - 1 Number of bars/lounges - 1 Free full breakfast Concierge services Designated smoking areas Front desk (limited hours) Laundry facilities Free breakfast Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Airport transportation (surcharge) Garden Fireplace in lobby,-33.50758|25.6395,27422340333,6105,http://www.hopefield.co.za/
ZA,South Africa,100658,Addo Elephant National Park,1053107,De Old Drift Guest Farm,FourStar,Main Road Addo 6105 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Addo Elephant National Park - 17.6 km / 11 mi <br /> Sir Percy Fitzpatrick Lookout - 20.1 km / 12.5 mi <br /> Matyholweni Gate - 24.1 km / 15 mi <br /> Schotia Tooth and Claw Safari - 28.9 km / 18 mi <br /> Coega Conference Centre - 35.3 km / 21.9 mi <br /> Aldo Scribante Race Circuit - 36.3 km / 22.6 mi <br /> Cape Floral Region Protected Areas - 36.7 km / 22.8 mi <br /> Kirkwood Golf Course - 37.9 km / 23.5 mi <br /> Uitenhage Golf Club - 46.2 km / 28.7 mi <br /> Saint Joseph s Roman Catholic Church - 46.7 km / 29 mi <br /> Volkswagen Factory and Museum - 47.5 km / 29.5 mi <br /> Amakhala Game Reserve - 48.6 km / 30.2 mi <br /> Shamwari Game Reserve - 49.7 km / 30.9 mi <br /> Prince Alfred s Park - 50 km / 31 mi <br /> Nelson Mandela Bay Stadium - 51.5 km / 32 mi <br /> </p><p>The preferred airport for De Old Drift Guest Farm is Port Elizabeth (PLZ) - 56.1 km / 34.9 mi </p>,"<p>HeadLine : In Addo</p><p>Location : With a stay at De Old Drift Guest Farm in Addo, you ll be 11 mi (17.6 km) from Addo Elephant National Park and 12.5 mi (20.1 km) from Sir Percy Fitzpatrick Lookout.  This 4-star guesthouse is 18 mi (28.9 km) from Schotia Tooth and Claw Safari and 30.2 mi (48.6 km) from Amakhala Game Reserve.</p><p>Rooms : Make yourself at home in one of the 9 individually decorated guestrooms. Rooms have private patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The guesthouse also offers room service. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 8 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 5 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",27-86-5188022,Dry cleaning/laundry service Mountain biking nearby Wheelchair accessible  no Express check-out Pool umbrellas Front desk (limited hours) Breakfast available (surcharge) Free WiFi Playground on site Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Picnic area Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Free self parking Terrace,-33.57228|25.670081,27-42- 007 0334,6105,http://www.deolddrift.co.za/
ZA,South Africa,100658,Addo Elephant National Park,1053115,Kududu Guest House,FourStar,Sundays River Valley 6115 Eastern Cape ,,"Kududu Guest House offers scenic views of the Sundays River Valley and the Eastern Cape bush. It features an outdoor pool area with barbecue facilities.

The air-conditioned rooms and cottages are individually decorated. All accommodation has satellite TV, tea and coffee making facilities, and a private bathroom. Some have a living area with a kitchenette.

Guests can enjoy stunning views of the surrounding mountains from Kududus jacuzzi. The guest house also offers on-site nature trails, bird and game watching, and a tour desk.

Every morning, a buffet breakfast is served. Lunch and dinner are served on request. Guests can enjoy a refreshing drink from the bar.

The Addo Elephant National Park is just 18 km from Kududu Guest House. Port Elizabeth is 65 km away. Free private parking is available on site. Please inform Kududu Guest House in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Dear Visitor, this region is currently experiencing drought conditions. Please be aware that certain properties are subject to comply with local water usage restrictions.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",+27422340186,CCTV in common areas CCTV outside property Fire extinguishers Parking meeting/banquet facilities Swimming pool Garden use of cleaning chemicals that are effective against coronavirus Non-smoking rooms linens  towels and laundry washed in accordance with local authority guidelines Laundry guest accommodation is disinfected between stays Family rooms guest accommodation sealed after cleaning Ironing service food can be delivered to guest accommodation Free parking staff follow all safety protocols as directed by local authorities internet services Safety Deposit Box children's playground Hiking BBQ facilities Heating Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning designated smoking area Sun terrace outdoor pool (all year) parking on site Kid meals pool/beach towels Wine/champagne sun loungers or beach chairs Outdoor furniture Swimming pool shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized breakfast takeaway containers delivered food is securely covered,-33.53497|25.61512,+27422340177,6115,https://www.booking.com/hotel/za/kududu-guest-house.html
