countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
US,United States,100328,"Abbeville,   Louisiana",1094195,Sunbelt Lodge Motel,TwoStar,1903 Veterans Memorial Drive AbbevilleLouisiana 70510 ,,"Sunbelt Lodge Motel is a 2-star property situated in Abbeville. Featuring a shared lounge, the 2-star motel has air-conditioned rooms with free WiFi, each with a private bathroom. The motel has family rooms.

At the motel rooms have a desk and a flat-screen TV.

Guests at Sunbelt Lodge Motel can enjoy a continental breakfast.

The reception at the accommodation can provide tips on the area.

Lafayette is 35 km from Sunbelt Lodge Motel. The nearest airport is Lafayette Airport, 38 km from the motel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Swimming pool #1 is closed from Tue 01 Dec 2020 until Sat 01 May 2021",+13378981463,shared lounge/TV area meeting/banquet facilities wifi Swimming pool Smoke alarms Outdoor pool vending machine (drinks) On-site parking Business centre Fax/photocopying outdoor pool (seasonal) Daily housekeeping pool/beach towels Facilities for disabled guests Parking Shallow end Non-smoking rooms Fire extinguishers Fence around pool Free WiFi Air conditioning Family rooms Laundry Heating Pets allowed internet services 24-hour front desk,29.9806|-92.11452,+13378981453,LA 70510,https://www.booking.com/hotel/us/sunbelt-lodge-motel.html
US,United States,100328,"Abbeville,   Louisiana",1125999,Budget Inn & Suites,TwoStar,2115 Charity Street AbbevilleLouisiana 70510 ,,"Offering a free continental breakfast and an outdoor pool, Budget Inn & Suites is located in Abbeville. Free WiFi access is available. Each room here will provide you with a TV and air conditioning. Complete with a microwave, the dining area also has a refrigerator. Featuring a shower, private bathroom also comes with a bath and free toiletries. You can enjoy pool view from the room. Extras include a desk and bed linen.

At Budget Inn & Suites you will find a hot tub, a 24-hour front desk and barbecue facilities. Other facilities offered at the property include laundry facilities and a vending machine. The property offers free parking. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
A damage deposit of USD 10 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.",+1(0)3374224699,24-hour front desk Non-smoking rooms Laundry Free parking internet services Hot tub/jacuzzi BBQ facilities Heating Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning outdoor pool (seasonal) vending machine (drinks) Daily housekeeping parking on site Swimming pool Parking,29.97315|-92.11281,1-337-8989770,LA 70510,https://www.booking.com/hotel/us/budget-inn-amp-suites-abbeville.html
US,United States,100328,"Abbeville,   Louisiana",1179258,Best Western Abbeville Inn & Suites,TwoStar,3515 Veterans Memorial Dr Abbeville AbbevilleLouisiana 70510 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abbeville General Hospital - 2.8 km / 1.8 mi <br /> Rip s Rookery - 13.1 km / 8.1 mi <br /> Vivian Alexander Gallery and Museum - 22 km / 13.7 mi <br /> Youngsville Sports Complex - 23.9 km / 14.9 mi <br /> Bird City - 24.2 km / 15 mi <br /> Acadiana Promenade Shopping Center - 28.3 km / 17.6 mi <br /> Books Along The Teche - 28.9 km / 17.9 mi <br /> Acadiana Mall - 29.1 km / 18.1 mi <br /> Les Vieux Chenes Municipal Golf Course - 29.8 km / 18.5 mi <br /> Acadian Village - 30 km / 18.7 mi <br /> Spanish Lake - 30.1 km / 18.7 mi <br /> Kart Ranch Family Fun Center - 31 km / 19.3 mi <br /> Broadmoor Park - 31 km / 19.3 mi <br /> Southside Regional Park - 31.3 km / 19.4 mi <br /> Zoo of Acadiana - 31.5 km / 19.6 mi <br /> </p><p>The preferred airport for Best Western Abbeville Inn & Suites is Lafayette Regional Airport (LFT) - 39.7 km / 24.7 mi </p>,"<p>HeadLine : Near Abbeville General Hospital</p><p>Location : When you stay at Best Western Abbeville Inn & Suites in Abbeville, you ll be near the airport and within a 5-minute drive of Abbeville General Hospital.  This hotel is 22.2 mi (35.7 km) from Cajundome and 22.9 mi (36.8 km) from University of Louisiana at Lafayette.</p><p>Rooms : Make yourself at home in one of the 58 air-conditioned rooms featuring refrigerators and flat-screen televisions. Your room comes with a pillowtop bed. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms have hair dryers and toothbrushes and toothpaste.</p><p>Dining : A complimentary buffet breakfast is served on weekdays from 6:00 AM to 9:00 AM and on weekends from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-337-740-4101,Wheelchair accessible (may have limitations) Vending machine Luggage storage Free breakfast Multilingual staff Business center Number of meeting rooms - 1 24-hour front desk Free wired Internet Free WiFi Daily Number of outdoor pools - 1 Assistive listening devices available Safe-deposit box at front desk Smoke-free property In-room accessibility (in select rooms) Laundry facilities Accessible bathroom (in select rooms) elevator Free self parking Fitness facilities Computer station Free Buffet Breakfast,29.967878|-92.08536,1-337-740-4100,70510,http://bestwesternlouisiana.com/hotels/best-western-abbeville-inn-and-suites
US,United States,100328,"Abbeville,   Louisiana",1250024,Motel 6 Abbeville LA,TwoStar,3523 Veterans Memorial Drive AbbevilleLouisiana 70510 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abbeville General Hospital - 2.9 km / 1.8 mi <br /> Rip s Rookery - 13 km / 8.1 mi <br /> Vivian Alexander Gallery and Museum - 18 km / 11.2 mi <br /> Youngsville Sports Complex - 23.9 km / 14.8 mi <br /> Bird City - 24.1 km / 15 mi <br /> Acadiana Promenade Shopping Center - 28.4 km / 17.7 mi <br /> Books Along The Teche - 28.8 km / 17.9 mi <br /> Acadiana Mall - 29.1 km / 18.1 mi <br /> Les Vieux Chenes Municipal Golf Course - 29.7 km / 18.5 mi <br /> Spanish Lake - 30 km / 18.6 mi <br /> Acadian Village - 30.1 km / 18.7 mi <br /> Kart Ranch Family Fun Center - 30.9 km / 19.2 mi <br /> Broadmoor Park - 31.1 km / 19.3 mi <br /> Southside Regional Park - 31.2 km / 19.4 mi <br /> Zoo of Acadiana - 31.4 km / 19.5 mi <br /> </p><p>The preferred airport for Motel 6 Abbeville  LA is Lafayette Regional Airport (LFT) - 39.8 km / 24.7 mi </p>,"<p>HeadLine : Near Abbeville General Hospital</p><p>Location : Located in Abbeville, Motel 6 Abbeville, LA is in the historical district, within a 15-minute drive of Abbeville General Hospital and Rip s Rookery.  This motel is 22.3 mi (35.8 km) from Cajundome and 22.9 mi (36.9 km) from University of Louisiana at Lafayette.</p><p>Rooms : Make yourself at home in one of the 53 guestrooms featuring refrigerators and microwaves. 32-inch flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms have shower/tub combinations and hair dryers. Conveniences include desks and blackout drapes/curtains, as well as phones with free local calls.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Motel 6 Abbeville, LA.</p><p>Renovations : The following facilities or services will be unavailable from May 22 2023 to May 1 2024 (dates subject to change): <ul><li>Swimming pool</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-337-898-2399,Wheelchair accessible (may have limitations) Wheelchair accessible Free RV  bus  truck parking Express check-in Wheelchair-accessible van parking Wheelchair-accessible registration desk Pool hoist on site Television in common areas Free WiFi Wheelchair-accessible pool Wheelchair-accessible public washroom Designated smoking areas Braille or raised signage Assistive listening devices available Garden In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Accessible bathroom (in select rooms) Express check-out Business center 24-hour front desk Wheelchair-accessible meeting spaces/business center Golfing nearby Snack bar/deli Laundry facilities Free self parking Wheelchair accessible path of travel,29.968056|-92.08443,+1 337 898 3180,70510,https://www.motel6.com/content/g6/motel6/motel6-co
US,United States,100328,"Abbeville,   Louisiana",1366117,Days Inn by Wyndham Abbeville,TwoStar,730 Veterans Memorial Dr AbbevilleLouisiana 70510 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abbeville General Hospital - 2.8 km / 1.7 mi <br /> Vivian Alexander Gallery and Museum - 17.8 km / 11.1 mi <br /> Rip s Rookery - 18.3 km / 11.4 mi <br /> Youngsville Sports Complex - 23.4 km / 14.5 mi <br /> Acadiana Promenade Shopping Center - 24.2 km / 15 mi <br /> Acadiana Mall - 24.9 km / 15.5 mi <br /> Acadian Village - 25.9 km / 16.1 mi <br /> Broadmoor Park - 26.9 km / 16.7 mi <br /> Thomas Park - 27.5 km / 17.1 mi <br /> Fiesta Village Shopping Center - 27.6 km / 17.2 mi <br /> Grand Marche Shopping Center - 27.7 km / 17.2 mi <br /> Chargois Park - 27.7 km / 17.2 mi <br /> Southwest Medical Center Emr - 27.9 km / 17.3 mi <br /> Louisiana Extended Care Hospital - 27.9 km / 17.3 mi <br /> The Boulevard Shopping Center - 28.6 km / 17.8 mi <br /> </p><p>The preferred airport for Days Inn by Wyndham Abbeville is Lafayette Regional Airport (LFT) - 35.7 km / 22.2 mi </p>,"<p>HeadLine : Near Abbeville General Hospital</p><p>Location : A stay at Days Inn by Wyndham Abbeville places you in the heart of Abbeville, and within a 5-minute drive of Abbeville General Hospital.  This hotel is 19.1 mi (30.7 km) from University of Louisiana at Lafayette and 19.6 mi (31.6 km) from Cajundome.</p><p>Rooms : Make yourself at home in one of the 40 guestrooms featuring refrigerators and LED televisions. Rooms have private balconies. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Take advantage of the hotel s 24-hour room service. A complimentary on-the-go breakfast is served daily from 6 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",1-337-7404667,Express check-out Multilingual staff 24-hour front desk Daily Safe-deposit box at front desk Coffee/tea in common areas Laundry facilities Free self parking Wheelchair accessible path of travel Concierge services 24-hour business center Wheelchair accessible Free RV  bus  truck parking Express check-in Wired Internet access - surcharge Television in common areas Free WiFi Garden In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free breakfast to go Luggage storage Free breakfast,29.981226|-92.12469,1-337-7404666,70510,http://www.executiveinnexpress.com/
US,United States,100328,"Abbeville,   Louisiana",1621537,The Guest Room,ThreeStar,501 South State Street AbbevilleLouisiana 70510 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Abbeville General Hospital - 3.6 km / 2.2 mi <br /> Rip s Rookery - 18.6 km / 11.6 mi <br /> The Mall of Acadiana - 25.4 km / 15.8 mi <br /> Acadian Village - 25.9 km / 16.1 mi <br /> Southwest Medical Center Emr - 28.5 km / 17.7 mi <br /> Louisiana Extended Care Hospital - 28.5 km / 17.7 mi <br /> Our Lady of Lourdes Heart Hospital - 31 km / 19.2 mi <br /> Blackham Coliseum - 31.4 km / 19.5 mi <br /> Cajundome - 32.2 km / 20 mi <br /> Kart Ranch Family Fun Center - 32.2 km / 20 mi <br /> University of Louisiana at Lafayette - 33 km / 20.5 mi <br /> Alexandre Mouton House - 33.6 km / 20.9 mi <br /> Cathedral of St John - 33.6 km / 20.9 mi <br /> Zoo of Acadiana - 34.1 km / 21.2 mi <br /> Children s Museum of Acadiana - 34.1 km / 21.2 mi <br /> </p><p>The nearest airports are:<br />Newport News - Williamsburg Intl. Airport (PHF) - 1 912.9 km / 1 188.6 mi<br /> Lafayette Regional Airport (LFT) - 37.2 km / 23.1 mi<br /> </p><p>The preferred airport for The Guest Room is Newport News - Williamsburg Intl. Airport (PHF). </p>,"<p>HeadLine : Near Abbeville General Hospital</p><p>Location : When you stay at The Guest Room in Abbeville, you ll be within a 5-minute drive of Abbeville General Hospital.  This bed & breakfast is 20 mi (32.2 km) from Cajundome and 20.5 mi (33 km) from University of Louisiana at Lafayette.</p><p>Rooms : Make yourself at home in of the guestrooms featuring fireplaces and flat-screen televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Conveniences include desks and microwaves, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 6 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property for check-in instructions.</p>",,Laundry facilities Free breakfast Picnic area Meeting rooms Free self parking Dry cleaning/laundry service Free WiFi Free wired Internet Smoke-free property Garden,29.969401|-92.136742,+1 804 453 5209,70510,
US,United States,100328,"Abbeville,   Louisiana",1672336,Apartment A,ThreeStar,110 N St. Charles Street AbbevilleLouisiana 70510 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>The Mall of Acadiana - 25.1 km / 15.6 mi <br /> Acadian Village - 25.2 km / 15.7 mi <br /> Blackham Coliseum - 31.1 km / 19.3 mi <br /> Cajundome - 31.9 km / 19.8 mi <br /> Kart Ranch Family Fun Center - 32.4 km / 20.1 mi <br /> University of Louisiana at Lafayette - 32.7 km / 20.3 mi <br /> Alexandre Mouton House - 33.3 km / 20.7 mi <br /> Cathedral of St John - 33.6 km / 20.9 mi <br /> Children's Museum of Acadiana - 33.8 km / 21 mi <br /> Zoo of Acadiana - 34.4 km / 21.4 mi <br /> Arceneaux Park - 35.9 km / 22.3 mi <br /> Vermilionville - 38.2 km / 23.8 mi <br /> Vermilionville Historic Village - 38.5 km / 23.9 mi <br /> Moore Park - 38.6 km / 24 mi <br /> Parish Brewing Company - 38.9 km / 24.2 mi <br /> </p><p>The preferred airport for Apartment A is Lafayette  LA (LFT-Lafayette Regional) - 36.5 km / 22.7 mi </p>,"<p><b>Property Location</b> <br />With a stay at Apartment A, you'll be centrally located in Abbeville, 15.6 mi (25.1 km) from The Mall of Acadiana and 15.7 mi (25.2 km) from Acadian Village.  This bed & breakfast is 19.3 mi (31.1 km) from Blackham Coliseum and 19.8 mi (31.9 km) from Cajundome.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 2 air-conditioned rooms featuring kitchens with full-sized refrigerators/freezers and microwaves. Cable programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include separate sitting areas and coffee/tea makers.</p><p><b>Amenities</b> <br />Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.</p><p><b>Dining</b> <br />A complimentary continental breakfast is served daily.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",,Barbecue grill(s) Designated smoking areas Free WiFi Free breakfast Free self parking Garden Pets allowed Terrace Total number of rooms - 2 Year Built - 1940,29.97424|-92.13422,13378931619,70510,http://www.abbevilleapt-a.com
US,United States,100328,"Abbeville,   Louisiana",1784913,Ducote Williams House,ThreeStar,401 North Saint Charles Avenue AbbevilleLouisiana 70510 ,,"Set in Abbeville, 30 km from Lafayette, Ducote-Williams House features air-conditioned rooms with free WiFi. Free private parking is available on site.

Each room has a TV with cable channels.

The property offers a wraparound patio, pond and gazebo. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Ducote-Williams House in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",+13378982660,Parking Pets allowed Garden Non-smoking rooms Family rooms Free parking internet services Heating Fax/photocopying wifi Free WiFi Air conditioning designated smoking area Private check-in/check-out Special diet menus (on request) shared lounge/TV area parking on site Private parking Kid meals Smoke alarms CCTV in common areas Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,29.97754|-92.1337,+13378980048,LA 70510,https://www.booking.com/hotel/us/ducote-williams-house.html
US,United States,100329,"Abbotsford,   Wisconsin",1169743,Home Motel,TwoStar,412 N 4Th St AbbotsfordWisconsin 54405 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Red Arrow Park - 1.3 km / 0.8 mi <br /> Shortner Park - 3 km / 1.9 mi <br /> Dorchester Park - 7.3 km / 4.5 mi <br /> Black River Golf Club - 20.7 km / 12.9 mi <br /> Tee Hi Golf Club - 20.7 km / 12.9 mi <br /> Grahl Park - 22.8 km / 14.2 mi <br /> Aspirus Medford Hospital - 23.7 km / 14.7 mi <br /> Medford City Park - 24.2 km / 15.1 mi <br /> Posy Patch Greenhouse & Gift Shop - 33.4 km / 20.8 mi <br /> Marshfield Medical Center - 35.2 km / 21.9 mi <br /> JuRustic Park - 35.6 km / 22.1 mi <br /> Braem Park - 37.2 km / 23.1 mi <br /> Wildwood Park and Zoo - 37.7 km / 23.4 mi <br /> World s Largest Round Barn - 38.3 km / 23.8 mi <br /> Thorp Public Library - 40.1 km / 24.9 mi <br /> </p><p>The preferred airport for Home Motel is Vancouver Intl. Airport (YVR) - 3 119.3 km / 1 938.2 mi </p>,"<p>HeadLine : Near Shortner Park</p><p>Location : A stay at Home Motel places you in the heart of Abbotsford, within a 5-minute drive of Red Arrow Park and Shortner Park.  This motel is 4.5 mi (7.3 km) from Dorchester Park and 12.9 mi (20.7 km) from Black River Golf Club.</p><p>Rooms : Make yourself at home in one of the 2 air-conditioned rooms featuring refrigerators and microwaves. LED televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers, as well as phones with free local calls.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-715-316-0224,24-hour front desk Wheelchair accessible path of travel Coffee/tea in common areas Free RV  bus  truck parking Free self parking Free WiFi Wheelchair accessible parking In-room accessibility,44.95111|-90.3166,1-715-223-6343,54405,http://www.homemotelabbotsfordwi.com/
US,United States,100329,"Abbotsford,   Wisconsin",1340647,Rodeway Inn Abbotsford,TwoStar,300 E Elderberry Rd AbbotsfordWisconsin 54405 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Red Arrow Park - 3.2 km / 2 mi <br /> Shortner Park - 4.5 km / 2.8 mi <br /> Dorchester Park - 10 km / 6.2 mi <br /> Outdoor Approach LLC - 12.4 km / 7.7 mi <br /> Black River Golf Club - 23.4 km / 14.6 mi <br /> Tee Hi Golf Club - 23.4 km / 14.6 mi <br /> Grahl Park - 25.3 km / 15.7 mi <br /> Medford City Park - 25.5 km / 15.8 mi <br /> Aspirus Medford Hospital - 26.4 km / 16.4 mi <br /> JuRustic Park - 33 km / 20.5 mi <br /> Marshfield Medical Center - 33.9 km / 21 mi <br /> Munson Bridge Winery - 34 km / 21.2 mi <br /> Posy Patch Greenhouse & Gift Shop - 34.8 km / 21.6 mi <br /> Braem Park - 35.1 km / 21.8 mi <br /> Wildwood Park and Zoo - 35.8 km / 22.2 mi <br /> </p><p>The preferred airport for Rodeway Inn Abbotsford is Mosinee  WI (CWA-Central Wisconsin) - 73.6 km / 45.7 mi </p>,"<p>HeadLine : Near Red Arrow Park</p><p>Location : Located in Colby, Rodeway Inn Abbotsford is a 3-minute drive from Red Arrow Park and 6 minutes from Shortner Park.  This hotel is 6.2 mi (10 km) from Dorchester Park and 7.7 mi (12.4 km) from Outdoor Approach LLC.</p><p>Rooms : Make yourself at home in one of the 60 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones, as well as desks and coffee/tea makers.</p><p>Dining : Take advantage of the hotel s 24-hour room service. A complimentary continental breakfast is served on weekdays from 6:00 AM to 9:00 AM and on weekends from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-715-223-0508,Wheelchair accessible (may have limitations) RV  bus  truck parking (surcharge) Meeting rooms Swimming pool Free wired Internet Free WiFi Number of spa tubs - 1 Number of indoor pools - 1 In-room accessibility (in select rooms) Internet access in public areas - high speed Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Fireplace in lobby 24-hour fitness facilities Free continental breakfast Free breakfast 24-hour front desk Daily Safe-deposit box at front desk Smoke-free property Coffee/tea in common areas Laundry facilities elevator Free self parking Computer station,44.92942|-90.31196,1-715-223-3337,54405,http://www.rodewayinn.com/hotel-abbotsford-wisconsin-WI078
