countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
HU,Hungary,102134,Abaliget,1805648,Cseppko Panzió,All,Kossuth 107/a 7678 Abaliget ,,"Set in Abaliget, 16 km from UNESCO World Heritage - Cella Septichora Visitor Centre and 16 km from Pécs Cathedral, Cseppko Panzió offers accommodation with free WiFi and access to a garden with a terrace.

A continental breakfast is available every morning at the bed and breakfast.

A bicycle rental service is available at Cseppko Panzió, while hiking can be enjoyed nearby.

Downtown Candlemas Church of the Blessed Virgin Mary is 16 km from the accommodation, while Zsolnay Cultural Quarter is 18 km from the property. The nearest airport is Osijek Airport, 117 km from Cseppko Panzió.",,temporary art galleries Walking tours Bike tours Key access CCTV outside property Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Parking Sauna Garden Terrace Non-smoking rooms Fishing Free parking internet services Safety Deposit Box Massage Hiking Chapel/shrine BBQ facilities Heating wifi Allergy-free room Free WiFi Non-smoking throughout designated smoking area Private check-in/check-out grocery deliveries parking on site Private parking secured parking coffee house on site Outdoor furniture Picnic area Back massage Neck massage Head massage Full body massage,46.13958|18.11803,,7678,https://www.booking.com/hotel/hu/cseppko-panzio.html
HU,Hungary,102134,Abaliget,5633397,Credo Apartmanhaz,All,Topart Hrsz. 239.  ,,"Credo Apartmanház is set in Abaliget and offers a bar, a garden and water sports facilities. The air-conditioned accommodation is 35 km from Kaposvár, and guests benefit from complimentary WiFi and private parking available on site.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a fully equipped kitchen, and a terrace with lake views.

Guests at the apartment can enjoy a continental breakfast.

A bicycle rental service is available at Credo Apartmanház, while hiking and cycling can be enjoyed nearby.

Pécs is 11 km from the accommodation, while Orfu is 3.1 km from the property. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform Credo Apartmanház in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",,Parking Bar Tennis Court Garden Non-smoking rooms Fishing Free parking internet services Bicycle rental (additional charge) Canoeing Hiking BBQ facilities Cycling Horse riding wifi Mini golf Free WiFi Non-smoking throughout water sport facilities on site Beachfront Water park parking on site Private parking use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,46.13777|18.11487,,7678,https://www.booking.com/hotel/hu/credo-apartmanhaz.html
HU,Hungary,102134,Abaliget,5765503,Beppe VendÉghÁz,All,Kültelek 5  ,,"Offering a garden, Beppe Vendeghaz offers pet-friendly accommodation in Abaliget. Pécs is 13 km from the property. Free WiFi is offered throughout the property and free private parking is available on site.

An oven and microwave are also provided, as well as a coffee machine and a kettle. Bed linen is available.

Beppe Vendeghaz also includes a barbecue. The property also offers special diet menus.

The property has water sports facilities and bike hire is available. You can play table tennis, darts and mini-golf at the property, and the area is popular for horse riding. Guests can enjoy various activities in the surroundings, including cycling, fishing and hiking. Kaposvár is 34 km from Beppe Vendeghaz, while Harkány is 35 km away. Managed by a private host",,Parking Pets allowed Garden Terrace Non-smoking rooms Fishing Facilities for disabled guests Free parking internet services Hiking BBQ facilities Heating Horse riding wifi Free WiFi Non-smoking throughout designated smoking area Shared kitchen shared lounge/TV area Water park Daily housekeeping grocery deliveries parking on site Private parking invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Emergency cord in bathroom Outdoor furniture Picnic area Outdoor fireplace Key access use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas wifi available in all areas Baby safety gates Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink,46.15146|18.10572,,7678,https://www.booking.com/hotel/hu/beppe-panzio.html
HU,Hungary,101608,Abda,1403077,Hotel Bavaria,ThreeStar,Becsi ut 186. 9151 Abda ,,"Located in Abda, right next to the highway, Hotel Bavaria features a restaurant, free WiFi on the ground floor, a wired internet on the first floor and air-conditioned rooms with satellite TV. Free private parking is possible on site.

Each room also offers a desk and a bathroom with shower and hairdryer.

Breakfast is served every morning and guests can enjoy international cuisine at the restaurant of Hotel Bavaria.

The closest train station is 2 km away and the thermal bath in Gyor is 9 km away.",,Parking Restaurant Pets allowed Non-smoking rooms Free parking internet services Safety Deposit Box Heating Fax/photocopying Non-smoking throughout Air conditioning designated smoking area parking on site Private parking CCTV in common areas Fire extinguishers,47.70433|17.52984,+3696553023,9151,https://www.booking.com/hotel/hu/bavaria.html
HU,Hungary,101608,Abda,1622641,Viktoria Vendégház,All,Vasút utca 23. 9151 Abda ,,"Offering an outdoor pool, Viktoria Vendégház is located in Abda, 300 metres from the train station. Free WiFi access is available.

All rooms and studios will provide you with satellite TV and a refrigerator. The studio also provides a small kitchenette for self-catering. Featuring a shower, private bathrooms also come with towels.

At Viktoria Vendégház you will find a spacious garden with a playground and barbecue facilities, as well as a shared kitchen. Free private parking is possible on site.

The closest grocery shop is 500 meters away, while a restaurant can be found a 10-minute walk from the premises. The town of Gyor can be reached within 10 minutes by car.

All guests get 10% discount from the entry fee to the Thermal Bath of Gyor. Please inform Viktoria Vendégház in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Free self parking Pets allowed Garden Non-smoking rooms Fishing Laundry facilities Family rooms Ironing service Internet access Children s playground Table tennis BBQ facilities Cycling Heating Free WiFi Golf course on site Free WiFi Designated smoking areas Terrace Outdoor seasonal pool Shared kitchen Parking onsite Private parking,47.69271|17.53904,(20) 979 2562,9151,https://www.booking.com/hotel/hu/viktoria-venda-c-gha-z.html
HU,Hungary,100649,Abrahamhegy,5633200,Sziget Abrahamhegy,All,Sziget U. 23.  ,,"Situated in Ábrahámhegy, 1.7 km from Folly Arboretum, Sziget boasts a hot tub and a sauna. Free private parking is available on site.

Rooms come with a TV. Sziget features free WiFi throughout the property.

You can play billiards at the guest house. The nearest airport is HévízBalaton Airport, 34 km from the property. Please inform Sziget in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property can only accept bookings from essential workers/permitted travellers, during dates where such guidelines exist. Reasonable evidence must be provided on arrival. If it isnt provided, your booking will be cancelled on arrival.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",,Parking Bar Garden Terrace Non-smoking rooms Family rooms Games room Free parking internet services Billiards Heating wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Private check-in/check-out parking on site Private parking wifi available in all areas Accessible parking Outdoor furniture Picnic area Outdoor fireplace Beach Bike tours Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas contactless check-in/check-out invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,46.81018|17.56787,,8256,https://www.booking.com/hotel/hu/sziget-vendeghaz-abrahamhegy.html
HU,Hungary,100352,Agard,1077420,Kis SzÁrcsa VendÉghÁz,ThreeStar,Kazinczy utca 19 Agard 2484 ,,"800 metres from Agárd Thermal Bath, Kis Szárcsa Vendégház is set in the popular village of Agárd. Featuring air-conditioned accommodation, it offers a hot tub, sauna and a fitness bike. Free Wi-Fi and free parking are also provided.

All accommodation units come with hardwood floors, cable TV and a DVD player. Each unit comprises a private bathroom with a shower or a bathtub.

A garden with a playground, terrace and barbecue facilities is at guests disposal. A common living room with an electric kettle, microvawe oven, toaster and a TV can also be used.

A restaurant serving local specialities and international dishes is 500 metres away. Lake Velence, with water sports facilities and bike trails around it, is 1.2 km away.

Agárd Train Station is within a 1-km reach. The ancient town of Székesfehérvár is 15 km from Vendégház Kis Szárcsa.",,Free self parking Pets allowed Sauna Free newspapers in lobby Garden Terrace Non-smoking rooms Laundry facilities Family rooms Breakfast service Ironing service Internet access Massage Children s playground Hot tub/jacuzzi BBQ facilities Cycling Heating Free WiFi Free WiFi Non-smoking throughout Air conditioning Parking onsite Private parking,47.18847|18.61284,+36209451797,2484,https://www.booking.com/hotel/hu/kis-sza-rcsa-panzia3.html
HU,Hungary,100352,Agard,1158617,Viking Hotel,ThreeStar,Gallér utca 2 2484 Agárd ,,"Surrounded by a garden with an outdoor pool and a childrens playground, the Viking Hotel is 1 km from Lake Velence and 3 km from the Agárd Thermal Spa.  The restaurant serves classic Hungarian cuisine.

The spacious rooms and apartments feature a balcony or terrace, cable TV, a kitchen, and a bathroom with a hairdryer.

Guests of Hotel Viking benefit from a 24-hour reception and free WiFi access in public areas. Table tennis is also available.

Free private parking is available on site. Agárd Train Station is 2 km away. This property will not accommodate hen, stag or similar parties.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Viking Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Swimming pool #1 is closed from Fri 01 Sept 2023 until Sat 01 Jun 2024
Swimming pool #2 is closed from Fri 01 Sept 2023 until Sat 01 Jun 2024
Please note that it is mandatory to use a swimming cap in the pool.",+36(0)22370550,guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available Parking Restaurant Pets allowed 24-hour front desk Garden Terrace Non-smoking rooms Family rooms Free parking internet services children's playground Table tennis BBQ facilities Heating wifi Outdoor pool Free WiFi Non-smoking throughout designated smoking area outdoor pool (seasonal) Special diet menus (on request) Daily housekeeping parking on site Private parking Open-air bath kids' outdoor play equipment Kid meals Kid-friendly buffet Wine/champagne Badminton equipment Outdoor furniture Picnic area Outdoor fireplace kids' pool Swimming pool Key access Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available,47.18577|18.59237,+36622370287,2484,https://www.booking.com/hotel/hu/viking.html
HU,Hungary,100352,Agard,1734178,Vvsi Sport Hotel,All,Topart Utca 17 2484 Gardony ,,"Set in the Agárd district in Gárdony, 2.3 km from Agard Thermal Spa, VVSI Sport Hotel boasts a restaurant and free WiFi throughout the property. The hotel has a childrens playground and terrace, and guests can enjoy a meal at the restaurant. Free private parking is available on site.

The rooms are fitted with a private bathroom equipped with a shower.

There is luggage storage space at the property. Common areas of the property are air-conditioned.

This hotel has a private beach area and bike hire is available. An array of activities are offered in the area, such as cycling and canoeing. Budapest Liszt Ferenc Airport is 57 km away. Please inform VVSI Sport Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Lower bathroom sink Visual aids: Braille Visual aids: Tactile signs Badminton equipment coffee house on site Beach 24-hour security Key card access Smoke alarms Fire extinguishers Parking Restaurant meeting/banquet facilities Bar Wheelchair accessible Toilet with grab rails Higher level toilet Garden Terrace Non-smoking rooms Facilities for disabled guests Family rooms Free parking internet services lift Safety Deposit Box children's playground Table tennis Bicycle rental (additional charge) Canoeing Cycling Heating Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area Private beach area Special diet menus (on request) water sport facilities on site shared lounge/TV area Beachfront parking on site Private parking wifi available in all areas board games/puzzles Indoor play area kids' outdoor play equipment Kid-friendly buffet secured parking Street parking Accessible parking,47.1944|18.59485,,2484,https://www.booking.com/hotel/hu/vvsi-sport.html
HU,Hungary,100352,Agard,5708717,Atrium AgÁrd TrÉning És ÜdÜlohÁz,All,Chernel István Utca 53.  ,,"Situated in the village of Gárdony and the Velence Lake with a public beach reachable within 150 metres, Atrium Agárd Tréning és Üdüloház offers en-suite accommodation, a restaurant, a bar, a sauna, a terrace, a garden and a sun terrace. Free WiFi is available in all areas and free private parking is possible on site.

All units in Atrium Agárd Tréning és Üdüloház come with a terrace, a flat-screen TV with cable channels and a private bathroom with a shower. The rooftop available for all guests offers lake views and sunbeds.

Meals can be enjoyed in the on-site restaurant and the nearest grocery store can be found within 800 metres.

Other facilities available for free include a table tennis, darts, and billiards. Bike rental is also available.

A port is set 500 metres away and a train station is located within 1.4 km. The M7 Highway is reachable within 7 km from the property. Please inform Atrium Agárd Tréning és Üdüloház in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,meeting/banquet facilities Bar Sauna Garden Terrace Non-smoking rooms Family rooms Games room internet services Billiards Table tennis Darts Cycling Fax/photocopying wifi Free WiFi Non-smoking throughout designated smoking area Sun terrace shared lounge/TV area Beachfront Badminton equipment coffee house on site Steam room Spa lounge/relaxation area Beach Smoke alarms CCTV in common areas Fire extinguishers invoice provided,47.19156|18.58882,(70) 930 7865,2484,https://www.booking.com/hotel/hu/atriumaga-rd-tra-c-ning-a-c-s-ada1-4laha-z.html
