countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BO,Bolivia,150427,Camiri,1718557,Hotel La Casona,ThreeStar,Av. Carlos Daher Harb S N Pasillo La Williams Pasillo la Williams Pasillo La WilliamsCamiri ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cuartel-Museo - 2.3 km / 1.4 mi <br /> YPFB Plant - 2.3 km / 1.4 mi <br /> La Cruz Lookout - 2.7 km / 1.7 mi <br /> San Francisco Cathedral - 3.8 km / 2.4 mi <br /> 12 de Julio Square - 3.8 km / 2.4 mi <br /> </p><p>The preferred airport for Hotel Boutique La Casona is Santa Cruz (VVI-Viru Viru Intl.) - 305.5 km / 189.8 mi </p>,"<p>HeadLine : Near Cuartel-Museo</p><p>Location : Located in Camiri, Hotel Boutique La Casona is within a 5-minute drive of La Cruz Lookout and Cuartel-Museo.  This hotel is 1.4 mi (2.3 km) from YPFB Plant and 2.4 mi (3.8 km) from 12 de Julio Square.</p><p>Rooms : Make yourself at home in one of the 8 individually furnished guestrooms. Your bed comes with down comforters and Egyptian cotton sheets. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Take advantage of the hotel s room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. A complimentary buffet breakfast is served daily from 7:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,Luggage storage Free breakfast Free reception Meeting rooms 24-hour front desk Shared microwave 24-hour pool access Free WiFi Designated smoking areas Daily Barbecue grill(s) Number of outdoor pools - 1 Garden Picnic area Coffee/tea in common areas Laundry facilities Wedding services elevator Free self parking Fitness facilities Terrace Free Buffet Breakfast Concierge services,-20.018437|-63.530724,591-7-5014202,,
BO,Bolivia,150572,Cobija,1565307,Dorado Hotel,ThreeStar,Final Avenida Internacional 583 Cobija ,,"Featuring free WiFi and an outdoor pool, Dorado Hotel offers accommodation in Cobija. Guests can enjoy the on-site snack bar.

A complimentary breakfast is served daily.

Each room at this hotel is air conditioned and comes with a TV with cable channels. The rooms are fitted with a private bathroom equipped with a shower.

Free private parking is available on site.

There is a 24-hour front desk at the property.

The Brazilian border crossing is 1 block away from this property. Capitán Aníbal Arab Airport is a 7-minute drive from Dorado Hotel. Swimming pool #1 is closed from Mon 16 Dec 2019 until Sun 05 Jan 2020",,Swimming pool Parking use of cleaning chemicals that are effective against coronavirus Room service linens  towels and laundry washed in accordance with local authority guidelines meeting/banquet facilities guest accommodation is disinfected between stays Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business centre guest accommodation sealed after cleaning Laundry invoice provided Free parking property is cleaned by professional cleaning companies internet services Currency exchange Billiards Darts Soundproof rooms Tour desk Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning outdoor pool (all year) concierge service shuttle service (additional charge) Special diet menus (on request) vending machine (drinks) airport shuttle (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas Open-air bath secured parking Parking garage Plunge pool Wine/champagne Fruits airport pick up airport drop off coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Swimming pool Shuttle service Key access CCTV in common areas CCTV outside property,-11.02684|-68.75328,,,https://www.booking.com/hotel/bo/dorado.html
BO,Bolivia,150572,Cobija,1719739,Estrella Del Norte,All,Calle Miguel Farah 48 Barrio Conavi CobijaCobijaPando ,,"Estrella del Norte Hotel - Cobija features a restaurant, outdoor swimming pool, a bar and garden in Cobija. All rooms feature a flat-screen TV with cable channels and a private bathroom. The accommodation provides a 24-hour front desk, airport transfers, a shared kitchen and free WiFi throughout the property.

Guest rooms at the hotel include air conditioning and a wardrobe.

Estrella del Norte Hotel - Cobija offers a continental or American breakfast.

The accommodation offers a sun terrace.",,Shuttle service wifi Parking Swimming pool Fruits Room service Safety Deposit Box Bridal suite CCTV outside property Family rooms Restaurant On-site parking Fire extinguishers Laundry airport shuttle (additional charge) Swimming pool Free WiFi breakfast options Airport shuttle Sun terrace Non-smoking rooms Garden shops (on site) Air conditioning Ironing service on-site coffee house Bar shuttle service (additional charge) Free parking Chocolate or cookies internet services Bicycle rental (additional charge) Non-smoking throughout Daily housekeeping Key access Luggage storage outdoor pool (all year) Fax/photocopying 24-hour front desk meeting/banquet facilities Shared kitchen wifi available in all areas,-11.02857|-68.75991,,,https://www.booking.com/hotel/bo/estrella-del-norte-cobija.html
BO,Bolivia,150572,Cobija,1861880,Amazonia Hotel,TwoStar,Avenida 6 De Agosto Esquina Avenida PandoCobija ,,"Amazonia Hotel offers air-conditioned rooms in Cobija. This 2-star hotel offers room service and a 24-hour front desk. The hotel features family rooms.

All rooms in the hotel are equipped with a flat-screen TV with cable channels. The units feature a private bathroom with a shower and free toiletries.

The nearest airport is Captain Anibal Arab Airport, a few steps from Amazonia Hotel.",,Parking Room service 24-hour front desk Non-smoking rooms Airport shuttle Family rooms Free parking Air conditioning Private parking Swimming pool Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,-11.03337|-68.77536,,0901,https://www.booking.com/hotel/bo/amazonia.html
BO,Bolivia,150572,Cobija,1868745,Un Hotel,All,Leoncio Justiniano Montero Senac s/n Cobija ,,"Located in Cobija, Un Hotel offers an outdoor swimming pool. A hot tub is available for guests, along with a sauna. Both private parking and free WiFi are available on site.

At the hotel, every room has a patio. Rooms are complete with a private bathroom fitted with a shower, while some rooms at Un Hotel also offer a seating area. The rooms feature a flat-screen TV with cable channels.

An American breakfast is served daily at the property.

Staff at the 24-hour front desk can lend a hand with advice about the area.",,Free self parking 24-hour front desk Sauna Laundry facilities Family rooms Ironing service Internet access Hot tub/jacuzzi Free WiFi Outdoor pool Free WiFi Air conditioning Free area shuttle Parking onsite Private parking Public Bath,-11.02752|-68.7613,,,https://www.booking.com/hotel/bo/un.html
BO,Bolivia,114401,Cochabamba,1002964,Monserrat,ThreeStar,Street España # 342 between Mayor Rocha and EcuadorCochabamba ,,"Situated in Cochabamba, within 300 metres of Colon Square and 200 metres of Santa Teresa Monastery, Hotel Monserrat features accommodation with a shared lounge and free WiFi throughout the property as well as free private parking for guests who drive. The property is close to several well-known attractions, 800 metres from Santo Domingo Church, 1.3 km from Archeological Museum and 1.4 km from Stadium Félix Capriles. The accommodation provides room service, a 24-hour front desk and currency exchange for guests.

At the hotel, rooms have a wardrobe. Featuring a private bathroom with a shower and free toiletries, some rooms at Hotel Monserrat also boast a city view. The rooms at the accommodation are fitted with a flat-screen TV with cable channels and a safety deposit box.

Popular points of interest near Hotel Monserrat include Cochabamba Cathedral, September 14 Square and Quintanilla Square. The nearest airport is Jorge Wilstermann International, 4 km from the hotel, and the property offers a paid airport shuttle service.",,Fax/photocopying Luggage storage wifi Free WiFi designated smoking area shuttle service (additional charge) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas secured parking Parking garage Accessible parking Fruits airport pick up airport drop off Shuttle service use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies Parking all plates  cutlery  glasses and other tableware have been sanitized Room service guests have the option to cancel any cleaning services for their accommodation during their stay 24-hour front desk breakfast takeaway containers Non-smoking rooms thermometers for guests provided by property Airport shuttle Laundry Family rooms breakfast in the room Ironing service Free parking face masks for guests available internet services Safety Deposit Box Valet parking Currency exchange Car hire Tour desk,-17.38957|-66.15711,+59144521011|+59144521016,,https://www.booking.com/hotel/bo/monserrat-srl.html
BO,Bolivia,114401,Cochabamba,1073314,Hotel Hacienda de Kaluyo,FiveStar,"Tajra N777 , La Angostura Desvio a Tarata Km. 4CochabambaZona Kaluyo ",,"Featuring an outdoor swimming pool and a huge garden, Hotel Hacienda de Kaluyo offers a fitness centre, a restaurant, a tennis court and airport transfers. Breakfast and free Wi-Fi are provided.

Hotel Hacienda de Kaluyo has rooms with private bathrooms and bungalows with BBQ facilities.

The restaurant serves national and international dishes, and buffet breakfast is served daily with juices, infusions, cheese, cereals, and eggs. Guests can have fun in the game room or request babysitting services. Currency exchange and bicycle rentals can be arranged.

De la Angostura dam is 4 km away and Cochabamba city is 19 km away. Jorge Wilsterman airport is 25 km from Kaluyo. Free private parking is possible on site.",,Packed lunches Fax/photocopying kids' club Free parking Garden Restaurant Parking Children television networks Games room Free WiFi BBQ facilities board games/puzzles meeting/banquet facilities Ironing service Non-smoking rooms Currency exchange wifi Swimming pool Movie nights kids' outdoor play equipment Private check-in/check-out Darts Private parking Bar Solarium Laundry Daily housekeeping Billiards Fitness centre Karaoke Hiking Room service books  dvds  music for children Sun terrace Cycling Terrace wifi available in all areas Heating shuttle service (additional charge) Bridal suite Indoor play area shared lounge/TV area children's playground Family rooms designated smoking area Snack Bar Themed dinner nights Outdoor pool airport shuttle (additional charge) internet services Chapel/shrine Table tennis Tennis Court Tour desk Mini golf Public Bath Airport shuttle On-site parking,-17.52617|-66.09372,+59144576593,9999,https://www.booking.com/hotel/bo/hacienda-de-kaluyo.html
BO,Bolivia,114401,Cochabamba,1166036,Apart Hotel Regina,FourStar,España 636 Entre Reza Y El Prado entre Reza y el pradoCochabamba 1321 ,,"Situated 300 metres from Colon Square, Apart Hotel Regina features accommodation with a restaurant, a bar and a 24-hour front desk for your convenience.

There is a fully equipped private bathroom with shower and free toiletries.

The aparthotel offers a buffet or American breakfast.

Apart Hotel Regina also offers a bicycle rental service and a business centre.

Guests can also relax in the shared lounge area.

Popular points of interest near the accommodation include Santa Teresa Monastery, Quintanilla Square and Stadium Félix Capriles. The nearest airport is Jorge Wilstermann International, 4 km from Apart Hotel Regina, and the property offers a paid airport shuttle service. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Based on local tax laws, bolivian citizens (must pay an additional fee of 13%.
Foreign business travelers who require a printed invoice, will also be charged the additional 13% regardless of the length of their stay in Bolivia.
This fee is not automatically calculated in the total costs for the reservation.",+59144117205,Parking hand sanitizer in guest accommodation and key areas Restaurant process in place to check health of guests Room service first aid kit available meeting/banquet facilities contactless check-in/check-out Bar cashless payment available 24-hour front desk physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Currency exchange Car hire Tour desk Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout concierge service shuttle service (additional charge) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas Public Bath secured parking Parking garage Wine/champagne Shuttle service 24-hour security Key access CCTV in common areas Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities,-17.38649|-66.15776,+59144234216,1321,https://www.booking.com/hotel/bo/apart-regina.html
BO,Bolivia,114401,Cochabamba,1175148,La Colonia,ThreeStar,Calle Mostajo Esq Atahuallpa 100 Cochabamba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Portales Palace - 2.2 km / 1.3 mi <br /> Museo de Historia Natural Alcide dOrbigny - 2.2 km / 1.4 mi <br /> Felix Capriles Stadium - 2.3 km / 1.4 mi <br /> Simon I. Patino Cultural Center - 2.6 km / 1.6 mi <br /> Plaza de las Banderas - 2.7 km / 1.7 mi <br /> Iglesia de la Recoleta - 2.7 km / 1.7 mi <br /> Tunari National Park - 3 km / 1.9 mi <br /> Movie Center - 3.1 km / 1.9 mi <br /> Bicentenary Park - 3.4 km / 2.1 mi <br /> Colon Square - 3.5 km / 2.2 mi <br /> Plaza Colon - 3.5 km / 2.2 mi <br /> Convento Museo Santa Teresa - 3.7 km / 2.3 mi <br /> Martin Cardenas Botanical Garden - 3.9 km / 2.4 mi <br /> Casa de la Cultura Cochabamba - 4 km / 2.5 mi <br /> Iglesia & Convento de San Francisco - 4.1 km / 2.5 mi <br /> </p><p>The preferred airport for Hotel La Colonia is Cochabamba (CBB-Jorge Wilstermann Intl.) - 6.9 km / 4.3 mi </p>,"<p>HeadLine : Near Portales Palace</p><p>Location : With a stay at Hotel La Colonia in Cochabamba, you ll be within a 5-minute drive of Plaza de las Banderas and Portales Palace.  This hotel is 1.5 mi (2.5 km) from Museo de Historia Natural Alcide dOrbigny and 1.7 mi (2.8 km) from Felix Capriles Stadium.</p><p>Rooms : Make yourself at home in one of the 53 air-conditioned rooms featuring flat-screen televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and complimentary toiletries.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served on weekdays from 7 AM to 10 AM and on weekends from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",591-4-4450300,Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities elevator Free self parking Fitness facilities Wheelchair accessible path of travel Concierge services Dry cleaning/laundry service Banquet hall Wheelchair accessible Newspapers in lobby (surcharge) Ballroom Reception hall Meeting rooms Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Area shuttle (surcharge) Free Buffet Breakfast Airport transportation (surcharge) Free breakfast Business center 24-hour front desk Daily Spa services on site,-17.36162|-66.16157,591-4-4450300,2500,http://www.lacoloniahotel.com.bo
BO,Bolivia,114401,Cochabamba,1233407,Cesar s Plaza Hotel,ThreeStar,Calle 25 De Mayo S 0210 Cochabamba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Iglesia & Convento de San Francisco - 0.1 km / 0.1 mi <br /> Casa de la Cultura Cochabamba - 0.2 km / 0.1 mi <br /> Plaza 14 de Septiembre - 0.2 km / 0.2 mi <br /> Cochabamba Cathedral - 0.3 km / 0.2 mi <br /> Museo Arqueológico - 0.4 km / 0.3 mi <br /> Iglesia de Santo Domingo - 0.5 km / 0.3 mi <br /> Iglesia San Juan de Dios - 0.5 km / 0.3 mi <br /> Colon Square - 0.5 km / 0.3 mi <br /> Plaza Colon - 0.6 km / 0.4 mi <br /> Convento Museo Santa Teresa - 0.6 km / 0.4 mi <br /> Universidad Mayor de San Simon - 0.7 km / 0.4 mi <br /> Archeological Museum - 0.8 km / 0.5 mi <br /> Mercado Cancha Calatayud - 0.8 km / 0.5 mi <br /> La Cancha - 1.3 km / 0.8 mi <br /> Plaza de las Banderas - 1.4 km / 0.9 mi <br /> </p><p>The preferred airport for Cesars Plaza Hotel is Cochabamba (CBB-Jorge Wilstermann Intl.) - 4.3 km / 2.6 mi </p>,"<p>HeadLine : Near Iglesia & Convento de San Francisco</p><p>Location : Cesars Plaza Hotel is centrally located in Cochabamba, a 3-minute walk from Plaza 14 de Septiembre and 7 minutes by foot from Plaza Colon.  This hotel is 0.9 mi (1.5 km) from La Cancha and 1.1 mi (1.8 km) from Plaza de las Banderas.</p><p>Rooms : Make yourself at home in one of the 61 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Grab a bite at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. English breakfasts are available daily from 7:00 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",591-4-4250324,Gift shops or newsstand Dry cleaning/laundry service Wheelchair accessible (may have limitations) Number of meeting rooms - 3 Coworking spaces Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Health club Designated smoking areas In-room accessibility (in select rooms) Tours/ticket assistance Area shuttle (surcharge) Luggage storage Porter/bellhop Multilingual staff Business center 24-hour front desk Conference center Breakfast available (surcharge) Safe-deposit box at front desk Snack bar/deli Laundry facilities Sauna Steam room Free self parking Hair salon Terrace 24-hour business center,-17.393144|-66.15525,591-44-254032,BO,http://www.cesarsplaza.com
