countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
GT,Guatemala,105155,Amatitlán,1396389,Kawilal Hotel,ThreeStar,Rivera Del Rio Michatoya Amatitlan Guatemala Riveras del Río Michatoya Riveras del Rio MichatoyaAmatitlán ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Teleférico - 7.6 km / 4.7 mi <br /> Teleferico de Amatitlan - 9.5 km / 5.9 mi <br /> Universidad del San Carlos de Guatemala - 16.1 km / 10 mi <br /> Mundo Petapa - 18.2 km / 11.3 mi <br /> Hospital Roosevelt - 21.2 km / 13.2 mi <br /> National Museum of Archaeology and Ethnology - 21.5 km / 13.3 mi <br /> Natural History Museum - 21.6 km / 13.4 mi <br /> Museo Nacional de Historia Natural Jorge Ibarra - 21.6 km / 13.4 mi <br /> La Aurora Zoo - 22.5 km / 14 mi <br /> Museo Miraflores - 22.6 km / 14 mi <br /> Children s Museum - 22.6 km / 14.1 mi <br /> La Azotea Cultural Center - 22.7 km / 14.1 mi <br /> National Museum of Modern Art - 22.8 km / 14.2 mi <br /> Avenida La Reforma - 22.9 km / 14.2 mi <br /> Union Church of Guatemala - 22.9 km / 14.2 mi <br /> </p><p>The nearest major airport is La Aurora Intl. Airport (GUA) - 23.2 km / 14.4 mi</p>,"<p>HeadLine : In Amatitlan</p><p>Location : When you stay at Kawilal Hotel in Amatitlan, you ll be within a 10-minute drive of Teleférico and Teleferico de Amatitlan.  This spa hotel is 18.1 mi (29.2 km) from Paseo Cayala and 14 mi (22.5 km) from La Aurora Zoo.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms featuring minibars and plasma televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy Fusion cuisine at Las Mengalas, a restaurant where you can take in the garden view, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 7:00 AM to 11 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",502-000-66441010,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Meeting rooms Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Number of indoor pools - 1 Upper floors accessible by stairs only Garden Picnic area In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Full-service spa Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Free Cooked-to-Order Breakfast Airport transportation (surcharge) Luggage storage Free breakfast 24-hour front desk Daily Safe-deposit box at front desk Designated smoking areas (fines apply) Laundry facilities Children's pool Sauna Steam room Hot springs nearby ATM/banking Pool sun loungers Concierge services 24-hour business center,14.484864|-90.615294,502-000-66441010,01063,http://www.kawilalhotel.com/
GT,Guatemala,105155,Amatitlán,1810458,Villa El Rosario,ThreeStar,Carretera Al Morlon Shalet 1 01063 Amatitlan ,,"With garden views, Villa El Rosario is situated in Amatitlán and has a restaurant, room service, bar, garden, barbecue and sun terrace. The bed and breakfast features both WiFi and private parking free of charge.

Fitted with a patio, the units feature a flat-screen TV and a private bathroom with shower and free toiletries.

A continental breakfast is available each morning at Villa El Rosario.

Pacaya Volcano is 26 km from the accommodation. The nearest airport is La Aurora, 28 km from Villa El Rosario, and the property offers a paid airport shuttle service. A prepayment deposit via bank transfer or PayPal is required to secure your reservation. The property will contact you after you book to provide any bank transfer instructions.",,Room service On-site parking internet services meeting/banquet facilities Private parking airport shuttle (additional charge) Daily housekeeping Special diet menus (on request) designated smoking area Parking Airport shuttle Free WiFi wifi Sun terrace Non-smoking rooms Spa and wellness centre Bridal suite Bar Restaurant Massage BBQ facilities shuttle service (additional charge) Free parking Garden Library Terrace,14.48579|-90.61262,,01063,https://www.booking.com/hotel/gt/villa-el-rosario.html
GT,Guatemala,109234,Antigua,1009510,La Reunion Golf Resort and Residences,FiveStar,"KM 91.5 CASERIO EL PORVENIR SAN JUAN ALOTENANGO, S, CA-14 SACATEPEQUEZ ",,"It s located 17 kilometers from La Antigua Guatemala, this hotel is world class tourist oriented residential resort, was declared a World Heritage Site by UNESCO in 1979 and is known worldwide. This hotel offers a touch of luxury to your accommodation in Alotenango. Business can be conducted with the help of Business center and Audio visual equipment. This hotel offers rooms with high quality standards and has everything you need to make your stay comfortable, relaxing and unique. This hotel will give you a pleasant and magical stay.",,Resort American Express MasterCard Visa Mobile phone coverage Room service Laundry service Launderette Medical service Bicycle hire service Air conditioning in public areas Currency exchange facilities Cloakroom Shop Garden Bicycle storage Gym Bar Restaurant Non-smoking area Smoking area Poolside snack bar Air conditioning in Restaurant Conference room Children playground Kids club Entertainment programme for adults Entertainment programme for children Game room Sauna Steam bath Hot tub Massage Spa treatments Breakfast Breakfast buffet Continental Breakfast Buffet lunch À la carte lunch Set menu lunch Buffet dinner À la carte dinner Set menu dinner Special dietary options Squash Cycling / mountain biking Basketball Billiards Bowling alley Mini golf Golf Tennis,14.428925996141741|-90.832948773901364,,03001,www.lareunion.com.gt
GT,Guatemala,109234,Antigua,1032134,Howard Johnson Antigua Guatemala,ThreeStar,4 Avenida Sur Lotificacion Lo De Lopez 1 Lotificacion Lo De Lopez 103001 Antigua ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;San Jose el Viejo Ruins - 0.7 km / 0.5 mi &lt;br /&gt;Church of San Francisco - 0.8 km / 0.5 mi &lt;br /&gt;House of the Giants - 0.9 km / 0.5 mi &lt;br /&gt;Santa Clara Convent - 0.9 km / 0.6 mi &lt;br /&gt;Antigua Guatemala Colonial Art Museum - 1 km / 0.6 mi &lt;br /&gt;Palace of the Captains-General - 1.1 km / 0.7 mi &lt;br /&gt;Antigua Guatemala Cathedral - 1.1 km / 0.7 mi &lt;br /&gt;El Fotografo Gallery - 1.1 km / 0.7 mi &lt;br /&gt;Central Park - 1.1 km / 0.7 mi &lt;br /&gt;Choco Museum - 1.2 km / 0.7 mi &lt;br /&gt;Jade Maya Factory and Museum - 1.2 km / 0.8 mi &lt;br /&gt;Antigua Market - 1.4 km / 0.8 mi &lt;br /&gt;Handicraft Market - 1.4 km / 0.9 mi &lt;br /&gt;Las Capuchinas Convent - 1.4 km / 0.9 mi &lt;br /&gt;Santa Catalina Arch - 1.4 km / 0.9 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Howard Johnson Antigua Guatemala is Guatemala City (GUA-La Aurora Intl.) - 22.2 km / 13.8 mi. &lt;/p&gt;,"Property Location With a stay at Howard Johnson Antigua Guatemala in Antigua Guatemala, you''ll be in the historical district and minutes from San Jose el Viejo Ruins and Church of San Francisco. This hotel is within close proximity of House of the Giants and Santa Clara Convent.Rooms Make yourself at home in one of the 24 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones, as well as safes and desks.Rec, Spa, Premium Amenities Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and tour/ticket assistance.Dining Satisfy your appetite at the hotel''s restaurant, which serves breakfast and lunch. Dining is also available at a coffee shop/cafe, and room service during limited hours is provided.Business, Other Amenities Featured amenities include a business center, express check-in, and express check-out.",502-78-320002,Business services Meeting rooms Cafe coffee shop Tour desk Breakfast included Restaurant Dry cleaning / laundry service American Express Express Check In / Check Out dry cleaning Free Wireless Internet access Wireless Internet Access Visa Room service Discover Diners Club Business centre Garden,14.5468|-90.73221,+50278320002,3001,
GT,Guatemala,109234,Antigua,1040044,Hotel Real Plaza,ThreeStar,40 9A Calle Poniente 03001 AntiguaSacatepéquez ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Jose el Viejo Ruins - 0.5 km / 0.3 mi <br /> Monumento a Landívar - 0.8 km / 0.5 mi <br /> Central Park - 0.8 km / 0.5 mi <br /> El Fotografo Gallery - 0.9 km / 0.5 mi <br /> Museo del Hermano Pedro - 0.9 km / 0.5 mi <br /> Palace of the Captains-General - 0.9 km / 0.6 mi <br /> Antigua Guatemala Colonial Art Museum - 0.9 km / 0.6 mi <br /> Tanque La Unión - 0.9 km / 0.6 mi <br /> Cementerio General - 0.9 km / 0.6 mi <br /> Antigua Market - 1 km / 0.6 mi <br /> Iglesia de la Escuela de Cristo - 1 km / 0.6 mi <br /> San Lazaro General Cemetery - 1 km / 0.6 mi <br /> Antigua Guatemala Cathedral - 1 km / 0.6 mi <br /> Handicraft Market - 1 km / 0.6 mi <br /> Santa Clara Convent - 1 km / 0.6 mi <br /> </p><p>The preferred airport for Hotel Real Plaza is La Aurora Intl. Airport (GUA) - 41.2 km / 25.6 mi </p>,"<p>HeadLine : Near San Jose el Viejo Ruins</p><p>Location : A stay at Hotel Real Plaza places you in the heart of Antigua Guatemala, within a 10-minute walk of San Jose el Viejo Ruins and Monumento a Landívar.  This hotel is 0.5 mi (0.8 km) from Central Park and 1.2 mi (1.9 km) from Casa Santo Domingo Museum.</p><p>Rooms : Make yourself at home in one of the 27 guestrooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include phones and safes, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Real Plaza, a restaurant which features a bar/lounge and a garden view. You can also stay in and take advantage of the room service (during limited hours).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. If you are planning to arrive after 6:30 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",502-7832-2239,Banquet hall Wheelchair accessible (may have limitations) Pool umbrellas Number of meeting rooms - 1 Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Wedding services Tours/ticket assistance Airport transportation (surcharge) Luggage storage 24-hour front desk Conference center Playground on site Safe-deposit box at front desk Smoke-free property Ecotours nearby Snack bar/deli Laundry facilities Steam room elevator Fitness facilities Self parking (surcharge) Pool sun loungers Concierge services,14.552146|-90.737857,502-7832-2239,03001,http://realplaza.com.gt/
GT,Guatemala,109234,Antigua,1040047,El Hostal,TwoStar,1ra. Avenida sur No. 8  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>House of the Giants - 0.2 km / 0.1 mi <br /> Santa Clara Convent - 0.2 km / 0.1 mi <br /> Tanque La Unión - 0.2 km / 0.1 mi <br /> Church of San Francisco - 0.3 km / 0.2 mi <br /> Jade Maya Factory and Museum - 0.3 km / 0.2 mi <br /> Antigua Guatemala Colonial Art Museum - 0.3 km / 0.2 mi <br /> Choco Museum - 0.4 km / 0.3 mi <br /> Central Park - 0.5 km / 0.3 mi <br /> Antigua Guatemala Cathedral - 0.5 km / 0.3 mi <br /> Palace of the Captains-General - 0.5 km / 0.3 mi <br /> Las Capuchinas Convent - 0.6 km / 0.4 mi <br /> El Fotografo Gallery - 0.6 km / 0.4 mi <br /> San Jose el Viejo Ruins - 0.8 km / 0.5 mi <br /> Santa Catalina Arch - 0.9 km / 0.6 mi <br /> Nim Po t Traditional Textiles Center - 0.9 km / 0.6 mi <br /> </p><p>The nearest major airport is La Aurora Intl. Airport (GUA) - 36.3 km / 22.5 mi</p>,"<p>HeadLine : Near House of the Giants</p><p>Location : With a stay at El Hostal BnB Antigua in Antigua Guatemala, you ll be within a 5-minute walk of House of the Giants and Santa Clara Convent.  This hostel is 0.5 mi (0.9 km) from Antigua Guatemala Cathedral and 0.6 mi (0.9 km) from Central Park.</p><p>Rooms : Make yourself at home in one of the 6 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include safes and portable fans, and housekeeping is provided daily.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of El Hostal BnB Antigua, or stop in at the snack bar/deli. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>No onsite parking is available</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",502-502-78320442,Safe-deposit box at front desk Terrace Luggage storage Water dispenser Number of bars/lounges - 1 Concierge services Snack bar/deli 24-hour front desk Laundry facilities Free breakfast Tours/ticket assistance Dry cleaning/laundry service Free WiFi Wheelchair accessible parking Airport transportation (surcharge) Smoke-free property,14.55559|-90.72975,502-502-78320442,03001,
GT,Guatemala,109234,Antigua,1040052,Hotel Candelaria Antigua,ThreeStar,Avenida Dolores Del Cerro No. 5 Esquina con Calle de Candelaria Colonia El CarmenLa Antigua Guatemala ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Iglesia de la Candelaria - 0.3 km / 0.2 mi <br /> Iglesia y Convento de Santo Domingo - 0.5 km / 0.3 mi <br /> Casa Santo Domingo Museum - 0.9 km / 0.5 mi <br /> Cerro de La Cruz - 0.9 km / 0.6 mi <br /> Jade Maya Factory and Museum - 0.9 km / 0.6 mi <br /> Las Capuchinas Convent - 1 km / 0.6 mi <br /> Antigua Tabaco Compania S.A. - 1.1 km / 0.7 mi <br /> Iglesia y Convento de Nuestra Señora de la Merced - 1.2 km / 0.7 mi <br /> La Merced Church - 1.2 km / 0.7 mi <br /> Nim Po t Traditional Textiles Center - 1.2 km / 0.8 mi <br /> Choco Museum - 1.2 km / 0.8 mi <br /> Santa Catalina Arch - 1.3 km / 0.8 mi <br /> Hill of the Cross - 1.3 km / 0.8 mi <br /> Church of San Francisco - 1.4 km / 0.9 mi <br /> Museo del Libro Antiguo - 1.4 km / 0.9 mi <br /> </p><p>The preferred airport for Hotel Candelaria Antigua is La Aurora Intl. Airport (GUA) - 40.1 km / 24.9 mi </p>,"<p>HeadLine : Near Iglesia de la Candelaria</p><p>Location : With a stay at Hotel Candelaria Antigua in Antigua Guatemala, you ll be a 3-minute walk from Iglesia de la Candelaria and 6 minutes by foot from Iglesia y Convento de Santo Domingo.  This hotel is 0.5 mi (0.9 km) from Casa Santo Domingo Museum and 0.9 mi (1.4 km) from Central Park.</p><p>Rooms : Make yourself at home in one of the 16 guestrooms. Complimentary wireless Internet access is available to keep you connected.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service. Quench your thirst with your favorite drink at the bar/lounge. For your convenience, a complimentary breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",502-000-78328420,Dry cleaning/laundry service Parking (limited spaces) Free parking nearby Number of meeting rooms - 1 Conference space size (meters) - 70 Free WiFi Number of bars/lounges - 1 Garden In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Wedding services Tours/ticket assistance Rooftop terrace Airport transportation (surcharge) Luggage storage Free breakfast Business center 24-hour front desk Conference center Daily Smoke-free property Laundry facilities Conference space Terrace Conference space size (feet) - 753 Concierge services,14.563455|-90.726415,502-000-78328420,3001,http://www.candelariahotel.com/
GT,Guatemala,109234,Antigua,1082301,Casas Las Margaritas en Apart Hotel Las Clarisas,ThreeStar,1 Avenida 1 Canton 4Ta Calle San Pedro Las Huertas  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Las Capuchinas Convent - 0.3 km / 0.2 mi <br /> Jade Maya Factory and Museum - 0.3 km / 0.2 mi <br /> Choco Museum - 0.4 km / 0.2 mi <br /> House of the Giants - 0.5 km / 0.3 mi <br /> Central Park - 0.5 km / 0.3 mi <br /> Santa Clara Convent - 0.6 km / 0.3 mi <br /> Antigua Guatemala Cathedral - 0.6 km / 0.4 mi <br /> Church of San Francisco - 0.6 km / 0.4 mi <br /> Santa Catalina Arch - 0.6 km / 0.4 mi <br /> Tanque La Unión - 0.6 km / 0.4 mi <br /> Nim Po t Traditional Textiles Center - 0.6 km / 0.4 mi <br /> Antigua Guatemala Colonial Art Museum - 0.7 km / 0.4 mi <br /> Palace of the Captains-General - 0.7 km / 0.4 mi <br /> El Fotografo Gallery - 0.8 km / 0.5 mi <br /> La Merced Church - 0.8 km / 0.5 mi <br /> </p><p>The preferred airport for this vacation home is La Aurora Intl. Airport (GUA) - 37 km / 23 mi </p>,"<p>HeadLine : Near Jade Maya Factory and Museum</p><p>Location : With a stay at this vacation home in Antigua Guatemala, you ll be within a 5-minute walk of Las Capuchinas Convent and Jade Maya Factory and Museum.  This vacation home is 0.6 mi (1 km) from Central Park and 0.7 mi (1.1 km) from Antigua Guatemala Cathedral.</p><p>Rooms : Make yourself comfortable in this vacation home, which features a fireplace and a flat-screen TV. There s a private balcony or patio. A kitchen is outfitted with a full-sized refrigerator/freezer, an oven, and a stovetop. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. A private bathroom with a shower/tub combination features a jetted bathtub and complimentary toiletries.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",502-57551051,Barbecue grill(s) Spa services on site Picnic area Area shuttle (surcharge) Terrace Luggage storage Number of spa tubs - 5 Fitness facilities Designated smoking areas 24-hour front desk Meeting rooms Tours/ticket assistance Free self parking Free WiFi Sauna Airport transportation (surcharge) Garden Fireplace in lobby,14.558636|-90.729619,502 5755 1051,000,
GT,Guatemala,109234,Antigua,1108026,Casa Capuchinas,ThreeStar,2Nda Avenida Norte 7  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Las Capuchinas Convent - 0.1 km / 0.1 mi <br /> Antigua Tabaco Compania S.A. - 0.2 km / 0.1 mi <br /> Choco Museum - 0.3 km / 0.2 mi <br /> Santa Catalina Arch - 0.4 km / 0.3 mi <br /> Casa Santo Domingo Museum - 0.4 km / 0.3 mi <br /> Nim Po t Traditional Textiles Center - 0.4 km / 0.3 mi <br /> Museo del Libro Antiguo - 0.5 km / 0.3 mi <br /> Palacio del Ayuntamiento - 0.5 km / 0.3 mi <br /> Iglesia y Convento de Santo Domingo - 0.5 km / 0.3 mi <br /> Iglesia y Convento de Nuestra Señora de la Merced - 0.5 km / 0.3 mi <br /> Central Park - 0.5 km / 0.3 mi <br /> Tanque La Unión - 0.5 km / 0.3 mi <br /> La Merced Church - 0.5 km / 0.3 mi <br /> Santa Clara Convent - 0.5 km / 0.3 mi <br /> Jade Maya Factory and Museum - 0.5 km / 0.3 mi <br /> </p><p>The preferred airport for Casa Capuchinas is La Aurora Intl. Airport (GUA) - 40.3 km / 25 mi </p>,"<p>HeadLine : Near Las Capuchinas Convent</p><p>Location : A stay at Casa Capuchinas places you in the heart of Antigua Guatemala, steps from Las Capuchinas Convent and Antigua Tabaco Compania S.A..  This bed & breakfast is 0.3 mi (0.5 km) from Central Park and 0.5 mi (0.9 km) from Casa Santo Domingo Museum.</p><p>Rooms : Stay in one of 8 guestrooms featuring flat-screen televisions. Cable television is provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Take advantage of the bed & breakfast s room service (during limited hours). A complimentary local cuisine breakfast is served daily from 7:30 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",502-1-78320121,Dry cleaning/laundry service Airport transportation (surcharge) Luggage storage Free breakfast Free breakfast (local cuisine) 24-hour front desk Free WiFi Daily Garden Smoke-free property Tours/ticket assistance Self parking (surcharge) Computer station Terrace,14.55973|-90.73101,502-78327941,03001,
GT,Guatemala,109234,Antigua,1108033,Hotel Casa Noble,FourStar,Segunda Avenida Sur 29  ,,"Set in Antigua Guatemala and with Miraflores Museum reachable within 32 km, Casa Noble Hotel offers a tour desk, non-smoking rooms, a garden, free WiFi throughout the property and a terrace. The property is around 38 km from National Palace Guatemala, 38 km from Popol Vuh Museum and 1 km from Santa Catalina Arch. Private parking can be arranged at an extra charge.

Rooms are complete with a private bathroom equipped with a shower and a hairdryer, while certain units at the hotel also have a balcony. At Casa Noble Hotel all rooms come with a desk and a TV.

An American breakfast is available every morning at the accommodation.

With staff speaking English and Spanish, information is available at the reception.

Hobbitenango is 8.5 km from Casa Noble Hotel, while Pacaya Volcano is 38 km away. The nearest airport is La Aurora Airport, 38 km from the hotel.",+502(0)78320868,wifi Free WiFi Non-smoking throughout Daily housekeeping Private parking wifi available in all areas Outdoor furniture 24-hour security Key access Key card access Security alarm Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays Parking 24-hour front desk Garden Terrace Non-smoking rooms internet services Safety Deposit Box Tour desk guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,14.55284|-90.7311,5 (027) 832-0864,03001,https://www.booking.com/hotel/gt/casanoble.html
