countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
GB,United Kingdom,100215,Abberley,1323502,The Elms,FourStar,The Elms Hotel Abberley AbberleyWorcester WR6 6AT ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Danter s Treasure Island Amusement Park - 11 km / 6.8 mi <br /> Hartlebury Castle - 14.9 km / 9.3 mi <br /> Bewdley Museum - 15.1 km / 9.4 mi <br /> Tenbury Pump Rooms - 16.1 km / 10 mi <br /> Tenbury Museum - 16.3 km / 10.1 mi <br /> Bewdley Pines Golf Club - 17 km / 10.6 mi <br /> Aggborough Stadium - 17.3 km / 10.7 mi <br /> Kidderminster Street Market - 17.8 km / 11 mi <br /> Elgar Birthplace Museum - 17.8 km / 11.1 mi <br /> Severn Valley Railway - 17.8 km / 11.1 mi <br /> Kidderminster Golf Club - 17.9 km / 11.1 mi <br /> Whitlenge Garden Centre and Tea Rooms - 18.4 km / 11.4 mi <br /> University of Worcester - 18.4 km / 11.4 mi <br /> The Time Machine Museum of Science Fiction - 18.9 km / 11.8 mi <br /> Malvern Hills - 19.4 km / 12 mi <br /> </p><p>The preferred airport for The Elms Hotel and Spa is Birmingham Airport (BHX) - 64.8 km / 40.3 mi </p>,"<p>HeadLine : In a rural location</p><p>Location : With a stay at The Elms Hotel and Spa in Worcester, you ll be 9.3 mi (14.9 km) from Hartlebury Castle and 9.4 mi (15.1 km) from Bewdley Museum.  This 4-star hotel is 10.6 mi (17 km) from Bewdley Pines Golf Club and 11.1 mi (17.8 km) from Elgar Birthplace Museum.</p><p>Rooms : Make yourself at home in one of the 23 individually decorated guestrooms, featuring DVD players and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and rainfall showerheads. Conveniences include phones, as well as safes and electric kettles.</p><p>Dining : Enjoy British cuisine at Badger Bar and Grill, a restaurant which features a bar/lounge and a garden view. You can also stay in and take advantage of the room service (during limited hours). Full breakfasts are available daily from 8:00 AM to 10:00 AM for a fee.</p><p>Renovations : The property is closed between March 21 and February 9.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 11 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",44-1299-896804,Food and water bowls Meeting rooms Swimming pool Free WiFi Number of bars/lounges - 1 Health club Spa treatment room(s) Number of spa tubs - 1 Number of indoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Full-service spa Tours/ticket assistance Accessible bathroom (in select rooms) Fireplace in lobby Wheelchair accessible  no Express check-out Outdoor tennis courts - 1 24-hour front desk Breakfast available (surcharge) Library Spa services on site Smoke-free property Coffee/tea in common areas Laundry facilities Sauna Steam room Free self parking Fitness facilities Terrace Concierge services,52.302215|-2.392882,44-01299-896666,WR6 6AT,http://www.theelmshotel.co.uk
GB,United Kingdom,100215,Abberley,1645557,The Manor Arms Inn,FiveStar,Abberley Village Worcester WR6 6BN ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Danter s Treasure Island Amusement Park - 8 km / 5 mi <br /> Hartlebury Castle - 11.7 km / 7.3 mi <br /> Bewdley Museum - 12.1 km / 7.5 mi <br /> Whitlenge Garden Centre and Tea Rooms - 13.8 km / 8.6 mi <br /> Bewdley Pines Golf Club - 14 km / 8.7 mi <br /> Aggborough Stadium - 14.3 km / 8.9 mi <br /> Elgar Birthplace Museum - 14.6 km / 9.1 mi <br /> Kidderminster Street Market - 14.8 km / 9.2 mi <br /> Severn Valley Railway - 14.9 km / 9.2 mi <br /> Kidderminster Golf Club - 14.9 km / 9.3 mi <br /> West Midland Safari Park - 15.4 km / 9.6 mi <br /> Harvington Hall - 17.4 km / 10.8 mi <br /> Tenbury Pump Rooms - 18.2 km / 11.3 mi <br /> University of Worcester - 18.3 km / 11.3 mi <br /> Tenbury Museum - 18.5 km / 11.5 mi <br /> </p><p>The nearest major airport is Birmingham Airport (BHX) - 64.5 km / 40.1 mi</p>,"<p>HeadLine : In the historical district</p><p>Location : With a stay at The Manor at Abberley in Worcester, you ll be in the historical district, within a 15-minute drive of West Midland Safari Park and Danter s Treasure Island Amusement Park.  This 5-star inn is 7.3 mi (11.7 km) from Hartlebury Castle and 7.5 mi (12.1 km) from Bewdley Museum.</p><p>Rooms : Stay in one of 6 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include desks and electric kettles, and housekeeping is provided on request.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of The Manor at Abberley, or stop in at the snack bar/deli. Quench your thirst with your favorite drink at the bar/lounge. A complimentary English breakfast is served on weekdays from 7:30 AM to 9:30 AM and on weekends from 8:30 AM to 10:00 AM.</p><p>Renovations : The following facilities are closed on Monday: <ul><li>Dining venue(s)</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : There is no front desk at this property. The host will greet guests on arrival.</p>",44-01299-890300,Wheelchair accessible (may have limitations) Newspapers in lobby (surcharge) Wheelchair-accessible concierge desk Coworking spaces Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 Wheelchair-accessible public washroom Designated smoking areas Well-lit path to entrance Upper floors accessible by stairs only Garden Bicycle rentals nearby Wheelchair accessible parking Stair-free path to entrance Free English Breakfast Art gallery on site Rock climbing nearby Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Free breakfast Hunting nearby Horse riding nearby Daily Housekeeping on request Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Terrace,52.308419|-2.363375,44-01299-890300,WR6 6BN,http://www.themanorarms.co.uk/
GB,United Kingdom,100646,Aberaeron,1098770,Merwerydd Guest Accommodation,FourStar,Cardigan Bay AberaeronWales SA46 0HE ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Llanerchaeron - 5.8 km / 3.6 mi <br /> Cae Hir Gardens - 23.4 km / 14.5 mi <br /> Celtic Country Wines - Celteg - 23.7 km / 14.7 mi <br /> Teifi Valley Railway Limited - 23.8 km / 14.8 mi <br /> Cilgwyn Golf Club - 25.3 km / 15.7 mi <br /> National Woollen Museum - 25.5 km / 15.8 mi <br /> West Wales Museum of Childhood - 25.5 km / 15.9 mi <br /> Tollgate House Studio & Gallery - 26.6 km / 16.5 mi <br /> Cors Caron - 28.2 km / 17.5 mi <br /> Aberystwyth Castle - 29.1 km / 18.1 mi <br /> Aberystwyth Beach - 29.1 km / 18.1 mi <br /> Aberystwyth University - 30 km / 18.6 mi <br /> National Library of Wales - 30.5 km / 18.9 mi <br /> Constitution Hill - 31.9 km / 19.8 mi <br /> National Coracle Centre - 32.1 km / 19.9 mi <br /> </p><p>The preferred airport for Merwerydd Guest Accommodation is Cardiff (CWL-Cardiff Intl.) - 160.3 km / 99.6 mi </p>,"<p>HeadLine : In Aberaeron</p><p>Location : When you stay at Merwerydd Guest Accommodation in Aberaeron, you ll be 8 minutes by car from Llanerchaeron.  This 4-star bed & breakfast is 18.6 mi (30 km) from Aberystwyth University and 14.5 mi (23.4 km) from Cae Hir Gardens.</p><p>Rooms : Make yourself at home in one of the 4 guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and hair dryers. Conveniences include coffee/tea makers, and irons/ironing boards can be requested.</p><p>Dining : Local cuisine breakfasts are available daily from 8:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",44-844-880 3000,Picnic area Terrace Free self parking Free WiFi Breakfast available (surcharge) Smoke-free property Garden,52.217453|-4.278644,44-15-45570505,SA46 0HE,http://aberaeronbandb.co.uk/
GB,United Kingdom,100646,Aberaeron,1290555,Harbourmaster,FiveStar,Quay Parade AberaeronCeredigion SA46 0BT ,,"Set in Aberaeron, 30 km from Clarach Bay, Harbourmaster Hotel offers accommodation with a terrace, free private parking, a restaurant and a bar. This 5-star hotel offers free WiFi. Some units at the property feature a balcony with a city view.

Guests at the hotel can enjoy a continental breakfast.

Guests at Harbourmaster Hotel will be able to enjoy activities in and around Aberaeron, like cycling.

Aberystwyth Castle is 26 km from the accommodation, while Aberystwyth Library is 26 km from the property. The nearest airport is Cardiff Airport, 149 km from Harbourmaster Hotel.",,Parking Restaurant Bar Terrace Non-smoking rooms breakfast in the room Free parking internet services Cycling wifi Free WiFi Non-smoking throughout staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided Sun terrace parking on site Private parking board games/puzzles secured parking Street parking Accessible parking Wine/champagne coffee house on site Outdoor furniture Beach Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,52.24315|-4.26266,+441545570755,SA46 0BT,https://www.booking.com/hotel/gb/harbourmaster.html
GB,United Kingdom,100646,Aberaeron,1328729,Castle Hotel,FourStar,Market Street CeredigionAberaeronWales SA46 0AU ,,"Centrally located within the beautiful Georgian harbour town of Aberaeron, this hotel offers traditionally decorated rooms and a fine selection of drinks from its bar. Wi-Fi is free in public areas.

Your accommodation at the Castle Hotel will be in a well-appointed room with en suite shower room. Rooms have rustic decor and feature a hand-made tapestry from a nearby woolen mill. The hotels bar offers all the warmth and charm of a traditional Welsh inn.",+441545571442,Pets allowed cashless payment available Bar physical distancing rules followed Golf course (within 3 km) screens or physical barriers placed between staff and guests in appropriate areas Non-smoking rooms Fishing internet services Windsurfing Canoeing Hiking Cycling Heating Horse riding wifi Free WiFi Non-smoking throughout Special diet menus (on request) Daily housekeeping Wine/champagne Outdoor furniture Beach temporary art galleries Live sport events (broadcast) Security alarm Smoke alarms CCTV in common areas CCTV outside property use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered face masks for guests available,52.24237|-4.25927,+441545570205,SA46 0AU,https://www.booking.com/hotel/gb/castle-aberaeron.html
GB,United Kingdom,100646,Aberaeron,1364307,Monachty,ThreeStar,7 Heol Farchnad AberaeronDyed SA46 0AS ,,"In beautiful Aberaeron, Monachty is a traditional seaside pub and hotel with bright guest rooms, free Wi-Fi and a terrace with stunning harbour views.

The Monachty has an extensive fresh menu in its brasserie restaurant, and a reputation for friendly service and a welcoming atmosphere.",,Restaurant Bar Terrace Non-smoking rooms Family rooms internet services wifi Free WiFi Non-smoking throughout Special diet menus (on request) wifi available in all areas Kid meals,52.24277|-4.2601,+441545570389,SA46 0AS,https://www.booking.com/hotel/gb/monachty.html
GB,United Kingdom,100646,Aberaeron,1364308,Feathers Royal,FiveStar,Alban Square AberaeronWales SA46 0AQ ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Llanerchaeron - 3.8 km / 2.4 mi <br /> Cilgwyn Golf Club - 23.5 km / 14.6 mi <br /> Aberystwyth Castle - 25.6 km / 15.9 mi <br /> Aberystwyth Beach - 25.6 km / 15.9 mi <br /> Aberystwyth University - 26.5 km / 16.5 mi <br /> Celtic Country Wines - Celteg - 26.9 km / 16.7 mi <br /> National Library of Wales - 27 km / 16.8 mi <br /> Teifi Valley Railway Limited - 28.1 km / 17.4 mi <br /> Constitution Hill - 28.4 km / 17.6 mi <br /> National Woollen Museum - 29.8 km / 18.5 mi <br /> West Wales Museum of Childhood - 29.9 km / 18.6 mi <br /> National Trust - Dolaucothi Gold Mines - 34.8 km / 21.6 mi <br /> Cardigan Castle - 36.9 km / 23 mi <br /> The Coach House Visitor Centre - 38.2 km / 23.7 mi <br /> Bwlch Nant yr Arian Forest Visitor Centre - 38.6 km / 24 mi <br /> </p><p>The preferred airport for Feathers Royal Hotel is Birmingham (BHX) - 236.3 km / 146.8 mi </p>,"<p><b>Property Location</b> <br />When you stay at Feathers Royal Hotel in Aberaeron, you'll be 6 minutes by car from Llanerchaeron.  This 5-star inn is 14.6 mi (23.5 km) from Cilgwyn Golf Club and 15.9 mi (25.6 km) from Aberystwyth Castle.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 13 guestrooms. Complimentary wireless Internet access is available to keep you connected. Conveniences include phones and coffee/tea makers, and you can also request irons/ironing boards.</p><p><b>Amenities</b> <br />Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.</p><p><b>Dining</b> <br />Grab a bite to eat at the inn's restaurant, which features a bar, or stay in and take advantage of the room service (during limited hours). A complimentary English breakfast is included.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include complimentary wired Internet access and luggage storage. Free self parking is available onsite.</p>",,Bar/lounge Coffee shop or café Free WiFi Free breakfast Free self parking Free wired Internet Front desk (limited hours) Luggage storage Meeting rooms Number of buildings/towers - 1 Number of floors - 3 Restaurant Total number of rooms - 13 Tours/ticket assistance,52.2415|-4.25679,,SA46 0AQ,
GB,United Kingdom,100646,Aberaeron,1733870,Llanina Arms Hotel,FourStar,A487 Llanarth SA47 0NP ,,"Situated 36 km from Clarach Bay, Llanina Arms offers 4-star accommodation in Llanarth and has a garden, a restaurant and a bar. This 4-star hotel offers free WiFi. The property is non-smoking and is located 23 km from Cilgerran Castle.

At the hotel, rooms include a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels.

Breakfast is available each morning, and includes Full English/Irish, vegetarian and vegan options.

You can play darts at this 4-star hotel.

Cardigan Castle is 29 km from Llanina Arms, while Aberystwyth Castle is 33 km from the property. The nearest airport is Cardiff Airport, 141 km from the accommodation.",,Parking Restaurant meeting/banquet facilities Bar Garden Non-smoking rooms Family rooms Free parking internet services Billiards Darts Packed lunches Heating wifi Free WiFi Non-smoking throughout designated smoking area Private check-in/check-out Special diet menus (on request) Daily housekeeping parking on site kids' outdoor play equipment Kid meals Wine/champagne Outdoor furniture Picnic area Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,52.19254|-4.31073,+441545581276,SA47 0NP,https://www.booking.com/hotel/gb/llanina-arms.html
GB,United Kingdom,100646,Aberaeron,5217278,Arosfa Harbourside Guest House,ThreeStar,1 Tabernacle Aberaeron  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cardigan Bay Marine Wildlife Centre - 1.6 km / 1 mi <br /> Llanerchaeron - 4.2 km / 2.6 mi <br /> Harbour Beach - 12 km / 7.5 mi <br /> Dolau Beach - 12.3 km / 7.6 mi <br /> Traeth y Quarry - 12.6 km / 7.9 mi <br /> New Quay Honey Farm - 14 km / 8.7 mi <br /> Traeth y Coubal - 14.3 km / 8.9 mi <br /> Traeth Soden - 17.4 km / 10.8 mi <br /> Cwmtydu Beach - 18.5 km / 11.5 mi <br /> Jane Beck Welsh Blankets - 19.9 km / 12.4 mi <br /> University of Wales  Trinity Saint David - 21.1 km / 13.1 mi <br /> Cae Hir Gardens - 21.6 km / 13.4 mi <br /> Traeth yr Ynys - 23 km / 14.3 mi <br /> Llangrannog Beach - 23.1 km / 14.4 mi <br /> Sculpture Heaven - 24.1 km / 15 mi <br /> </p><p>The nearest airports are:<br />Birmingham Airport (BHX) - 236.7 km / 147.1 mi<br /> Cardiff International Airport (CWL) - 160 km / 99.4 mi<br /> </p><p></p>,"<p>HeadLine : In Aberaeron</p><p>Location : Located in Aberaeron, Arosfa Harbourside Guest House is a 1-minute drive from Cardigan Bay Marine Wildlife Centre and 6 minutes from Llanerchaeron.  This bed & breakfast is 7.5 mi (12 km) from Harbour Beach and 7.6 mi (12.3 km) from Dolau Beach.</p><p>Rooms : Make yourself at home in one of the 8 individually decorated guestrooms. Digital television is provided for your entertainment. Conveniences include safes and complimentary newspapers.</p><p>Dining : At Arosfa Harbourside Guest House, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 8:00 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : There is no front desk at this property. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. The host will greet guests on arrival.</p>",,Dry cleaning/laundry service Distance from property (meters) - 10 Wheelchair accessible (may have limitations) Luggage storage Free parking nearby Distance from property (ft) - 33 Free breakfast Free WiFi Number of bars/lounges - 1 Daily Garden Smoke-free property In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Free self parking Free Cooked-to-Order Breakfast,52.24327|-4.261197,44-1545570120,SA46 0BN,
GB,United Kingdom,100646,Aberaeron,5241262,Water Street Aberaeron,FourStar,2 Water Street  ,,"Water Street in Aberaeron features accommodation with free WiFi, 26 km from Aberystwyth Castle, 26 km from Aberystwyth Library and 27 km from Aberystwyth University. The 4-star holiday home is 29 km from Clarach Bay.

The holiday home has 3 bedrooms, a TV, an equipped kitchen with a fridge and a dishwasher, a washing machine, and 2 bathrooms with a shower.

Aberystwyth Golf Club is 27 km from the holiday home, while Cilgerran Castle is 31 km from the property. The nearest airport is Cardiff Airport, 149 km from Water Street. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.",,internet services wifi Free WiFi Non-smoking throughout wifi available in all areas Beach,52.24167|-4.25883,,SA46 0DG,https://www.booking.com/hotel/gb/water-street-aberaeron.html
