countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CA,Canada,100210,"101 Mile House,   British Columbia",1002456,Sandman Hotel & Suites Williams Lake,TwoStar,664 Oliver St Williams LakeBritish Columbia V2G 1M6 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boitanio Mall - 0.4 km / 0.3 mi <br /> Museum of the Cariboo Chilcotin - 0.5 km / 0.3 mi <br /> Station House Gallery - 0.7 km / 0.4 mi <br /> Williams Lake - 1.4 km / 0.9 mi <br /> Scout Island Nature Centre - 1.8 km / 1.1 mi <br /> Williams Lake Visitor Center - 2.9 km / 1.8 mi <br /> Tourism Discovery Centre - 3 km / 1.8 mi <br /> Williams Lake Golf and Tennis Club - 3.4 km / 2.1 mi <br /> Bell-E-Acres Recreation - 7.2 km / 4.5 mi <br /> Coyote Rock Golf Course - 8.4 km / 5.2 mi <br /> Fraser River Breaks Provincial Park - 35.6 km / 22.1 mi <br /> Xatsull Heritage Village - 37 km / 23 mi <br /> Becher s Prairie Provincial Park - 38.8 km / 24.1 mi <br /> McLeese Lake - 45.2 km / 28.1 mi <br /> Cariboo Nature Provincial Park - 48.6 km / 30.2 mi <br /> </p><p>The preferred airport for Sandman Hotel & Suites Williams Lake is Williams Lake  BC (YWL-Williams Lake Regional) - 13.7 km / 8.5 mi </p>,"<p>HeadLine : Near Museum of the Cariboo Chilcotin</p><p>Location : A stay at Sandman Hotel & Suites Williams Lake places you in the heart of Williams Lake, within a 10-minute walk of Boitanio Mall and Museum of the Cariboo Chilcotin.  This hotel is 0.4 mi (0.7 km) from Station House Gallery and 0.8 mi (1.4 km) from Williams Lake.</p><p>Rooms : Make yourself at home in one of the 90 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy a meal at Dennys, or stay in and take advantage of the hotel s room service (during limited hours). Full breakfasts are available daily from 4 AM to 1 PM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-250-392-6242,Dry cleaning/laundry service Uncovered parking Wheelchair accessible (may have limitations) Vending machine Meeting rooms Television in common areas Free WiFi Number of indoor pools - 1 Upper floors accessible by stairs only In-room accessibility (in select rooms) Free use of nearby fitness center Accessible bathroom (in select rooms) Fireplace in lobby Off-street parking Luggage storage Coin laundry on site Business center 24-hour front desk Breakfast available (surcharge) Safe-deposit box at front desk Smoke-free property Free self parking Fitness facilities Computer station,52.12834|-122.13765,1-250-392-6557,V2G1M6,http://www.sandmanhotels.com/hotel/bc/williams_lake
CA,Canada,100210,"101 Mile House,   British Columbia",1004813,Echo Valley Ranch Resort,ThreeStar,10635 Jesmond Road JesmondBritish Columbia V0K 1K0 ,,"Property Location With a stay at Echo Valley Ranch And Spa in Jesmond, you''ll be connected to the airport and within the region of Big Bar Lake Provincial Park.Rooms Make yourself at home in one of the 20 individually decorated guestrooms. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers.Rec, Spa, Premium Amenities Pamper yourself with a visit to the spa, which offers massages, body treatments, and facials. You''re sure to appreciate the recreational amenities, including an indoor pool, a spa tub, and a sauna. Additional amenities include concierge services, supervised childcare/activities, and babysitting/childcare.Dining Satisfy your appetite at the resort''s restaurant, where you can enjoy drinks at a bar, take in a garden view, and even dine alfresco weather permitting. Dining is also available at a coffee shop/cafe. Mingle with other guests at a complimentary reception, held daily. Quench your thirst with your favorite drink at a bar/lounge. A complimentary hot/cold buffet breakfast is served daily.Business, Other Amenities Featured amenities include a business center, limo/town car service, and a computer station. Planning an event in Jesmond? This resort has facilities measuring 279 square feet 25 square meters, including meeting rooms. A train station pick-up service is provided at no charge available on request, and free self parking is available onsite.",+12504590086,Computer station Restaurant Free self parking American Express Sauna Library Spa tub Coffee/tea in lobby Caters to women only Visa Rooftop terrace Blackout drapes/curtains Garden,51.2412|-121.999,+12504592386,V0K 1K0,http://www.evranch.com
CA,Canada,100210,"101 Mile House,   British Columbia",1018923,Big Bar Guest Ranch,TwoStar,5960 Big Bar Road 5960 Big Bar RoadClintonBritish Columbia  V0K 1K0 ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Jesmond Peak - 6.3 km / 3.9 mi &lt;br /&gt;Big Bar Lake Provincial Park - 10.8 km / 6.7 mi &lt;br /&gt;Mount Bowman - 14.9 km / 9.3 mi &lt;br /&gt;Edge Hills Provincial Park - 26.8 km / 16.7 mi &lt;br /&gt;Downing Provincial Park - 35.9 km / 22.3 mi &lt;br /&gt;Chasm Provincial Park - 36 km / 22.3 mi &lt;br /&gt;Clinton Museum - 36.4 km / 22.6 mi &lt;br /&gt;Reg Conn Centennial Park - 36.8 km / 22.8 mi &lt;br /&gt;Pavilion Mountain - 42.5 km / 26.4 mi &lt;br /&gt;Flat Lake Provincial Park - 44.6 km / 27.7 mi &lt;br /&gt;Moose Valley Provincial Park - 46 km / 28.6 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Big Bar Guest Ranch is Kamloops  BC (YKA) - 126.7 km / 78.7 mi. &lt;/p&gt;,"<p><b>Property Location</b> <br />When you stay at Big Bar Guest Ranch in Jesmond, you''ll be on a lake and within the vicinity of Jesmond Peak.  This ranch is within the region of Big Bar Lake Provincial Park and Mount Bowman.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 16 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Housekeeping is provided daily, and rollaway/extra beds (complimentary) can be requested.</p><p><b>Amenities</b> <br />Enjoy recreation amenities such as bicycles to rent or take in the view from a garden. Additional amenities include complimentary wireless Internet access, an arcade/game room, and wedding services.</p><p><b>Dining</b> <br />Enjoy a satisfying meal at a restaurant serving guests of Big Bar Guest Ranch. Buffet breakfasts are available daily for a fee.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",,Shower Breakfast available (surcharge) Private bathrooms Billiards / Pool Table Extra Bed/Sofa Bed Free self parking Restaurant Free Wireless Internet access (inroom) Wedding services Picnic area Pets allowed Fire Place Only service dogs are allowed Limited Time Reception Visa MasterCard Garden Game room Free Wireless Internet access,51.3082498|-121.9797837,+18776552333,V0K 1K0,http://www.bigbarranch.com/#ranchactivities
CA,Canada,100210,"101 Mile House,   British Columbia",1032607,Best Western Williams Lake Hotel,TwoStar,Broadway Avenue S 1850 Williams LakeBritish Columbia V2G 5G8 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tourism Discovery Centre - 0.4 km / 0.2 mi <br /> Williams Lake Visitor Center - 0.5 km / 0.3 mi <br /> Williams Lake - 0.6 km / 0.4 mi <br /> Boitanio Mall - 3 km / 1.9 mi <br /> Museum of the Cariboo Chilcotin - 3.7 km / 2.3 mi <br /> Scout Island Nature Centre - 3.9 km / 2.4 mi <br /> Station House Gallery - 4.3 km / 2.6 mi <br /> Williams Lake Golf and Tennis Club - 5 km / 3.1 mi <br /> Coyote Rock Golf Course - 5.6 km / 3.5 mi <br /> Bell-E-Acres Recreation - 9.2 km / 5.7 mi <br /> Xatsull Heritage Village - 38.9 km / 24.1 mi <br /> Fraser River Breaks Provincial Park - 38.9 km / 24.2 mi <br /> Becher s Prairie Provincial Park - 40.8 km / 25.3 mi <br /> Cariboo Nature Provincial Park - 45.8 km / 28.5 mi <br /> McLeese Lake - 47.1 km / 29.2 mi <br /> </p><p>The preferred airport for Best Western Williams Lake Hotel is Williams Lake  BC (YWL-Williams Lake Regional) - 15.7 km / 9.7 mi </p>,"<p>HeadLine : Near Tourism Discovery Centre</p><p>Location : With a stay at Best Western Williams Lake Hotel in Williams Lake, you ll be a 5-minute walk from Tourism Discovery Centre and 6 minutes by foot from Williams Lake Visitor Center.  This hotel is 0.4 mi (0.6 km) from Williams Lake and 1.9 mi (3 km) from Boitanio Mall.</p><p>Rooms : Make yourself at home in one of the 64 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers and irons/ironing boards, as well as phones with free local calls.</p><p>Dining : A complimentary continental breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 12:30 PM please contact the property in advance using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1-778-412-9081,Wheelchair accessible (may have limitations) Vending machine Express check-in Wheelchair-accessible path to elevator Swimming pool Wheelchair-accessible registration desk Wheelchair-accessible fitness center Free WiFi Wheelchair-accessible pool Wheelchair-accessible public washroom Well-lit path to entrance Number of indoor pools - 1 In-room accessibility (in select rooms) Internet access in public areas - high speed Wheelchair accessible parking Stair-free path to entrance Free newspapers in lobby Accessible bathroom (in select rooms) Fireplace in lobby Free continental breakfast Free breakfast Business center 24-hour front desk Daily Spa services on site Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Free self parking Fitness facilities Computer station,52.122692|-122.09152,1-778-4129000,V2G5G8,http://book.bestwestern.com/bestwestern/CA/BC/Williams-Lake-hotels/BEST-WESTERN-Williams-Lake-Hotel/
CA,Canada,100210,"101 Mile House,   British Columbia",1062844,Ten ee ah Lodge & Campground,FourStar,1799 Spout Lake Road PO Box 157Lac La HacheBritish Columbia ,,"This rustic property overlooks Spout Lake and features free standing cabins with fully equipped kitchen/kitchenettes. The property also offers guided horseback riding and motorboat rental.

Cabins include a private bathroom and seating area. The cabins also feature front porches with a view of Spout Lake.

The property provides canoes and kayaks to explore Spout Lake. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.

- Please be aware that due to the Covid-19 the restaurant is closed and no meals are served.",+18668607899,physical distancing rules followed board games/puzzles Fishing delivered food is securely covered kids' outdoor play equipment process in place to check health of guests hand sanitizer in guest accommodation and key areas Canoeing contactless check-in/check-out designated smoking area Fire extinguishers Indoor play area Non-smoking rooms screens or physical barriers placed between staff and guests in appropriate areas Special diet menus (on request) gift shop books  dvds  music for children first aid kit available shared stationery such as printed menus  magazines  pens  and paper removed Terrace Parking Heating Hiking wifi children's playground physical distancing in dining areas Sun terrace Non-smoking throughout guests have the option to cancel any cleaning services for their accommodation during their stay Packed lunches all plates  cutlery  glasses and other tableware have been sanitized Free WiFi Snack Bar Restaurant Smoke alarms linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning Kid-friendly buffet Games room Horse riding guest accommodation is disinfected between stays Bar Pets allowed use of cleaning chemicals that are effective against coronavirus cashless payment available Free parking Kid meals Library internet services staff follow all safety protocols as directed by local authorities On-site parking,52.00686|-121.45042,1-250-434-9745,V0K 1T0,https://www.booking.com/hotel/ca/lac-la-hache-1799-spout-lake-road.html
CA,Canada,100210,"101 Mile House,   British Columbia",1110034,Ramada Limited 100 Mile House,TwoStar,917 Alder Avenue 100 Mile HouseBritish Columbia V0K 2E0 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Big Country Lanes - 0.3 km / 0.2 mi <br /> Thompson Rivers University-100 Mile House Campus - 1.2 km / 0.8 mi <br /> South Cariboo Chamber of Commerce - 1.4 km / 0.9 mi <br /> South Cariboo Recreation Center - 1.5 km / 0.9 mi <br /> Centennial Park - 1.5 km / 0.9 mi <br /> Parkside Art Gallery - 1.5 km / 1 mi <br /> 100 Mile House Visitor Centre - 1.6 km / 1 mi <br /> 100 Mile Nordic Ski Society - 2.3 km / 1.4 mi <br /> 108 Golf Resort - 13.8 km / 8.6 mi <br /> 108 Mile Ranch Heritage Site - 15.7 km / 9.8 mi <br /> Flat Lake Provincial Park - 23.6 km / 14.6 mi <br /> Moose Valley Provincial Park - 25.2 km / 15.7 mi <br /> Green Lake - 26.5 km / 16.5 mi <br /> Ruth Lake Provincial Park - 33.6 km / 20.9 mi <br /> Sulphurous Lake - 38.9 km / 24.2 mi <br /> </p><p>The preferred airport for Ramada by Wyndham 100 Mile House is Kamloops  BC (YKA) - 204.2 km / 126.9 mi </p>,"<p>HeadLine : Near Big Country Lanes</p><p>Location : With a stay at Ramada by Wyndham 100 Mile House in 100 Mile House, you ll be near the airport, just a 3-minute walk from Big Country Lanes and 15 minutes by foot from Thompson Rivers University-100 Mile House Campus.  This hotel is 0.9 mi (1.5 km) from Centennial Park and 0.9 mi (1.5 km) from 100 Mile House Visitor Centre.</p><p>Rooms : Make yourself at home in one of the 37 air-conditioned rooms featuring refrigerators and microwaves. Flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 6:30 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-250-395-2037,Wheelchair accessible (may have limitations) Wheelchair accessible Free RV  bus  truck parking Vending machine Free self parking Luggage storage Fitness facilities Free continental breakfast Free breakfast Coin laundry on site Multilingual staff 24-hour front desk Television in common areas Free WiFi Downhill skiing nearby Daily Golfing nearby In-room accessibility (in select rooms) Internet access in public areas - high speed Laundry facilities Free newspapers in lobby Sauna Accessible bathroom (in select rooms),51.63123|-121.30049,1-250-3952777,VOK 2EO,http://www.ramada.com/hotels/british-columbia/100-mile-house/ramada-limited-100-mile-house/hotel-ove
CA,Canada,100210,"101 Mile House,   British Columbia",1161426,Hamilton Hotel,TwoStar,South 6Th Avenue 55 V2g 1K8 Williams Lake V2G 1K8 Williams LakeBritish Columbia ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boitanio Mall - 0.5 km / 0.3 mi <br /> Museum of the Cariboo Chilcotin - 0.7 km / 0.4 mi <br /> Station House Gallery - 0.9 km / 0.6 mi <br /> Williams Lake - 1.3 km / 0.8 mi <br /> Scout Island Nature Centre - 1.6 km / 1 mi <br /> Williams Lake Visitor Center - 3.1 km / 1.9 mi <br /> Tourism Discovery Centre - 3.1 km / 1.9 mi <br /> Williams Lake Golf and Tennis Club - 3.3 km / 2 mi <br /> Bell-E-Acres Recreation - 7.3 km / 4.5 mi <br /> Coyote Rock Golf Course - 8.5 km / 5.3 mi <br /> Fraser River Breaks Provincial Park - 35.8 km / 22.2 mi <br /> Xatsull Heritage Village - 37.1 km / 23 mi <br /> Becher s Prairie Provincial Park - 38.9 km / 24.2 mi <br /> McLeese Lake - 45.3 km / 28.1 mi <br /> Cariboo Nature Provincial Park - 48.7 km / 30.2 mi <br /> </p><p>The nearest airports are:<br />Kamloops  BC (YKA) - 296.8 km / 184.4 mi<br /> Williams Lake  BC (YWL-Williams Lake Regional) - 13.9 km / 8.6 mi<br /> </p><p></p>,"<p>HeadLine : Near Museum of the Cariboo Chilcotin</p><p>Location : With a stay at Hamilton Hotel in Williams Lake, you ll be within a 10-minute walk of Boitanio Mall and Museum of the Cariboo Chilcotin.  This hotel is 0.5 mi (0.8 km) from Station House Gallery and 0.9 mi (1.5 km) from Williams Lake.</p><p>Rooms : Make yourself at home in one of the 40 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 7:00 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 10:00 PM. If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",12503924852,Free continental breakfast Free airport transportation Comprehensive food waste policy Annual carbon offsets Wheelchair accessible (may have limitations) Comprehensive recycling policy Free RV  bus  truck parking Humane animal treatment Number of meeting rooms - 1 Conference space size (meters) - 46 Change of bed sheets (on request) Wheelchair-accessible registration desk Free WiFi Bicycle parking available Change of towels (on request) Upper floors accessible by stairs only Garden In-room accessibility (in select rooms) Wheelchair accessible parking Accessible bathroom (in select rooms) Energy-saving switches Energy-saving features in guest rooms Water-efficient toilets only Water dispenser use by guests actively encouraged Free breakfast Business center Front desk (limited hours) Water dispenser Secured bicycle storage Daily Barbecue grill(s) Housekeeping on request Smoke-free property Free self parking Conference space Double-glazing on all windows Locally-sourced food on site (80% or more) Conference space size (feet) - 500 Concierge services,52.126973|-122.13786,1-7787104840,V2G 1K8,http://www.hamilton-hotels.com/index.html
CA,Canada,100210,"101 Mile House,   British Columbia",1204427,Red Coach Inn,ThreeStar,"Highway, 97 101 MILE HOUSE ",,This lovely null is in William Lakes area. This null offers a total of 49 null.,1-604-9423238,Hotel,51.64902|-121.2966,+12503952266,BC V0K 2E0,
CA,Canada,100210,"101 Mile House,   British Columbia",1215327,Super 8 by Wyndham 100 Mile House,TwoStar,989 Alder Ave Hwy 97 and Alder Ave Highway 97100 Mile HouseBritish Columbia V0E 2E0 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Big Country Lanes - 0.5 km / 0.3 mi <br /> Thompson Rivers University-100 Mile House Campus - 1.4 km / 0.8 mi <br /> South Cariboo Chamber of Commerce - 1.6 km / 1 mi <br /> South Cariboo Recreation Center - 1.6 km / 1 mi <br /> Centennial Park - 1.6 km / 1 mi <br /> Parkside Art Gallery - 1.7 km / 1 mi <br /> 100 Mile House Visitor Centre - 1.7 km / 1.1 mi <br /> 100 Mile Nordic Ski Society - 2.5 km / 1.6 mi <br /> 108 Golf Resort - 14 km / 8.7 mi <br /> 108 Mile Ranch Heritage Site - 15.9 km / 9.9 mi <br /> Flat Lake Provincial Park - 23.4 km / 14.5 mi <br /> Moose Valley Provincial Park - 25 km / 15.5 mi <br /> Green Lake - 26.3 km / 16.4 mi <br /> Ruth Lake Provincial Park - 33.8 km / 21 mi <br /> Sulphurous Lake - 39.1 km / 24.3 mi <br /> </p><p>The preferred airport for Super 8 by Wyndham 100 Mile House is Williams Lake  BC (YWL-Williams Lake Regional) - 105 km / 65.2 mi </p>,"<p>HeadLine : Near Big Country Lanes</p><p>Location : When you stay at Super 8 by Wyndham 100 Mile House in 100 Mile House, you ll be in the mountains, within a 5-minute drive of Big Country Lanes and Thompson Rivers University-100 Mile House Campus.  This motel is 1.1 mi (1.7 km) from Centennial Park and 1.1 mi (1.7 km) from 100 Mile House Visitor Centre.</p><p>Rooms : Make yourself at home in one of the 28 guestrooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : A complimentary on-the-go breakfast is served daily from 6:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-250-395-8880,Uncovered parking Wheelchair accessible (may have limitations) Wheelchair accessible Free RV  bus  truck parking Free breakfast to go Free breakfast 24-hour front desk Wheelchair-accessible registration desk Television in common areas Free WiFi Daily Well-lit path to entrance Golfing nearby Upper floors accessible by stairs only Smoke-free property In-room accessibility (in select rooms) Wheelchair accessible parking Accessible bathroom (in select rooms) Free self parking Computer station,51.629395|-121.30063,1-250-3958888,V0E 2E0,http://www.super8.com/hotels/british-columbia/100-mile-house/super-8-one-hundred-mile-house/hotel-ov
CA,Canada,100210,"101 Mile House,   British Columbia",1293906,Ramada by Wyndham Williams Lake,TwoStar,1118 Lakeview Crescent Williams LakeBritish Columbia V2G 1A3 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boitanio Mall - 0.7 km / 0.4 mi <br /> Williams Lake - 0.7 km / 0.5 mi <br /> Scout Island Nature Centre - 1.3 km / 0.8 mi <br /> Museum of the Cariboo Chilcotin - 1.4 km / 0.9 mi <br /> Station House Gallery - 1.9 km / 1.2 mi <br /> Williams Lake Visitor Center - 2 km / 1.2 mi <br /> Tourism Discovery Centre - 2 km / 1.3 mi <br /> Williams Lake Golf and Tennis Club - 2.9 km / 1.8 mi <br /> Bell-E-Acres Recreation - 6.9 km / 4.3 mi <br /> Coyote Rock Golf Course - 7.6 km / 4.7 mi <br /> Xatsull Heritage Village - 36.5 km / 22.7 mi <br /> Fraser River Breaks Provincial Park - 36.6 km / 22.7 mi <br /> Becher s Prairie Provincial Park - 38.5 km / 23.9 mi <br /> McLeese Lake - 44.7 km / 27.8 mi <br /> Cariboo Nature Provincial Park - 47.7 km / 29.6 mi <br /> </p><p>The preferred airport for Ramada by Wyndham Williams Lake is Williams Lake  BC (YWL-Williams Lake Regional) - 13.3 km / 8.3 mi </p>,"<p>HeadLine : Near Boitanio Mall</p><p>Location : A stay at Ramada by Wyndham Williams Lake places you in the heart of Williams Lake, within a 10-minute walk of Boitanio Mall and Williams Lake.  This hotel is 0.5 mi (0.9 km) from Scout Island Nature Centre and 0.9 mi (1.5 km) from Museum of the Cariboo Chilcotin.</p><p>Rooms : Make yourself at home in one of the 57 air-conditioned rooms featuring refrigerators and microwaves. Wired and wireless Internet access is complimentary, and flat-screen televisions with cable programming provide entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : Grab a bite at Lakeview Tandoori Bistro, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 3:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.   Rollaway beds are only available for guests under 12 years of age.</p>",1-250-392-3983,Conference space ATM/banking Conference space size (feet) - 1650 Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Wheelchair accessible Vending machine Business center Meeting rooms Conference space size (meters) - 153 24-hour front desk Free wired Internet Free WiFi Number of bars/lounges - 1 Designated smoking areas Internet access in public areas - high speed Wheelchair accessible parking Accessible bathroom (in select rooms) RV  bus  truck parking elevator Fitness facilities,52.127|-122.1241,1-250-3923321,V2G1A3,http://www.ramada.com/hotels/british-columbia/williams-lake/ramada-williams-lake-bc/hotel-overview
