countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
MY,Malaysia,101095,Alor Setar,1057138,Hotel ASRC,ThreeStar,No. 58 Lebuhraya Darulaman 05100 Alor Setar ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aman Central - 0.5 km / 0.3 mi <br /> Alor Setar Tower - 0.6 km / 0.4 mi <br /> Menara Alor Star - 0.8 km / 0.5 mi <br /> Yellow Palace - 0.8 km / 0.5 mi <br /> Galeri Sultan Abdul Halim - 1 km / 0.6 mi <br /> Muzium Negeri - 1 km / 0.6 mi <br /> Balai Nobat - 1.1 km / 0.7 mi <br /> Clock Tower - 1.1 km / 0.7 mi <br /> Padang - 1.2 km / 0.7 mi <br /> Zahir Mosque - 1.2 km / 0.7 mi <br /> Balai Besar - 1.2 km / 0.8 mi <br /> Kedah Royal Museum - 1.3 km / 0.8 mi <br /> Darul Aman Stadium - 1.3 km / 0.8 mi <br /> Wat Nikrodharam - 1.3 km / 0.8 mi <br /> Kedah State Art Gallery - 1.3 km / 0.8 mi <br /> </p><p>The nearest major airport is Alor Setar (AOR-Sultan Abdul Halim) - 9.9 km / 6.1 mi</p>,"<p>HeadLine : Near Aman Central</p><p>Location : A stay at Hotel ASRC places you in the heart of Alor Setar, within a 10-minute walk of Aman Central and Alor Setar Tower.  This hotel is 7.6 mi (12.3 km) from Kuala Kedah Jetty and 0.4 mi (0.7 km) from Menara Alor Star.</p><p>Rooms : Make yourself at home in one of the 44 air-conditioned rooms featuring LED televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks and electric kettles, and housekeeping is provided once per stay.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",60-4-7328317,Wheelchair accessible (may have limitations) Free parking nearby Meeting rooms Wheelchair-accessible path to elevator 24-hour front desk Swimming pool Free wired Internet Wheelchair-accessible registration desk Television in common areas Free WiFi Number of outdoor pools - 1 Smoke-free property Wheelchair accessible parking Laundry facilities Children's pool Free newspapers in lobby Accessible bathroom (in select rooms) elevator Free self parking Access to nearby outdoor pool,6.12951|100.36829,60-4-7328313,05100,
MY,Malaysia,101095,Alor Setar,1088204,StarCity Hotel Alor Setar,ThreeStar,88 Jalan Pintu Sepuluh 05100 Alor SetarKedah ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aman Central - 0.2 km / 0.1 mi <br /> Muzium Negeri - 0.3 km / 0.2 mi <br /> Alor Setar Tower - 0.4 km / 0.3 mi <br /> Galeri Sultan Abdul Halim - 0.5 km / 0.3 mi <br /> Yellow Palace - 0.5 km / 0.3 mi <br /> Balai Nobat - 0.6 km / 0.4 mi <br /> Menara Alor Star - 0.6 km / 0.4 mi <br /> Clock Tower - 0.7 km / 0.4 mi <br /> Padang - 0.7 km / 0.4 mi <br /> Zahir Mosque - 0.7 km / 0.5 mi <br /> Kedah Royal Museum - 0.8 km / 0.5 mi <br /> Balai Besar - 0.8 km / 0.5 mi <br /> Kedah State Art Gallery - 0.9 km / 0.5 mi <br /> Pekan Rabu Complex - 1.3 km / 0.8 mi <br /> Wat Nikrodharam - 1.4 km / 0.8 mi <br /> </p><p>The nearest airports are:<br />Kuala Lumpur International Airport (KUL) - 476.8 km / 296.3 mi<br /> Alor Setar (AOR-Sultan Abdul Halim) - 11.2 km / 7 mi<br /> </p><p>The preferred airport for StarCity Hotel Alor Setar is Kuala Lumpur International Airport (KUL). </p>,"<p>HeadLine : Near Muzium Negeri</p><p>Location : Located in Alor Setar, StarCity Hotel Alor Setar is in the business district, within a 5-minute walk of Aman Central and Muzium Negeri.  This hotel is 7.4 mi (11.8 km) from Kuala Kedah Jetty and 0.3 mi (0.5 km) from Galeri Sultan Abdul Halim.</p><p>Rooms : Make yourself at home in one of the 98 air-conditioned rooms featuring minibars. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Bathrooms feature showers with rainfall showerheads and complimentary toiletries. Conveniences include phones, as well as desks and complimentary newspapers.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, The Paddy, or stay in and take advantage of the room service (during limited hours). Local cuisine breakfasts are available daily from 7:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : </p>",60-4-7355999,24-hour business center Dry cleaning/laundry service Parking (limited spaces) Meeting rooms 24-hour front desk Free wired Internet Breakfast available (surcharge) Free WiFi Safe-deposit box at front desk In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Wedding services Accessible bathroom (in select rooms) elevator Free self parking Conference space Computer station,6.124218|100.364215,+60 4 7355888,05100,http://www.starcity.com.my/
MY,Malaysia,101095,Alor Setar,1185730,Sentosa Regency Hotel,ThreeStar,250 Jalan Putra Kedah05100 Alor Setra ,,"Sentosa Regency Hotel is located in Alor Setar. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi throughout the property. There is free private parking and the property provides paid airport shuttle service.

The hotel offers a continental or buffet breakfast.

Kangar is 40 km from Sentosa Regency Hotel, while Kuala Perlis is 40 km away. The nearest airport is Sultan Abdul Halim Airport, 9 km from the accommodation. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
A tourist tax of RM 10 per room per night is applied to all foreign guests. This tax is not included in the room rate and must be paid upon check-in. Guests with a valid Malaysian Identity Card or valid permanent residents MY PR Card are exempted.",006047308999,Daily housekeeping Restaurant hand sanitizer in guest accommodation and key areas thermometers for guests provided by property On-site parking Luggage storage Smoke alarms meeting/banquet facilities CCTV in common areas wifi available in all areas concierge service Bridal suite lift Airport shuttle Fire extinguishers Safety Deposit Box 24-hour front desk Ironing service staff follow all safety protocols as directed by local authorities Private parking express check-in/check-out wifi 24-hour security Security alarm Parking Laundry internet services Free WiFi CCTV outside property Free parking Air conditioning Facilities for disabled guests Family rooms Room service airport shuttle (additional charge) Fax/photocopying dry cleaning Business centre Private check-in/check-out physical distancing rules followed,6.1236|100.36184,6047303999,05150,https://www.booking.com/hotel/my/sentosa-regency.html
MY,Malaysia,101095,Alor Setar,1189494,Hotel Seri Malaysia Alor Setar,ThreeStar,"Jalan Stadium Alor Setar City Center Daerah Kota Star, Jalan Stadium Daerah Kota StarJalan Stadium05100 Alor Setar ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Darul Aman Stadium - 0.4 km / 0.3 mi <br /> Wat Nikrodharam - 1.1 km / 0.7 mi <br /> Aman Central - 1.5 km / 0.9 mi <br /> Alor Setar Tower - 1.7 km / 1 mi <br /> Menara Alor Star - 1.8 km / 1.1 mi <br /> Yellow Palace - 1.9 km / 1.2 mi <br /> Muzium Negeri - 2 km / 1.2 mi <br /> Galeri Sultan Abdul Halim - 2.1 km / 1.3 mi <br /> Balai Besar - 2.2 km / 1.4 mi <br /> Kedah Royal Museum - 2.2 km / 1.4 mi <br /> Balai Nobat - 2.2 km / 1.4 mi <br /> Clock Tower - 2.2 km / 1.4 mi <br /> Pekan Rabu Complex - 2.2 km / 1.4 mi <br /> Padang - 2.2 km / 1.4 mi <br /> Zahir Mosque - 2.2 km / 1.4 mi <br /> </p><p>The preferred airport for Hotel Seri Malaysia Alor Setar is Alor Setar (AOR-Sultan Abdul Halim) - 9.5 km / 5.9 mi </p>,"<p>HeadLine : Near Darul Aman Stadium</p><p>Location : With a stay at Hotel Seri Malaysia Alor Setar, you ll be centrally located in Alor Setar, just a 5-minute walk from Darul Aman Stadium and 13 minutes by foot from Wat Nikrodharam.  This hotel is 8.5 mi (13.7 km) from Kuala Kedah Jetty and 1.2 mi (1.9 km) from Aman Central.</p><p>Rooms : Make yourself at home in one of the 100 air-conditioned rooms featuring refrigerators. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include safes and desks.</p><p>Dining : Enjoy a meal at Cafe Seri Sayang, or stay in and take advantage of the hotel s room service. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival. At check-in, guests must provide a record of full COVID-19 vaccination. The COVID-19 vaccination record requirement applies to all guests aged 16 and up; guests must have received complete COVID-19 vaccination at least 14 days prior to check-in.</p>",60-3-22997788,Dry cleaning/laundry service Vending machine Luggage storage Grocery/convenience store Number of meeting rooms - 1 24-hour front desk Breakfast available (surcharge) Free WiFi Designated smoking areas Barbecue grill(s) Safe-deposit box at front desk In-room accessibility (in select rooms) Laundry facilities Free newspapers in lobby Free self parking,6.134605|100.373057,60-3-22997777,05100,http://www.serimalaysia.com.my/Hotels/HsmAlorSetar
MY,Malaysia,101095,Alor Setar,1245076,The Regency Alor Star,ThreeStar,Lot 134 141 Jalan Sultan Badlishah 05000 Alor SetarKedah Darul Aman ,,"Centrally located in Alor Setar, The Jerai Hotel Alor Star features a restaurant and air-conditioned guest rooms. Free WiFi is accessible throughout and for guests who drive, free parking is provided.

Each room is equipped with coffee/tea making facilities and a TV. Shower facilities are available in the en suite bathroom, while hairdryer is provided upon request.

Seribu Gantang Restaurant features open kitchen concept and serves variety of cuisines.

Staff at the 24-hour front desk are ready to assist you with luggage storage and room service. Guests can use the business centre as well as meeting rooms at a surcharge. Laundry and postage services are also available.

The Jerai Hotel Alor Star is 600 metres from Kedah Royal Museum and 900 metres to Masjid Zahir. Sultan Abdul Halim Airport is 15 km from the property. Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
From 1st January 2023, a tourist tax of RM 10 per room per night is applied to all foreign guests. This tax is not included in the room rate and must be paid upon check-in. Guests with a valid Malaysian Identity Card or valid permanent residents MY PR Card are exempted.",+6047335263,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Business centre Laundry dry cleaning Ironing service Free parking internet services lift Fax/photocopying Luggage storage wifi Free WiFi Air conditioning concierge service parking on site physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas physical distancing rules followed,6.11824|100.36818,+6047335917,05000,https://www.booking.com/hotel/my/the-regency-alor-star.html
MY,Malaysia,101095,Alor Setar,1245269,Hotel Grand Crystal,ThreeStar,40 Jalan Kampung Perak 05100 Alor StarKedah Darul Aman ,,"Hotel Grand Crystal is a 25-minute drive from shopping options at Duty Free Complex at Bukit Kayu Hitam and Danok Town.  It features an outdoor pool and a coffee house.

Rooms at Grand Crystal Hotel are equipped with air conditioning and satellite TV. Private bathrooms come with a bathtub and hairdryer. A mini fridge and coffee/tea maker are also provided.

A variety of Malaysian delicacies and continental dishes are served at the hotels Putra Coffee House. Alternatively, room service is provided.

Guests who drive can enjoy free parking at Grand Crystal. Aside from a 24-hour front desk, the hotel also provides laundry services. Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
From 1st January 2023, a tourist tax of RM 10 per room per night is applied to all foreign guests. This tax is not included in the room rate and must be paid upon check-in. Guests with a valid Malaysian Identity Card or valid permanent residents MY PR Card are exempted.",6047316368,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Non-smoking rooms Laundry dry cleaning Facilities for disabled guests Family rooms Free parking internet services Safety Deposit Box Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning parking on site Private parking wifi available in all areas Swimming pool Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered thermometers for guests provided by property,6.12202|100.36258,(60) 47313333,05100,https://www.booking.com/hotel/my/grand-crystal.html
MY,Malaysia,101095,Alor Setar,1245270,Holiday Villa Alor Setar City Centre Kedah,FourStar,"Lot 162,163, Jalan Tunku Ibrahim, Bandar Alor Star KEDAH DARUL AMAN ",Alor Setar Telecom Tower: within 1000 metre  Tun Dr Mahathir Birth Place Museum: within 1000 metre ,"This hotel, situated centrally in Alor Setar, is joined with the City Plaza Shopping complex. Guests will enjoy a vast selection of entertainment, business, and commercial areas within an easy walking distance of the hotel. The guestrooms are designed professionally and feature a sophisticated design theme. 
The design model combines modern and traditional Malay styles to produce a uniquely restive atmosphere. The 118-seat Lagenda Restaurant offers 24-hour service and a unique compilation of fine cuisines in an accommodating atmosphere.",,Hotel American Express JCB Diners Club MasterCard Visa Visa Electrón Bathroom Shower Bathtub Hairdryer Slippers Direct dial telephone TV Minibar Ironing set Centrally regulated air conditioning Safe Room service Laundry service Air conditioning in public areas Hotel safe Currency exchange facilities Lift access Shop Gym Restaurant Non-smoking area Air conditioning in Restaurant Conference room Spa centre Breakfast Only Adults Children get free accommodation  meals payable on the spot,6.117975|100.370027,,05000,http://www.holidayvillahotels.com/malaysia/alor-setar/holiday-villa-kedah/
MY,Malaysia,101095,Alor Setar,1404523,T Hotel Alor Setar,ThreeStar,No.888 Batu 2 1 2 Lebuhraya Sultan Abdul Halim 05400 Alor SetarKedah ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alor Star Mall - 0.9 km / 0.5 mi <br /> Rumah Kelahiran Mahathir - 4 km / 2.5 mi <br /> Mahathirs Birthplace - 4 km / 2.5 mi <br /> Pekan Rabu Complex - 4.6 km / 2.8 mi <br /> Kedah State Art Gallery - 4.7 km / 2.9 mi <br /> Padang - 4.7 km / 2.9 mi <br /> Zahir Mosque - 4.8 km / 3 mi <br /> Kedah Royal Museum - 4.9 km / 3 mi <br /> Clock Tower - 4.9 km / 3 mi <br /> Balai Besar - 4.9 km / 3 mi <br /> Galeri Sultan Abdul Halim - 5 km / 3.1 mi <br /> Balai Nobat - 5 km / 3.1 mi <br /> Aman Central - 4.5 km / 2.8 mi <br /> Alor Setar Tower - 4.5 km / 2.8 mi <br /> Yellow Palace - 4.6 km / 2.9 mi <br /> </p><p>The nearest major airport is Alor Setar (AOR-Sultan Abdul Halim) - 23.5 km / 14.6 mi</p>,"<p>HeadLine : Near Alor Star Mall</p><p>Location : Located in Alor Setar, T+ Hotel Sungai Korok is within a 5-minute drive of Kedah State Art Gallery and Balai Besar.  This hotel is 2.6 mi (4.2 km) from Kedah Royal Museum and 2.7 mi (4.4 km) from Pekan Rabu Complex.</p><p>Rooms : Make yourself at home in one of the 34 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",60-04-7710888,Dry cleaning/laundry service Designated smoking areas Free newspapers in lobby Wheelchair accessible  no Free self parking 24-hour front desk Free WiFi,6.085162|100.362966,+60 04 7712888,05400,http://book.thotel.com.my/rev/booking/AS3|http://n
MY,Malaysia,101095,Alor Setar,1406248,The Leverage Business Hotel Mergong,TwoStar,12 Jalan Lengkok Sari Taman Bandar Baru Mergong Taman Bandar Baru Mergong05150 Alor SetarKedah Darul Aman ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Muzium Negeri - 3.6 km / 2.3 mi <br /> Galeri Sultan Abdul Halim - 3.8 km / 2.3 mi <br /> Clock Tower - 3.8 km / 2.4 mi <br /> Padang - 3.9 km / 2.4 mi <br /> Balai Nobat - 3.9 km / 2.4 mi <br /> Zahir Mosque - 3.9 km / 2.4 mi <br /> Aman Central - 3.9 km / 2.4 mi <br /> Balai Besar - 3.9 km / 2.4 mi <br /> Kedah Royal Museum - 4 km / 2.5 mi <br /> Alor Setar Tower - 4 km / 2.5 mi <br /> Kedah State Art Gallery - 4 km / 2.5 mi <br /> Yellow Palace - 4.2 km / 2.6 mi <br /> Menara Alor Star - 4.2 km / 2.6 mi <br /> Rumah Kelahiran Mahathir - 4.3 km / 2.7 mi <br /> Mahathirs Birthplace - 4.3 km / 2.7 mi <br /> </p><p>The nearest major airport is Alor Setar (AOR-Sultan Abdul Halim) - 12.2 km / 7.6 mi</p>,"<p>HeadLine : Near Muzium Negeri</p><p>Location : Located in Alor Setar, The Leverage Business Hotel Mergong is in a shopping district, within a 5-minute drive of Galeri Sultan Abdul Halim and Muzium Negeri.  This hotel is 6.8 mi (10.9 km) from Kuala Kedah Jetty and 2.4 mi (3.8 km) from Clock Tower.</p><p>Rooms : Make yourself at home in one of the 88 air-conditioned rooms featuring LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include phones, as well as safes and desks.</p><p>Dining : Take advantage of the hotel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",60-04-7307555,Safe-deposit box at front desk Smoke-free property Wheelchair accessible (may have limitations) Free parking nearby elevator Free self parking Business center Meeting rooms 24-hour front desk Free WiFi,6.130284|100.342826,+60 04 7355555,05100,http://www.leveragehotel.com
MY,Malaysia,101095,Alor Setar,1406569,Fuller Hotel,TwoStar,No. 1 Kompleks Perniagaan Pintu 10 Jalan Pintu Sepuluh Jalan Pintu Sepuluh05100 Alor SetarKedah ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aman Central - 0.1 km / 0.1 mi <br /> Muzium Negeri - 0.3 km / 0.2 mi <br /> Alor Setar Tower - 0.4 km / 0.2 mi <br /> Yellow Palace - 0.5 km / 0.3 mi <br /> Galeri Sultan Abdul Halim - 0.5 km / 0.3 mi <br /> Menara Alor Star - 0.5 km / 0.3 mi <br /> Clock Tower - 0.6 km / 0.4 mi <br /> Balai Nobat - 0.6 km / 0.4 mi <br /> Zahir Mosque - 0.7 km / 0.5 mi <br /> Balai Besar - 0.8 km / 0.5 mi <br /> Padang - 0.8 km / 0.5 mi <br /> Kedah Royal Museum - 0.8 km / 0.5 mi <br /> Kedah State Art Gallery - 0.9 km / 0.5 mi <br /> Wat Nikrodharam - 1.2 km / 0.8 mi <br /> Pekan Rabu Complex - 1.3 km / 0.8 mi <br /> </p><p>The preferred airport for Fuller Hotel is Alor Setar (AOR-Sultan Abdul Halim) - 11 km / 6.8 mi </p>,"<p>HeadLine : Near Aman Central</p><p>Location : A stay at Fuller Hotel places you in the heart of Alor Setar, steps from Aman Central and 4 minutes by foot from Muzium Negeri.  This hotel is 7.4 mi (11.9 km) from Kuala Kedah Jetty and 0.3 mi (0.5 km) from Galeri Sultan Abdul Halim.</p><p>Rooms : Make yourself at home in one of the 132 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",60-04-7355666,Banquet hall Wheelchair accessible (may have limitations) Luggage storage Number of meeting rooms - 2 Conference space size (meters) - 293 24-hour front desk Wheelchair-accessible registration desk Wheelchairs available on site Free WiFi Designated smoking areas Safe-deposit box at front desk Free newspapers in lobby Wedding services Free self parking Conference space Conference space size (feet) - 3156,6.124516|100.364634,+60 04 7333999,05100,http://www.fuller.com.my/alorsetar
