countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SC,Seychelles,100315,Alphonse Island,1151684,Alphonse Island Resort,ThreeStar,"P.O.Box 1273; Victoria; MahA©, ALPHONSE ISLAND ",,This charming hotel is located in Mahe. The hotel comprises a total of 22 snug rooms. Both wired and wireless connections are available for guests' convenience at the communal areas. The reception does not work around the clock. No pets are allowed on the premises.,+248229034,Hotel,-7.003488|52.73126,496458064,,http://www.alphonse-resort.com
SC,Seychelles,109318,Amitie,1035508,Amitie Chalets,All,Amitie Praslin ,,"Set in Grand Anse in the Praslin region and Grand Anse Praslin Beach reachable within a few steps, Amitie Chalets Praslin offers accommodation with free WiFi, BBQ facilities, a garden and free private parking.

Fitted with a balcony, the units offer air conditioning and feature a flat-screen TV and a private bathroom with shower and a hairdryer. A fridge, a stovetop and toaster are also offered in the kitchen, as well as a kettle.

A terrace is available on site and hiking can be enjoyed within close proximity of the chalet.

Anse Kerlan Beach is 1.8 km from Amitie Chalets Praslin, while Vallee de Mai Nature Reserve is 5.8 km from the property. The nearest airport is Praslin Island Airport, a few steps from the accommodation. Please inform Amitie Chalets Praslin in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the property is not located on the main island and inter-island transfer is provided at a fee.

Having met the health guidelines and requirements set in response to COVID-19, Amitie Chalets Praslin was issued a health certificate by the Public Health Authority.",+248233098,Beach Picnic area Outdoor furniture wifi available in all areas Private parking parking on site Daily housekeeping Beachfront Private beach area designated smoking area Air conditioning Non-smoking throughout Free WiFi wifi Diving Car hire BBQ facilities Hiking Safety Deposit Box internet services Free parking Family rooms Fishing Non-smoking rooms Terrace Garden Golf course (within 3 km) Parking,-4.32535|55.69736,+248233216,,https://www.booking.com/hotel/sc/amitie-chalets-praslin.html
SC,Seychelles,109318,Amitie,1055010,Lou Lou Bungalow,All,Amitie Praslin Praslin Island ,,"Featuring free bikes, a garden, and a terrace, Lou Lou Bungalow offers accommodation in GrandAnse Praslin with free WiFi and sea views. Boasting free private parking, the apartment is in an area where guests can engage in activities such as canoeing and cycling.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchenette with a fridge and a kettle, and 1 bathroom with a shower and free toiletries. Towels and bed linen are featured in the apartment.

A range of water sports facilities is available on site.

Grand Anse Praslin Beach is a few steps from the apartment, while Anse Kerlan Beach is 2 km away. The nearest airport is Praslin Island Airport, a few steps from Lou Lou Bungalow. Please inform Lou Lou Bungalow in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.",+248(0)2503868,face masks for guests available thermometers for guests provided by property invoice provided physical distancing rules followed first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus bicycle rental Fire extinguishers CCTV outside property Smoke alarms Key access Beach Picnic area Outdoor furniture Accessible parking secured parking Private parking parking on site Beachfront water sport facilities on site Air conditioning Non-smoking throughout Free WiFi wifi Cycling BBQ facilities Canoeing Safety Deposit Box internet services Free parking Non-smoking rooms Terrace Garden Golf course (within 3 km) Parking,-4.32494|55.69838,+24861402318312,,https://www.booking.com/hotel/sc/lou-lou-bungalow.html
SC,Seychelles,109318,Amitie,1257121,Casa Tara Villas,All,Anse Kerlan  ,,"Located in Praslin, a 5-minute walk from Anse Kerlan Beach and a 10-minute walk from Lemuria Golf Course, Casa Tara Villas feature self-catering accommodations with free private parking.

The bright and modern villas offer a fully equipped kitchen with an oven, toaster, electric kettle, microwave, refrigerator, and kitchenware. Other amenities include a balcony, a TV, air conditioning, and two bathrooms.

A number of restaurants and cafés can be found within 1 km of the villas. Praslin Island Airport is 3 km away. Please inform Casa Tara Villas in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
When you arrive in Praslin, please call Casa Tara Villas for directions to the property.

Please note the property is not located on the main island and inter-island trasfer is provided at a fee.",248-2-37242,Parking 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing babysitting/child services Laundry Family rooms Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Currency exchange Hiking BBQ facilities Car hire Tour desk Fax/photocopying Diving wifi Free WiFi Air conditioning Sun terrace minimarket on site Daily housekeeping parking on site Private parking wifi available in all areas Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered thermometers for guests provided by property,-4.31336|55.68559,+2484237242,0000,https://www.booking.com/hotel/sc/casa-tara-villas.html
SC,Seychelles,109318,Amitie,1267964,Castello Beach Hotel,FourStar,Anse Kerlan Praslin ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cousin Island - 1 km / 0.7 mi <br /> Petite Anse Kerlan - 1.5 km / 0.9 mi <br /> Grand Anse Beach - 2.4 km / 1.5 mi <br /> Anse Georgette Beach - 3.6 km / 2.3 mi <br /> Anse Lazio Beach - 3.9 km / 2.4 mi <br /> Vallee de Mai Nature Reserve - 8.3 km / 5.2 mi <br /> Cote D Or Beach - 13.4 km / 8.3 mi <br /> Source D Argent Beach - 14.8 km / 9.2 mi <br /> Anse Severe Beach - 14.8 km / 9.2 mi <br /> Petite Anse Beach - 14.8 km / 9.2 mi <br /> Anse Marron Beach - 14.8 km / 9.2 mi <br /> Grand Anse Beach - 14.8 km / 9.2 mi <br /> Anse Cocos Beach - 14.8 km / 9.2 mi <br /> Anse Patate Beach - 14.8 km / 9.2 mi <br /> Anse La Farine Beach - 14.8 km / 9.2 mi <br /> </p><p>The nearest airports are:<br />Praslin Island (PRI) - 2 km / 1.2 mi<br /> Seychelles Intl. Airport (SEZ) - 70.2 km / 43.6 mi<br /> </p><p>The preferred airport for Castello Beach Hotel is Praslin Island (PRI). </p>,"<p>HeadLine : Near Petite Anse Kerlan</p><p>Location : Located in Praslin Island, Castello Beach Hotel is by the ocean, within a 5-minute drive of Cousin Island and Petite Anse Kerlan.  This 4-star hotel is 9.2 mi (14.8 km) from Source D Argent Beach and 13.7 mi (22.1 km) from Anse Lazio Beach.</p><p>Rooms : Make yourself at home in one of the 24 air-conditioned rooms featuring minibars. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7:30 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 11 AM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.  Due to this property s location, guests planning to depart the Seychelles prior to 9 AM may need to arrange overnight accommodations on Mahe.</p>",248-4298999,Gift shops or newsstand Dry cleaning/laundry service Snorkeling on site Computer station Beach sun loungers Terrace Pool sun loungers Concierge services Mountain biking nearby Beach umbrellas Babysitting or childcare (surcharge) Pool umbrellas Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Wheelchair accessible parking Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Boat tours nearby Supervised childcare/activities (surcharge) Free bicycles on site Free Buffet Breakfast Luggage storage Free breakfast Golf lessons available nearby Multilingual staff Front desk (limited hours) Daily Spa services on site Safe-deposit box at front desk Smoke-free property Ecotours nearby Hiking/biking trails nearby Laundry facilities Children's pool Children's club (free),-4.313608|55.685239,248-4298900,0000,http://www.castellobeachhotel.com
SC,Seychelles,109318,Amitie,1290786,Ocean Jewels,TwoStar,Amitie Grand Anse Praslin ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Grand Anse Beach - 0.1 km / 0.1 mi <br /> Petite Anse Kerlan - 3.9 km / 2.4 mi <br /> Anse Georgette Beach - 3.9 km / 2.4 mi <br /> Vallee de Mai Nature Reserve - 5.5 km / 3.4 mi <br /> Cote D Or Beach - 11.6 km / 7.2 mi <br /> Anse La Farine Beach - 12.4 km / 7.7 mi <br /> Anse Volbert Beach - 12.8 km / 8 mi <br /> Anse Takamaka Beach - 15.6 km / 9.7 mi <br /> Anse La Reunion Beach - 17.9 km / 11.1 mi <br /> Anse Severe Beach - 18.1 km / 11.3 mi <br /> Anse Patate Beach - 18.9 km / 11.8 mi <br /> Anse Lazio Beach - 19.2 km / 12 mi <br /> Source D Argent Beach - 19.9 km / 12.4 mi <br /> Grand Anse Beach - 21 km / 13.1 mi <br /> Petite Anse Beach - 21 km / 13.1 mi <br /> </p><p>The nearest airports are:<br />Seychelles Intl. Airport (SEZ) - 67.4 km / 41.9 mi<br /> Praslin Island (PRI) - 1 km / 0.6 mi<br /> </p><p>The preferred airport for Ocean Jewels Resort is Seychelles Intl. Airport (SEZ). </p>,"<p>HeadLine : Near Grand Anse Beach</p><p>Location : When you stay at Ocean Jewels Resort in Praslin Island, you ll be on the beach, within a 15-minute drive of Anse Georgette Beach and Cote D Or Beach.  This beach guesthouse is 12 mi (19.2 km) from Anse Lazio Beach and 12.4 mi (19.9 km) from Source D Argent Beach.</p><p>Rooms : Make yourself at home in one of the 6 air-conditioned rooms featuring kitchens with full-sized refrigerators/freezers and stovetops. Rooms have private furnished balconies or patios. 32-inch LED televisions with cable programming provide entertainment, while wireless Internet access (surcharge) keeps you connected. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite from the grocery/convenience store, or stay in and take advantage of the guesthouse s room service (during limited hours). Breakfast is available for a fee.</p><p>Renovations : This property is closed from March 1 2020 to February 28 2022 (dates subject to change).   The property is closed during the summer season.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : The front desk is open daily from 7:30 AM - 10:00 PM. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.  Customers departing the Seychelles before 9 AM are advised to leave Praslin the day prior to their departure and arrange overnight accommodation on the island of Mahe.</p>",248-4-233373,Tours/ticket assistance Free self parking Wedding services WiFi (surcharge) Babysitting or childcare (surcharge) Bicycle rentals on site Garden Multilingual staff Barbecue grill(s) Library Picnic area Express check-in Area shuttle (surcharge) Terrace Luggage storage Wheelchair accessible  no Breakfast available (surcharge) Concierge services Front desk (limited hours) Laundry facilities Grocery/convenience store Express check-out,-4.324608|55.699592,+2484233373,,http://www.seychelles-oceanjewels.com/
SC,Seychelles,109318,Amitie,1356618,Chateau Sans Souci,ThreeStar,Off Anse Kerlan Beach Praslin Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cousin Island - 0.9 km / 0.5 mi <br /> Petite Anse Kerlan - 1.3 km / 0.8 mi <br /> Grand Anse Beach - 2.2 km / 1.4 mi <br /> Anse Georgette Beach - 3.4 km / 2.1 mi <br /> Anse Lazio Beach - 3.7 km / 2.3 mi <br /> Vallee de Mai Nature Reserve - 8.2 km / 5.1 mi <br /> Cote D Or Beach - 13.3 km / 8.2 mi <br /> Source D Argent Beach - 14.7 km / 9.1 mi <br /> Petite Anse Beach - 14.7 km / 9.1 mi <br /> Anse Marron Beach - 14.7 km / 9.1 mi <br /> Grand Anse Beach - 14.7 km / 9.1 mi <br /> Anse Cocos Beach - 14.7 km / 9.1 mi <br /> Anse Patate Beach - 14.7 km / 9.1 mi <br /> Anse Severe Beach - 14.7 km / 9.1 mi <br /> Anse La Farine Beach - 14.7 km / 9.1 mi <br /> </p><p>The nearest airports are:<br />Praslin Island (PRI) - 1.8 km / 1.1 mi<br /> Seychelles Intl. Airport (SEZ) - 70.1 km / 43.5 mi<br /> </p><p>The preferred airport for Chateau Sans Souci is Praslin Island (PRI). </p>,"<p>HeadLine : Near Petite Anse Kerlan</p><p>Location : When you stay at Chateau Sans Souci in Praslin Island, you ll be near the beach, within a 15-minute walk of Cousin Island and Petite Anse Kerlan.  This hotel is 9.1 mi (14.7 km) from Source D Argent Beach and 13.6 mi (21.9 km) from Anse Lazio Beach.</p><p>Rooms : Make yourself at home in one of the 14 air-conditioned rooms featuring refrigerators and minibars. Rooms have private patios. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Relax with your favorite drink at the bar/lounge or the poolside bar. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Due to this property s location, guests planning to depart the Seychelles prior to 9 AM may need to arrange overnight accommodations on Mahe.</p>",248-4-233640,Dry cleaning/laundry service Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Garden Safe-deposit box at front desk Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Tours/ticket assistance Accessible bathroom (in select rooms) Free self parking Terrace Free airport transportation,-4.312415|55.686644,248-4-2510650,n a,http://www.chateausanssouci.sc
SC,Seychelles,109318,Amitie,1694861,Seashell Beach Villa,FourStar,Amitie Praslin Praslin Island ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Grand Anse Beach - 0.3 km / 0.2 mi <br /> Cousin Island - 1.6 km / 1 mi <br /> Petite Anse Kerlan - 3.7 km / 2.3 mi <br /> Anse Georgette Beach - 3.7 km / 2.3 mi <br /> Vallee de Mai Nature Reserve - 5.7 km / 3.5 mi <br /> Cote D Or Beach - 10.8 km / 6.7 mi <br /> Source D Argent Beach - 12.2 km / 7.6 mi <br /> Anse Severe Beach - 12.2 km / 7.6 mi <br /> Petite Anse Beach - 12.2 km / 7.6 mi <br /> Anse Marron Beach - 12.2 km / 7.6 mi <br /> Grand Anse Beach - 12.2 km / 7.6 mi <br /> Anse Cocos Beach - 12.2 km / 7.6 mi <br /> Anse Patate Beach - 12.2 km / 7.6 mi <br /> Anse La Farine Beach - 12.2 km / 7.6 mi <br /> Anse Volbert Beach - 12.3 km / 7.6 mi <br /> </p><p>The nearest airports are:<br />Seychelles Intl. Airport (SEZ) - 67.6 km / 42 mi<br /> Praslin Island (PRI) - 0.9 km / 0.6 mi<br /> </p><p></p>,"<p>HeadLine : Near Grand Anse Beach</p><p>Location : With a stay at Seashell Beach Villa in Praslin Island, you ll be on the beach, a 3-minute walk from Grand Anse Beach and a 3-minute drive from Cousin Island.  This 4-star aparthotel is 7.6 mi (12.2 km) from Source D Argent Beach and 12.1 mi (19.5 km) from Anse Lazio Beach.</p><p>Rooms : Make yourself at home in one of the 8 individually decorated guestrooms, featuring kitchens with full-sized refrigerators/freezers and ovens. Rooms have private balconies or patios. 32-inch flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include safes and separate sitting areas, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li><li>Onsite parties or group events are strictly prohibited</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8:30 AM - 7 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 7 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",248-4-233764,Airport transportation (surcharge) Wheelchair accessible  no Porter/bellhop Multilingual staff Front desk (limited hours) Free WiFi Designated smoking areas Garden Safe-deposit box at front desk Laundry facilities Tours/ticket assistance Free self parking Beach towels Terrace,-4.3249|55.69836,248-4-303623,,http://www.seashellbeachvilla.com/
SC,Seychelles,109318,Amitie,1812756,Tropic Villa Annex,All,Amitié Praslin island ,,"Featuring mountain views, Tropic Villa Annex features accommodation with a terrace and a balcony, around 2 km from Anse Kerlan Beach. Located a few steps from Grand Anse Praslin Beach, the property provides a garden and free private parking.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a shower and free toiletries. Towels and bed linen are provided in the apartment.

Both a bicycle rental service and a car rental service are available at the apartment.

Vallee de Mai Nature Reserve is 5.7 km from Tropic Villa Annex, while Praslin Museum is 11 km away. The nearest airport is Praslin Island Airport, a few steps from the accommodation. Please inform Tropic Villa Annex in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
A damage deposit of EUR 200 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Please note that the property is not located on the main island and inter-island transfer is provided at a fee.
Managed by a private host",+2484233025,Parking Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Laundry Family rooms Free parking internet services Safety Deposit Box Chapel/shrine BBQ facilities Car hire Diving wifi Free WiFi Non-smoking throughout Air conditioning Sun terrace Daily housekeeping parking on site Private parking wifi available in all areas Public Bath secured parking Outdoor furniture Picnic area bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized thermometers for guests provided by property face masks for guests available,-4.32494|55.69838,+2484233027,,https://www.booking.com/hotel/sc/tropic-villa-annex.html
SC,Seychelles,109318,Amitie,1894475,Sunset Cove Villa,All,Anse Kerlan Praslin ,,"Located on the northwest coast of Praslin Island, Sunset Cove Villa is situated on the beachfront and offers a lush garden and BBQ facilities. The Praslin Island Airport is 3 km away and nearby activities include hiking and golf.

The bright units come complete with air conditioning, a private entrance and tea-and-coffee-making facilities. Each unit includes a microwave, outdoor furniture and has views of the garden and sea. The private bathrooms have a bath or shower.

At Sunset Cove Villa there is a shared kitchen and lounge. Laundry and ironing services are offered and an airport shuttle can be arranged at a charge. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform Sunset Cove Villa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note the property is not located on the main island and inter-island trasfer is provided at a fee.",,Sun terrace airport shuttle (additional charge) Shared kitchen shared lounge/TV area Beachfront parking on site Private parking Accessible parking sun loungers or beach chairs Outdoor furniture Picnic area Outdoor fireplace Beach Fire extinguishers staff follow all safety protocols as directed by local authorities process in place to check health of guests first aid kit available Private beach area Air conditioning Non-smoking throughout Free WiFi wifi Car hire BBQ facilities Hiking Safety Deposit Box internet services Free parking Ironing service Family rooms Laundry Airport shuttle Non-smoking rooms Garden Parking,-4.3129|55.68478,+2484344019,,http://sunset-cove-villa.com/
