countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
NP,Nepal,105024,Balthali,1472023,Balthali Village Resort,ThreeStar,Balthali 4 Kavre Balthali ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Panauti Peace Gallery - 8.1 km / 5 mi <br /> Indreshwar Mahadev Temple - 8.1 km / 5 mi <br /> Brahmayani Temple - 8.1 km / 5 mi <br /> Civic Square - 8.1 km / 5 mi <br /> Krishna Narayan Temple - 8.1 km / 5 mi <br /> Namobuddha Monastery - 11.8 km / 7.4 mi <br /> Kali Temple - 14.3 km / 8.9 mi <br /> Shiva Temple - 14.3 km / 8.9 mi <br /> Budol View Tower - 16.4 km / 10.2 mi <br /> Kailashnath Mahadev Statue - 20 km / 12.4 mi <br /> Nagarkot View Tower - 25 km / 15.5 mi <br /> Bhaktapur Durbar Square - 25.1 km / 15.6 mi <br /> 55 Window Palace - 25.2 km / 15.6 mi <br /> Bhairabnath Temple - 25.7 km / 16 mi <br /> Bhairavnath Temple - 25.7 km / 16 mi <br /> </p><p>The nearest major airport is Tribhuvan Intl. Airport (KTM) - 37 km / 23 mi</p>,"<p>HeadLine : In Balthali</p><p>Location : Located in Balthali, Balthali Village Resort is within a 15-minute drive of Panauti Peace Gallery and Indreshwar Mahadev Temple.  This hotel is 5 mi (8.1 km) from Brahmayani Temple and 5 mi (8.1 km) from Civic Square.</p><p>Rooms : Make yourself at home in one of the 26 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy local cuisine at Kukhure Ghar, a restaurant which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). A complimentary buffet breakfast is served daily from 6:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",977-0-9851087772,Free Buffet Breakfast Concierge services Dry cleaning/laundry service Airport transportation (surcharge) Wheelchair accessible  no Babysitting or childcare (surcharge) Free breakfast Number of meeting rooms - 1 24-hour front desk Free WiFi Playground on site Number of bars/lounges - 1 Daily Barbecue grill(s) Garden Picnic area Laundry facilities Free newspapers in lobby Tours/ticket assistance Free self parking Terrace,27.551298|85.543626,97709851087772,00977,http://www.balthali.com/
NP,Nepal,105024,Balthali,1648267,Balthali Eco Hill Resort,TwoStar,Balthali 5 NepaneBalthaliKavreplanchok ,,"Located in Dhulikhel, Balthali Eco Hill Resort is a perfect starting point from which to explore Kathmandu. The property features a wide range of facilities to make your stay a pleasant experience. To be found at the hotel are 24-hour room service, free Wi-Fi in all rooms, 24-hour front desk, luggage storage, Wi-Fi in public areas. All rooms are designed and decorated to make guests feel right at home, and some rooms come with linens, mirror, towels, internet access  wireless, internet access  wireless (complimentary). To enhance guests' stay, the hotel offers recreational facilities such as fishing, tennis courts, garden. No matter what your reasons are for visiting Kathmandu, Balthali Eco Hill Resort will make you feel instantly at home.",,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences access getting around,27.55062051472756|85.54819822311401,+97716923728,45200,http://www.balthaliresort.com
NP,Nepal,105024,Balthali,1658601,Balthali Mountain Resort,ThreeStar,Kavrepalanchowk 4 Balthali Kavrepalanchowk ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Panauti Peace Gallery - 7.7 km / 4.8 mi <br /> Indreshwar Mahadev Temple - 7.7 km / 4.8 mi <br /> Brahmayani Temple - 7.7 km / 4.8 mi <br /> Civic Square - 7.7 km / 4.8 mi <br /> Krishna Narayan Temple - 7.7 km / 4.8 mi <br /> Namobuddha Monastery - 11.5 km / 7.1 mi <br /> Kali Temple - 14 km / 8.7 mi <br /> Shiva Temple - 14 km / 8.7 mi <br /> Budol View Tower - 16.1 km / 10 mi <br /> Kailashnath Mahadev Statue - 19.7 km / 12.2 mi <br /> Nagarkot View Tower - 24.7 km / 15.3 mi <br /> Bhaktapur Durbar Square - 24.8 km / 15.4 mi <br /> 55 Window Palace - 24.8 km / 15.4 mi <br /> Bhairabnath Temple - 25.4 km / 15.8 mi <br /> Bhairavnath Temple - 25.4 km / 15.8 mi <br /> </p><p>The nearest major airport is Tribhuvan Intl. Airport (KTM) - 36.7 km / 22.8 mi</p>,"<p>HeadLine : In Balthali</p><p>Location : With a stay at Balthali Mountain Resort in Balthali, you ll be within a 15-minute drive of Panauti Peace Gallery and Indreshwar Mahadev Temple.  This hotel is 4.8 mi (7.7 km) from Brahmayani Temple and 4.8 mi (7.7 km) from Civic Square.</p><p>Rooms : Make yourself at home in one of the 16 individually decorated guestrooms. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms feature showers, complimentary toiletries, and slippers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Free long-term parking Free RV  bus  truck parking Lockers available Free reception Conference space size (meters) - 5 Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area In-room accessibility (in select rooms) Free newspapers in lobby Tours/ticket assistance Accessible bathroom (in select rooms) Rooftop terrace Luggage storage 24-hour front desk Barbecue grill(s) Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Free self parking Conference space Offsite parking reservations required Free valet parking Conference space size (feet) - 54 Concierge services 24-hour business center,27.549307|85.542154,977-9840340604,45216,http://www.balthalimountainresort.com
NP,Nepal,110413,Bandipur,1261385,Gaun Ghar Hotel,ThreeStar,Bandipur Tanahu ThamelBandipurKathmandu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bindebasini Temple - 0.9 km / 0.6 mi <br /> Khadga Devi Temple - 1 km / 0.6 mi <br /> Siddha Gufa - 1.1 km / 0.7 mi <br /> Thani Mai Temple - 1.4 km / 0.9 mi <br /> Tundikhel - 1.7 km / 1 mi <br /> Manakamana Temple - 33.2 km / 20.6 mi <br /> Manakamana Cable Car - 33.3 km / 20.7 mi <br /> Kurintar Garden - 33.7 km / 21 mi <br /> Gorkha Museum - 44.6 km / 27.7 mi <br /> Bhimsen Temple - 44.6 km / 27.7 mi <br /> </p><p>The preferred airport for Gaun Ghar is Kempegowda Intl. Airport (BLR) - 2 169.9 km / 1 348.3 mi </p>,"<p>HeadLine : Near Bindebasini Temple</p><p>Location : With a stay at Gaun Ghar in Bandipur, you ll be within a 15-minute walk of Bindebasini Temple and Khadga Devi Temple.  This hotel is 20.6 mi (33.2 km) from Manakamana Temple and 0.8 mi (1.3 km) from Siddha Gufa.</p><p>Rooms : Make yourself at home in one of the 15 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have shower/tub combinations and complimentary toiletries. Conveniences include complimentary newspapers, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li>  </ul></p><p>Special Instructions : There is no front desk at this property.</p>",977-1-4250078,Wheelchair accessible  no Luggage storage Free breakfast Free WiFi Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Free newspapers in lobby Tours/ticket assistance elevator Free self parking ATM/banking Concierge services,27.932607|84.411682,+97714215409,2056,http://www.gaunghar.com
NP,Nepal,110413,Bandipur,1486461,Hotel Magar Village,TwoStar,Tundikhel Road Bandipur 33904 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tundikhel - 0.2 km / 0.1 mi <br /> Bindebasini Temple - 0.6 km / 0.4 mi <br /> Siddha Gufa - 0.6 km / 0.4 mi <br /> Khadga Devi Temple - 0.6 km / 0.4 mi <br /> Thani Mai Temple - 0.8 km / 0.5 mi <br /> Manakamana Temple - 31.2 km / 19.4 mi <br /> Manakamana Cable Car - 31.3 km / 19.4 mi <br /> Kurintar Garden - 31.7 km / 19.7 mi <br /> Gorkha Museum - 42.6 km / 26.5 mi <br /> Bhimsen Temple - 42.6 km / 26.5 mi <br /> </p>,"<p>HeadLine : Near Tundikhel</p><p>Location : With a stay at Hotel Magar Village in Bandipur, you ll be a 2-minute walk from Tundikhel and 7 minutes by foot from Bindebasini Temple.  This hotel is 19.4 mi (31.2 km) from Manakamana Temple and 0.3 mi (0.5 km) from Khadga Devi Temple.</p><p>Rooms : Stay in one of 40 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include desks and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",977-65-520155,Number of bars/lounges - 1 Garden Luggage storage Free self parking 24-hour front desk Free WiFi,27.941787|84.405249,977-65-520155,33904,
NP,Nepal,110413,Bandipur,1486515,Hotel Bandipur Palace,TwoStar,Tundikhel Tanahun BandipurTanahun ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tundikhel - 0.3 km / 0.2 mi <br /> Bindebasini Temple - 0.5 km / 0.3 mi <br /> Khadga Devi Temple - 0.5 km / 0.3 mi <br /> Siddha Gufa - 0.6 km / 0.4 mi <br /> Thani Mai Temple - 0.7 km / 0.4 mi <br /> Manakamana Temple - 31.3 km / 19.4 mi <br /> Manakamana Cable Car - 31.4 km / 19.5 mi <br /> Kurintar Garden - 31.8 km / 19.7 mi <br /> Gorkha Museum - 42.7 km / 26.5 mi <br /> Bhimsen Temple - 42.7 km / 26.5 mi <br /> </p>,"<p>HeadLine : Near Tundikhel</p><p>Location : With a stay at Hotel Bandipur Palace in Bandipur, you ll be a 4-minute walk from Tundikhel and 6 minutes by foot from Bindebasini Temple.  This hotel is 19.4 mi (31.3 km) from Manakamana Temple and 0.2 mi (0.4 km) from Khadga Devi Temple.</p><p>Rooms : Stay in one of 12 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",977-65-520163,Dry cleaning/laundry service Garden Luggage storage Meeting rooms 24-hour front desk Free WiFi,27.940957|84.405795,977-65-520163,33904,
NP,Nepal,110413,Bandipur,1639381,The Old Inn,TwoStar,Main Road Bandipur BazzarBandipur 44600 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bindebasini Temple - 0.1 km / 0.1 mi <br /> Khadga Devi Temple - 0.1 km / 0.1 mi <br /> Siddha Gufa - 0.4 km / 0.3 mi <br /> Thani Mai Temple - 0.5 km / 0.3 mi <br /> Tundikhel - 0.8 km / 0.5 mi <br /> Manakamana Temple - 33.4 km / 20.8 mi <br /> Manakamana Cable Car - 33.5 km / 20.8 mi <br /> Kurintar Garden - 33.9 km / 21.1 mi <br /> Gorkha Museum - 44.8 km / 27.9 mi <br /> Bhimsen Temple - 44.8 km / 27.9 mi <br /> </p>,"<p>HeadLine : Near Bindebasini Temple</p><p>Location : With a stay at The Old Inn in Bandipur, you ll be just steps from Bindebasini Temple and Khadga Devi Temple.  This hotel is 20.8 mi (33.4 km) from Manakamana Temple and 0.5 mi (0.7 km) from Tundikhel.</p><p>Rooms : Make yourself at home in one of the 29 guestrooms. Bathrooms have showers and complimentary toiletries. Conveniences include desks, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 5 AM - 10 PM. Front desk staff will greet guests on arrival.</p>",977-0-9808882270,Luggage storage Reception hall Free breakfast Front desk (limited hours) Library Number of bars/lounges - 1 Daily Garden Number of coffee shops/cafes - 1 Laundry facilities Tours/ticket assistance Free self parking Terrace Free continental breakfast,27.937733|84.406812,977-0-9808882270,,
NP,Nepal,110413,Bandipur,1671437,Bandipur Mountain Resort,OneStar,Tundikhel Road Bandipur 33904 ,,"Bandipur Mountain Resort in Bandipur has 1-star accommodation with a garden, a shared lounge and a bar. This 1-star resort offers an ATM and a concierge service. The accommodation features a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.

At the resort rooms come with air conditioning, a desk, a flat-screen TV, a private bathroom, bed linen, towels and a terrace with a city view. The rooms in Bandipur Mountain Resort are fitted with free toiletries and a laptop.

A continental, American or vegetarian breakfast can be enjoyed at the property. At the accommodation you will find a restaurant serving American, Dutch and British cuisine. Vegetarian, dairy-free and halal options can also be requested.

Bandipur Mountain Resort offers a childrens playground.

The nearest airport is Bharatpur Airport, 65 km from the resort.",,Parking wifi Restaurant Free WiFi Room service Non-smoking throughout meeting/banquet facilities designated smoking area Bar ATM/cash machine on site 24-hour front desk Snack Bar Garden Sun terrace Terrace concierge service Non-smoking rooms Entertainment staff Airport shuttle nightclub/dj Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press vending machine (drinks) vending machine (snacks) airport shuttle (additional charge) Lockers shared lounge/TV area Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Indoor play area Baby safety gates Kid meals Kid-friendly buffet secured parking Parking garage electric vehicle charging station Public transport tickets Accessible parking Wine/champagne Fruits airport pick up airport drop off coffee house on site Picnic area Outdoor fireplace Shuttle service Walking tours Tour or class about local culture 24-hour security Key access Key card access CCTV in common areas CCTV outside property Fire extinguishers bicycle rental Business centre babysitting/child services Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Valet parking Currency exchange children's playground Soundproof rooms Hiking BBQ facilities Packed lunches Car hire Tour desk Heating Fax/photocopying Luggage storage,27.94016|84.4061,,33904,https://www.booking.com/hotel/np/bandipur-mountain-resort-bandipur.html
NP,Nepal,110413,Bandipur,1675643,Hotel Depche,TwoStar,Dumre Bandipur 44600 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Thani Mai Temple - 0.3 km / 0.2 mi <br /> Bindebasini Temple - 0.5 km / 0.3 mi <br /> Khadga Devi Temple - 0.6 km / 0.4 mi <br /> Tundikhel - 0.7 km / 0.5 mi <br /> Siddha Gufa - 0.9 km / 0.6 mi <br /> Manakamana Temple - 37.4 km / 23.2 mi <br /> Manakamana Cable Car - 37.5 km / 23.3 mi <br /> Kurintar Garden - 37.9 km / 23.5 mi <br /> Gorkha Museum - 48.8 km / 30.3 mi <br /> Bhimsen Temple - 48.8 km / 30.3 mi <br /> </p>,"<p>HeadLine : Near Bindebasini Temple</p><p>Location : With a stay at Hotel Depche in Bandipur, you ll be a 3-minute walk from Thani Mai Temple and 6 minutes by foot from Bindebasini Temple.  This hotel is 23.2 mi (37.4 km) from Manakamana Temple and 0.3 mi (0.5 km) from Khadga Devi Temple.</p><p>Rooms : Make yourself at home in one of the 10 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Continental breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",977-1-9841226971,Garden Accessible bathroom (in select rooms) Luggage storage 24-hour front desk Breakfast available (surcharge) Free WiFi,27.938805|84.404486,977-1-9841226971,44600,
NP,Nepal,110413,Bandipur,1699564,Bandipur Kaushi Inn,TwoStar,Chandani Mohariya 03 Tanahu Tanahu33904 Bandipur ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bindebasini Temple - 0.2 km / 0.1 mi <br /> Khadga Devi Temple - 0.3 km / 0.2 mi <br /> Thani Mai Temple - 0.3 km / 0.2 mi <br /> Siddha Gufa - 0.6 km / 0.4 mi <br /> Tundikhel - 0.9 km / 0.6 mi <br /> Manakamana Temple - 37.5 km / 23.3 mi <br /> Manakamana Cable Car - 37.6 km / 23.4 mi <br /> Kurintar Garden - 38 km / 23.6 mi <br /> Gorkha Museum - 48.9 km / 30.4 mi <br /> Bhimsen Temple - 48.9 km / 30.4 mi <br /> </p>,"<p>HeadLine : Near Bindebasini Temple</p><p>Location : Located in Bandipur, Bandipur Kaushi Inn is just steps from Bindebasini Temple and 3 minutes by foot from Khadga Devi Temple.  This hotel is 0.3 mi (0.4 km) from Thani Mai Temple and 0.6 mi (1 km) from Tundikhel.</p><p>Rooms : Make yourself at home in one of the 7 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and ceiling fans, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a security system</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",977-977-9841300431,Wheelchair accessible  no Luggage storage Free breakfast 24-hour front desk Free WiFi Number of bars/lounges - 1 Daily Barbecue grill(s) In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Terrace Free continental breakfast ATM/banking,27.937128|84.405467,977-977-9841300431,33904,
