countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
KW,Kuwait,100379,Al Jahra,1324492,Al Jahra Copthorne Hotel & Resort,FourStar,625 Slayil Street 625 Slayil StreetP.O. Box 311301033 Al Jahra ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sulaiyel Al-Jahra - 7.5 km / 4.6 mi <br /> Al Sabah Medical Complex - 31 km / 19.2 mi <br /> Arab Fund Building - 34.5 km / 21.4 mi <br /> Kuwait National Stadium - 34.8 km / 21.6 mi <br /> The Avenues Mall - 34.8 km / 21.6 mi <br /> Kuwait Zoo - 35.2 km / 21.9 mi <br /> Shuwaikh Port - 35.2 km / 21.9 mi <br /> Old City Gates - 36.5 km / 22.7 mi <br /> Sheikh Jaber Al-Ahmad Cultural Centre - 36.5 km / 22.7 mi <br /> Kuwait House of National Works: Memorial Museum - 36.6 km / 22.7 mi <br /> Kuwait Petroleum International - 36.7 km / 22.8 mi <br /> Yaum Al-Bahhar Village - 37.1 km / 23.1 mi <br /> Tareq Rajab Museum of Islamic Calligraphy - 37.5 km / 23.3 mi <br /> Kuwait National Assembly Building - 37.5 km / 23.3 mi <br /> Old Kuwaiti Town - 37.6 km / 23.4 mi <br /> </p><p>The preferred airport for Al Jahra Copthorne Hotel & Resort is Kuwait Intl. Airport (KWI) - 38 km / 23.6 mi </p>,"<p>HeadLine : In a shopping district</p><p>Location : When you stay at Al Jahra Copthorne Hotel & Resort in Al Jahra, you ll be in the business district and 8 minutes by car from Sulaiyel Al-Jahra.  This 4-star hotel is 21.6 mi (34.8 km) from The Avenues Mall and 19.2 mi (31 km) from Al Sabah Medical Complex.</p><p>Rooms : Make yourself at home in one of the 261 air-conditioned rooms featuring Smart televisions. Satellite television is provided for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : For lunch or dinner, stop by Taima a Restaurant, a restaurant that specializes in international cuisine. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. Relax with your favorite drink at the bar/lounge or the poolside bar. Buffet breakfasts are available daily from 6 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",965-2-4590005,Dry cleaning/laundry service Free wired Internet Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 2 Assistive listening devices available In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Fireplace in lobby Airport transportation (surcharge) Accessible airport shuttle Multilingual staff Conference center Breakfast available (surcharge) Barbecue grill(s) Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities elevator Fitness facilities Double-glazing on all windows secured parking Banquet hall Wheelchair accessible (may have limitations) Ballroom Meeting rooms Health club Garden Picnic area Free newspapers in lobby Wedding services Shopping mall on site Art gallery on site Designer stores on site Luggage storage Porter/bellhop 24-hour front desk Playground on site Snack bar/deli Children's pool Free self parking Conference space Computer station Terrace Concierge services 24-hour business center,29.33009|47.63797,965-2459-0000,3113,http://www.millenniumhotels.com/aljahrahcopthornekuwait/
KW,Kuwait,105944,Hawally,1227411,Times Square Suite Hotel,All,Hawally Bin Khaldun Street HawalyP.O.Box 133932014 Kuwait ,,"With breathtaking views over the city, this all-suites hotel offers charming, modern and stylish accommodation in the very heart of the Kuwait City.

The Times Square Suite Hotel is situated behind Hawally gold market on Bin Khaldoon street. Its apartments are nicely decorated in light and friendly colours, with all necessary facilities. Guests can cool down in the outdoor swimming pool and stay fit in the gym.

The hotel offers special rates for long stays of 30 nights. Please inform Times Square Suite Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Guests under the age of 18 can only check in with a parent or official guardian.
Some nationalities can get an entry permit stamped in their passport upon arrival at the airport. Please check your visa requirements before travelling.

Airport transfer is free of charge, please inform the hotel of your expected arrival time.

The hotel can arrange a visa for you after you have made your reservation. If you wish to take advantage of this service, please contact the hotel directly via telephone or email, using the contact details provided in your confirmation email.

Please note that all couples must present a marriage certificate upon check-in.",965-2-2611714,Parking Room service 24-hour front desk Non-smoking rooms Airport shuttle Laundry dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Currency exchange Heating Fax/photocopying Luggage storage Air conditioning designated smoking area shuttle service (free) Trouser press airport shuttle (additional charge) Daily housekeeping parking on site Private parking Street parking Accessible parking Fruits airport pick up airport drop off Shuttle service 24-hour security Key access Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered face masks for guests available,29.34115|48.00778,965-2-2661155,32014,https://www.booking.com/hotel/kw/times-square-suite.html
KW,Kuwait,105944,Hawally,1227427,Hawally Continental Hotel,TwoStar,Bin Khaldoun Street Hawally ,,"Located in Ibn Khaldoun Street in Hawalli district, Continental Hawalli Hotel is a 15-minute drive from Marina Beach. It offers free Wi-Fi access in the entire hotel, a fitness centre and a 24-hour front desk.

The rooms at Continental Hawalli have a TV, a fridge and an iron. Some rooms have a small kitchenette with stove top and a washing machine. Room service is available 24 hours.

The surrounding area has nearby restaurants which are 8-minute drive from the hotel. Guests can enjoy tea and coffee in the lobby.

Continental Hawalli is a 2-minute walk from Mastora Centre. Muhallab Mall is a 10-minute walk away. Kuwait International Airport is 20 minutes by car. Free public parking is available on site. Some nationalities can get an entry permit stamped in their passport upon arrival at the airport. Please check your visa requirements before traveling.

Please note that Continental Hawally Hotel doesnt accept bookings from non-married couples. All couples must present a valid marriage certificate upon check-in.

Please note that guests cannot bring a visitor to their room.",+96522614770,express check-in/check-out Laundry Smoke alarms Free parking Heating Lockers wifi available in all areas Restaurant lift Ironing service Fire extinguishers CCTV in common areas Fitness centre Air conditioning internet services wifi children's playground Newspapers designated smoking area Non-smoking rooms Safety Deposit Box Free WiFi Currency exchange 24-hour security 24-hour front desk grocery deliveries dry cleaning Kid-friendly buffet Family rooms Non-smoking throughout Car hire Security alarm CCTV outside property Room service Parking ATM/cash machine on site shuttle service (additional charge),29.33587|48.00509,9652612111,13071,https://www.booking.com/hotel/kw/continental-hawally.html
KW,Kuwait,105944,Hawally,1248509,Shiik Resort,FourStar,Al Tawan Street Salmiya  ,,"Overlooking the Kuwait Bay, this lively resort in Salmiya features a private beach. It offers air-conditioned studios and suites.

Built around the pool, accommodation at Argan Al Bidaa Hotel and Resort , Kuwait includes private balconies and satellite TV. Guests can choose between the open-plan studios or the larger suites with separate living rooms.

Local food can be tasted at Argan Al Bidaa Hotel and Resort , Kuwaits restaurant, which can also arrange a pool-side breakfast or a beach-side barbeque. There are many coffee shops and restaurants within walking distance of the hotel.

Argan Al Bidaa Hotel and Resort , Kuwait is 1.3 km from Souk Salmiya and 3.2 km from Kuwait Scientific Centre and Aquarium. Kuwait city centre is approximately 15 km away. A damage deposit of KWD 50 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Some nationalities can get an entry permit stamped in their passport upon arrival at the airport.

Please note that the hotel offers transfer from/to the airport (surcharges apply). Guests are kindly requested to inform the property in advance if they wish to make use of this service. Contact details can be found on the booking confirmation.

Please note that all Kuwait nationals couples must present a valid marriage certificate upon check-in.

Please note that smoking is not allowed in the rooms, lobby and restaurant.

Note that a surcharge is added for requests to upgrade for ground floor rooms as they have a
terrace.

Please note that all couples must present a valid marriage certificate upon check-in.

The Beach area access will be temporarily closed starting from October 09, 2021, until further notice, due to some works required to complete the hotel facilities.",,Parking Restaurant Room service Bar 24-hour front desk Fitness centre Garden Terrace Non-smoking rooms Laundry dry cleaning Facilities for disabled guests Barber/beauty shop Family rooms Ironing service internet services lift express check-in/check-out Safety Deposit Box Valet parking Currency exchange children's playground Heating Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning designated smoking area ATM/cash machine on site Private beach area outdoor pool (all year) concierge service Trouser press water sport facilities on site kids' club minimarket on site Beachfront Daily housekeeping parking on site Private parking Street parking Wheelchair accessible coffee house on site sun loungers or beach chairs Sun umbrellas Fitness fitness classes Personal trainer kids' pool Swimming pool Beach 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available,29.32086|48.08859,,,https://www.booking.com/hotel/kw/shiik-resort.html
KW,Kuwait,105944,Hawally,1252817,Le Jazz Hotel,ThreeStar,Zarqua`A Al Yamama Hawally32075 Kuwait City ,,"Le Jazz Hotel is just 3 km from Al Shab Theme Park. It features free Wi-Fi, a fitness centre and spacious rooms with seating areas.

Each room at the Le Jazz Hotel is fitted with modern furnishings, wooden floors and satellite TV. A dining area is provided in all rooms.

The restaurant, Artizana, offers panoramic Kuwait views and a buffet breakfast every day. For lunch and dinner, an à la carte menu of international specialities is offered.

Staff at the 24-hour front desk can provide information about the Le Jazzs car rental service. The hotel also offers a business centre.

Kuwait International Airport is a 15-minute drive away. Please inform Le Jazz Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
The hotel provides free transfers to and from Kuwait International Airport.

Please note that Le Jazz Hotel doesnt accept bookings from non-married couples.

Some nationalities can get an entry permit stamped in their passport upon arrival at the airport. Please check your visa requirements before travelling.

The hotel can arrange a visa for you after you have made your reservation. If you wish to take advantage of this service, please contact the hotel directly via telephone or email, using the contact details provided in your confirmation email. Please note there is a fee for canceling the visa.",965-2-2662187,designated smoking area concierge service Entertainment staff Private check-in/check-out shuttle service (free) Trouser press airport shuttle (additional charge) Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Kid meals secured parking Parking garage Accessible parking Fruits airport pick up airport drop off Fitness Shuttle service 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning Parking physical distancing in dining areas Restaurant food can be delivered to guest accommodation Room service staff follow all safety protocols as directed by local authorities meeting/banquet facilities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property 24-hour front desk Fitness centre Garden Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box face masks for guests available Valet parking Currency exchange Soundproof rooms Tour desk Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning,29.34314|48.01182,(965) 22626111,32075,https://www.booking.com/hotel/kw/hawthorn-suites.html
KW,Kuwait,105944,Hawally,1351115,Costa Del Sol Hotel,FourStar,Sha'ab Al Bahry Ibn Al Khatib Street32072 Kuwait City ,,"Costa Del Sol Hotel by Arabian Link is set in Kuwait.

The rooms and suites have sea or city skyline views. Satellite flat-screen TV and a minibar is available in each room.

The hotels facilities include a ladies health club, a fitness center and heated indoor pool.

Costa Del Sol Hotel by Arabian Link features 3 restaurants.

Costa Del Sol Hotel by Arabian Link offers a shuttle service from and to the Kuwait International Airport at extra charge. The hotel is just a 10-minute drive away from the commercial Salmiya district. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Costa Del Sol Hotel by Arabian Link in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
A damage deposit of KWD 20 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Please note that all couples must present a marriage certificate upon check-in.",965-2-3662919,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Fitness centre Non-smoking rooms Airport shuttle Laundry dry cleaning Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Currency exchange Spa and wellness centre Massage Hot tub/jacuzzi hammam Fax/photocopying Luggage storage wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site indoor pool (all year) concierge service Private check-in/check-out shuttle service (additional charge) Trouser press airport shuttle (additional charge) kids' club Daily housekeeping parking on site wifi available in all areas Indoor play area Accessible parking airport pick up airport drop off Beauty Services Facial treatments Waxing services Make up services hair treatments Manicure Pedicure Hand massage Full body massage Fitness Yoga classes fitness classes fitness/spa locker rooms Swimming pool Shuttle service 24-hour security Key card access hair cut hair colouring hair styling Body scrub Spa Facilities Back massage Neck massage Foot massage Head massage linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered face masks for guests available Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus,29.34973|48.03185,965-1-830083,0,https://www.booking.com/hotel/kw/costa-del-sol.html
KW,Kuwait,105944,Hawally,1403167,Mirage Suites Hotel,FourStar,Gulf Road Al Shaab Ibn Salam StreetBlock No 8Building 12 ,,"Set in a prime location of Kuwait, Mirage Suites Hotel - Family Only puts everything the city has to offer just outside your doorstep. The property features a wide range of facilities to make your stay a pleasant experience. 24-hour room service, free Wi-Fi in all rooms, daily housekeeping, 24-hour front desk, express check-in/check-out are there for guest's enjoyment. Guestrooms are fitted with all the amenities you need for a good night's sleep. In some of the rooms, guests can find television LCD/plasma screen, mirror, sofa, towels, closet. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including fitness center, indoor pool. Friendly staff, great facilities and close proximity to all that Kuwait has to offer are three great reasons you should stay at Mirage Suites Hotel - Family Only.",+965 22 65 7858,languages spoken accessibility Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences getting around available in all rooms,29.349279403686523|48.03274917602539,+965 -22663131,P.O.BoX 22665 Safat,http://www.miragesuiteshotelkw.info/
KW,Kuwait,105944,Hawally,1466817,Roomi Suites Hotel,ThreeStar,Block 2 Bldg 22Tunis Street Near Al Mohalab Mall And Hawally Park Hawally Kuwait  ,,"A 5-minute drive from Hawalli Plaza, Roomi Suites Hotel is located in Kuwait City. The property offers an indoor pool and Free WiFi. The Marina Crescent can be reached by car in 15 minutes.

The luxurious accommodation is decorated in bold geometric patterns.  Each unite includes air-conditioning, flat-screen TV and a living room. There is also a kitchen with an oven and a refrigerator.

Guests can enjoy an on-site restaurant and room service with grocery delivery available on request. Other facilities available at Roomi Suites include car hire and dry cleaning.

Liberation Tower is 8 km away while Al Mhalab Mall is walking distance from the property. The nearest airport is Kuwait Airport, 18 km away. Please note that Kuwaiti citizens/residents are kindly required to provide a Kuwait Civil ID upon check in.

Please note that non-residents are kindly required to provide a valid passport upon check in.

Please note that a marriage certificate is required for couples to complete check-in.",,Parking Room service Non-smoking rooms Airport shuttle Laundry dry cleaning Family rooms Ironing service Free parking internet services lift Car hire wifi Indoor pool Free WiFi Air conditioning designated smoking area airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site wifi available in all areas Swimming pool Swimming pool,29.34139|48.0237,+96522620557,35455,https://www.booking.com/hotel/kw/roomi-suites.html
KW,Kuwait,105944,Hawally,1480815,Palazzo Hotel,FourStar,Hawally St. Ibn. Khaldun Block 218 26060 Kuwait Ibn Khaldun Street13121 Hawally ,,"The 4-star Palazzo is a boutique hotel located in Hawally, the second largest technology centre in Kuwait. Less than a 15-minute drive from Kuwait Airport, it offers rooms with free Wi-Fi and 50 flat-screen TVs.

Fitted with white crisp linens and plush seating, all air-conditioned rooms offer daily local newspaper and safety deposit boxes. Room service is available 24 hours a day.

Palazzo Hotel is situated near a shopping area and 3.6 km from Al Shab Theme Park.  The Liberation Tower is 4.4 km away. Some nationalities can get an entry permit stamped in their passport upon arrival. Please check your visa requirements before travelling.",+96522671603,Parking Restaurant Room service meeting/banquet facilities 24-hour front desk Terrace Non-smoking rooms Laundry dry cleaning Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Valet parking Currency exchange Billiards Car hire Fax/photocopying Luggage storage wifi Free WiFi Air conditioning ATM/cash machine on site concierge service shuttle service (additional charge) Daily housekeeping wifi available in all areas use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,29.33937|48.00609,0096567752101,13121,https://www.booking.com/hotel/kw/palazzo.html
KW,Kuwait,105944,Hawally,1497361,Terrace Furnished Apartments- Hawally,OneStar,Al Muthanna Street Building 1Area 12Kuwait ,,"Located in Al Mouthanna Street in Hawally City, Terrace Furnished Apartments- Hawally 2 is just a 15-minute drive from Kuwait City. It boasts free Wi-Fi in the entire hotel, a 24-hour front desk and a garden.

The modern, air-conditioned apartments are elegantly decorated. Each accommodation features a living room with a flat-screen, while the kitchen includes an oven, a fridge and kitchenware. The bathroom has a shower and free toiletries.

Guests can enjoy shopping at Alsharq and Alraya Complex which is a 5-minute walk from Terrace Furnished Apartments- Hawally 2. Hawally Park is also within a walking distance. Free private parking is possible on site. Please check your visa requirements.",,Parking 24-hour front desk Airport shuttle Laundry dry cleaning Family rooms Ironing service Free parking internet services lift Valet parking Car hire wifi Free WiFi Air conditioning airport shuttle (additional charge) grocery deliveries parking on site Private parking wifi available in all areas invoice provided,29.34188|48.02289,,51001,https://www.booking.com/hotel/kw/terrace-furnished-apartments-hawally.html
