countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CK,Cook Islands,100070,Aitutaki,1090150,Inano Beach Bungalows,FourStar,Airport Rd Amuri PO Box 48Aitutaki ,,"Tai Roto Bay offers spacious, authentic accommodation located on its own private beach on the southern tip from Ootu beach. It is a beach front property and safe to swim at all tides.

All bungalows have a private balcony, private bathroom and equipped with self-catering facilities which includes a kitchenette, fridge, microwave, kettle, toaster and kitchen utensils.  An open grill is also available for barbecue nights on the beach.

The absolute beachfront bungalow provides an absolute stunning view of the beautiful lagoon which is right on our door step. The garden rooms including a stand alone one bedroom family room provide a partial lagoon and beach view.

It is a stroll away from the most popular café, several restaurants and bars surrounding Ootu point. Scooter, bicycle & kayak rentals can be booked on site. Local activities such as lagoon cruise tours, island nights, cultural village tour, kite surfing and scuba diving can be assisted by the help desk. Please inform Tai Roto Bay in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
The Cook Islands borders are only open to those who meet the requirements under the current Travel Advisory as at 13 May 2021.

Please note all rooms are serviced from Monday-Friday. There is no cleaning on Saturday and Sunday.

WiFi access is available for an extra charge. For further information please contact the property in advance, using the contact details found on the booking confirmation.",+68231553,Car hire Cycling Tour desk Diving Snorkelling Luggage storage wifi Allergy-free room Non-smoking throughout designated smoking area Private beach area Snack Bar Sun terrace nightclub/dj Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) water sport facilities on site airport shuttle (additional charge) Beachfront Evening entertainment Daily housekeeping parking on site paid wifi board games/puzzles secured parking Street parking Parking Bar Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Massage Karaoke Windsurfing Soundproof rooms BBQ facilities Personal trainer Beach Shuttle service Pub crawls Movie nights Walking tours Bike tours Themed dinner nights Happy hour Tour or class about local culture Cooking class Live music/performance Live sport events (broadcast) Bingo Key access Smoke alarms Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines Accessible parking Wine/champagne Fruits airport pick up airport drop off sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Beauty Services Facial treatments Waxing services Make up services hair treatments Manicure Pedicure hair cut hair colouring hair styling Body Treatments Body scrub Body wrap Spa Facilities Foot bath Spa/wellness packages Full body massage Yoga classes fitness classes first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests,-18.84472|-159.75895,+68231758,,https://www.booking.com/hotel/ck/inanobeach-bungalows.html
CK,Cook Islands,100070,Aitutaki,1090152,Paradise Cove Lodge,ThreeStar,Maunga Pu Street Amuri ArutangaAitutaki ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Maungapu - 0.8 km / 0.5 mi <br /> Aitutaki Golf Club - 2.1 km / 1.3 mi <br /> Arutanga Harbour - 3.9 km / 2.4 mi <br /> Ee - 4.5 km / 2.8 mi <br /> Ootu Beach - 4.8 km / 3 mi <br /> Akaiami - 6.2 km / 3.8 mi <br /> Maina Island - 7.1 km / 4.4 mi <br /> </p><p>The preferred airport for Paradise Cove Lodges is Aitutaki (AIT) - 2.2 km / 1.3 mi </p>,"<p>HeadLine : Near Maungapu</p><p>Location : Located in Aitutaki, Paradise Cove Lodges is by the ocean, within a 5-minute drive of Maungapu and Aitutaki Golf Club.  This beach hotel is 2.4 mi (3.9 km) from Arutanga Harbour and 2.8 mi (4.5 km) from Ee.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms, featuring kitchenettes. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : At Paradise Cove Lodges, enjoy a satisfying meal at the restaurant. A complimentary continental breakfast is served daily.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",682-31-218,Safe-deposit box at front desk Barbecue grill(s) Library Picnic area Luggage storage Free breakfast Laundry facilities Tours/ticket assistance Restaurant Dry cleaning/laundry service WiFi (surcharge) Airport transportation (surcharge) Smoke-free property Garden,-18.836968|-159.782367,682-31-218,682,http://www.paradisecove.co.ck/
CK,Cook Islands,100070,Aitutaki,1147448,Rino's Motel,ThreeStar,Ureia Aitutaki ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arutanga Harbour - 1.1 km / 0.7 mi <br /> Maungapu - 3.7 km / 2.3 mi <br /> Vaipae Church - 3.8 km / 2.4 mi <br /> Aitutaki Golf Club - 5.3 km / 3.3 mi <br /> Ee - 7.4 km / 4.6 mi <br /> Akitua Island - 7.4 km / 4.6 mi <br /> Ootu Beach - 7.6 km / 4.7 mi <br /> </p><p>The preferred airport for Rino s Motel is Aitutaki (AIT) - 5.2 km / 3.2 mi </p>,"<p>HeadLine : Near Arutanga Harbour</p><p>Location : Located in Aitutaki, Rino s Motel is by the ocean, a 2-minute drive from Arutanga Harbour and 6 minutes from Maungapu.  This beach motel is 2.4 mi (3.8 km) from Vaipae Church and 3.3 mi (5.3 km) from Aitutaki Golf Club.</p><p>Rooms : Make yourself at home in one of the 11 guestrooms, featuring kitchenettes with refrigerators and stovetops. Rooms have private balconies or patios. Wireless Internet access (surcharge) is available to keep you connected. Conveniences include desks and microwaves.</p><p>Dining : A complimentary continental breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation.</p>",682-3-1559,Dry cleaning/laundry service Airport transportation (surcharge) Free breakfast WiFi (surcharge) Scuba diving nearby Snorkeling nearby Garden Smoke-free property Wheelchair accessible parking Hiking/biking trails nearby Laundry facilities Tours/ticket assistance Kayaking nearby Free self parking Boat tours nearby Scooter/moped rentals on site Terrace Free continental breakfast Bicycle rentals on site,-18.85743|-159.794504,+682 3 1197,0,
CK,Cook Islands,100070,Aitutaki,1151429,Aitutaki Lagoon Resort & Spa,FourStar,Motu Akitua Aitutaki Lagoon ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Akitua Island - 0.1 km / 0.1 mi <br /> Ee - 0.4 km / 0.3 mi <br /> Ootu Beach - 0.8 km / 0.5 mi <br /> Aitutaki Golf Club - 3 km / 1.8 mi <br /> Maungapu - 5 km / 3.1 mi <br /> Arutanga Harbour - 8.5 km / 5.3 mi <br /> Vaipae Church - 10 km / 6.2 mi <br /> </p><p>The preferred airport for Aitutaki Lagoon Private Island Resort - Adults Only is Aitutaki (AIT) - 2.8 km / 1.7 mi </p>,"<p>HeadLine : Near Akitua Island</p><p>Location : Located in Aitutaki, Aitutaki Lagoon Private Island Resort - Adults Only is by the ocean, a 4-minute drive from Aitutaki Golf Club and 7 minutes from Maungapu.  This 4.5-star resort is 6.2 mi (10 km) from Vaipae Church.</p><p>Rooms : Make yourself at home in one of the 33 individually decorated guestrooms, featuring refrigerators and LCD televisions. Rooms have private furnished balconies or patios. Satellite programming and DVD players are provided for your entertainment, while wireless Internet access (surcharge) keeps you connected. Private bathrooms with showers feature rainfall showerheads and designer toiletries.</p><p>Dining : Enjoy local and international cuisine at Flying Boat Bar & Grill, a beachfront restaurant where you can enjoy drinks at the bar/lounge, take in the ocean view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the beach bar. A complimentary continental breakfast is served daily from 7:30 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Parties and events are allowed on site</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer via airplane and shuttle to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. The front desk is open daily from 7 AM - 10 PM. This property doesn t offer after-hours check-in. Guests will receive an email 24 hours before arrival with check-in instructions. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative Antigen COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 16 and up, and test must have been administered no more than 72 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 16 and up; guests must have received complete vaccination at least 3 days prior to check-in. For more details, please contact the property using the information on the booking confirmation.  Air Rarotonga flies daily from Rarotonga to Aitutaki, with a flight time of approximately 50 minutes. Assistance booking your flight can be provided by contacting the property.</p>",68-2-31202,Front desk (limited hours) Scooter/moped rentals nearby Library Golfing nearby Spa services on site Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Free self parking Free beach cabanas Conference space Kayaking on site Beach sun loungers Gift shops or newsstand Beach volleyball on site Distance from property (meters) - 25 Comprehensive recycling policy Terrace Proposal/romance packages available Pool sun loungers Vegetarian breakfast available Conference space size (feet) - 3229 Free parking nearby Concierge services Pool umbrellas No single-use plastic straws Number of meeting rooms - 1 Conference space size (meters) - 300 Wired Internet access - surcharge Sailing nearby WiFi (surcharge) Biodegradable/compostable straws Scuba diving nearby No single-use plastic water bottles Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Number of beach bars - 1 Water skiing nearby Tours/ticket assistance Free continental breakfast On private beach Comprehensive food waste policy Energy-saving features in guest rooms Recycling Limited WiFi (surcharge) device count - 1 LED light bulbs Vegan menu options available Distance from property (ft) - 82 Vegetarian menu options available Free breakfast Daily Ecotours nearby Laundry facilities Fitness facilities Snorkeling on site Guest education on local ecosystems and culture Books Table tennis Locally-owned & organized tours & activities Composting No elevator (single level property) Spa treatment room(s) Well-lit path to entrance Garden Picnic area Internet access in public areas - high speed Wedding services Beach towels Boat tours nearby Free bicycles on site Couples/private dining Wheelchair accessible  no Luggage storage Express check-out Porter/bellhop Billiards or pool table,-18.84974|-159.757232,682-3-1200,000,http://www.aitutakilagoonresort.com
CK,Cook Islands,100070,Aitutaki,1181056,Aitutaki Escape,FiveStar,Amuri AmuriAitutaki ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Maungapu - 1.3 km / 0.8 mi <br /> Aitutaki Golf Club - 2.9 km / 1.8 mi <br /> Arutanga Harbour - 3.4 km / 2.1 mi <br /> Ee - 5.1 km / 3.1 mi <br /> Akitua Island - 5.1 km / 3.2 mi <br /> Ootu Beach - 5.3 km / 3.3 mi <br /> Vaipae Church - 5.9 km / 3.7 mi <br /> </p><p>The preferred airport for Aitutaki Escape is Aitutaki (AIT) - 2.8 km / 1.7 mi </p>,"<p>HeadLine : Near Maungapu</p><p>Location : With a stay at Aitutaki Escape in Aitutaki, you ll be within a 5-minute drive of Maungapu and Aitutaki Golf Club.  This 5-star villa is 2.1 mi (3.4 km) from Arutanga Harbour and 3.1 mi (5.1 km) from Ee.</p><p>Rooms : Make yourself at home in one of the 3 air-conditioned rooms featuring kitchens with full-sized refrigerators/freezers and stovetops. Your pillowtop bed comes with premium bedding. Rooms have private furnished balconies or patios. Wireless Internet access (surcharge) keeps you connected, and satellite programming is available for your entertainment.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the villa s room service (during limited hours).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Parties and events are allowed on site</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - 7:00 PM. Front desk staff will greet guests on arrival.</p>",61-7-55245522,Pool umbrellas WiFi (surcharge) Scuba diving nearby Number of outdoor pools - 1 Hiking/biking trails on site Free self parking Snorkeling on site Kayaking on site Terrace Pool sun loungers Concierge services Garden In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Boat tours nearby Area shuttle (surcharge) Free bicycles on site Free airport transportation On private beach Luggage storage Front desk (limited hours) Library Barbecue grill(s) Smoke-free property Laundry facilities,-18.84002|-159.7854,+61 7 55245222,0,http://www.aitutakiescape.com
CK,Cook Islands,100070,Aitutaki,1208600,Tamanu Beach,ThreeStar,Main Road PO. Box 59Aitutaki ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Maungapu - 1.7 km / 1.1 mi <br /> Arutanga Harbour - 3.1 km / 1.9 mi <br /> Aitutaki Golf Club - 3.3 km / 2 mi <br /> Ee - 5.5 km / 3.4 mi <br /> Akitua Island - 5.5 km / 3.4 mi <br /> Ootu Beach - 5.7 km / 3.5 mi <br /> Vaipae Church - 6.1 km / 3.8 mi <br /> </p><p>The preferred airport for Tamanu Beach is Aitutaki (AIT) - 3.2 km / 2 mi </p>,"<p>HeadLine : Near Maungapu</p><p>Location : Located in Aitutaki, Tamanu Beach is by the ocean, a 3-minute drive from Maungapu and 5 minutes from Arutanga Harbour.  This beach hotel is 2.1 mi (3.3 km) from Aitutaki Golf Club and 3.4 mi (5.5 km) from Ee.</p><p>Rooms : Make yourself at home in one of the 23 air-conditioned rooms featuring refrigerators and espresso makers. 43-inch Smart televisions with digital programming provide entertainment, while wireless Internet access (surcharge) keeps you connected. Bathrooms have shower/tub combinations and hair dryers. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy international cuisine at Tamanu, a beachfront restaurant, or stay in and take advantage of the room service (during limited hours). Relax with a refreshing drink from the beach bar or one of the 2 bars/lounges. A complimentary cooked-to-order breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 8:00 PM. Front desk staff will greet guests on arrival.</p>",682-31816,Gift shops or newsstand Pool umbrellas Number of meeting rooms - 1 Conference space size (meters) - 84 WiFi (surcharge) Laundry facilities Snorkeling on site Wheelchair accessible (may have limitations) Wheelchair-accessible spa Wheelchair-accessible registration desk Well-lit path to entrance Garden Picnic area Full-service spa Wedding services Beach towels Boat tours nearby Free bicycles on site Yoga classes/instruction on site Luggage storage Scuba diving nearby Number of bars/lounges - 2 Number of outdoor pools - 2 Number of beach bars - 1 Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Scooter/moped rentals on site Free Cooked-to-Order Breakfast Free airport transportation Wheelchair-accessible on-site restaurant Free breakfast Multilingual staff Water dispenser Daily Business center Front desk (limited hours) Library Golfing nearby Safe-deposit box at front desk Smoke-free property Hiking/biking trails nearby Free self parking Conference space Kayaking on site Beach sun loungers Terrace Pool sun loungers Conference space size (feet) - 904 Concierge services,-18.842134|-159.787941,+682 31810,0,http://tamanubeach.com/
CK,Cook Islands,100070,Aitutaki,1211287,Pacific Resort Aitutaki,FiveStar,Po Box 90 Amuri Cook Islands ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arutanga Harbour - 2.2 km / 1.4 mi <br /> Maungapu - 2.5 km / 1.6 mi <br /> Aitutaki Golf Club - 4.1 km / 2.5 mi <br /> Vaipae Church - 5 km / 3.1 mi <br /> Ee - 6.3 km / 3.9 mi <br /> Akitua Island - 6.3 km / 3.9 mi <br /> Ootu Beach - 6.5 km / 4 mi <br /> </p><p>The preferred airport for Pacific Resort Aitutaki is Aitutaki (AIT) - 4 km / 2.5 mi </p>,"<p>HeadLine : Near Maungapu</p><p>Location : When you stay at Pacific Resort Aitutaki in Aitutaki, you ll be on the waterfront, within a 5-minute drive of Maungapu and Arutanga Harbour.  This 5-star resort is 2.6 mi (4.2 km) from Aitutaki Golf Club and 3.2 mi (5.2 km) from Vaipae Church.</p><p>Rooms : Make yourself at home in one of the 29 air-conditioned rooms featuring refrigerators and plasma televisions. Rooms have private furnished balconies or patios. Digital programming and iPod docking stations are provided for your entertainment, while wireless Internet access (surcharge) keeps you connected. Private bathrooms with showers feature designer toiletries and hair dryers.</p><p>Dining : Grab a bite at Rapae Bay Restaurant, one of the resort s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with your favorite drink at the bar/lounge or the poolside bar. A complimentary cooked-to-order breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : Guests must transfer via Airplane to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport. To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - 10:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival. At check-in, guests must provide a record of full COVID-19 vaccination. The COVID-19 vaccination record requirement applies to all guests aged 12 and up.</p>",68-0-2 21427,Gift shops or newsstand Dry cleaning/laundry service Shopping on site Pool umbrellas Sailing nearby WiFi (surcharge) Scuba diving nearby Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 Wheelchair accessible parking Tours/ticket assistance Scooter/moped rentals on site Free Cooked-to-Order Breakfast Free airport transportation On private beach Free breakfast Daily Ecotours nearby Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Snorkeling on site Reception hall Spa treatment room(s) Internet access in public areas - surcharge Garden Picnic area Full-service spa Beach towels Boat tours nearby Free bicycles on site Luggage storage Porter/bellhop Front desk (limited hours) Golfing nearby Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Free self parking Kayaking on site Computer station Beach sun loungers Terrace Wheelchair accessible path of travel Pool sun loungers Concierge services,-18.847571|-159.793056,68-0-2 20427,790,http://www.pacificresort.com
CK,Cook Islands,100070,Aitutaki,1213470,Gina's Garden Lodges,ThreeStar,Tautu Village Tautu VillageCook Islands ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Vaipae Church - 0.7 km / 0.5 mi <br /> Arutanga Harbour - 3 km / 1.8 mi <br /> Ee - 2.2 km / 1.3 mi <br /> Maungapu - 6.1 km / 3.8 mi <br /> Aitutaki Golf Club - 8.7 km / 5.4 mi <br /> Akitua Island - 10.8 km / 6.7 mi <br /> Ootu Beach - 11 km / 6.8 mi <br /> </p><p>The preferred airport for Gina s Garden Lodges is Aitutaki (AIT) - 8.5 km / 5.3 mi </p>,"<p>HeadLine : Near Vaipae Church</p><p>Location : Located in Aitutaki, Gina s Garden Lodges is in a rural location, within a 5-minute drive of Vaipae Church and Ee.  This motel is 1.8 mi (2.9 km) from Arutanga Harbour and 3.8 mi (6.1 km) from Maungapu.</p><p>Rooms : Make yourself at home in one of the 4 guestrooms, featuring kitchenettes with refrigerators and ovens. Your pillowtop bed comes with premium bedding. Rooms have private patios. Wireless Internet access (surcharge) is available to keep you connected.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Guests must transfer via airplane and shuttle to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. The host will greet guests on arrival.</p>",682-31-058,Dry cleaning/laundry service Sailing nearby Windsurfing nearby WiFi (surcharge) Scuba diving nearby Garden Picnic area Bicycle rentals nearby Wedding services Tours/ticket assistance Boat tours nearby Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Parasailing nearby Scooter/moped rentals nearby Snorkeling nearby Smoke-free property Ecotours nearby Hiking/biking trails nearby Laundry facilities Kayaking nearby Free self parking Terrace,-18.876311|-159.782115,+68231058,00000,http://www.ginasaitutakidesire.com/
CK,Cook Islands,100070,Aitutaki,1219138,Aitutaki Village,ThreeStar,Ootu Beach Aitutaki ,,"Aitutaki Village is located on the white-sandy beach of Ootu. The Blue Lagoon Restaurant and Bar is open for breakfast, lunch and dinner, featuring a special Cultural Night on Tuesday evenings. Sip cocktails and enjoy the sunset view at the bar.

Aitutaki Village offers a free shuttle service to and from Aitutaki Airport, just a 5-minute drive away. The property is only a 20-minute drive from Arutanga town centre.

Overlooking lush gardens and coconut palms all air-conditioned bungalows include a patio with outdoor furniture and tea and coffee making facilities.

The tour desk can organise excursions including lagoon and island tours. Free use of kayaks and sun loungers are included. Please inform Aitutaki Village in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that Aitutaki Village does not accept payments by American Express.

Free meet and greet transfers are available to and from Aitutaki Airport. Please inform Aitutaki Village in advance if you want to use this service, using the contact details found on the booking confirmation.

The restaurant is open as follows:
Monday-Sunday 08:00 until 21:00, offering breakfast, lunch and dinner.
Bar opening hours: 11:00 until 21:00",,Family rooms Free parking internet services express check-in/check-out Massage Windsurfing Canoeing Tour desk Diving Snorkelling wifi Air conditioning Parking Restaurant Room service Bar Golf course (within 3 km) Garden Non-smoking rooms Airport shuttle Fishing babysitting/child services Laundry delivered food is securely covered guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized invoice provided physical distancing rules followed cashless payment available first aid kit available staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus CCTV in common areas Smoke alarms Tour or class about local culture Happy hour Shuttle service Beach Picnic area Sun umbrellas sun loungers or beach chairs airport drop off airport pick up Wine/champagne Accessible parking Kid meals paid wifi wifi available in all areas parking on site Daily housekeeping Evening entertainment Beachfront airport shuttle (free) Special diet menus (on request) shuttle service (additional charge) Private check-in/check-out,-18.84823|-159.75987,+682 31526,0000,https://www.booking.com/hotel/ck/samade-on-the-beach.html
CK,Cook Islands,100070,Aitutaki,1225578,Etu Moana Boutique Beach Villas,FourStar,P.O. Box 123 Aitutaki ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Maungapu - 1.3 km / 0.8 mi <br /> Aitutaki Golf Club - 2.9 km / 1.8 mi <br /> Arutanga Harbour - 3.4 km / 2.1 mi <br /> Ee - 5.1 km / 3.2 mi <br /> Akitua Island - 5.1 km / 3.2 mi <br /> Ootu Beach - 5.3 km / 3.3 mi <br /> Vaipae Church - 6 km / 3.7 mi <br /> </p><p>The nearest major airport is Aitutaki (AIT) - 2.8 km / 1.8 mi</p>,"<p>HeadLine : Near Maungapu</p><p>Location : When you stay at Etu Moana Boutique Beach Villas in Aitutaki, you ll be on the beach and within a 5-minute drive of Maungapu.  This 4-star hotel is 1.8 mi (3 km) from Aitutaki Golf Club and 2.1 mi (3.4 km) from Arutanga Harbour.</p><p>Rooms : Make yourself at home in one of the 8 air-conditioned rooms featuring kitchenettes. Rooms have private patios. 32-inch flat-screen televisions can provide entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Wrap up your day with a drink at the poolside bar. A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8 AM - 5 PM. Guests will receive an email 7 days before arrival with check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.</p>",68231459,Snorkeling on site Free self parking Laundry facilities Hiking/biking trails nearby Smoke-free property Safe-deposit box at front desk Spa services on site Library Front desk (limited hours) Free breakfast Luggage storage Wheelchair accessible  no Couples/private dining Free airport transportation Free Buffet Breakfast Free bicycles on site Scooter/moped rentals on site Tours/ticket assistance Garden Number of outdoor pools - 1 Number of poolside bars - 1 Spa treatment room(s) Free WiFi 24-hour pool access Outdoor furniture Proposal/romance packages available Dry cleaning/laundry service Concierge services Terrace Kayaking on site,-18.84007|-159.785425,682-31-31458,12345,http://www.etumoana.com/index.html
