countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
CY,Cyprus,100693,Alaminos,1014663,Aldiana Zypern,FourStar,George Mouskis Avenue 7572 Alaminos ,,"Set in Alaminos, 19 km from Cyprus Casinos - Larnaca Airport, ROBINSON Cyprus offers accommodation with an outdoor swimming pool, free private parking, a fitness centre and a garden. With a terrace, the 4-star hotel has air-conditioned rooms with free WiFi. The hotel has an indoor pool, sauna, nightclub and a shared lounge.

At the hotel, the rooms have a desk and a TV. The rooms are equipped with a safety deposit box, while some rooms also feature a balcony and others also feature sea views. All guest rooms will provide guests with a fridge.

The daily breakfast offers buffet, continental or Full English/Irish options. At ROBINSON Cyprus you will find a restaurant serving German, local and European cuisine. Vegetarian, dairy-free and vegan options can also be requested.

The accommodation offers a childrens playground. You can play table tennis and tennis at this 4-star hotel, and the area is popular for cycling.

Speaking German, Greek and English at the 24-hour front desk, staff will be happy to provide guests with practical information on the area.

Hala Sultan Tekke is 21 km from ROBINSON Cyprus, while Larnaca Salt Lake is 22 km from the property. The nearest airport is Larnaca International Airport, 17 km from the hotel.",+35724849200,Fitness Yoga classes fitness classes fitness/spa locker rooms Swimming pool Beach Movie nights Walking tours Bike tours Themed dinner nights Happy hour Tour or class about local culture Live music/performance Live sport events (broadcast) Archery Aerobics 24-hour security Key card access Security alarm Smoke alarms Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Terrace Non-smoking rooms babysitting/child services Laundry dry cleaning Facilities for disabled guests Family rooms Games room Ironing service Free parking internet services lift Safety Deposit Box Spa and wellness centre Massage children's playground Table tennis Windsurfing Packed lunches Car hire Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Allergy-free room Indoor pool Outdoor pool Free WiFi Air conditioning designated smoking area Snack Bar Sun terrace outdoor pool (all year) indoor pool (all year) Entertainment staff nightclub/dj Private check-in/check-out Special diet menus (on request) water sport facilities on site Lockers shared lounge/TV area minimarket on site Beachfront Evening entertainment Daily housekeeping parking on site Private parking wifi available in all areas Swimming pool toys board games/puzzles Indoor play area kids' outdoor play equipment Kid meals Kid-friendly buffet Accessible parking Wheelchair accessible Heated pool Pool Bar Wine/champagne Fruits physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available Foot bath Spa/wellness packages Back massage Neck massage Foot massage Couples massage Head massage Hand massage Full body massage Strollers tennis equipment sun loungers or beach chairs Sun umbrellas Outdoor furniture Beauty Services Facial treatments Waxing services Make up services Manicure Pedicure Body Treatments Body scrub Body wrap Spa Facilities Steam room Spa lounge/relaxation area,34.77454|33.46125,+35724849000,7572,https://www.booking.com/hotel/cy/aldiana-zypern.html
CY,Cyprus,101099,Alsancak,1018816,Citrus Tree Gardens,ThreeStar,"ALSANCAK GIRNE, GIRNE ",,"This hotel enjoys a wonderful location in Girne. The hotel is situated just a 10 minutes' driving distance away from Kyrenia. Guests will find themselves within easy walking distance of the local shops and beaches. The hotel enjoys close proximity to Nicosia. This wonderful hotel is sure to impress, featuring a pristine, white-washed exterior, and exuding an air of elegance and serenity. The charming guest rooms and apartments are superbly designed, offering a relaxed setting in which to escape the rest of the world. Guests can enjoy a number of exemplary facilities and services at this sublime hotel.",,Hotel,35.348471|33.212004,,,http://www.citrustreegardens.com
CY,Cyprus,101099,Alsancak,1076847,Almond Holiday Village,ThreeStar,"Bademli Sokak, 1 ALSANCAK ",,This comfortable hotel is in Kyrenia. The 33 welcoming rooms offer a perfect place to relax at the end of the day. This hotel does not accept pets.,+357903928212889,Hotel,35.34635|33.19127,+903928212886,,http://www.almond-holidays.com
CY,Cyprus,101099,Alsancak,1119658,Riverside Premium Hotel,ThreeStar,"Alsancak; Kyrenia; North Cyprus , KYRENIA ",,This lovely hotel is in Kyrenia. This hotel does not accept pets.,,Hotel,35.34034|33.20414,905338660694,,http://www.riversideholidayvillage.com/riverside-premium.html
CY,Cyprus,101099,Alsancak,1149477,Denizkizi Hotel,ThreeStar,Dumlupinar Street Alsancak Girne Pk 230 99350 KyreniaNorth Cyprus ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alsancak National Freedom Park - 1.2 km / 0.7 mi <br /> Merit Park Hotel Casino & Spa - 4.2 km / 2.6 mi <br /> Kaya Palazzo Resort & Casino Girne - 4.8 km / 3 mi <br /> Icon Museum - 10.1 km / 6.3 mi <br /> Kyrenia Castle - 10.8 km / 6.7 mi <br /> Kyrenia Harbour - 11.1 km / 6.9 mi <br /> Bellapais Abbey - 15.3 km / 9.5 mi <br /> Diana Beach - 16.7 km / 10.4 mi <br /> St. Hilarion Castle - 17.7 km / 11 mi <br /> St. Hilarion Castle Peak - 18.4 km / 11.4 mi <br /> Besparmak Tepe - 25.5 km / 15.8 mi <br /> Near East University Hospital - 28.1 km / 17.5 mi <br /> Alagadi Turtle Beach - 29.4 km / 18.3 mi <br /> Sinir Park - 32.6 km / 20.3 mi <br /> Atatürk Myd. - 32.7 km / 20.3 mi <br /> </p>,"<p>HeadLine : Near Alsancak National Freedom Park</p><p>Location : With a stay at Denizkizi Hotel in Karavas, you ll be within a 5-minute drive of Alsancak National Freedom Park and Merit Park Hotel Casino & Spa.  This beach hotel is 21.6 mi (34.8 km) from Ledra Street and 2.7 mi (4.3 km) from Kaya Palazzo Resort & Casino Girne.</p><p>Rooms : Make yourself at home in one of the 110 guestrooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the beach bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",90-548-8111000,Pool sun loungers Beach sun loungers Fitness facilities Free beach cabanas Free self parking elevator Children's pool Laundry facilities Outdoor seasonal pool Spa services on site 24-hour front desk Luggage storage On private beach Airport transportation (surcharge) Rooftop terrace Beach towels Garden Number of beach bars - 1 Designated smoking areas Free WiFi Wheelchair-accessible registration desk Pool umbrellas Beach umbrellas Wheelchair-accessible concierge desk Wheelchair accessible (may have limitations) Dry cleaning/laundry service,35.349309|33.224698,+90 548 811 10 00,230,http://www.denizkizi.com
CY,Cyprus,101099,Alsancak,1155832,Denizkizi Royal Hotel,FourStar,P.K. 230 Alsancak 99350 KyreniaNorth Cyprus ,City centre : 3000mts Nearest Bus / Metro Stop : 8000mts Kyrenia1 : 8000mts ERCAN : 38km,"HotelDescription#The hotel is located on the coast 3 km from the village of Alsancak and 8 km from the pretty harbour town of Kyrenia, where there are restaurants, bars and pubs. In landscaped gardens, the hotel has stunning sea views overlooking its own cove and a self-service restaurant overlooking the sandy beach and beach bar. The hotel has a lobby and 24-hour reception and check-out services are available. Moreover there is a currency exchange facility on site.  The rooms are en suite with a shower and are carpeted. All of them are equipped with a hairdryer, minibar and safe and have a balcony.  The hotel has a large outdoor swimming pool, a children's swimming area and the establishment also has a gym. Refreshments are available from the poolside snack bar and leisure facilities include sun loungers and parasols on the sun terrace and on the sandy beachheads are served in a buffet form.",+357903928212727,Double rooms : 32 Single rooms : 25 Buffet dinner Breakfast buffet   Parasols Sun loungers Outdoor freshwater pool    : 1 Poolside snack bar Smoking area Restaurant Bar Gym Sun terrace Currency exchange facilities 24-hour reception NO Garage NO Car park NO Wheelchair-accessible NO Large pets allowed (over 5 kg) NO Small pets allowed (under 5 kg) Hotel NO Connecting rooms,35.349649|33.224695,+357903928212676,,"http://www.denizkizi.com,https://www.denizkizi.com"
CY,Cyprus,101099,Alsancak,1160048,Leton Aphrodite Hotel,ThreeStar,Alsancak GirneKibris ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alsancak National Freedom Park - 1.1 km / 0.7 mi <br /> Merit Park Hotel Casino & Spa - 4.1 km / 2.6 mi <br /> Kaya Palazzo Resort & Casino Girne - 4.7 km / 2.9 mi <br /> Icon Museum - 10 km / 6.2 mi <br /> Kyrenia Castle - 10.7 km / 6.6 mi <br /> Kyrenia Harbour - 11 km / 6.8 mi <br /> Bellapais Abbey - 15.2 km / 9.4 mi <br /> Diana Beach - 16.6 km / 10.3 mi <br /> St. Hilarion Castle - 17.6 km / 10.9 mi <br /> St. Hilarion Castle Peak - 18.3 km / 11.4 mi <br /> Besparmak Tepe - 25.4 km / 15.8 mi <br /> Near East University Hospital - 28.1 km / 17.4 mi <br /> Alagadi Turtle Beach - 29.3 km / 18.2 mi <br /> Sinir Park - 32.5 km / 20.2 mi <br /> Atatürk Myd. - 32.6 km / 20.3 mi <br /> </p>,"<p>HeadLine : Near Alsancak National Freedom Park</p><p>Location : When you stay at Queen Aphrodite Hotel in Karavas, you ll be on the Strip, within a 5-minute drive of Alsancak National Freedom Park and Merit Park Hotel Casino & Spa.  This beach hotel is 21.6 mi (34.7 km) from Ledra Street and 2.6 mi (4.2 km) from Kaya Palazzo Resort & Casino Girne.</p><p>Rooms : Make yourself at home in one of the 42 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and toothbrushes and toothpaste. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : At Queen Aphrodite Hotel, enjoy a satisfying meal at the restaurant. Mingle with other guests at the complimentary reception, held daily. Relax with your favorite drink at the bar/lounge or the beach bar. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",+3573928218013,Concierge services Terrace Free self parking elevator Children's pool Breakfast available (surcharge) Free beach club on site 24-hour front desk Private beach nearby Free beach shuttle Free airport transportation - drop-off Stair-free path to entrance Garden Change of towels (on request) Well-lit path to entrance Number of beach bars - 1 Number of outdoor pools - 1 Designated smoking areas Number of bars/lounges - 1 Free WiFi Wheelchair-accessible registration desk Change of bed sheets (on request) Free reception Direct access to private beach Wheelchair accessible (may have limitations) secured parking Dry cleaning/laundry service,35.348105|33.223802,+3573928212220,99320,reservation@letonaphrodite
CY,Cyprus,101099,Alsancak,1345682,Green Holiday Village,ThreeStar,ALSANCAK GIRNE KYRENIA ,Lamboussa Ruins: within 100 metre ,"This holiday village is nestled between the slopes of the Five-Finger mountain range and the Mediterranean coastline. It is located roughly 9 km west of Kyrenia, which is the most popular tourist resort on the northern part of the island. Camelot beach is around 300 m from the holiday village. Ercan airport is also only 30 km away and Larnaca international airport is approximately 65 km from the holiday village.

This attractive holiday village consists of blocks of 2 floor buildings set in spacious grounds around an outdoor swimming pool. It has 46 rooms. Stylishly furnished, the air-conditioned holiday village offers guests a range of facilities which include a lobby which offers a 24-hour reception and 24-hour check-out service as well as a hotel safe and currency exchange facilities. Younger guests will enjoy the children's playground. Guests can have a drink at the bar and dine in the restaurant which serves international and Turkish cuisine. For an additional fee, guests can take advantage of wireless Internet access as well as room and laundry services. Those arriving by car may leave their vehicles in the hotel car park.

All rooms come with a shower and hairdryer and guests can enjoy a good night's rest in their double or king-size bed. Rooms also come equipped with a direct dial telephone, satellite/cable TV, Internet access, a safe, kitchen and minibar as well as tea and coffee making facilities. Individually regulated air conditioning and individually regulated heating are standard features of all accommodation. All rooms have pool views with private balconies or terraces. The luxurious and comfortable furniture is designed to make guests feel at home.",,Air conditioning in public areas Hotel safe Currency exchange facilities Garden Gym Bar Restaurant Non-smoking area Smoking area Hotel MasterCard Visa Shower Hairdryer Direct dial telephone TV Kitchen Minibar Carpeted floors Individually adjustable air conditioning Safe Balcony Room service Laundry service À la carte dinner Buffet dinner Set menu lunch Breakfast buffet Breakfast Massage Steam bath Sauna Children playground Sun loungers Air conditioning in Restaurant Poolside snack bar,35.30701|33.33123,,Mersin 10 Turkey,www.greenholidayvillage.com
CY,Cyprus,101099,Alsancak,1345687,Bare Hill Holiday Village,TwoStar,Karaoglanoglu Caddesi No 43 Near Escape BeachAlsancakGirne (Kyrenia) via Mersin 10 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alsancak National Freedom Park - 0.7 km / 0.4 mi <br /> Merit Park Hotel Casino & Spa - 3.6 km / 2.2 mi <br /> Kaya Palazzo Resort & Casino Girne - 4.2 km / 2.6 mi <br /> Icon Museum - 9.6 km / 6 mi <br /> Kyrenia Castle - 10.3 km / 6.4 mi <br /> Kyrenia Harbour - 10.6 km / 6.6 mi <br /> Bellapais Abbey - 14.8 km / 9.2 mi <br /> Diana Beach - 16.2 km / 10.1 mi <br /> St. Hilarion Castle - 17.2 km / 10.7 mi <br /> St. Hilarion Castle Peak - 17.9 km / 11.1 mi <br /> Besparmak Tepe - 25 km / 15.5 mi <br /> Near East University Hospital - 27.7 km / 17.2 mi <br /> Alagadi Turtle Beach - 28.9 km / 18 mi <br /> Sinir Park - 32.1 km / 20 mi <br /> Atatürk Myd. - 32.2 km / 20 mi <br /> </p>,"<p>HeadLine : Near Alsancak National Freedom Park</p><p>Location : Located in Karavas, Bare Hill Holiday Village is by the sea, a 1-minute drive from Alsancak National Freedom Park and 9 minutes from Kyrenia Castle.  This family-friendly hotel is 6.6 mi (10.6 km) from Kyrenia Harbour and 10.7 mi (17.2 km) from St. Hilarion Castle.</p><p>Rooms : Make yourself at home in one of the 28 air-conditioned rooms featuring LCD televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Relax with a refreshing drink at the bar/lounge, the poolside bar, or one of 4 beach bars.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>This property uses solar energy, plus eco-friendly cleaning products</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 8:00 AM - midnight. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",90-39-28212609,Snack bar/deli Smoke-free property Safe-deposit box at front desk Housekeeping on request Outdoor seasonal pool Playground on site Library Front desk (limited hours) Express check-out Water-efficient showers only Private beach nearby Luggage storage Water-efficient toilets only Garden Change of towels (on request) Well-lit path to entrance Wheelchair-accessible public washroom Pool sun loungers Access to nearby outdoor pool ATM/banking Terrace Free self parking Children's pool Locally-owned & organized tours & activities Wheelchair-accessible concierge desk Showcase for local artists Wheelchair accessible (may have limitations) secured parking Locally-sourced food on site (80% or more) Double-glazing on all windows Number of coffee shops/cafes - 1 Coffee/tea in common areas Free beach club nearby Number of accessible parking spaces - 2 Wheelchairs available on site Handrails in hallways Handrails in stairways No accessible shuttle Wheelchair-accessible on-site restaurant Wheelchair-accessible lounge No accessible airport shuttle LED light bulbs Energy-saving features in guest rooms Eco-friendly cleaning products provided Eco-friendly toiletries Vegetable garden Airport transportation (surcharge) Wheelchair accessible parking In-room accessibility (in select rooms) Number of beach bars - 4 Number of poolside bars - 1 Number of bars/lounges - 1 Free WiFi Front entrance ramp Pool umbrellas Outdoor furniture Eco-friendly cleaning products used Comprehensive recycling policy Renewable energy source - solar Wheelchair-accessible pool Television in common areas Wheelchair-accessible registration desk Pool access ramp on site Change of bed sheets (on request) Fully fenced Wheelchair-accessible van parking,35.346205|33.227866,90-39-28212609,99360,http://www.barehillcyprus.com
CY,Cyprus,101099,Alsancak,5262455,Merit Royal Hotel All Inclusive,FiveStar,Alsancak Mevkii  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alsancak National Freedom Park - 3.4 km / 2.1 mi <br /> Merit Park Hotel Casino & Spa - 6.1 km / 3.8 mi <br /> Kaya Palazzo Resort & Casino Girne - 6.6 km / 4.1 mi <br /> Icon Museum - 12.3 km / 7.6 mi <br /> Kyrenia Castle - 13.1 km / 8.1 mi <br /> Kyrenia Harbour - 13.4 km / 8.3 mi <br /> Bellapais Abbey - 17.6 km / 10.9 mi <br /> Diana Beach - 19.1 km / 11.9 mi <br /> St. Hilarion Castle - 20 km / 12.4 mi <br /> St. Hilarion Castle Peak - 20.6 km / 12.8 mi <br /> Besparmak Tepe - 27.6 km / 17.2 mi <br /> Near East University Hospital - 30.4 km / 18.9 mi <br /> Alagadi Turtle Beach - 31.9 km / 19.8 mi <br /> Sinir Park - 34.8 km / 21.6 mi <br /> Atatürk Myd. - 34.9 km / 21.7 mi <br /> </p>,"<p>HeadLine : In Karavas</p><p>Location : When you stay at Merit Royal Hotel in Karavas, you ll be within a 10-minute drive of Alsancak National Freedom Park and Merit Park Hotel Casino & Spa.  This 5-star hotel is 23.1 mi (37.1 km) from Ledra Street and 4.1 mi (6.6 km) from Kaya Palazzo Resort & Casino Girne.</p><p>Rooms : Make yourself at home in one of the 125 air-conditioned rooms featuring free minibar items and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : This hotel is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. <p>Grab a bite at one of the hotel s 4 restaurants, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. </p></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",90-392-6504021,24-hour business center Terrace Fitness facilities Free self parking elevator Smoke-free property 24-hour front desk Wheelchair-accessible on-site restaurant Free beach shuttle Accessible bathroom (in select rooms) Full-service spa Roll-in shower (in select rooms) Wheelchair accessible parking In-room accessibility (in select rooms) Garden Number of indoor pools - 1 Number of outdoor pools - 1 Spa treatment room(s) Wheelchair-accessible public washroom Number of bars/lounges - 1 Free WiFi Wheelchair-accessible registration desk Wheelchair-accessible path to elevator Wheelchair-accessible concierge desk Wheelchair accessible (may have limitations) Dry cleaning/laundry service,35.354792|33.207779,90-533-8266614,99350,
