countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
VE,Venezuela,101165,Anzoategui,1258512,Eurobuilding Express El Tigre,ThreeStar,Avenida Intercomunal El Tigre Anzoategui Guanipa- Sector Las Virtudes El TigritoEdo Anzoátegui ,,"<p>HeadLine : In the city center</p><p>Rooms : Treat yourself to a stay in one of the 80 guestrooms, featuring fireplaces and LCD televisions. Your bed comes with premium bedding, and all rooms are furnished with double sofa beds. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and rainfall showerheads.</p><p>Dining : Grab a bite to eat at MR GRILL, a restaurant where you can enjoy drinks at the bar/lounge, take in the pool view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). A complimentary buffet breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host; the provision of housing is linked to their trade, business, or profession, within the meaning of article 155 of the French Tax Code</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts Visa, Mastercard, and American Express</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",58-283-2418111,Television in common areas Accessible bathroom Wheelchair accessible parking In-room accessibility Braille or raised signage Multilingual staff Free newspapers in lobby Number of outdoor pools - 1 elevator Rooftop terrace Number of bars/lounges - 1 Free airport transportation 24-hour front desk Conference space Free breakfast Porter/bellhop Express check-out Free self parking Dry cleaning/laundry service Free WiFi Health club Free wired Internet Smoke-free property Number of coffee shops/cafes - 1 RV  bus  truck parking Safe-deposit box at front desk Luggage storage 24-hour business center Pool umbrellas Laundry facilities,8.895226|-64.195004,58-283-2417111,6050,http://www.eurobuilding.com.ve/ListaHotel.aspx?hid=20&amp;sec=100102
VE,Venezuela,111139,Barinas,1174403,Eurobuilding Express Barinas,ThreeStar,Aveniza Suiza Con Calle Pie De Monte Barinas Nivel LobbyUrbanisation Alto BarinasBarinas ,,"<p>Rooms : Stay in one of 123 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as laptop-compatible safes and desks.</p><p>Dining : Satisfy your appetite for lunch or dinner at Mr. Grill, a restaurant which specializes in international cuisine, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 6:30 AM to 10:30 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul> </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",58-273-5003120,Safe-deposit box at front desk Terrace Bar/lounge Luggage storage Fitness facilities 24-hour front desk Banquet hall Free breakfast Business center Restaurant Meeting rooms Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Outdoor pool Smoke-free property,8.613333|-70.252892,58-273-5003120,00000,https://www.hoteleuro.com/8-barinas/112-contacto
VE,Venezuela,111139,Barinas,1639153,Hosteria Los Guasimitos,TwoStar,Carretera Nacional Sectos Los Guasimitos A 1 Km De La Rotonda De Barinas 5201 Barinas a 1 Km de la Rotonda de Barinas A 500 Metros Del Distribuidor Redoma MeridaSan CristobalBarinas 5201 ,,"<p>HeadLine : In the entertainment district</p><p>Rooms : Make yourself at home in one of the 90 air-conditioned guestrooms. Satellite television is provided for your entertainment. Bathrooms have showers and complimentary toiletries. Housekeeping is provided daily, and rollaway/extra beds (surcharge) can be requested.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/café. The hotel also offers room service (during limited hours). Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host; the provision of housing is linked to their trade, business, or profession, within the meaning of article 155 of the French Tax Code</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts Visa, Mastercard, American Express, and Diners Club</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",58-273-5461546,Number of outdoor pools - 1 Number of bars/lounges - 2 Number of poolside bars - 1 24-hour front desk Conference space Free self parking Free WiFi Pool sun loungers Number of coffee shops/cafes - 1 Children's pool Safe-deposit box at front desk Conference space size (meters) - 100 Number of meeting rooms - 1 Luggage storage Free RV  bus  truck parking Breakfast available (surcharge) Conference space size (feet) - 1076 Pool umbrellas Laundry facilities Television in common areas Accessible bathroom Wheelchair accessible parking In-room accessibility Garden,8.6645|-70.242868,58 2735461546,5201,http://www.hosterialosguasimitos.com/
VE,Venezuela,111139,Barinas,1856620,Hotel Cima Barinas,ThreeStar,Calle Suiza Barinas 5201 ,,"<p>Rooms : Treat yourself to a stay in one of the 42 individually decorated guestrooms, featuring private spa tubs and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/café. Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host; the provision of housing is linked to their trade, business, or profession, within the meaning of article 155 of the French Tax Code</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts Visa and Mastercard</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,In-room accessibility Free use of nearby fitness center Smoke-free property Terrace Number of coffee shops/cafes - 1 elevator Fitness facilities Number of bars/lounges - 1 24-hour front desk Accessible bathroom Roll-in shower Free self parking Free WiFi,8.613274|-70.252784,58-4145681465,5201,http://www.hotelcima.com
VE,Venezuela,111017,Barquisimeto,1067509,Lidotel Hotel Boutique Barquisimeto,FourStar,"Av Venezuela Con Av Argimiro Bracamonte Y Av Crispulo Benitez S N Centro Barquisimeto y Av Crispulo Benitez S/N, Centro Avenida Crispulo BenitezEdoBarquisimeto 3001 ",,"<p>HeadLine : In a shopping district</p><p>Rooms : Make yourself at home in one of the 164 air-conditioned rooms featuring iPod docking stations and plasma televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include laptop-compatible safes and desks.</p><p>Dining : Satisfy your appetite for lunch or dinner at Le Nouveau, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>This property is managed by a professional host; the provision of housing is linked to their trade, business, or profession, within the meaning of article 155 of the French Tax Code</li><li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts Visa, Mastercard, American Express, and Discover</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",30-55-778899,Free newspapers in lobby Number of outdoor pools - 1 elevator Fitness facilities Number of bars/lounges - 1 24-hour front desk Conference space Free breakfast Business center Tours/ticket assistance Free self parking Dry cleaning/laundry service Free WiFi Limo or Town Car service available Valet parking (surcharge) Smoke-free property Safe-deposit box at front desk Number of meeting rooms - 9 Terrace Luggage storage 24-hour business center Concierge services Conference center Snack bar/deli Shopping on site Laundry facilities Parking (limited spaces) Airport transportation (surcharge) Garden Multilingual staff,10.070514|-69.292242,30-55-778999,3001,http://www.lidotel.com.ve/Venezuela/3/Barquisimeto
VE,Venezuela,111017,Barquisimeto,1067511,Tiffany,ThreeStar,Calle 2 BARQUISIMETO ,,"The Tiffany Hotel in Barquisimeto is near attractions such as Centro Sambil Barquismeto and Teatro Juárez. This hotel has 2 restaurants. The staff can arrange tour and ticket services and wedding assistance. As additional services include a nightclub, a rooftop terrace and a souvenir shop. Parking for guests is free but limited by order of arrival. The 108 rooms have air conditioning, free WiFi and cable TV. *** Children: 0 to 4 years",,Hotel,10.06493|-69.29611,582514201201,3001,http://www.tiffanyhotel.com.ve/
VE,Venezuela,111017,Barquisimeto,1180562,Trinitarias Suites,ThreeStar,Av. Los Leones C/C Av Libertador BARQUISIMETO ,,"Trinitaria Suites is located in Barquisimeto, State of Lara, most important of the region west central point and is part of the Mall of the same name. Only 15 minutes from Jacinto Lara International Airport. Equidistant from the business centers, dining and major entertainment in the city.",,Hotel,10.07953|-69.28133,1165024608003,,http://www.hoteltrinitarias.com/index.php
VE,Venezuela,111017,Barquisimeto,1237311,Jirahara Hotel,FiveStar,Carrera 5 entre calle 5 y 6Urbanización Nueva SegoviaBarquisimeto ,,"The Jiahara Hotel is a four-star property situated in the city of Barquisimeto and only a short car trip from Estadio Farid Richa and Plaza Bolivar de Barquisimeto. All accommodations feature a panoramic view of the Valle del Turbio and the city. Each is equipped with cable television, telephone, safety deposit box, mini bar and private bathroom. Dining options include a restaurant serving local and international cuisine while the bar offers a variety of refreshing drinks and snacks. Leisure facilities include an outdoor swimming pool for adult and children surrounded by sun beds, a well equipped fitness center, lighted tennis court, hair dresser and a full service spa presenting a range of massages and treatments. The Jacinto Lara International Airport is approximately 11 km off and can be reached in merely 15 minutes by car.The JIRAHARA HOTEL is a  hotel. Located in Barquisimeto area.",+582517106173,Restaurant Ramp Access Porterage High Speed Internet Elevators Hair Dresser Room Service - 24 Hours Doctor On Call Business centre Bar Air conditioning,10.0593114|-69.2942262,+582517106103,,http://www.jiraharahotel.com.ve
VE,Venezuela,111017,Barquisimeto,1392737,Biotel Suites,FourStar,"Barquisimeto, Lara Na BARQUISIMETO ","Museo de ciencias ""LA SELLE"": within 6000 metre  Museo anotamico: within 6000 metre  Sambil Barquisimeto: within 8800 metre ","It is located in the western heart of the twilight and musical city of Venezuela, just in front of one of the most emblematic icons of the city: The Obelisk. A green hotel where ecological awareness prevails, local culture and traditions that connect our guests with the warmth of the larense feel. Our task is to make our guests stay a pleasant experience that invites them to return and that BIOTEL SUITES is the first option when choosing a place that satisfies your expectations of rest and comfort. We like to do things well, and our greatest satisfaction is to serve you the way you want and deserve. A service from and with the heart. Our enthusiasm is the best guarantee of BIOTEL SUITES. We strive to anticipate your wishes so that your stay is unforgettable.",,Hotel American Express MasterCard Visa Maestro Bathroom Shower Hairdryer Toiletries Direct dial telephone TV Cable TV Individually adjustable air conditioning Terrace Desk Late Check-out Mobile phone coverage Secure parking Valet parking Laundry service 24-hour security Air conditioning in public areas Terrace Gym Café Bar Restaurant Air conditioning in Restaurant Sun loungers Breakfast buffet Identification card at arrival,10.068174|-69.356104,,3001,
VE,Venezuela,111017,Barquisimeto,1392944,Hotel Los Leones,ThreeStar,Entre Av Los Leones Y Av Venezuela BARQUISIMETO ,,This charming hotel is located in Barquisimeto.,,Hotel,10.072495|-69.28311,,8051,
