countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LT,Lithuania,109307,Alytus,1045438,Dzukija Hotel,TwoStar,Pulko G. 14 Alytus 62133 ,,"Located in the centre of Alytus, Dzukija Hotel offers rooms with a TV set with satellite channels and free Wi-Fi. Free private parking is available.

The rooms of the Dzukija feature a simple and classical interior design. All have an electric kettle and a private bathroom with either a bathtub or a shower.

The Alytaus arena is 2 km from the hotel. The Nemunas River is within 850 metres.",+370(0)31551345,Parking Pets allowed meeting/banquet facilities 24-hour front desk Non-smoking rooms Airport shuttle Laundry Family rooms Ironing service Free parking internet services express check-in/check-out Valet parking Hiking Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area Private check-in/check-out airport shuttle (additional charge) Shared kitchen shared lounge/TV area Daily housekeeping parking on site Private parking Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed first aid kit available cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies guests have the option to cancel any cleaning services for their accommodation during their stay,54.39582|24.04582,(8-643) 88530,62133,https://www.booking.com/hotel/lt/dzukija.html
LT,Lithuania,109307,Alytus,1045442,Hotel Ode,TwoStar,Naujoji G. 8C Alytus 63249 ,,"Hotel Ode is a 2-star hotel located a 10-minute walk away from the centre of Alytus city. The train station is 3.7 km from the hotel. Free Wi-Fi is available in every room.

All the rooms have simple, yet modern interiors. They offer a bathroom with a shower, and a TV with cable channels.",370 315 56189,Private parking Parking wifi available in all areas Pets allowed secured parking Beauty Services Facial treatments Waxing services Make up services hair treatments Manicure Pedicure hair cut hair colouring hair styling Body Treatments Body scrub Body wrap Foot bath Shuttle service Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers invoice provided Non-smoking rooms Barber/beauty shop Family rooms Free parking internet services Heating wifi Free WiFi shuttle service (additional charge) Daily housekeeping grocery deliveries parking on site,54.39784|24.03141,370 315 32929,LT-63249,https://www.booking.com/hotel/lt/ode.html
LT,Lithuania,109307,Alytus,1045448,Hotel Senas Namas,ThreeStar,Uzuolankos G. 24 Alytus 62111 ,,"Hotel Senas Namas offers warmly decorated rooms with a private bathroom and a TV with cable channels. It is located in Alytus, only 400 metres from the Town Hall.

The hotel features a restaurant with a spacious dining hall, where a breakfast buffet is served. Packed lunches can be arranged and there is also a bar, where guests can have a drink or two.

The hotel provides a 24-hour front desk service and offers a luggage storage room. There are also laundry and ironing services possible.

Hotel Senas Namas has free private parking and is situated 200 metres from the nearest bus stop. The bus station is 5 km away.",370 315 51643,invoice provided Restaurant meeting/banquet facilities Bar 24-hour front desk Terrace Non-smoking rooms Laundry Family rooms internet services express check-in/check-out Safety Deposit Box Packed lunches Heating Fax/photocopying Luggage storage wifi Free WiFi designated smoking area Daily housekeeping Outdoor furniture Security alarm Smoke alarms CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed,54.39918|24.0462,370 315 53489,LT-62111,https://www.booking.com/hotel/lt/senas-namas.html
LT,Lithuania,109307,Alytus,1045451,Hotel Vaidila,ThreeStar,Rotus S A.12 Alytus 62141 ,,"Hotel Vaidila is located in the centre of the city of Alytus, next to the Kurortas Park, and it offers accommodation with free Wi-Fi and a TV with cable channels. Alytus Train Station is 4.8 km away.

The rooms at Hotel Vaidila are carpeted and decorated in warm, pastel colours. Each comes with a minibar, a telephone and a safety deposit box. The bathroom features a shower and a hairdryer.

The restaurant at the hotel offers breakfast menu and specialises in European and Lithuanian cuisine. There is a beer cellar which serves drinks and snacks and features wooden furniture and works of local blacksmiths.

The front desk is available 24 hours a day and the hotel offers laundry and dry cleaning services.

The Alytus Bus Station is a 10-minute car drive away and The Angel of Freedom monument is a 4-minute walk away from Hotel Vaidila.",370 315 56189,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Terrace Non-smoking rooms Airport shuttle Laundry dry cleaning breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Packed lunches Heating Fax/photocopying Luggage storage wifi Free WiFi airport shuttle (additional charge) Daily housekeeping parking on site wifi available in all areas,54.39617|24.0499,370 315 56188,LT-62141,https://www.booking.com/hotel/lt/vaidila.html
LT,Lithuania,109307,Alytus,1417355,Guest House Linas,ThreeStar,Senoji g. 2 62121 Alytus ,,"Guest House Linas is located in the centre of Alytus, only 150 metres from the Town Hall. It offers rooms with a refrigerator, satellite TV and free Wi-Fi. Free private parking is available.

The rooms of the Linas feature a simple interior design. All rooms have a seating area and carpeted floors, and each has a private bathroom with a shower, as well as a fridge.

The propertys garden has a childrens playground  with a trampoline and a designated barbecue area. In the summer you can relax in the Linass outdoor pool surrounded by a flowery garden or find some shade in a gazebo. There is also a sauna, and property offers beauty treatments. Breakfast is served upon request in the breakfast room. Locked parking is available.

The Nemunas River is within 400 metres, and the Alytaus Arena is a 10 minute walk away. The bus stop is within 100 metres.",,Parking Pets allowed 24-hour front desk Sauna Garden Terrace Non-smoking rooms Airport shuttle Laundry Barber/beauty shop Family rooms Free parking internet services express check-in/check-out Safety Deposit Box Valet parking Table tennis Soundproof rooms BBQ facilities Heating Luggage storage wifi Outdoor pool Free WiFi designated smoking area Sun terrace outdoor pool (all year) Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Shared kitchen Daily housekeeping parking on site Private parking wifi available in all areas Kid-friendly buffet secured parking Street parking airport pick up airport drop off sun loungers or beach chairs Outdoor furniture Fence around pool Picnic area Outdoor fireplace Beauty Services Facial treatments Waxing services hair treatments Manicure Pedicure hair cut hair colouring hair styling Body Treatments Swimming pool Shuttle service Key access Smoke alarms Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized thermometers for guests provided by property face masks for guests available,54.39482|24.04129,(8-682) 65950,LT-62121,https://www.booking.com/hotel/lt/motel-linas.html
LT,Lithuania,100919,Anyksciai,1187410,Keturi Kalnai,ThreeStar,"Liudiskiu str., 18 ANYKSCIAI ",,"This charming null is located in Vilnius. The total number of null is 30. Moreover, there is a wireless Internet connection at hand in communal areas. null will appreciate the 24-hour reception.",+37038158640,Laundry service Bicycle hire service Hotel safe Lift access Terrace Luggage room Clothes dryer Café Bar Restaurant Banquet hall Meeting room Sauna Non-smoking establishment Fitness Tennis Hotel,55.52047|25.11584,74076317160,LT-29130,http://www.keturikalnai.lt/index.php?id=index_en
LT,Lithuania,100919,Anyksciai,1243503,Nykscio Namai,ThreeStar,Liudikiu 18 Anykciai 29130 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Beacon of Happiness Monument - 1 km / 0.6 mi <br /> Museum of Angels - 1.2 km / 0.7 mi <br /> St. Matthias Church - 1.2 km / 0.8 mi <br /> Utenos Church - 37.6 km / 23.4 mi <br /> Utenos Hospital - 38 km / 23.6 mi <br /> </p><p>The preferred airport for Nykscio Namai is Vilnius (VNO-Vilnius Intl.) - 119.9 km / 74.5 mi </p>,"<p>HeadLine : Near Beacon of Happiness Monument</p><p>Location : With a stay at Nykscio Namai in Anyksciai, you ll be within a 15-minute walk of Beacon of Happiness Monument and Museum of Angels.  This hotel is 0.9 mi (1.5 km) from St. Matthias Church and 23.4 mi (37.6 km) from Utenos Church.</p><p>Rooms : Make yourself at home in one of the 30 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 8 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",370-381-58640,Dry cleaning/laundry service Banquet hall Wheelchair accessible (may have limitations) Meeting rooms Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Tours/ticket assistance Luggage storage Outdoor tennis courts - 2 24-hour front desk Breakfast available (surcharge) Playground on site Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Sauna elevator Free self parking Fitness facilities Tennis on site Terrace Basketball on site Bicycle rentals on site,55.52059|25.1156,+37038158520,LT-29130,http://www.nykscionamai.lt
LT,Lithuania,100919,Anyksciai,1417825,Spa Vilnius Anykciai,FourStar,Vilniaus g. 80 29142 Anykciai ,,"SPA VILNIUS Anykciai is a 4-star hotel peacefully located in Anykciai grove, close to ventoji River. It offers free Wi-Fi in all areas and a spa centre where guests can use the indoor pool with mineral water, the sauna and the hot tub free of charge.

Full of natural light, all rooms and studios here will provide you with an interactive LCD TV, a balcony and a minibar. Featuring a spacious shower cabin, private bathrooms also come with a hairdryer, free toiletries, slippers and a bathrobe. Extras include a safety deposit box and a work desk.

At SPA VILNIUS Anykciai, at an extra cost, guests can enjoy a variety of massages, beauty and health treatments, including water treatments for children, pregnant women and couples. The property offers free parking.

The hotel restaurant features an outdoor terrace and specialises in European cuisine. It offers bread, buns and cakes freshly baked on site. Dietary dishes are available upon request. At weekends, guests are welcome to join free shows and concerts.

SPA VILNIUS Anykciai is 3 km from the city centre and 3.4 km from the Narrow Railway. The Light of Happiness is within 4.5 km. There is a horse riding facility within 10 km. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Swimming pool #1 is closed from Mon 25 Feb 2019 until Thu 28 Feb 2019
Please note that it is strictly prohibited to smoke on the premises. 100 EUR per day fine is applied in case of violation.

Please note that all rooms include unlimited swimming pool and sauna access as well as unlimited usage of gym, natural mineral water from spring, 30 minutes of morning exercise and 20 minutes of water aerobics.

Access to a pool and sauna complex with children under 14 is available from 10:00 until 20:00.

Please note that the owner of the bank card, provided in the credit card authorisation form, must arrive at the hotel and submit a personal identification document (passport/personal identity card), and the same bank card in order to avoid its unauthorised use.",+370(0)31359059,Facial treatments Manicure Pedicure Body Treatments Body scrub Spa Facilities Spa lounge/relaxation area Swimming pool Themed dinner nights Aerobics Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available invoice provided all plates  cutlery  glasses and other tableware have been sanitized Private parking wifi available in all areas Kid meals Kid-friendly buffet secured parking electric vehicle charging station Pool with view Wine/champagne Fruits Beauty Services Parking Restaurant Room service meeting/banquet facilities Bar Sauna Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Laundry Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Valet parking Spa and wellness centre Massage Hot tub/jacuzzi BBQ facilities Cycling hammam Heating Fax/photocopying wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area airport shuttle (additional charge) parking on site,55.51022|25.08501,+37031353811,LT-29132,https://www.booking.com/hotel/lt/anyksciu-silelis.html
LT,Lithuania,100919,Anyksciai,1425091,Gradiali Anyksciai,ThreeStar,Klyk N K. 1 LT-29213 Anyksciai ,,"Situated in a hilly area on the shore of the Lake Rubikiai, Gradiali Anykciai Holiday Park is located in Anykciai.

Each room here will provide you with a TV and cable channels. Private bathrooms come with a shower and toiletries. Extras include a desk and bed linen.

Gradiali Anykciai features a seasonal restaurant open in the summer. The property offers free parking, and WiFi is available in the restaurant and public areas.

Breakfast is served from 9:00 until 10:30.",+370(0)61400090,Free self parking Restaurant Meeting rooms Bar/lounge Sauna Terrace Non-smoking rooms Fishing Family rooms Arcade/game room Internet access Children s playground Table tennis Darts Hiking BBQ facilities Packed lunches Heating Fax/photocopying Free WiFi Free WiFi Designated smoking areas On private beach Private check-in/check-out Television in common areas Daily housekeeping Parking onsite Private parking Public Bath Waterslide Games Indoor play area Kids  outdoor play equipment Kid meals Kid-friendly buffet,55.49315|25.24346,+370(0)61400090,LT-29213,https://www.booking.com/hotel/lt/gradiali-anyksciai.html
LT,Lithuania,100919,Anyksciai,1832230,Kaimo Turizmo Sodyba Geras,ThreeStar,Pustinkos Km.4 Debeikiu seniunija Debeikiu SeniunijaUtenaAnykscia ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Museum of Angels - 18.8 km / 11.7 mi <br /> St. Matthias Church - 18.9 km / 11.7 mi <br /> Beacon of Happiness Monument - 19.5 km / 12.1 mi <br /> Utenos Hospital - 33.2 km / 20.6 mi <br /> Utenos Church - 35.5 km / 22.1 mi <br /> </p>,"<p>HeadLine : In Micionys</p><p>Location : With a stay at Kaimo Turizmo Sodyba Geras in Micionys, you ll be 11.7 mi (18.8 km) from Museum of Angels and 11.7 mi (18.9 km) from St. Matthias Church.  This beach cottage is 12.1 mi (19.5 km) from Beacon of Happiness Monument and 20.6 mi (33.2 km) from Utenos Hospital.</p><p>Rooms : Make yourself at home in one of the 5 individually decorated guestrooms, featuring kitchenettes with refrigerators and stovetops. Rooms have private balconies or patios. LED televisions are provided for your entertainment. Conveniences include separate sitting areas and coffee/tea makers, and housekeeping is provided on request.</p><p>Dining : Cooked-to-order breakfasts are available daily for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 4 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property for check-in instructions.</p>",370-605-20110,Change of bed sheets (on request) Breakfast available (surcharge) Playground on site Barbecue grill(s) Spa services on site Housekeeping on request Change of towels (on request) Picnic area Hiking/biking trails nearby Kayaking nearby Free self parking Fishing on site Terrace,55.641876|25.273851,370-605-20110,,
