countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AU,Australia,105058,1770,1023792,1770 Sovereign Lodge Retreat,FourStar,1 Elliot Street Seventeen SeventyQueensland 4677 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Joseph Banks Conservation Park - 0.2 km / 0.1 mi <br /> 1770 Marina - 0.4 km / 0.3 mi <br /> Agnes Water Beach - 2.9 km / 1.8 mi <br /> Workman s Beach - 4.3 km / 2.7 mi <br /> Miriam Vale Historical Society Museum - 4.4 km / 2.8 mi <br /> Agnes Water Museum and Visitor Centre - 6.6 km / 4.1 mi <br /> Reedy Creek Nature Refuge - 7.5 km / 4.7 mi <br /> Paperbark Forest Boardwalk - 9.1 km / 5.7 mi <br /> Red Rock Walking Trail - 12 km / 7.4 mi <br /> Deepwater National Park - 13 km / 8.1 mi <br /> Eurimbula National Park - 26.8 km / 16.6 mi <br /> Geoglen Nature Refuge - 33.1 km / 20.6 mi <br /> Eurimbula Resources Reserve - 34.2 km / 21.3 mi <br /> </p><p>The nearest airports are:<br />Gladstone  QLD (GLT) - 130.7 km / 81.2 mi<br /> Bundaberg  QLD (BDB) - 132.1 km / 82.1 mi<br /> </p><p></p>,"<p>HeadLine : Near 1770 Marina</p><p>Location : With a stay at 1770 Sovereign Lodge Resort in Seventeen Seventy, you ll be near the beach, just a 2-minute walk from Joseph Banks Conservation Park and 5 minutes by foot from 1770 Marina.  This 4-star hotel is 1.4 mi (2.2 km) from Agnes Water Beach and 2.6 mi (4.2 km) from Workman s Beach.</p><p>Rooms : Make yourself at home in one of the 4 guestrooms featuring DVD players and LED televisions. Digital television is provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers and ceiling fans.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : The front desk is open daily from 9 AM - 5 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",61-7-30366921,Wheelchair accessible  no Express check-out Express check-in Front desk (limited hours) Designated smoking areas Barbecue grill(s) Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free self parking Terrace Pool sun loungers,-24.168591|151.882591,+61749749257,4677,http://www.1770sovereignlodge.com.au
AU,Australia,105058,1770,1476895,Captain Cook Holiday Village,ThreeStar,384 Captain Cook Drive Seventeen SeventyQueensland 4677 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Joseph Banks Conservation Park - 0.1 km / 0.1 mi <br /> Agnes Water Beach - 1.2 km / 0.7 mi <br /> Workman s Beach - 1.2 km / 0.7 mi <br /> 1770 Marina - 1.6 km / 1 mi <br /> Eurimbula National Park - 3.7 km / 2.3 mi <br /> Agnes Water Museum and Visitor Centre - 4.7 km / 2.9 mi <br /> Eurimbula Resources Reserve - 4.4 km / 2.7 mi <br /> Reedy Creek Nature Refuge - 5.7 km / 3.5 mi <br /> Paperbark Forest Boardwalk - 7.1 km / 4.4 mi <br /> Red Rock Walking Trail - 9.9 km / 6.2 mi <br /> Deepwater National Park - 14.4 km / 8.9 mi <br /> Geoglen Nature Refuge - 31.1 km / 19.3 mi <br /> </p><p>The preferred airport for Captain Cook Holiday Village is Gladstone  QLD (GLT) - 128.7 km / 80 mi </p>,"<p>HeadLine : Near Joseph Banks Conservation Park</p><p>Location : With a stay at Captain Cook Holiday Village in Seventeen Seventy, you ll be near the beach, just a 1-minute walk from Joseph Banks Conservation Park and 14 minutes by foot from Workman s Beach.  This beach cabin is 0.2 mi (0.3 km) from Agnes Water Beach and 1 mi (1.6 km) from 1770 Marina.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms featuring microwaves.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Captain Cook Holiday Village, or stop in at the grocery/convenience store.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed This property accepts credit cards, debit cards, and cash</p><p>Special Instructions : The front desk is open daily from 8 AM - 5:00 PM. If you are planning to arrive after 5:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",,Garden Children's pool Barbecue grill(s) Picnic area Luggage storage Front desk (limited hours) Laundry facilities Grocery/convenience store Restaurant Tours/ticket assistance Accessible bathroom Free self parking Free WiFi Wheelchair accessible parking In-room accessibility Outdoor pool Smoke-free property Computer station,-24.18375|151.886189,61-749749219,4677,http://www.1770holidayvillage.com.au
AU,Australia,105058,1770,1477023,1770 Beach Shacks,FourStar,578 Captain Cook Drive 4677 Seventeen Seventy ,,"Situated along 1770 Beach, 1770 Beach Shacks offers self-catering accommodation with a private balcony. The wooden bungalows all offer panoramic Coral Sea views.

Each air-conditioned bungalow has BBQ facilities and an outdoor dining area on the balcony. It also includes a well-equipped kitchen, a dining area, and a lounge with a flat-screen TV.

Guests can relax on their balconies or by the beach. The tour desk can help guests with travel arrangements, and kayak hire is also available.

1770 Beach Shacks is located just a 5-minute walk from the 1770 Marina, where you can take a day cruise to The Great Barrier Reef. Agnes Water town centre is a 5-minute drive and Gladstone Airport is a 1.5-hour drive away. The 1770 Restaurant is just a 1-minute walk away. This property will not accommodate hen, stag or similar parties.
Please inform 1770 Beach Shacks in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the property is not suitable for wheelchairs, since it is terraced up the side of a slope with stairs leading up to each bungalow.

Please advise the number and age of each guest in each room, as well as the preferred bedding configuration, using the Special Requests box when booking.",,Parking Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry Family rooms Free parking internet services express check-in/check-out Canoeing Hiking BBQ facilities Tour desk Heating wifi Free WiFi Non-smoking throughout Air conditioning airport shuttle (additional charge) Beachfront parking on site Private parking Parking garage Beach invoice provided,-24.168|151.88229,0061749749463,4677,https://www.booking.com/hotel/au/1770-beach-shacks.html
AU,Australia,105058,1770,5371195,Sunset Villa,ThreeStar,590 Captain Cook Drive  ,,"Sunset Villa is situated in Seventeen Seventy. The 3-star holiday home features sea views and is 2.8 km from Agnes Water.

The holiday home has 1 bedroom, a flat-screen TV, an equipped kitchen with a fridge and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are available in the holiday home.

A barbecue is available on site and both hiking and fishing can be enjoyed within close proximity of the holiday home.

The nearest airport is Gladstone Airport, 130 km from Sunset Villa. Please inform Sunset Villa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
A damage deposit of AUD 300 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Parking Pets allowed Tennis Court Golf course (within 3 km) Non-smoking rooms Fishing Laundry Free parking Windsurfing Canoeing Hiking BBQ facilities Bowling Non-smoking throughout Air conditioning Beachfront parking on site Street parking Accessible parking Outdoor furniture Beach Key access Smoke alarms,-24.16686|151.88342,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/sunset-villa.html
AU,Australia,105058,1770,5446182,Cooinda,FourStar,765 Captain Cook Drive  ,,"Featuring garden views, Cooinda features accommodation with a seasonal outdoor swimming pool and a balcony, around 800 metres from Agnes Water. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking and fishing.

The holiday home features 3 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a patio with pool views.

A barbecue and a terrace are available for guests at the holiday home to use.

The nearest airport is Gladstone Airport, 74 km from Cooinda. Please inform Cooinda in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the check-in and key-collection take place at: 27 North Break Drive, 4677 AGNES WATER.
This property will not accommodate hen, stag or similar parties.
A damage deposit of AUD 300 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Parking Tennis Court Golf course (within 3 km) Terrace Non-smoking rooms Fishing Laundry Free parking Windsurfing Canoeing Hiking BBQ facilities Bowling Diving Outdoor pool Non-smoking throughout outdoor pool (seasonal) parking on site Private parking Pool with view Fence around pool Smoke alarms Swimming pool,-24.15565|151.88653,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/cooinda-seventeen-seventy.html
AU,Australia,105058,1770,5446234,Elliot Lodge,FourStar,3 Elliot Street  ,,"Set in Seventeen Seventy, within 1 km of Agnes Water, Elliot Lodge is an accommodation offering river views. This beachfront property offers access to a balcony and free private parking.

The holiday home features 3 bedrooms, a flat-screen TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 2 bathrooms with a shower.

A barbecue is available on site and both hiking and fishing can be enjoyed within close proximity of the holiday home. Please inform Elliot Lodge in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the check-in and key-collection take place at: Loka Santi office: 27 North Break Drive, 4677 Agnes Water.
This property will not accommodate hen, stag or similar parties.
 A damage deposit of AUD 300 is required on arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Hiking Bowling Windsurfing invoice provided Beachfront Tennis Court Canoeing Non-smoking rooms Diving On-site parking BBQ facilities Free parking Fishing Parking Private parking Golf course (within 3 km) Laundry Non-smoking throughout,-24.16848|151.88187,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/elliot-lodge.html
AU,Australia,105058,1770,5535755,Moorings,FourStar,6 Endeavour Street  ,,"Located in Seventeen Seventy, this air-conditioned holiday home features a balcony. Guests benefit from patio. Free private parking is available on site.

There is a seating area, a dining area and a kitchen equipped with a dishwasher. Towels and bed linen are offered in this holiday home. Other facilities at Moorings include an outdoor pool.

Agnes Water is 6 km from Moorings, easily accessible by boat to Lady Musgrave Island, the southernmost tip of the Great Barrier Reef. The nearest airport is Gladstone Airport, 74 km from the property. Please inform Moorings in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
A damage deposit of AUD 500 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Smoke alarms Fence around pool Salt-water pool Pool with view Private parking parking on site outdoor pool (seasonal) Air conditioning Non-smoking throughout Outdoor pool Snorkelling Diving Bowling Swimming pool Cycling BBQ facilities Hiking Canoeing Windsurfing Table tennis Free parking Family rooms Laundry Fishing Non-smoking rooms Terrace Garden Golf course (within 3 km) Tennis Court Parking,-24.15649|151.88648,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/moorings.html
AU,Australia,105058,1770,5535763,The Shack,ThreeStar,618 Captain Cook Drive  ,,"The Shack offers accommodation in Seventeen Seventy, 6 km from Agnes Water. It is a short drive to the departure point at 1770 for boat trips to Lady Musgrave Island, the southernmost tip of the Great Barrier Reef.

The property is directly across from the parkland and water. The kitchen is fully equipped and includes and oven, a microwave and a toaster and there is a private bathroom. A flat-screen TV is featured. Other facilities at The Shack include a barbecue.

The nearest airport is Gladstone Airport, 75 km from the property. Please inform The Shack in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
A damage deposit of AUD 300 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Smoke alarms Beachfront Non-smoking throughout BBQ facilities Canoeing Windsurfing Free parking Laundry Fishing Non-smoking rooms Golf course (within 3 km) Pets allowed Parking,-24.16476|151.88458,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/the-shack-seventeen-seventy.html
AU,Australia,105058,1770,5557403,Slipaway,FourStar,17 Elliot Street  ,,"Slipaway is situated in Seventeen Seventy and offers barbecue facilities. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking and fishing.

The holiday home features 3 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with sea views.

The nearest airport is Gladstone Airport, 130 km from the holiday home. Please inform Slipaway in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
A damage deposit of AUD 300 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Smoke alarms Key card access Outdoor furniture Accessible parking Parking garage secured parking Private parking parking on site Air conditioning Non-smoking throughout Snorkelling Diving BBQ facilities Hiking Canoeing Soundproof rooms Windsurfing internet services Free parking Laundry Fishing Non-smoking rooms Golf course (within 3 km) Tennis Court Parking,-24.16818|151.88339,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/slipaway.html
AU,Australia,105058,1770,5573416,Bimbimbi,ThreeStar,5 Endeavour Street  ,,"Bimbimbi is a holiday home set in Seventeen Seventy, 6 km from Agnes Water. The property offers free private parking. It is easily accessible by boat to Lady Musgrave Island, the southernmost tip of the Great Barrier Reef.

An oven, a microwave and a toaster can be found in the kitchen. A flat-screen TV is featured. There is a private bathroom with a shower.

The nearest airport is Gladstone Airport, 74 km from Bimbimbi. Please inform Bimbimbi in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the check-in and key-collection take place at: 27 North Break Drive, 4677 AGNES WATER.
This property will not accommodate hen, stag or similar parties.
A damage deposit of AUD 300 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Please note that this property has a strict No Party Policy. Failure to comply with property policies may result in the eviction of guests and the loss of any deposits or payments made. Please note that there is a 1.5 percent charge when you pay with a credit card.",,Private parking Smoke alarms Parking Non-smoking rooms Laundry Free parking Non-smoking throughout parking on site,-24.15672|151.88602,+61-7 4974 9990,4677,https://www.booking.com/hotel/au/bimbimbi.html
