countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
GD,Grenada,113385,Carriacou,1035290,Green Roof Inn,ThreeStar,Sea View Carriacou CarriacouSt. Vincent and the Grenadines ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Carriacou Museum - 1.1 km / 0.7 mi <br /> Anse La Roche Beach - 3.9 km / 2.4 mi <br /> Sandy Island - 4.8 km / 3 mi <br /> Tyrell Bay Beach - 6.7 km / 4.2 mi <br /> </p><p>The preferred airport for Green Roof Inn is Maurice Bishop Intl. Airport (GND) - 74.8 km / 46.5 mi </p>,"<p>HeadLine : Near Carriacou Museum</p><p>Location : With a stay at Green Roof Inn in Hillsborough, you ll be on the beach, just a 1-minute walk from Windward Islands and 14 minutes by foot from Carriacou Museum.  This beach hotel is 2.7 mi (4.4 km) from Sandy Island and 3.3 mi (5.4 km) from Anse La Roche Beach.</p><p>Rooms : Make yourself at home in one of the 6 guestrooms featuring refrigerators. Rooms have private furnished balconies or patios. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and hair dryers.</p><p>Dining : Satisfy your appetite with seafood at Green Roof, a restaurant which features a bar/lounge and an ocean view. A complimentary continental breakfast is included.</p><p>Renovations : The property is closed in September.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 9 PM. Front desk staff will greet guests on arrival.</p>",1-473-4436399,Express check-in Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area Wheelchair accessible parking Full-service spa Tours/ticket assistance Beach towels Fishing on site Boat tours on site Free continental breakfast Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Front desk (limited hours) Scooter/moped rentals nearby Library Safe-deposit box at front desk Ecotours nearby Snack bar/deli Laundry facilities Free self parking Snorkeling on site Kayaking on site Terrace,12.48914|-61.45351,+1 473 4436399,Carriacou,http://greenroofinn.com/
GD,Grenada,113385,Carriacou,1110481,Bogles Round House,TwoStar,Bogles Carriacou ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Anse La Roche Beach - 2.4 km / 1.5 mi <br /> Carriacou Museum - 2.7 km / 1.7 mi <br /> Sandy Island - 6 km / 3.7 mi <br /> Tyrell Bay Beach - 10.4 km / 6.5 mi <br /> </p><p>The preferred airport for Bogles Round House is Maurice Bishop Intl. Airport (GND) - 76.4 km / 47.5 mi </p>,"<p>HeadLine : Near Anse La Roche Beach</p><p>Location : With a stay at Bogles Round House in Hillsborough, you ll be on the beach, just steps from Windward Islands and a 3-minute drive from Carriacou Museum.  This beach cottage is 1 mi (1.5 km) from Anse La Roche Beach and 3.7 mi (6 km) from Sandy Island.</p><p>Rooms : Make yourself at home in one of the 3 air-conditioned rooms featuring kitchens with refrigerators and ovens. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected.</p><p>Dining : At Bogles Round House, enjoy a satisfying meal at the restaurant.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 10:00 PM. Front desk staff will greet guests on arrival.</p>",1-473-4437841,Wheelchair accessible (may have limitations) Proposal/romance packages available Babysitting or childcare (surcharge) Outdoor furniture Sailing nearby Windsurfing nearby Scuba diving nearby Free WiFi Designated smoking areas Well-lit path to entrance Upper floors accessible by stairs only Garden Picnic area Wheelchair accessible parking Stair-free path to entrance Tours/ticket assistance Boat tours on site Walkway to water Private picnics Couples/private dining Luggage storage Wheelchair-accessible on-site restaurant Parasailing nearby Front desk (limited hours) Trampoline Scooter/moped rentals nearby Library Housekeeping on request Snorkeling nearby Safe-deposit box at front desk Laundry facilities Surfing/bodyboarding nearby Rafting nearby Kayaking nearby Free self parking Terrace Wheelchair accessible path of travel,12.50157|-61.44882,+14734437841,0000WI,http://www.boglesroundhouse.com
GD,Grenada,113385,Carriacou,1296440,Hotel Laurena,ThreeStar,Middle Street HillsboroughCarriacou ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Carriacou Museum - 0.6 km / 0.4 mi <br /> Sandy Island - 3.3 km / 2 mi <br /> Tyrell Bay Beach - 5 km / 3.1 mi <br /> Anse La Roche Beach - 6.4 km / 4 mi <br /> </p><p>The nearest major airport is Maurice Bishop Intl. Airport (GND) - 73.4 km / 45.6 mi</p>,"<p>HeadLine : Near Carriacou Museum</p><p>Location : When you stay at Hotel Laurena in Hillsborough, you ll be near the beach, within a 5-minute drive of Carriacou Museum and Sandy Island.  This hotel is 3.3 mi (5.4 km) from Tyrell Bay Beach and 4 mi (6.4 km) from Anse La Roche Beach.</p><p>Rooms : Make yourself at home in one of the 28 individually decorated guestrooms, featuring refrigerators and iPod docking stations. 40-inch flat-screen televisions with DVD players and cable programming provide entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy international cuisine at Laurena II, a beachfront restaurant where you can enjoy drinks at the bar/lounge, take in the ocean view, and even dine alfresco.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards, debit cards, and cash</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a smoke detector</li>  </ul></p><p>Special Instructions : The front desk is open during the following times:<ul><li>Monday - Saturday: 8:00 AM - 4:00 PM</li></ul> If you are planning to arrive after 12:30 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",1-473-4437356,Gift shops or newsstand Dry cleaning/laundry service Wheelchair accessible (may have limitations) Parking (limited spaces) Number of meeting rooms - 1 Wheelchair-accessible registration desk Scuba diving nearby Free WiFi Number of bars/lounges - 1 Wheelchair-accessible public washroom Well-lit path to entrance Upper floors accessible by stairs only Wheelchair accessible parking Stair-free path to entrance Wedding services Tours/ticket assistance Wheelchair-accessible on-site restaurant Handrails in stairways Wheelchair-accessible meeting spaces/business center Smoke-free property Coffee/tea in common areas Wheelchair accessible path of travel Concierge services,12.48083|-61.46062,+1 473 4438333,00001,https://hotellaurena.com/
GD,Grenada,113385,Carriacou,1414113,Carriacou Grand View,TwoStar,Carriacou Grenada W.I. Hillsborough ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Carriacou Museum - 2.3 km / 1.4 mi <br /> Anse La Roche Beach - 4.3 km / 2.7 mi <br /> Sandy Island - 5.7 km / 3.5 mi <br /> Tyrell Bay Beach - 8.1 km / 5 mi <br /> </p>,"<p>HeadLine : Near Carriacou Museum</p><p>Location : With a stay at Carriacou Grand View Hotel in Hillsborough, you ll be near the beach, just steps from Windward Islands and a 4-minute drive from Carriacou Museum.  This beach hotel is 2.7 mi (4.3 km) from Anse La Roche Beach and 3.5 mi (5.7 km) from Sandy Island.</p><p>Rooms : Make yourself at home in one of the 12 guestrooms. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers.</p><p>Dining : At Carriacou Grand View Hotel, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 7 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests must transfer via airplane or boat to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. The front desk is open daily from 7 AM - 10 PM. Front desk staff will greet guests on arrival.  This property is accessible only by ferry from Grenada, or charter flight service via SVG Air from Grenada. Ferry transfers are available on Monday, Wednesday, and Friday (departing from Carriacou at 6 AM and Grenada at 5:30 PM). Flight transfers are limited. Guests must organize transfers on their own.</p>",1-473-4436348,Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Smoke-free property Wheelchair accessible  no Wedding services Tours/ticket assistance Front desk (limited hours) Breakfast available (surcharge) Free WiFi,12.488663|-61.44484,1-473-4438659,99999,http://www.carriacougrandview.com/
GD,Grenada,113385,Carriacou,1621240,Bayaleau Point Cottages,All,Bayaleau Point Carriacou ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Carriacou Island - 0.1 km / 0.1 mi <br /> Anse La Roche Beach - 2.7 km / 1.7 mi <br /> Belair National Park - 3.7 km / 2.3 mi <br /> Sandy Island - 9.4 km / 5.9 mi <br /> Tyrell Bay Beach - 11.6 km / 7.2 mi <br /> </p>,"<p><b>Property Location</b> <br />When you stay at Bayaleau Point Cottages in L'Appelle, you'll be near the beach and steps from Carriacou Island.  This cottage is 1.7 mi (2.7 km) from Anse La Roche Beach and 2.3 mi (3.7 km) from Belair National Park.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 3 guestrooms, featuring kitchenettes. Rooms have private balconies or patios. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks and refrigerators, and housekeeping is provided on a limited basis.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",,Free WiFi Free self parking Front desk (limited hours) Smoke-free property Total number of rooms - 3,12.50255|-61.423,+14734437984,,http://www.carriacoucottages.com
GD,Grenada,113385,Carriacou,1621576,La Pagerie in Carriacou,FiveStar,Sparrow Bay Prospect Isle Of Carriacou ProspectIsle Of Carriacou ,,"The natural beauty of the site, a national park featuring protected bird life, is appaling.

The tiny sand and coral beach is a great start point to discover the marine underworld around: A  sailing boat sunk decades ago on a close-by reef knowk as Prospect Point, and the wreck can be seen when snorkeling around. Located in Prospect, La Pagerie in Carriacou offers an outdoor pool and a secluded beach area. This villa features free WiFi, a garden and a sun deck.

The fully appointed villa includes seating and dining areas, equipped kitchen, a terrace overlooking the seafront and amenities such as a Blu-Ray player, flat-screen TV and a hot tub.

At La Pagerie in Carriacou guests get free airport shuttle services and can enjoy of services like grocery delivery. Activities in the surrounding area include sailing,snorkeling and diving.The property offers free parking.

La Playa Beach Bar and Bistro is a short 3-minute drive from La Pagerie in Carriacou.

The CRU-Lauriston Airport can be reached in a 5-minute drive. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform La Pagerie in Carriacou in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.",,Free self parking Pets allowed Garden Terrace Non-smoking rooms Airport shuttle Family rooms Internet access Car hire Free WiFi Outdoor pool Free WiFi Non-smoking throughout On private beach Outdoor seasonal pool Airport transportation (surcharge) Grocery/convenience store Parking onsite Private parking,12.50623|-61.44857,,,https://www.booking.com/hotel/gd/la-pagerie-in-carriacou.html
GD,Grenada,113385,Carriacou,1621670,Mermaid Beach Hotel,ThreeStar,Main Street Carriacou HillsboroughIsland of Carriacou ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Sandy Island - 3.1 km / 1.9 mi <br /> Tyrell Bay Beach - 5.2 km / 3.2 mi <br /> Anse La Roche Beach - 6.1 km / 3.8 mi <br /> </p>,"<p>HeadLine : Near Sandy Island</p><p>Location : With a stay at Mermaid Beach Hotel in Hillsborough, you ll be on the beach, just steps from Windward Islands and a 3-minute drive from Sandy Island.  This beach hotel is 3.2 mi (5.2 km) from Tyrell Bay Beach and 3.8 mi (6.1 km) from Anse La Roche Beach.</p><p>Rooms : Make yourself at home in one of the 22 air-conditioned rooms featuring refrigerators. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms feature showers with rainfall showerheads and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy local and international cuisine at Callaloo at the Mermaid, a beachfront restaurant which features a bar/lounge and an ocean view. A complimentary cooked-to-order breakfast is served daily from 7:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 6:00 PM. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 4:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Front desk hours are 8 AM-3:30 PM on Sunday.</p>",1-473-4438287,Number of meeting rooms - 1 Terrace Luggage storage Wheelchair accessible  no Number of bars/lounges - 1 Concierge services Front desk (limited hours) Free breakfast Tours/ticket assistance Beach towels Television in common areas Free self parking Beach sun loungers Dry cleaning/laundry service Free WiFi Airport transportation (surcharge) Smoke-free property Braille or raised signage Garden,12.48113|-61.460216,14734438286,12345,http://www.mermaidhotelcarriacou.com/
GD,Grenada,113385,Carriacou,1852804,Rosa Guesthouse,ThreeStar,Main Street Hillsborough Hillsborough ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Carriacou Museum - 0.3 km / 0.2 mi <br /> Sandy Island - 4 km / 2.5 mi <br /> Anse La Roche Beach - 4.8 km / 3 mi <br /> Tyrell Bay Beach - 5.9 km / 3.7 mi <br /> </p>,"<p>HeadLine : Near Carriacou Museum</p><p>Location : Located in Hillsborough, Rosa Guesthouse is near the beach, within a 5-minute walk of Windward Islands and Carriacou Museum.  This beach guesthouse is 2.2 mi (3.5 km) from Sandy Island and 3.6 mi (5.9 km) from Anse La Roche Beach.</p><p>Rooms : Make yourself at home in one of the 6 individually decorated guestrooms, featuring kitchens with full-sized refrigerators/freezers and ovens. Your memory foam bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and 40-inch Smart televisions are provided for your entertainment. Conveniences include microwaves and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Cooked-to-order breakfasts are available daily from 7:30 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 9 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1-473-4493954,Upper floors accessible by stairs only Smoke-free property Wheelchair accessible  no Luggage storage Airport transportation - pickup (surcharge) 24-hour front desk Terrace Breakfast available (surcharge) Free WiFi,12.48416|-61.45723,1-473-4437672,,http://www.tripadvisor.com/Hotel_Review-g3186880-d
GD,Grenada,119190,Grand Anse,1112728,Blue Horizons Garden Resort,ThreeStar,Po Box 41 Grand Anse Grand AnseSt. George's ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Grand Anse Bay - 0.3 km / 0.2 mi <br /> Spiceland Mall - 0.3 km / 0.2 mi <br /> Le Marquis Shopping Complex - 0.5 km / 0.3 mi <br /> Quarantine Point Park - 0.8 km / 0.5 mi <br /> Morne Rouge Beach - 1 km / 0.6 mi <br /> Excel Plaza - 1.1 km / 0.7 mi <br /> Grand Anse Shopping Center - 1.1 km / 0.7 mi <br /> Grand Anse Beach - 2.1 km / 1.3 mi <br /> Prickly Bay Beach - 3.4 km / 2.1 mi <br /> Magazine Beach - 3.9 km / 2.4 mi <br /> Camper & Nicholsons Port Louis Marina - 3.9 km / 2.4 mi <br /> Portici Beach - 3.9 km / 2.4 mi <br /> St. George s University - 4.2 km / 2.6 mi <br /> Clarkes Court Boatyard & Marina - 4.2 km / 2.6 mi <br /> </p><p>The preferred airport for Blue Horizons Garden Resort is Maurice Bishop Intl. Airport (GND) - 5.4 km / 3.4 mi </p>,"<p>HeadLine : Near Spiceland Mall</p><p>Location : With a stay at Blue Horizons Garden Resort in St. George s, you ll be in a shopping district, just a 4-minute walk from Spiceland Mall and a 4-minute drive from St. George s Harbor.  This family-friendly hotel is 1.3 mi (2.1 km) from Grand Anse Beach and 2.6 mi (4.2 km) from St. George s University.</p><p>Rooms : Make yourself at home in one of the 32 individually furnished guestrooms, featuring kitchens with refrigerators and stovetops. Your bed comes with down comforters and premium bedding. Rooms have private balconies or patios. 32-inch LED televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected.</p><p>Dining : Grab a bite to eat at La Belle Creole, a poolside fine-dining restaurant which features a bar/lounge and a garden view. You can also stay in and take advantage of the room service (during limited hours). Mingle with other guests at the complimentary reception, held daily. Quench your thirst with your favorite drink at the poolside bar. Full breakfasts are available daily from 7:30 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>This property uses solar energy, plus eco-friendly cleaning products</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 11:00 PM. Front desk staff will greet guests on arrival.</p>",1-473-444-2815,Dry cleaning/laundry service Renewable energy source - solar Eco-friendly cleaning products used Biodegradable/compostable stirrers Pool umbrellas Free reception No single-use plastic straws Number of meeting rooms - 1 Conference space size (meters) - 54 No single-use plastic stirrers Reusable cups only Reusable tableware only Biodegradable/compostable straws Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Tours/ticket assistance Eco-friendly toiletries Energy-saving features in guest rooms LED light bulbs Handrails in stairways Handrails in hallways Breakfast available (surcharge) Laundry facilities Double-glazing on all windows Locally-sourced food on site (80% or more) Games Books Organic food Change of bed sheets (on request) Television in common areas Well-lit path to entrance Change of towels (on request) Beach towels Water-efficient toilets only Wheelchair accessible  no Luggage storage Water-efficient showers only Porter/bellhop Business center Front desk (limited hours) Library Snorkeling nearby Safe-deposit box at front desk Smoke-free property Snack bar/deli Conference space Terrace Conference space size (feet) - 585 Concierge services,12.02049|-61.764831,+14734444316,00000,http://www.grenadabluehorizons.com
GD,Grenada,119190,Grand Anse,1144745,Gem Holiday Beach Resort,TwoStar,Morne Rouge Bay St. George'sGrenadaWest Indies ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Windward Islands - 0.1 km / 0.1 mi <br /> Morne Rouge Beach - 0.1 km / 0.1 mi <br /> Quarantine Point Park - 0.2 km / 0.1 mi <br /> Grand Anse Bay - 0.3 km / 0.2 mi <br /> Le Marquis Shopping Complex - 1.7 km / 1.1 mi <br /> Spiceland Mall - 1.7 km / 1.1 mi <br /> Excel Plaza - 2.2 km / 1.4 mi <br /> Grand Anse Shopping Center - 2.3 km / 1.4 mi <br /> Magazine Beach - 3.2 km / 2 mi <br /> Grand Anse Beach - 3.3 km / 2 mi <br /> Portici Beach - 3.4 km / 2.1 mi <br /> St. George s University - 3.6 km / 2.2 mi <br /> Pink Gin Beach - 4.1 km / 2.6 mi <br /> Prickly Bay Beach - 4.7 km / 2.9 mi <br /> St. George s Harbor - 4.8 km / 3 mi <br /> </p><p>The preferred airport for Gem Holiday Beach Resort is Maurice Bishop Intl. Airport (GND) - 6.7 km / 4.1 mi </p>,"<p>HeadLine : Near Quarantine Point Park</p><p>Location : When you stay at Gem Holiday Beach Resort in St. George s, you ll be on the beach, just steps from Windward Islands and Morne Rouge Beach.  This beach hotel is 1.3 mi (2.1 km) from Grand Anse Shopping Center and 2 mi (3.2 km) from Grand Anse Beach.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms, featuring kitchenettes with full-sized refrigerators/freezers and ovens. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include phones, as well as safes and separate sitting areas.</p><p>Dining : Satisfy your appetite for lunch or dinner at Sur La Mer, a restaurant which specializes in Caribbean cuisine, or stay in and take advantage of the room service. Wrap up your day with a drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:00 AM - 10:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1-473-444-1189,Dry cleaning/laundry service Banquet hall Babysitting or childcare (surcharge) Express check-in Free WiFi Number of bars/lounges - 1 Picnic area Wedding services Tours/ticket assistance Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Express check-out Business center Front desk (limited hours) Breakfast available (surcharge) Library Barbecue grill(s) Snorkeling nearby Safe-deposit box at front desk Smoke-free property Free bicycles nearby Snack bar/deli Hiking/biking trails nearby Laundry facilities Ecotours on site Free self parking Conference space Terrace,12.02137|-61.77119,+14734444224,58,http://www.gembeachresort.com
