countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
MM,Myanmar,149205,Anesakhan,1428761,Cherry May Hotel,ThreeStar,"Aung Tha Pyay Garden Mandalay Lashio Road Ti Ni Kyaung Shaye Anessakhan Aung Tha Pyay Garden, Ti-Ni Kyaung ShayeAnessakhanPyin Oo Lwin 11101 ",Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;National Landmarks Garden - 6.6 km / 4.1 mi &lt;br /&gt;Pyin Oo Lwin Golf Club - 6.6 km / 4.1 mi &lt;br /&gt;Atumashi Monastery - 30.8 km / 19.1 mi &lt;br /&gt;Kuthodaw Pagoda - 30.9 km / 19.2 mi &lt;br /&gt;Sandamuni Paya - 31.1 km / 19.3 mi &lt;br /&gt;Mandalay Hill - 31.5 km / 19.6 mi &lt;br /&gt;Mandalay Palace - 32.4 km / 20.1 mi &lt;br /&gt;Yadanarpon Diamond Plaza - 33.5 km / 20.8 mi &lt;br /&gt;Man Myanmar Plaza - 34.4 km / 21.4 mi &lt;br /&gt;Zegyo Market - 34.5 km / 21.4 mi &lt;br /&gt;Maha Myat Muni Paya - 34.5 km / 21.4 mi &lt;br /&gt;Shwe Kyi Myin Paya - 35 km / 21.7 mi &lt;br /&gt;U Bein&apos;s Bridge - 38.2 km / 23.7 mi &lt;br /&gt;Maha Gandhayon Kyaung - 38.4 km / 23.9 mi &lt;br /&gt;Settawa Paya - 41.1 km / 25.5 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Cherry May Hotel  Pyin Oo Lwin is Mandalay (MDL-Mandalay Intl.) - 54.9 km / 34.1 mi. &lt;/p&gt;,"<p><b>Property Location</b> <br />Located in Anesakhan, Cherry May Hotel, Pyin Oo Lwin is in a rural location and within the vicinity of Maymyo Botanical Garden and National Landmarks Garden.  This hotel is within the vicinity of Pyin Oo Lwin Golf Club and Candacraig Hotel.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 29 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and slippers. Conveniences include phones, as well as safes and desks.</p><p><b>Amenities</b> <br />Enjoy recreation amenities such as bicycles to rent or take in the view from a garden. Additional features at this hotel include complimentary wireless Internet access, gift shops/newsstands, and a television in a common area.</p><p><b>Dining</b> <br />Satisfy your appetite at the hotel''s restaurant, which serves breakfast and dinner. Dining is also available at a coffee shop/café, and 24-hour room service is provided. Meet other guests and eat at a complimentary reception. Quench your thirst with your favorite drink at a bar/lounge.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include limo/town car service, complimentary newspapers in the lobby, and dry cleaning/laundry services. Free self parking is available onsite.</p>",95-1504917,Flat screen TV (LCD  LED or Plasma TV) Toiletries Dry cleaning / laundry service Free Newspaper Writing Desk Iron/Ironing Board (On Request) Pets Not Allowed No elevators Luggage storage Porter/bellhop Reception Area designated smoking area Multilingual staff Limousine service available Souvenirs / Gift Shop Conference Facilites Garden Slippers Television in lobby Telephone TV Channels Hair dryer (on request) 24 Hour Front Desk Tour desk Limited parking spaces Private bathrooms Air Condition in rooms Free self parking Restaurant coffee shop Safety Deposit Box Bathtub or shower airport transfer Minibar In room safe Free Wireless Internet access Tea/Coffee Making Facilities Bottled Water Breakfast included Free Wireless Internet access (inroom) Bar / Lounge,21.981613159|96.410324097,+95852050038,11101,http://www.mayhotelgroup.com/index.php
MM,Myanmar,149205,Anesakhan,1638847,The View Resort & Restaurant,ThreeStar,Next To Chan Myae Meditation Center Taung Gyun Anisakan Taung GyunAnisakan ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Pyin Oo Lwin Golf Club - 10.4 km / 6.4 mi <br /> Candacraig Hotel - 12.1 km / 7.5 mi <br /> Chan Tak - 12.4 km / 7.7 mi <br /> National Kandawgyi Gardens - 13 km / 8.1 mi <br /> Circular Road - 13 km / 8.1 mi <br /> National Landmarks Garden - 14.4 km / 9 mi <br /> </p>,"<p>HeadLine : In Anesakhan</p><p>Location : Located in Anesakhan, The View Resort & Restaurant is within a 15-minute drive of Pyin Oo Lwin Golf Club and Candacraig Hotel.  This hotel is 7.7 mi (12.4 km) from Chan Tak and 8.1 mi (13 km) from National Kandawgyi Gardens.</p><p>Rooms : Make yourself at home in one of the 9 air-conditioned rooms featuring fireplaces and LCD televisions. Rooms have private balconies. Satellite programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include phones, as well as safes and desks.</p><p>Dining : Satisfy your appetite for lunch or dinner at The View Restaurant, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",66-2-6933195,Dry cleaning/laundry service Airport transportation (surcharge) Luggage storage Free breakfast 24-hour front desk Free WiFi Number of bars/lounges - 1 Barbecue grill(s) Garden Safe-deposit box at front desk Smoke-free property Snack bar/deli Laundry facilities Free newspapers in lobby Tours/ticket assistance Free self parking Terrace,21.98488|96.388646,66-2-6933196,11181,http://www.hotels.com/ho570402
MM,Myanmar,149205,Anesakhan,1746947,Hotel Sein Chuu,TwoStar,Mandalay-Lashio Hightway Road Miles 36/6AnesatkhanPyin-Oo-Lwin ,,"Located within 2.9 km of Dat Taw Gyaint Waterfall and 3.1 km of The View Restaurant and Bar, Hotel Sein Chuu in Pyin Oo Lwin provides a garden and rooms with free WiFi. Boasting a 24-hour front desk, this property also provides guests with a childrens playground. The hotel features garden views and a terrace.

The units in the hotel are equipped with a flat-screen TV. Each room has a private bathroom with free toiletries. Guest rooms at Hotel Sein Chuu have air conditioning and a desk.

The accommodation offers a continental or buffet breakfast. At Hotel Sein Chuu you will find a restaurant serving local and Asian cuisine.

Bike hire and car hire are available at this hotel and the area is popular for cycling.

Purcell Tower is 8 km from the hotel. Mandalay International Airport is 76 km away, and the property offers a paid airport shuttle service.",,Free self parking Restaurant Room service Meeting rooms 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry facilities Family rooms VIP room facilities Breakfast service Ironing service Bridal suite Internet access Express check-in Safe-deposit box at front desk Free valet parking Currency exchange Children s playground Karaoke Soundproof rooms Bicycle rental (additional charge) BBQ facilities Car hire Cycling Tour desk Heating Tours/ticket assistance Luggage storage Free WiFi Free WiFi Non-smoking throughout Air conditioning Designated smoking areas Terrace Concierge services Entertainment staff Private check-in/check-out Airport transportation (surcharge) Television in common areas Daily housekeeping Parking onsite Private parking Indoor play area Kids  outdoor play equipment Baby safety gates Children television networks Public transport tickets,21.98261|96.4116,,11111,https://www.booking.com/hotel/mm/sein-chuu.html
MM,Myanmar,149205,Anesakhan,5369531,Crest Villa Mansion,FourStar,Taung Gyun Next to Chan Myae Meditation Center  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Pyin Oo Lwin Golf Club - 10.6 km / 6.6 mi <br /> Candacraig Hotel - 12.3 km / 7.7 mi <br /> Chan Tak - 12.6 km / 7.8 mi <br /> National Kandawgyi Gardens - 13.2 km / 8.2 mi <br /> Circular Road - 13.2 km / 8.2 mi <br /> National Landmarks Garden - 14.8 km / 9.2 mi <br /> </p><p>The preferred airport for this villa is Mandalay (MDL-Mandalay Intl.) - 78.5 km / 48.7 mi </p>,"<p>HeadLine : In Anesakhan</p><p>Location : When you stay at this villa in Anesakhan, you ll be 13 minutes by car from Pyin Oo Lwin Golf Club.  This 4-star villa is 7.7 mi (12.3 km) from Candacraig Hotel and 7.8 mi (12.6 km) from Chan Tak.</p><p>Rooms : Make yourself comfortable in this air-conditioned villa, which features a fireplace and an LCD TV. There s a private patio. A kitchen is outfitted with a refrigerator and a microwave. A flat-screen television with satellite programming provides entertainment, while complimentary wireless Internet access keeps you connected.</p><p>Dining : Satisfy your appetite for lunch or dinner at the villa s restaurant, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",66-2-6933195,Multilingual staff 24-hour front desk Daily Barbecue grill(s) Safe-deposit box at front desk Smoke-free property Laundry facilities Free self parking Terrace Dry cleaning/laundry service Limo or Town Car service available Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Picnic area Free newspapers in lobby Tours/ticket assistance Free continental breakfast Airport transportation (surcharge) Luggage storage Free breakfast Porter/bellhop,21.986044|96.386037,66-2-6933196,11101,
MM,Myanmar,105113,Aung Ban,1422943,View Point Hotel,TwoStar,No.3 Quarterpindaya Roadsouthern Shan State  ,,"Offering a restaurant and a bar, View Point Aung Ban Hotel provides free WiFi access in all area. Free private parking can be found on site. The property also offers free luggage storage service.

Located in Aungban, View Point Aung Ban Hotel is just a 5-minute walk to Aung Ban Market. The hotel is a 20-minute drive to Kalaw and around a 30-minute drive to Heho Airport.

Each unit at View Point Aung Ban comes with a flat-screen cable/satellite TV and a minibar. This accommodation has a private bathroom fully equipped with shower facilities, free toiletries and slippers.

Guests will find a 24-hr front desk and a room service.  Convenient with concierge, guests will also find a tour desk and a ticket service on site. Other facilities at View Point Aung Ban Hotel are including laundry and ironing service.",+958160084,Free self parking Restaurant Room service Bar/lounge 24-hour front desk Laundry facilities Breakfast service Ironing service Internet access Currency exchange Tour desk Tours/ticket assistance Luggage storage Free WiFi Free WiFi Concierge services Daily housekeeping Parking onsite Private parking,20.66092|96.63234,+958160506,11221,https://www.booking.com/hotel/mm/view-point-aung-ban.html
MM,Myanmar,105113,Aung Ban,1554441,Hotel SS Aung Ban,ThreeStar,No. 55 Khattar Road Mingalar Quarter Aungban 11417 Kalaw Mingalar QuarterAungban 11417Shan ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kalaw Market - 11.2 km / 7 mi <br /> Thein Taung Hpaya Monastery - 11.9 km / 7.4 mi <br /> Christ the King Church - 13.2 km / 8.2 mi <br /> Shwe Oo Min Phaya - 13.3 km / 8.3 mi <br /> View Point Golf Club - 13.8 km / 8.5 mi <br /> Hnee Pagoda - 14.2 km / 8.8 mi <br /> Nyaung Ohak - 36.5 km / 22.7 mi <br /> Pone Taloke Lake - 39.7 km / 24.7 mi <br /> Pindaya Caves - 40.8 km / 25.3 mi <br /> Shwe Oo Min Pagoda - 40.9 km / 25.4 mi <br /> Mingalar Market - 45.6 km / 28.3 mi <br /> Hpaung Daw U Pagoda - 45.7 km / 28.4 mi <br /> Yadana Manaung Padoda - 45.8 km / 28.4 mi <br /> Nyaungshwe Cultural Museum - 46.2 km / 28.7 mi <br /> Inle Lake - 49.3 km / 30.6 mi <br /> </p><p>The preferred airport for Hotel SS Aung Ban is Heho (HEH) - 22.2 km / 13.8 mi </p>,"<p>HeadLine : On the boardwalk</p><p>Location : With a stay at Hotel SS Aung Ban in Kalaw, you ll be 7 mi (11.2 km) from Kalaw Market and 7.4 mi (11.9 km) from Thein Taung Hpaya Monastery.  This family-friendly hotel is 25.3 mi (40.8 km) from Pindaya Caves.</p><p>Rooms : Make yourself at home in one of the 88 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Grab a bite to eat at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Mingle with other guests at the complimentary reception, held daily. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 6 AM to 9:30 AM.</p><p>Renovations : This property is closed from February 15 2023 to December 31 2024 (dates subject to change).   The property is closed during February, March, April, May, June, and July.  This property will be closed from February 15 2023 to December 31 2024 for renovations and will resume operation once the renovation is complete (completion date subject to change).  &nbsp;</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",95-1293583,Dry cleaning/laundry service Free long-term parking Free RV  bus  truck parking Free parking nearby Babysitting or childcare (surcharge) Pool umbrellas Free reception Number of meeting rooms - 2 Conference space size (meters) - 1189 Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Braille or raised signage Number of outdoor pools - 1 Assistive listening devices available In-room accessibility (in select rooms) Wheelchair accessible parking Tours/ticket assistance Fireplace in lobby Free Buffet Breakfast Rooftop terrace Airport transportation (surcharge) Free breakfast Outdoor tennis courts - 1 Conference center Daily Barbecue grill(s) Number of coffee shops/cafes - 1 Laundry facilities Ecotours on site elevator Fitness facilities Supervised childcare/activities (free) Banquet hall Ballroom Karaoke Television in common areas Hiking/biking trails on site Garden Picnic area Free newspapers in lobby Full-service spa Wedding services Luggage storage Porter/bellhop Billiards or pool table Business center 24-hour front desk Hunting on site Playground on site Safe-deposit box at front desk Children's pool Free self parking Conference space Terrace ATM/banking Wheelchair accessible path of travel Pool sun loungers Conference space size (feet) - 12800 Concierge services,20.665856|96.645403,95-94-21087376,11417,
MM,Myanmar,105113,Aung Ban,1574215,Yadanar Aungban Hotel,ThreeStar,64 Union Road Aung Ban Kalaw Township Southern Shan State Myanmar. Aung BanSouthern Shan State ,,"Yadanar AungBan provides air-conditioned rooms in Aungban. Each accommodation at the 3-star hotel has mountain views and free WiFi. The hotel has a garden and features a terrace.

All rooms in the hotel are fitted with a flat-screen TV. All rooms are fitted with a private bathroom with free toiletries and a hair dryer. At Yadanar AungBan every room has a seating area.

The accommodation offers a buffet or Asian breakfast. The restaurant at Yadanar AungBan specialises in Asian cuisine.

Staff are always available to help at the reception.

The nearest airport is Heho Airport, 24 km from the hotel.",,Free WiFi Air conditioning Designated smoking areas Terrace Concierge services Private check-in/check-out Airport transportation (surcharge) Lockers Television in common areas Daily housekeeping Parking onsite Private parking Free WiFi Free self parking Wheelchair accessible Toilet with grab rails Restaurant Room service 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Business center Laundry facilities Facilities for disabled guests Family rooms Breakfast service Ironing service Internet access Express check-in Safe-deposit box at front desk Bicycle rental (additional charge) Car hire Heating Fax/photocopying Tours/ticket assistance Luggage storage,20.6591|96.63451,959440046117,11101,https://www.booking.com/hotel/mm/yadanar-aungban.html
MM,Myanmar,105113,Aung Ban,1881194,M Royal Hotel Aung Ban,All,1 Pyi Daung Su Road Moe Kaung QuarterAung Ban ,,"Situated in Aungban, M Royal Hotel Aung Ban features a shared lounge and a bar. All rooms feature a flat-screen TV with satellite channels and a private bathroom. The accommodation offers free WiFi.

All guest rooms in the hotel are fitted with a kettle. At M Royal Hotel Aung Ban each room is fitted with a seating area.

Guests at the accommodation can enjoy a buffet breakfast. Guests can enjoy a meal at the in-house restaurant, which serves Seafood cuisine.

Staff at the reception can help guests with any questions that they might have.

Heho Airport is 23 km away.",,Free self parking Restaurant Room service Meeting rooms Bar/lounge 24-hour front desk Non-smoking rooms Laundry facilities Family rooms Breakfast service Ironing service Internet access Elevator/lift Gift shops or newsstand Bicycle rental (additional charge) Library Shoeshine Car hire Heating Fax/photocopying Luggage storage Free WiFi Free WiFi Non-smoking throughout Air conditioning Designated smoking areas Snack bar/deli Private check-in/check-out Shared kitchen Lockers Television in common areas Adult only Daily housekeeping Parking onsite Private parking,20.65667|96.64222,,11111,https://www.booking.com/hotel/mm/m-royal-aung-ban.html
MM,Myanmar,105113,Aung Ban,1881309,Hotel Hnin Shwe Yee,ThreeStar,10 Pyi Htaung Su Road Aungban ,,"Featuring free WiFi, a sun terrace with a swimming pool, garden and bar, Hotel Hnin Shwe Yee (Aungban) is situated in Aungban. Each accommodation at the 3-star hotel has garden views, and guests can enjoy access to an indoor pool. The accommodation provides a 24-hour front desk, an ATM and buying tickets for guests.

The rooms in the hotel are fitted with a kettle. The rooms are fitted with a private bathroom with a bath. At Hotel Hnin Shwe Yee (Aungban) the rooms include a seating area.

A continental or buffet breakfast can be enjoyed at the property. At the accommodation you will find a restaurant serving Asian cuisine.

Hotel Hnin Shwe Yee (Aungban) offers a childrens playground. You can play table tennis at this 3-star hotel.

The nearest airport is Heho Airport, 22 km from the property.",,Free self parking Restaurant Room service Meeting rooms Bar/lounge 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Laundry facilities Family rooms Breakfast service Internet access Safe-deposit box at front desk Free valet parking Children s playground Table tennis Bicycle rental (additional charge) Library Car hire Fax/photocopying Tours/ticket assistance Luggage storage Free WiFi Outdoor pool Free WiFi Air conditioning ATM/banking Snack bar/deli Terrace Indoor pool Concierge services Area shuttle (surcharge) Special diet menus (on request) Trouser press Vending machine - Snacks & Drink Airport transportation (surcharge) Kids  club Daily housekeeping Grocery/convenience store Parking onsite Private parking Public Bath Children's books Kids  outdoor play equipment Kid meals Kid-friendly buffet Electric car charging station Public transport tickets,20.66491|96.64879,,,https://www.booking.com/hotel/mm/hnin-shwe-yee-aungban.html
MM,Myanmar,110147,Bagan,1004774,Bagan Thiripyitsaya Sanctuary Resort,ThreeStar,Archeological Zone Old Bagan Old BaganMandalay Division ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Gawdawpalin Temple - 0.5 km / 0.3 mi <br /> Mimalaung Kyaung - 0.8 km / 0.5 mi <br /> Bagan Archaeological Museum - 0.9 km / 0.6 mi <br /> Mingalazedi Paya - 1 km / 0.6 mi <br /> Pahtothamya - 1.2 km / 0.7 mi <br /> Nathlaung Kyaung - 1.3 km / 0.8 mi <br /> Shwesandaw Paya - 1.3 km / 0.8 mi <br /> Thatbyinnyu Pahto - 1.4 km / 0.8 mi <br /> Mahabodhi Paya - 1.6 km / 1 mi <br /> Shwegugyi - 1.6 km / 1 mi <br /> Bupaya - 1.7 km / 1.1 mi <br /> Manuha Paya - 1.9 km / 1.2 mi <br /> Thatbyinnyu Temple - 1.9 km / 1.2 mi <br /> Ananda Temple - 2 km / 1.2 mi <br /> Bagan Golden Palace - 2 km / 1.2 mi <br /> </p><p>The preferred airport for Bagan Thiripyitsaya Sanctuary Resort is Nyaung-U (NYU) - 10.6 km / 6.6 mi </p>,"<p>HeadLine : Near Bagan Archaeological Museum</p><p>Location : Located in Nyaung-U, Bagan Thiripyitsaya Sanctuary Resort is on the riverwalk, within a 15-minute walk of Gawdawpalin Temple and Mimalaung Kyaung.  This family-friendly resort is 0.6 mi (1 km) from Bagan Archaeological Museum and 0.6 mi (1 km) from Mingalazedi Paya.</p><p>Rooms : Make yourself at home in one of the 76 individually decorated guestrooms, featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as laptop-compatible safes and desks.</p><p>Dining : Enjoy international cuisine at Varendah Grill and Bar, a restaurant where you can take in the garden view, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary English breakfast is served daily from 6 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",95-61-60033,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Parking (limited spaces) Pool umbrellas Number of meeting rooms - 1 Bicycle on site Wheelchair-accessible registration desk Limo or Town Car service available Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Free newspapers in lobby Full-service spa Tours/ticket assistance Boat tours nearby Area shuttle (surcharge) Ferry terminal shuttle (surcharge) Free English Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Porter/bellhop Multilingual staff Business center 24-hour front desk Daily Spa services on site Safe-deposit box at front desk Number of coffee shops/cafes - 1 Laundry facilities Children's pool Free self parking Terrace ATM/banking Pool sun loungers Bicycle rentals on site Concierge services,21.164521|94.853937,95-61-60048,11182,http://www.thiripyitsaya-resort.com/about/facilities.html
