countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LB,Lebanon,101337,Ain Ebel,1425749,Oak Hills Hotel,FourStar,Aïn Ebel 1601  ,,"Situated in Ayn Ibil, 37 km from Tyre, Oak Hills Hotel boasts an outdoor pool and a sun terrace. Guests can enjoy the on-site restaurant. Free private parking is available on site.

Each room at this hotel is air conditioned and features a flat-screen TV. Some rooms have a seating area for your convenience. You will find a kettle in the room. Every room has a private bathroom fitted with a bath. Extras include bath robes and slippers.

The area is popular for horse riding and hiking. The nearest airport is Rafic Hariri Airport, 80 km from Oak Hills Hotel. Please inform Oak Hills Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please check your visa requirements before you travel.",+9617471127,Free self parking Internet access Elevator/lift Express check-in Safe-deposit box at front desk Free valet parking Currency exchange Children s playground Table tennis Gift shops or newsstand Bicycle rental (additional charge) Library Shoeshine Hiking BBQ facilities Packed lunches Car hire Cycling Heating Fax/photocopying Tours/ticket assistance Luggage storage Free WiFi Outdoor pool Free WiFi Non-smoking throughout Air conditioning Designated smoking areas Snack bar/deli Terrace Outdoor seasonal pool Bikes available (free) Concierge services Private check-in/check-out Special diet menus (on request) Trouser press Water sport facilities (on site) Lockers Television in common areas Daily housekeeping Grocery/convenience store Parking onsite Open-air bath Games Children's books Kids  outdoor play equipment Children television networks Street parking Rooftop pool Restaurant Meeting rooms Bar/lounge 24-hour front desk Fitness facilities Garden Terrace Non-smoking rooms Business center Babysitting or childcare Laundry facilities Dry cleaning/laundry service Facilities for disabled guests Family rooms VIP room facilities Ironing service,33.10659|35.40336,+9617471126,1601,https://www.booking.com/hotel/lb/oak-hills.html
LB,Lebanon,105070,Ajaltun,1420755,Monte Bello Hotel,ThreeStar,Ajaltoun Old Way  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Jeita Grotto - 7.9 km / 4.9 mi <br /> Notre Dame University - Louaize - 8.6 km / 5.4 mi <br /> Dream Park - 9.5 km / 5.9 mi <br /> Basilica of Saint Paul - 11 km / 6.8 mi <br /> Holy Spirit University of Kaslik - 11.5 km / 7.1 mi <br /> Our Lady of Lebanon - 12 km / 7.4 mi <br /> Fouad Chehab Stadium - 12.1 km / 7.5 mi <br /> Watergate Aqua Park - 13.7 km / 8.5 mi <br /> Our Lady of Lebanon Cable Car - 13.7 km / 8.5 mi <br /> Keserwan Medical Center - 15.1 km / 9.4 mi <br /> LeMall - 15.7 km / 9.8 mi <br /> Casino du Liban - 16.1 km / 10 mi <br /> ABC Dbayeh - 16.1 km / 10 mi <br /> Marina Dbayeh - 16.3 km / 10.2 mi <br /> Cilicia Museum - 17.1 km / 10.6 mi <br /> </p><p>The preferred airport for Hotel Monte bello is Beirut-Rafic Hariri Intl. Airport (BEY) - 35.6 km / 22.1 mi </p>,"<p>HeadLine : In Ajaltoun</p><p>Location : When you stay at Hotel Monte bello in Ajaltoun, you ll be within a 10-minute drive of Notre Dame University - Louaize and Dream Park.  This hotel is 16.7 mi (26.8 km) from Zaitunay Bay and 17.2 mi (27.7 km) from Hamra Street.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned rooms featuring minibars and LCD televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and 24-hour room service is provided. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",961-9-235735,elevator Free self parking Fitness facilities Free valet parking Terrace Free continental breakfast Concierge services Dry cleaning/laundry service Luggage storage Free breakfast Porter/bellhop Meeting rooms 24-hour front desk Free WiFi Number of bars/lounges - 1 Daily Garden Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities,33.961008|35.68181,961-9-235735,1103,
LB,Lebanon,100378,Al Arz,1363658,Le Cedrus Boutique Hotel,All,The Cedars Becharre Becharre BischarriAl Arz 1377 ,,"Boasting a bar, garden and views of garden, Cedrus Hotel is situated in Antalya, 400 metres from Mermerli Beach. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi throughout the property. The hotel has family rooms.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Some rooms include a kitchen with a dishwasher, a microwave and a fridge. At Cedrus Hotel rooms are equipped with bed linen and towels.

Guests at the accommodation can enjoy a continental or a à la carte breakfast.

The area is popular for cycling, and bike hire and car hire are available at Cedrus Hotel.

Popular points of interest near the hotel include Hadrians Gate, Antalya Clock Tower and Old City Marina. The nearest airport is Antalya, 14 km from Cedrus Hotel, and the property offers a paid airport shuttle service. Please inform Cedrus Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Bar is closed from Wed 11 Mar 2020 until Mon 01 Jun 2020",00961 6 678 077,staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available Restaurant Pets allowed Room service Bar 24-hour front desk Garden Non-smoking rooms Airport shuttle Laundry dry cleaning Family rooms Ironing service internet services express check-in/check-out Safety Deposit Box Currency exchange Car hire Cycling Tour desk Heating Fax/photocopying Luggage storage wifi Free WiFi Air conditioning designated smoking area concierge service Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Daily housekeeping wifi available in all areas Public transport tickets Fruits airport pick up airport drop off coffee house on site Outdoor furniture Beach Shuttle service Walking tours Bike tours Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation,36.88215|30.70625,+9616678777,1377,https://www.booking.com/hotel/lb/le-cedrus-suites.html
LB,Lebanon,100378,Al Arz,1407076,White Cedar Hotel &Resort,ThreeStar,Cedars North Lebanon  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cedars of God - 1.3 km / 0.8 mi <br /> Horsh Ehden - 9.1 km / 5.6 mi <br /> Qadisha Caves - 9.1 km / 5.6 mi <br /> Our Lady of Diman Church - 9.1 km / 5.6 mi <br /> Gibran Museum - 9.1 km / 5.6 mi <br /> Gibran Khalil Gibran museum - 10.7 km / 6.6 mi <br /> Kadisha Valley - 12.1 km / 7.5 mi <br /> Mar Lichaa Monastery - 13 km / 8 mi <br /> Monastery of Mar Sarkis - 14.1 km / 8.8 mi <br /> Monastery of Qozhaya - 21.5 km / 13.3 mi <br /> Tannourine Cedars Forest Nature Reserve - 28.1 km / 17.5 mi <br /> Our Lady of Miziara  Mother of Mercies - 29.6 km / 18.4 mi <br /> Bnachii lake - 31.6 km / 19.6 mi <br /> Mt Lebanon - 37.4 km / 23.3 mi <br /> Church of the Lady of Dormition - 39.1 km / 24.3 mi <br /> </p><p>The preferred airport for White Cedar Hotel is Beirut-Rafic Hariri Intl. Airport (BEY) - 118.9 km / 73.9 mi </p>,"<p>HeadLine : Near Cedars of God</p><p>Location : Located in Al Arz, White Cedar Hotel is in a national park, a 2-minute drive from Cedars of God and 8 minutes from Horsh Ehden.  This hotel is 5.6 mi (9.1 km) from Qadisha Caves and 5.6 mi (9.1 km) from Our Lady of Diman Church.</p><p>Rooms : Make yourself at home in one of the 27 air-conditioned rooms featuring refrigerators and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as desks and coffee/tea makers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 9 AM to 11:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. There is no front desk at this property. The host will greet guests on arrival.</p>",,Laundry facilities elevator Conference space Computer station Terrace Concierge services Dry cleaning/laundry service Free parking nearby Conference space size (meters) - 15 Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area Wedding services Tours/ticket assistance Free Buffet Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Daily Barbecue grill(s) Safe-deposit box at front desk Coffee/tea in common areas Number of coffee shops/cafes - 1,34.248262|36.052934,961-71797661,,
LB,Lebanon,100378,Al Arz,1625011,Cedars Palace,ThreeStar,Al Arz Cedar Main Road Opposite Nadi Al DabutAl ArzEhden ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cedars of God - 0.5 km / 0.3 mi <br /> Gibran Khalil Gibran museum - 4.9 km / 3 mi <br /> Horsh Ehden - 8.3 km / 5.2 mi <br /> Qadisha Caves - 8.3 km / 5.2 mi <br /> Our Lady of Diman Church - 8.3 km / 5.2 mi <br /> Gibran Museum - 8.3 km / 5.2 mi <br /> Kadisha Valley - 11.4 km / 7.1 mi <br /> Mar Lichaa Monastery - 12.2 km / 7.6 mi <br /> Monastery of Mar Sarkis - 13.4 km / 8.3 mi <br /> Monastery of Qozhaya - 20.7 km / 12.9 mi <br /> Tannourine Cedars Forest Nature Reserve - 27.7 km / 17.2 mi <br /> Mt Lebanon - 36.7 km / 22.8 mi <br /> Church of the Lady of Dormition - 38.3 km / 23.8 mi <br /> Saint Nohra Church - 38.4 km / 23.9 mi <br /> Our Lady of Miziara  Mother of Mercies - 38.6 km / 24 mi <br /> </p>,"<p>HeadLine : Near Cedars of God</p><p>Location : Located in Al Arz, Cedars Palace is a 1-minute drive from Cedars of God and 7 minutes from Horsh Ehden.  This ski aparthotel is 5.2 mi (8.3 km) from Qadisha Caves and 5.2 mi (8.3 km) from Our Lady of Diman Church.</p><p>Rooms : Make yourself at home in one of the 12 air-conditioned rooms featuring fireplaces and flat-screen televisions. Rooms have private balconies. Kitchens are outfitted with refrigerators, ovens, and stovetops. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the aparthotel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",961-961-70353953,Ski-in/ski-out access Free WiFi Barbecue grill(s) Garden Safe-deposit box at front desk Tours/ticket assistance Free self parking Luggage storage Terrace 24-hour front desk Concierge services,34.248649|36.04999,961-961-70353953,,http://www.cedars-palace.com
LB,Lebanon,100378,Al Arz,1625296,Chalets Saint Michel,FourStar,Facing lebanese army officers club CedarsAl Arz ,,"Nestled in Mount Lebanon, Saint Michel Chalets is located in Al Arz. This property offers scenic views of the surrounding mountains.

The chalet if fitted with a fireplace and includes a living room with large windows, a flat-screen TV and a full kitchen.

Activities such as skiing, hiking and cycling are possible at Saint Michel Chalets.  A terrace and a garden can also be enjoyed.

The accommodation is a 10-minute drive from Wadi Qadisha & The Cedars. Cedars Ski Slopes can be reached by a car in 5 minutes. Rafic Hariri Airport is 70 km away Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Saint Michel Chalets in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
A damage deposit of USD 100 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Please note that all guests must contact the property for bank details in order to secure their booking with a payment.",,use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered Parking Pets allowed Room service 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Skiing Family rooms breakfast in the room Free parking internet services lift Hiking BBQ facilities Car hire Cycling Heating wifi Ski school Free WiFi ATM/cash machine on site Sun terrace concierge service nightclub/dj airport shuttle (additional charge) minimarket on site Daily housekeeping grocery deliveries parking on site Private parking secured parking Parking garage airport pick up airport drop off Walking tours Bike tours Live music/performance bicycle rental thermometers for guests provided by property face masks for guests available,34.24459|36.04113,,1377,https://www.booking.com/hotel/lb/saint-michel-chalets-al-arz.html
LB,Lebanon,100378,Al Arz,1625616,Le Notre Hotel & Ski Resort,FourStar,"The Cedars, North Lebanon BsharriAl Arz 1377 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cedars of God - 0.2 km / 0.1 mi <br /> Gibran Khalil Gibran museum - 4.4 km / 2.7 mi <br /> Horsh Ehden - 8.4 km / 5.2 mi <br /> Qadisha Caves - 8.4 km / 5.2 mi <br /> Our Lady of Diman Church - 8.4 km / 5.2 mi <br /> Gibran Museum - 8.4 km / 5.2 mi <br /> Kadisha Valley - 11.3 km / 7 mi <br /> Mar Lichaa Monastery - 12 km / 7.4 mi <br /> Monastery of Mar Sarkis - 13.4 km / 8.3 mi <br /> Monastery of Qozhaya - 20.7 km / 12.9 mi <br /> Tannourine Cedars Forest Nature Reserve - 27.4 km / 17 mi <br /> Our Lady of Miziara  Mother of Mercies - 28.8 km / 17.9 mi <br /> Bnachii lake - 30.9 km / 19.2 mi <br /> Mt Lebanon - 36.6 km / 22.7 mi <br /> Church of the Lady of Dormition - 38.1 km / 23.7 mi <br /> </p>,"<p>HeadLine : Near Cedars of God</p><p>Location : Located in Al Arz, Le Notre Hotel & Ski Resort is in a national park, a 1-minute drive from Cedars of God and 8 minutes from Horsh Ehden.  This 4-star hotel is 5.2 mi (8.4 km) from Qadisha Caves and 5.2 mi (8.4 km) from Our Lady of Diman Church.</p><p>Rooms : Make yourself at home in one of the 29 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms feature showers, complimentary toiletries, and hair dryers. Conveniences include phones, as well as safes and electric kettles.</p><p>Dining : Enjoy a meal at Le Plat D Or, or stay in and take advantage of the hotel s 24-hour room service. Need to unwind? Take a break with a tasty beverage at one of the 2 bars/lounges. A complimentary buffet breakfast is served daily from 8 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after midnight please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Ski lift privileges Snow sports gear Optional ski privileges Free WiFi Downhill skiing nearby Number of bars/lounges - 2 Designated smoking areas Ski storage Number of outdoor pools - 1 Bicycle rentals nearby Snowboarding Nearby Tours/ticket assistance Sledding nearby Free Buffet Breakfast Free breakfast Snowmobiling Nearby Multilingual staff Ski equipment rental shops nearby Ski lessons available nearby Mountain climbing nearby Ski-in/ski-out access Daily Barbecue grill(s) Bowling alley on site Laundry facilities elevator Fitness facilities Snowshoeing Nearby Mountain biking nearby Reception hall Nightclub Television in common areas Garden Picnic area Ski shuttle (surcharge) Ski passes available Cave exploring/spelunking nearby Private picnics Couples/private dining Wheelchair accessible  no Luggage storage Billiards or pool table 24-hour front desk Playground on site Hiking/biking trails nearby Free self parking Conference space Free valet parking Terrace,34.244841|36.047516,961-6678138,1377,https://www.agoda.com/de-de/le-notre-hotel-ski-resort/hotel/cedars-lb.html
LB,Lebanon,100378,Al Arz,5320264,Chalet de Charme,ThreeStar,Ski Slope Road Opposite Event Stage  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cedars of God - 1 km / 0.6 mi <br /> Horsh Ehden - 8.8 km / 5.5 mi <br /> Qadisha Caves - 8.8 km / 5.5 mi <br /> Our Lady of Diman Church - 8.8 km / 5.5 mi <br /> Gibran Museum - 8.8 km / 5.5 mi <br /> Gibran Khalil Gibran museum - 10.4 km / 6.5 mi <br /> Kadisha Valley - 11.9 km / 7.4 mi <br /> Mar Lichaa Monastery - 12.7 km / 7.9 mi <br /> Monastery of Mar Sarkis - 13.9 km / 8.6 mi <br /> Monastery of Qozhaya - 21.2 km / 13.2 mi <br /> Tannourine Cedars Forest Nature Reserve - 27.8 km / 17.3 mi <br /> Mt Lebanon - 37.2 km / 23.1 mi <br /> Church of the Lady of Dormition - 38.8 km / 24.1 mi <br /> Saint Nohra Church - 38.9 km / 24.2 mi <br /> Our Lady of Miziara  Mother of Mercies - 39.1 km / 24.3 mi <br /> </p>,"<p>HeadLine : Near Cedars of God</p><p>Location : Located in Al Arz, Chalet de Charme is in the mountains, a 1-minute drive from Cedars of God and 8 minutes from Horsh Ehden.  This chalet is 5.5 mi (8.8 km) from Qadisha Caves and 5.5 mi (8.8 km) from Our Lady of Diman Church.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms, featuring kitchens with full-sized refrigerators/freezers and ovens. Complimentary wireless Internet access keeps you connected, and flat-screen televisions are provided for your entertainment. Conveniences include safes and coffee/tea makers, and housekeeping is provided on request.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : There is no front desk at this property. For more details, please contact the property using the information on the booking confirmation.</p>",,Designated smoking areas Housekeeping on request Free self parking Conference space Conference space size (meters) - 50 Terrace Free WiFi,34.247041|36.056701,961-76058977,0000,
LB,Lebanon,100378,Al Arz,5345573,La Maison des Cèdres,FourStar,Zone Résidentielle  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Cedars of God - 1.4 km / 0.9 mi <br /> Gibran Khalil Gibran museum - 4.1 km / 2.6 mi <br /> Horsh Ehden - 7.6 km / 4.7 mi <br /> Qadisha Caves - 7.6 km / 4.7 mi <br /> Our Lady of Diman Church - 7.6 km / 4.7 mi <br /> Gibran Museum - 7.6 km / 4.7 mi <br /> Kadisha Valley - 10.6 km / 6.6 mi <br /> Mar Lichaa Monastery - 11.5 km / 7.1 mi <br /> Monastery of Mar Sarkis - 12.7 km / 7.9 mi <br /> Monastery of Qozhaya - 20 km / 12.4 mi <br /> Tannourine Cedars Forest Nature Reserve - 26.6 km / 16.5 mi <br /> Mt Lebanon - 36 km / 22.4 mi <br /> Our Lady of Miziara  Mother of Mercies - 37.8 km / 23.5 mi <br /> Bnachii lake - 40.1 km / 24.9 mi <br /> Baatara Gorge Waterfall - 43 km / 26.7 mi <br /> </p>,"<p>HeadLine : Near Cedars of God</p><p>Location : Located in Al Arz, La Maison des Cèdres is a 3-minute drive from Cedars of God and 8 minutes from Horsh Ehden.  This 4-star hotel is 4.7 mi (7.6 km) from Our Lady of Diman Church and 4.7 mi (7.6 km) from Gibran Museum.</p><p>Rooms : Stay in one of 18 guestrooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as complimentary bottled water and blackout drapes/curtains.</p><p>Dining : At La Maison des Cèdres, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7:00 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,Luggage storage Free breakfast Porter/bellhop Business center Conference space size (meters) - 100 24-hour front desk Free WiFi Library Number of bars/lounges - 1 Daily Ski storage Garden Picnic area Smoke-free property Free self parking Conference space Terrace Free Buffet Breakfast Conference space size (feet) - 1076,34.240352|36.0407,961-3732231,,
LB,Lebanon,100638,Aley,1032689,City Suite Aley,FourStar,Piscine Street Aley ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Baabda Palace - 10.7 km / 6.6 mi <br /> City Center Beirut - 12.5 km / 7.8 mi <br /> The Spot Choueifat - 13.9 km / 8.6 mi <br /> Le Mall Sin El Fil - 14.2 km / 8.8 mi <br /> Horsh Beirut - 14.6 km / 9.1 mi <br /> Umam Documentation and Research - 14.8 km / 9.2 mi <br /> National Museum of Beirut - 14.9 km / 9.3 mi <br /> St. Joseph University - Campus of Innovation and Sports - 15.5 km / 9.7 mi <br /> Hippodrome du parc de Beyrouth - 16 km / 9.9 mi <br /> Camille Chamoun Sports City Stadium - 16.1 km / 10 mi <br /> St. Joseph University - Campus of Medical Sciences - 16.1 km / 10 mi <br /> Golf Club of Lebanon - 16.2 km / 10 mi <br /> Fantasy World - 16.2 km / 10.1 mi <br /> ABC Mall - 16.2 km / 10.1 mi <br /> Beirut Municipal Stadium - 16.4 km / 10.2 mi <br /> </p><p>The preferred airport for City Suite Aley is Beirut-Rafic Hariri Intl. Airport (BEY) - 17.9 km / 11.1 mi </p>,"<p>HeadLine : In the city center</p><p>Location : With a stay at City Suite Aley, you ll be centrally located in Aley, within a 10-minute drive of City Center Beirut and Baabda Palace.  This 4-star aparthotel is 12 mi (19.4 km) from Hamra Street and 12.1 mi (19.4 km) from Zaitunay Bay.</p><p>Rooms : Make yourself at home in one of the 23 air-conditioned rooms featuring kitchens with refrigerators and microwaves. Flat-screen televisions with satellite programming are available for your entertainment, and DVD players are also provided. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at Al Qasr or snacks in the coffee shop/cafe. The aparthotel also offers 24-hour room service. Wrap up your day with a drink at the bar/lounge. Cooked-to-order breakfasts are available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",1,Dry cleaning/laundry service Free self parking Free valet parking Terrace Wheelchair accessible path of travel Concierge services Babysitting or childcare (surcharge) Express check-in Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Garden In-room accessibility (in select rooms) Internet access in public areas - high speed Tours/ticket assistance Luggage storage Express check-out Porter/bellhop Multilingual staff 24-hour front desk Breakfast available (surcharge) Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities elevator,33.81147|35.60511,961-5-556550,1501,http://www.citysuitehotel.com
