countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PE,Peru,104693,Abancay (Region Apurímac),1471135,Siball Hotel,ThreeStar,Av. Arenas 161 Abancay ,,"Featuring a great location, Siball Hotel offers accommodations in Abancay. Free WiFi access is available and guests are served a daily complimentary breakfast.

Rooms here are fitted with a private bathroom with free toiletries, a 47"" flat-screen TV with cable channels, a desk, a coffee table and a seating area. Some rooms offer great city or mountain views. Daily maid service is provided.

At Siball Hotel guests can enjoy an on-site restaurant. Other facilities include a 24-hour front desk, luggage storage and laundry services, the latter for an extra fee.

The hotel is located steps away from several shops. Free private parking is available on site. Shuttle services may be arranged for an extra fee. Pizzas Pastas y Parrillas Mauri is closed from Tue 03 Dec 2019 until Fri 31 Jan 2020
Bar is closed from Tue 03 Dec 2019 until Fri 31 Jan 2020
Based on local tax laws, Peruvian citizens (and foreigners staying more than 59 days in Peru) must pay an additional fee of 18% .To be exempt from this 18% additional fee (IGV), a copy of the immigration card and passport must be presented.

Please note both documents are required for fee exemption. Guests who are not able to present both documents will be required to pay the fee.

Foreign business travelers who require a printed invoice, will also be charged the additional 18% regardless of the length of their stay in Peru. This fee is not automatically calculated in the total costs for the reservation.",,Daily housekeeping parking on site Private parking wifi available in all areas secured parking Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Terrace Non-smoking rooms Airport shuttle Laundry Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift express check-in/check-out Safety Deposit Box Currency exchange Hiking Tour desk Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout designated smoking area Sun terrace concierge service nightclub/dj Private check-in/check-out shuttle service (additional charge) Trouser press airport shuttle (additional charge) shared lounge/TV area guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays Parking garage Wheelchair accessible Wine/champagne airport pick up airport drop off Outdoor furniture Shuttle service Walking tours 24-hour security Key access Security alarm CCTV in common areas,-13.63633|-72.87632,+5183503128,,http://www.siballhotel.com
PE,Peru,104693,Abancay (Region Apurímac),1471163,El Peregrino Apart Hotel,ThreeStar,Av. Andres Avelino Caceres 390 3001 AbancayApurímac ,,"Boasting a privileged location only 2 blocks from local shops and restaurants and offering free WiFi access and a complimentary American breakfast, El Peregrino Apart Hotel offers self-catering accommodations in Abancay.

The fully-furnished apartments are all fitted with a private bathroom with free toiletries, a flat-screen TV with cable channels, a dining area, a fully-equipped kitchenette, bed linen and towels.

At El Peregrino Apart Hotel guests will find a garden, free parking and may enjoy the on-site à la carte Restaurant.

The property is conveniently located in the city centre, only 4 blocks from the central market and 5 blocks from the main square of Abancay. Piedra de Saywite archeological site is a 30-minute drive away, whereas Cusco can be reached in 4 hours by car. Shuttle service can be arranged for an extra fee. Please inform El Peregrino Apart Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Based on local tax laws, Peruvian citizens (and foreigners staying more than 59 days in Peru) must pay an additional fee of 18% .To be exempt from this 18% additional fee (IVA), a copy of the immigration card and passport must be presented.

Please note both documents are required for fee exemption. Guests who are not able to present both documents will be required to pay the fee.

Foreign business travellers who require a printed invoice, will also be charged the additional 18% regardless of the length of their stay in Peru. This fee is not automatically calculated in the total costs for the reservation.",,Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Terrace Non-smoking rooms Business centre Laundry Facilities for disabled guests Family rooms breakfast in the room Ironing service internet services lift Safety Deposit Box Packed lunches Tour desk Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout designated smoking area concierge service Private check-in/check-out shuttle service (additional charge) Daily housekeeping wifi available in all areas Public Bath Kid meals Wheelchair accessible Wine/champagne Shuttle service Walking tours Tour or class about local culture 24-hour security Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized,-13.63409|-72.87562,+5183502610,3001,https://www.booking.com/hotel/pe/el-peregrino-apart.html
PE,Peru,104693,Abancay (Region Apurímac),1549253,Hotel Abancay,TwoStar,Avenida Nuñez 705 Abancay ,,"The Abancay hotel was built in 2014 by a Abanquina family with great effort and enthusiasm , thinking of all the details, to offer large, spacious and comfortable visitor , we improve every day and we are proud to provide quality service to our customers , making your stay unforgettable. Set in Abancay, Hotel Abancay offers pet-friendly accommodation with free WiFi and parking on site. The property features a snack bar.

A complimentary breakfast is served daily. Breakfast in the room may be requested at no extra cost.

Rooms at Hotel Abancay are fitted with a private bathroom, a TV with cable channels, a safety-deposit box and a desk. Some rooms also feature a minibar and a city view. Towels are included during your stay. Pets may be accommodated upon request.

Room service is available.

You will find a 24-hour front desk at the property, as well as a tour desk, a concierge service, a vallet service, a luggage storage and a safety-deposit box.

Guests are invited to make use of the shared lounge. Based on local tax laws, Peruvian citizens (and foreigners staying more than 59 days in Peru) must pay an additional fee of 18% .To be exempt from this 18% additional fee (IVA), a copy of the immigration card and passport must be presented.

Please note both documents are required for fee exemption. Guests who are not able to present both documents will be required to pay the fee.

Foreign business travellers who require a printed invoice, will also be charged the additional 18% regardless of the length of their stay in Peru. This fee is not automatically calculated in the total costs for the reservation.",,Free self parking 24-hour front desk Non-smoking rooms Laundry facilities Ironing service Internet access Express check-in Safe-deposit box at front desk Free valet parking Luggage storage Free WiFi Allergy-free room Free WiFi Non-smoking throughout Private check-in/check-out Trouser press Daily housekeeping Parking onsite Private parking Street parking,-13.63336|-72.87634,,03001,https://www.booking.com/hotel/pe/abancay.html
PE,Peru,104693,Abancay (Region Apurímac),1573600,Hotel Tampumayu,ThreeStar,Carretera Interoceanica km 361 SanaycaChalhuancaApurimac ,,"Featuring a garden, a restaurant, and a bar, Hotel & Restaurante Tampumayu offers free Wi-Fi and regional breakfast in Lima. The Sañayca Hot Springs are a 30-minute drive away.

Providing a tranquil environment, the rooms Tampumayu feature private bathrooms with 24/7 hot water.

Guests at Hotel & Restaurante Tampumayu can request laundry services for an extra fee.

Hotel & Restaurante Tampumayu is 19 km from Chalhuanca and 300 km from Nazca. Cusco airport is 310 km away. Free private parking is possible on site. Based on local tax laws, Peruvian citizens (and foreigners staying more than 59 days in Peru) must pay an additional fee of 18%. To be exempt from this 18% additional fee (IVA), a copy of the immigration card and passport must be presented.

Please note both documents are required for fee exemption. Guests who are not able to present both documents will be required to pay the fee.

Foreign business travellers who require a printed invoice, will also be charged the additional 18% regardless of the length of their stay in Peru. This fee is not automatically calculated in the total costs for the reservation.",,Free self parking Restaurant Pets allowed Bar/lounge Garden Chapel/shrine Heating Parking onsite Private parking,-14.22978|-73.3667,+51961964900,000004,https://www.booking.com/hotel/pe/amp-rest-tampumayu.html
PE,Peru,104693,Abancay (Region Apurímac),1647524,Hostal Mica,ThreeStar,Avenida Panama 108 Abancay ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Technological University of the Andes - 0.3 km / 0.2 mi <br /> Condebamba Monumental Stadium - 2.3 km / 1.4 mi <br /> Cerro Chunune - 6.1 km / 3.8 mi <br /> El Mirador - 8 km / 5 mi <br /> Chuspipata - 8.4 km / 5.2 mi <br /> Cerro Ccollapata - 28 km / 17.4 mi <br /> Lomas Concacha - 28.7 km / 17.8 mi <br /> Cerro Chiquis - 43.2 km / 26.9 mi <br /> Sayhuite Archeological Site - 43.4 km / 27 mi <br /> </p>,"<p>HeadLine : Near Technological University of the Andes</p><p>Location : With a stay at Hotel Mica in Abancay, you ll be a 3-minute walk from Technological University of the Andes and within a 5-minute drive of Condebamba Monumental Stadium.  This hotel is 3.8 mi (6.1 km) from Cerro Chunune and 5 mi (8 km) from El Mirador.</p><p>Rooms : Stay in one of 20 guestrooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Take advantage of the hotel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",51-1-975458151,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Newspapers in lobby (surcharge) Luggage storage 24-hour front desk Free WiFi Designated smoking areas Garden Coffee/tea in common areas Laundry facilities Tours/ticket assistance elevator Free self parking Offsite parking reservations required Computer station Terrace Concierge services,-13.634239|-72.885939,51-1-975458151,03001,
PE,Peru,104693,Abancay (Region Apurímac),1739858,Hotel Turistas,ThreeStar,Avenida Diaz Barcenas 500 AbancayApurimac ,,"Hotel de Turistas Abancay has an outdoor swimming pool, garden, a shared lounge and terrace in Abancay. With free WiFi, this 3-star hotel has a restaurant and a bar. The accommodation features room service, a concierge service and currency exchange for guests.

A buffet, à la carte or continental breakfast is available each morning at the property.

Free private parking and a business centre are available, as well as a 24-hour front desk.

The nearest airport is Andahuaylas Airport, 130 km from the hotel. Please inform Hotel de Turistas Abancay in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Kid meals Kid-friendly buffet secured parking Parking garage Accessible parking Pool with view Wine/champagne Fruits Sun umbrellas Outdoor furniture Picnic area kids' pool Swimming pool Themed dinner nights Happy hour Security alarm Smoke alarms CCTV in common areas Fire extinguishers Swimming pool Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Business centre Laundry Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Currency exchange BBQ facilities Packed lunches Tour desk Heating Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout designated smoking area Snack Bar Sun terrace outdoor pool (all year) concierge service Private check-in/check-out Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site Private parking Public Bath,-13.63533|-72.88004,,,https://www.booking.com/hotel/pe/turistas-de-abancay.html
PE,Peru,104693,Abancay (Region Apurímac),1748595,Hotel Murano,All,Avenida Nuñez 115 Abancay ,,"Hotel Murano is offering accommodation in Abancay. Among the facilities at this property are a 24-hour front desk and a tour desk, along with free WiFi throughout the property. The accommodation offers a shared lounge, room service and currency exchange for guests.

At the hotel, every room includes a desk, a flat-screen TV, a private bathroom, bed linen and towels. The units feature a wardrobe.

An American breakfast is available every morning at Hotel Murano.

The nearest airport is Andahuaylas Airport, 130 km from the accommodation.",,Parking Room service meeting/banquet facilities 24-hour front desk Non-smoking rooms dry cleaning Facilities for disabled guests Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Currency exchange Tour desk Heating Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout shuttle service (additional charge) Trouser press shared lounge/TV area Daily housekeeping grocery deliveries wifi available in all areas Street parking Wheelchair accessible Shuttle service 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers,-13.63687|-72.87698,+5183202336,,https://www.booking.com/hotel/pe/murano.html
PE,Peru,104693,Abancay (Region Apurímac),1830395,Gran Hotel,OneStar,Avenida Arenas 194 Abancay ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Condebamba Monumental Stadium - 0.9 km / 0.5 mi <br /> Technological University of the Andes - 1.5 km / 0.9 mi <br /> El Mirador - 6.8 km / 4.2 mi <br /> Sayhuite Archeological Site - 43.5 km / 27 mi <br /> </p>,"<p><b>Property Location</b> <br />Located in Abancay, Gran Hotel Abancay is a 5-minute drive from Condebamba Monumental Stadium and 7 minutes from Technological University of the Andes.  This hotel is 4.2 mi (6.8 km) from El Mirador and 27 mi (43.5 km) from Sayhuite Archeological Site.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 37 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Take in the views from a rooftop terrace and make use of amenities such as complimentary wireless Internet access and tour/ticket assistance.</p><p><b>Dining</b> <br />Satisfy your appetite at the hotel's coffee shop/café.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a computer station, a 24-hour front desk, and luggage storage.</p>",,24-hour front desk Coffee shop or café Computer station Designated smoking areas Free WiFi Laundry facilities Luggage storage One meeting room Rooftop terrace Total number of rooms - 37 Tours/ticket assistance,-13.63623|-72.8762,,,
PE,Peru,104693,Abancay (Region Apurímac),1868688,Abmale Hs,All,Jiron Libertad 101 Parque Ocampo03001 Abancay ,,"Hostal Abmale is set in Abancay and features a terrace. All rooms boast a flat-screen TV with cable channels and a private bathroom. Both private parking and free WiFi are available on site.

At the inn, every room includes a desk. The rooms have a wardrobe.

A continental breakfast is available daily at Hostal Abmale.

Staff are available to help at the 24-hour front desk. Based on local tax laws, Peruvian citizens (and foreigners staying more than 59 days in Peru) must pay an additional fee of 18% .To be exempt from this 18% additional fee (IGV), a copy of the immigration card and passport must be presented.

Please note both documents are required for fee exemption. Guests who are not able to present both documents will be required to pay the fee.

Foreign business travelers who require a printed invoice, will also be charged the additional 18% regardless of the length of their stay in Peru. This fee is not automatically calculated in the total costs for the reservation.",,Free self parking Room service 24-hour front desk Terrace Laundry facilities Breakfast service Ironing service Bridal suite Internet access Safe-deposit box at front desk Currency exchange Hot tub/jacuzzi Tour desk Luggage storage Free WiFi Free WiFi Non-smoking throughout Concierge services Private check-in/check-out Daily housekeeping Private parking,-13.63681|-72.88011,,03001,https://www.booking.com/hotel/pe/hostal-abmale.html
PE,Peru,104693,Abancay (Region Apurímac),1873078,Lucila Hotel,All,Avenida Chile 270 Abancay ,,"Situated in Abancay, Lucila Hotel offers a shared lounge. All rooms feature a flat-screen TV with cable channels and a private bathroom. The property provides a 24-hour front desk.

At the hotel, all rooms are fitted with a wardrobe.",,Free self parking 24-hour front desk Family rooms Bridal suite Internet access Currency exchange Hot tub/jacuzzi Free WiFi Free WiFi Non-smoking throughout Area shuttle (surcharge) Vending machine - Snacks & Drink Television in common areas Parking onsite Private parking,-13.63559|-72.88747,,,https://www.booking.com/hotel/pe/lucila.html
