countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
KH,Cambodia,102197,Banlung,1166458,Terres Rouges Lodge,ThreeStar,Boeung Kansaign Banlung Phnom Yaklom BanlungRatanakiri Province ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ban Lung Market - 1.7 km / 1.1 mi <br /> Eisan Ratanaram Pagoda - 2.9 km / 1.8 mi <br /> Yeak Laom Lake - 5.6 km / 3.4 mi <br /> Boeng Yeak Lom - 7.1 km / 4.4 mi <br /> </p>,"<p>HeadLine : Near Ban Lung Market</p><p>Location : Located in Ban Lung, Terres Rouges Lodge is in a national park, within a 5-minute drive of Ban Lung Market and Eisan Ratanaram Pagoda.  This hotel is 3.4 mi (5.6 km) from Yeak Laom Lake and 4.4 mi (7.1 km) from Boeng Yeak Lom.</p><p>Rooms : Make yourself at home in one of the 26 air-conditioned rooms featuring refrigerators and LCD televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and slippers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",855-12-660902,Dry cleaning/laundry service Food and water bowls Meeting rooms Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 Hiking/biking trails on site Garden Wheelchair accessible parking Tours/ticket assistance Airport transportation (surcharge) Luggage storage 24-hour front desk Library Barbecue grill(s) Spa services on site Safe-deposit box at front desk Coffee/tea in common areas Snack bar/deli Concierge services Bicycle rentals on site Pool sun loungers Terrace Free valet parking Free self parking Laundry facilities,13.74936|106.98534,855-78-739437,16452,http://www.ratanakiri-lodge.com
KH,Cambodia,102197,Banlung,1425637,SN Hotel,ThreeStar,Village 7 Labanseak Banlung Rattanakiri Labanseak Banlung RattanakiriBanlungRatanakiri ,,"Located in Beung Kam San, SN Hotel is a perfect starting point from which to explore Banlung. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. 24-hour room service, free Wi-Fi in all rooms, Wi-Fi in public areas, valet parking, car park are just some of the facilities on offer. Some of the well-appointed guestrooms feature internet access  wireless, internet access  wireless (complimentary), non smoking rooms, air conditioning, heating. The hotel offers various recreational opportunities. Discover all Banlung has to offer by making SN Hotel your base.",,24-hour room service Bar bicycle rental car park coffee shop designated smoking area family room free Wi-Fi in all rooms Laundry service Restaurant Room service tours Valet parking Wi-Fi in public areas,13.75385|106.98727,855 75 974 166,,
KH,Cambodia,102197,Banlung,1573709,Ratanak City Hotel,All,Labansek Commune BanlungRatanakiri Province ,,"Stop at Ratanak City Hotel to discover the wonders of Banlung. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. Facilities like free Wi-Fi in all rooms, 24-hour security, convenience store, daily housekeeping, taxi service are readily available for you to enjoy. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as television LCD/plasma screen, mirror, slippers, towels, internet access  wireless. Access to the hotel's outdoor pool, massage, pool (kids), garden will further enhance your satisfying stay. Ratanak City Hotel is an excellent choice from which to explore Banlung or to simply relax and rejuvenate.",,24-hour check-in 24-hour front desk 24-hour room service 24-hour security bicycle rental Car hire car park car park free of charge car park onsite coffee shop concierge convenience store Currency exchange Daily housekeeping doorman elevator family room free Wi-Fi in all rooms Laundry service Restaurant Room service salon shared lounge/TV area Smoking area taxi service tours Wheelchair accessible Wi-Fi in public areas,13.74205|106.98877,,,
KH,Cambodia,102197,Banlung,1573997,Yeak Loam Hotel,ThreeStar,No.1 167 Street 29 Ou Kan Saeng Village Boeung Kan Saeng Commune Boeung Kansaeng Kansaeng CommuneBanlung ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ban Lung Market - 0.7 km / 0.4 mi <br /> Eisan Ratanaram Pagoda - 1.8 km / 1.1 mi <br /> Yeak Laom Lake - 4.5 km / 2.8 mi <br /> Boeng Yeak Lom - 6.1 km / 3.8 mi <br /> </p><p>The nearest major airport is Phnom Penh Intl. Airport (PNH) - 493.3 km / 306.5 mi</p>,"<p>HeadLine : Near Ban Lung Market</p><p>Location : Located in Ban Lung, Yeak Loam Hotel is within a 5-minute drive of Ban Lung Market and Eisan Ratanaram Pagoda.  This hotel is 2.8 mi (4.5 km) from Yeak Laom Lake and 3.8 mi (6.1 km) from Boeng Yeak Lom.</p><p>Rooms : Make yourself at home in one of the 70 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Grab a bite at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",855-75-974975,Dry cleaning/laundry service Luggage storage Business center Number of meeting rooms - 1 24-hour front desk Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden Safe-deposit box at front desk In-room accessibility (in select rooms) Wheelchair accessible parking Snack bar/deli Laundry facilities Tours/ticket assistance Free self parking Terrace Concierge services Rooftop terrace,13.740783|106.989235,855-16-974975,,
KH,Cambodia,102197,Banlung,1574033,Ratanakiri Boutique Hotel,ThreeStar,Boeung Kan Seng Banlung City Ratanakiri Province Kingdom Of Cambodia Ratanakiri ProvinceBanlung ,,"The location is opposite of Kanseng Lake where you can see the beautiful sunrise and sunset. Set within 6 km of Yeak Laom Lake, Ratanakiri- Boutique Hotel in Banlung features a number of amenities including an outdoor swimming pool. Featuring a garden, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is 10 km from Cha Ong Waterfall.

The units in the hotel are equipped with a flat-screen TV. Ratanakiri- Boutique Hotel features certain units that include a balcony, and rooms are fitted with a kettle. All guest rooms feature a desk.

A continental breakfast is available each morning at the accommodation. At Ratanakiri- Boutique Hotel you will find a restaurant serving Asian cuisine. A vegetarian option can also be requested.

The hotel offers a terrace.

Speaking English and Khmer, staff are willing to help at any time of the day at the reception.

7 Steps Waterfall is 25 km from Ratanakiri- Boutique Hotel.",,Free self parking Restaurant Room service Meeting rooms Bar/lounge 24-hour front desk Garden Terrace Non-smoking rooms Laundry facilities Family rooms VIP room facilities Breakfast service Ironing service Bridal suite Internet access Elevator/lift Express check-in Safe-deposit box at front desk Massage Gift shops or newsstand Business services Hiking Packed lunches Car hire Luggage storage Shopping on site Free WiFi Outdoor pool Free WiFi Air conditioning Snack bar/deli Terrace Concierge services Private check-in/check-out Area shuttle (surcharge) Special diet menus (on request) Daily housekeeping Grocery/convenience store Parking onsite Private parking,13.74755|106.98221,85570565750,16452,https://www.booking.com/hotel/kh/ratanakiri-boutique.html
KH,Cambodia,102197,Banlung,1671092,Ratanak Resort,ThreeStar,"Sangkat Yeaklom, Banlung Sangkat YeaklomBanlung Town 16453Ratanakiri ",,"Outdoor Pool is surrounding by tropical tree & flowers, you can see the beautiful sunrise and sunset. There is separate house: in a house has two bedroom & two bathroom. Each room has private balcony where you can see beautiful garden. Featuring an outdoor pool and free WiFi throughout, Ratanak Resort offers accommodation with air conditioning in Ratanakiri. The property is surrounded by a tropical garden in the hills of Banlung.

Featuring a balcony, the bungalows include an electric kettle, flat-screen TV, and private bathroom with free toiletries and slippers. The rooms are finely decorated and have wood floors.

The on-site restaurant serves Khmer and Western cuisine. Situated on two levels, it offers panoramic views of the surrounding countryside. There is also a bar and small library.

Ratanak Resort  is a 5-minute drive from Yeak Laom Lake and waterfalls. Ratanakiri Airport is 3.5 km away.",,Free self parking Restaurant Room service Bar/lounge 24-hour front desk Garden Terrace Non-smoking rooms Business center Laundry facilities Ironing service Internet access Safe-deposit box at front desk Library Tour desk Tours/ticket assistance Luggage storage Free WiFi Outdoor pool Free WiFi Air conditioning Terrace Area shuttle (surcharge) Parking onsite Private parking,13.74687|107.01862,85592244114,16453,https://www.booking.com/hotel/kh/ratanak-resort-ratanakiri.html
KH,Cambodia,102197,Banlung,1749978,Ratanak Phnom Svay Hotel,TwoStar,National Road No: 78 Phum 3 Sangkat Labanseak Phum 3S/k LabanseakBanlung ,,"Ratanak Phnom Svay Hotel is a popular choice amongst travelers in Banlung, whether exploring or just passing through. The hotel has everything you need for a comfortable stay. All the necessary facilities, including free Wi-Fi in all rooms, Wi-Fi in public areas, car park, family room, laundry service, are at hand. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like air conditioning, wake-up service, desk, television, satellite/cable TV. Entertain the hotel's recreational facilities, including massage, steamroom. A welcoming atmosphere and excellent service are what you can expect during your stay at Ratanak Phnom Svay Hotel.",,car park designated smoking area elevator family room free Wi-Fi in all rooms Laundry service safety deposit boxes Wi-Fi in public areas,13.73732|106.98092,85512771822,,
KH,Cambodia,102197,Banlung,1767923,Ratanakiri Paradise Hotel & SPA,All,Loun Village Yeak Laom Krong Banlung 3 Km On Road From Yeak Laom Lake To Ou'sean Lair Waterfall Yeak LaomKrong3 km On Road From Yeak Laom Lake To Ousean Lair Waterfall ,,"Situated in Banlung amidst tropical greenery, Ratanakiri Paradise Hotel & Restaurant features environmentally-friendly accommodation in the Ratanakiri Province. It features an infinity pool, a garden and a spa centre. Guests can enjoy meals at the in-house restaurant or have a drink at the bar. Free WiFi is available in the restaurant.

Located between the lake and the waterfalls, Yeak Laom Lake is 3 km from the property, while Kachanh Waterfall and Katieng Waterfall are 8 km and 11 km away respectively. The 7 Steps Waterfall (OuSean Lair) is 15.6 km from the property.

Every room is equipped with AC and minibar. Certain units feature a seating area for your convenience. Enjoy a cup of tea from your terrace or balcony. Every room comes with a private bathroom. For your comfort, you will find bathrobes and free toiletries.

You will find a gift shop at the property. Shuttle services can be arranged at an additional charge.

Free use of bicycles, car hire and motorbike rental are available at this hotel and the area is popular for cycling and hiking. Please inform Ratanakiri Paradise Hotel & Restaurant in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Happy hour Tour or class about local culture Cooking class Pool with view Salt-water pool Shallow end Wine/champagne Fruits airport pick up airport drop off Pet bowls coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Outdoor fireplace Spa Facilities Spa lounge/relaxation area Spa/wellness packages Back massage Neck massage Foot massage Head massage Hand massage Full body massage Yoga classes Swimming pool Shuttle service temporary art galleries Walking tours Bike tours Themed dinner nights process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered 24-hour security Key access Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas Terrace Non-smoking rooms Airport shuttle Fishing Business centre Laundry Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box thermometers for guests provided by property face masks for guests available Currency exchange Spa and wellness centre Massage Billiards Karaoke Darts Hot tub/jacuzzi Hiking Chapel/shrine BBQ facilities Packed lunches Car hire Cycling Tour desk Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (all year) concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) water sport facilities on site airport shuttle (additional charge) Lockers Daily housekeeping parking on site Private parking Open-air bath Swimming pool toys board games/puzzles Kid meals Kid-friendly buffet secured parking Public transport tickets Accessible parking Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar Garden,13.71166|107.0379,,16 453,https://www.booking.com/hotel/kh/ratanakiri-paradise-amp-spa.html
KH,Cambodia,102197,Banlung,1892182,Prak Dara Guest House,TwoStar,Village 5 Labanseak LabaneakRatanakiriBanlung ,,"Set in Banlung, within 6 km of Yeak Laom Lake and 10 km of Cha Ong Waterfall, Prak Dara Guest House offers accommodation with a garden and free WiFi. Featuring a terrace, the property is located within 24 km of 7 Steps Waterfall. The property features a 24-hour front desk.

At the guest house, every room has a desk, a flat-screen TV and a private bathroom.

Cycling is among the activities that guests can enjoy near Prak Dara Guest House.",,Free self parking 24-hour front desk Free newspapers in lobby Garden Terrace Fishing Laundry facilities Internet access Express check-in Free valet parking Massage Bicycle rental (additional charge) Hiking Car hire Cycling Tours/ticket assistance Luggage storage Free WiFi Free WiFi Air conditioning Snack bar/deli Private check-in/check-out Television in common areas Adult only Daily housekeeping Parking onsite,13.74748|106.98234,855979988801,,https://www.booking.com/hotel/kh/prak-dara-guest-house.html
KH,Cambodia,102197,Banlung,1892184,Thy Ath Lodge,TwoStar,Phum 5 Sangkat La Bansiek Sangkat La BansiekBeung Kan SengBanlung ,,"Located in Beung Kan Seng, Thy Ath Lodge is a perfect starting point from which to explore Banlung. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Take advantage of the hotel's free Wi-Fi in all rooms, Wi-Fi in public areas, car park, tours, laundry service. Television LCD/plasma screen, internet access  wireless, internet access  wireless (complimentary), non smoking rooms, air conditioning can be found in selected guestrooms. The hotel offers various recreational opportunities. For reliable service and professional staff, Thy Ath Lodge caters to your needs.",,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences access getting around available in all rooms,13.7474718093872|106.982521057129,85517386396,,https://www.agoda.com/partners/partnersearch.aspx?hid=335843
