countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
RU,Russian Federation,100009,Abakan,1046551,Abakan Hotel,FourStar,Prospekt Lenina 59 Abakan 655017 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Minusinsk Museum of Local Lore - 0.2 km / 0.1 mi <br /> Khakassian Lermontov Drama Theatre - 0.5 km / 0.3 mi <br /> Totem Stone - 0.8 km / 0.5 mi <br /> Khakassian National Puppet Theatre - 0.8 km / 0.5 mi <br /> Khakassian Museum of Local Lore - 1.2 km / 0.7 mi <br /> Topiary Art Park - 2.8 km / 1.7 mi <br /> Yenisei - 4.3 km / 2.7 mi <br /> Minusinsk Drama Theater - 24.4 km / 15.2 mi <br /> </p><p>The preferred airport for Abakan is Abakan (ABA-Abakan Intl.) - 5.2 km / 3.2 mi </p>,"<p>HeadLine : Near Minusinsk Museum of Local Lore</p><p>Location : With a stay at Abakan, you ll be centrally located in Abakan, within a 10-minute walk of Khakassian Lermontov Drama Theatre and Khakassian National Puppet Theatre.  This 4-star hotel is 0.8 mi (1.3 km) from Khakassian Museum of Local Lore and 1.7 mi (2.8 km) from Topiary Art Park.</p><p>Rooms : Make yourself at home in one of the 36 air-conditioned rooms featuring refrigerators and Smart televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Enjoy Italian cuisine at Mama Roma, a restaurant which features a bar/lounge, or stay in and take advantage of the 24-hour room service. A complimentary buffet breakfast is served daily from 7 AM to 11 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport and train station (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. If you are planning to arrive after 2:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",7-3902-223025,Daily Safe-deposit box at front desk Smoke-free property Coffee/tea in common areas Snack bar/deli Gift shops or newsstand Dry cleaning/laundry service Covered parking Train station pickup (surcharge) Uncovered parking Parking (limited spaces) Express check-in Conference space size (meters) - 200 Free WiFi Train station drop-off (surcharge) Number of bars/lounges - 1 Tours/ticket assistance Fireplace in lobby Free Buffet Breakfast Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Free breakfast Express check-out Porter/bellhop Multilingual staff Business center 24-hour front desk Laundry facilities Free self parking Fitness facilities Conference space Computer station Terrace ATM/banking Conference space size (feet) - 2153 Concierge services,53.72218|91.44683,7-3902-223025,655017,http://www.abakan-hotel.ru/
RU,Russian Federation,100009,Abakan,1174056,Hotel Druzhba,ThreeStar,Druzhby Narodov Prospekt 2B Abakan 655016Khakassia ,,"Located 500 metres from the city centre of Abakan, Hotel Druzhba features a sauna, an indoor swimming pool, free Wi-Fi, and an on-site restaurant serving Russian and Asian cuisine.

Rooms at Druzhba Hotel offer air conditioning, a refrigerator, a balcony, and a private bathroom with shower.

Other hotel facilities include a bar, a 24-hour front desk, laundry services, and meeting facilities. A number of restaurants can be found within 300 metres of the property.

The Kraevedcheskii Museum is 2 km from the hotel, and Park Topiarnogo Isskussta is 500 metres away. Hotel Druzhba is 3 km from Abakan Train Station. Please let the property know your expected arrival time in advance. You can use the Special Requests box when booking or contact the property.

Please note that this hotel does not provide visa support.

Please note that the hotel will contact you directly regarding the prepayment of your reservation. Prepayment should be made within 5 days after booking. The hotel reserves the right to cancel your reservation in case the deposit has not been transferred.",+73902358455,face masks for guests available Parking Restaurant Pets allowed meeting/banquet facilities Bar 24-hour front desk Sauna Airport shuttle Laundry Family rooms Ironing service internet services lift express check-in/check-out Massage Packed lunches Tour desk Heating Fax/photocopying wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site Private check-in/check-out shuttle service (additional charge) vending machine (drinks) airport shuttle (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas 24-hour security Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property,53.73519|91.44029,+7 390 2358100,655016,https://www.booking.com/hotel/ru/druzhba.html
RU,Russian Federation,100009,Abakan,1368768,Siberia,TwoStar,"prospect Drizhby Narodov, 9 Abakan ",,"A 15-minute drive to Abakan Airport, Hotel Sibir offers comfortable rooms with free Wi-Fi. It has a summer terrace and free private parking.

The modern rooms feature a seating area and cable TV. The private bathrooms come with a bath, hairdryer and free toiletries. Some rooms have a balcony and are air conditioned.

The restaurant at Sibir Hotel serves Russian cuisine and continental breakfast. Cafes and bars are a 5-minute walk away. The hotel has a shared lounge area.

The nearest bus stop is a 2-minute walk from the hotel. Abakan Train Station is 3 km away.",,Hotel American Express MasterCard Visa Maestro Visa Electrón Bathroom Hairdryer Slippers Make-up mirror Towel menu Direct dial telephone TV 220V power supply Kitchenette Fridge Centrally regulated air conditioning Balcony Wake-up service Car hire Lift access Newspapers Non-smoking area,53.738858099999987|91.4313416,,655016,http://www.hotelsiberia.ru/
RU,Russian Federation,100009,Abakan,1368906,Chalpan,ThreeStar,Schorsa Street 5B Abakan 655017 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Totem Stone - 1.2 km / 0.8 mi <br /> Minusinsk Museum of Local Lore - 1.7 km / 1.1 mi <br /> Khakassian Lermontov Drama Theatre - 1.9 km / 1.2 mi <br /> Khakassian National Puppet Theatre - 2.3 km / 1.4 mi <br /> Khakassian Museum of Local Lore - 2.5 km / 1.6 mi <br /> Yenisei - 3.4 km / 2.1 mi <br /> Topiary Art Park - 4 km / 2.5 mi <br /> Minusinsk Drama Theater - 22.9 km / 14.2 mi <br /> </p><p>The preferred airport for Chalpan is Abakan (ABA-Abakan Intl.) - 7.1 km / 4.4 mi </p>,"<p>HeadLine : Near Totem Stone</p><p>Location : With a stay at Chalpan in Abakan, you ll be within a 5-minute drive of Totem Stone and Khakassian Lermontov Drama Theatre.  This hotel is 1.1 mi (1.7 km) from Minusinsk Museum of Local Lore and 1.7 mi (2.7 km) from Khakassian National Puppet Theatre.</p><p>Rooms : Make yourself at home in one of the 32 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 7:00 AM to 11:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",7-3902-215302,Well-lit path to entrance Number of indoor pools - 1 Upper floors accessible by stairs only Wheelchair accessible parking Free newspapers in lobby Tours/ticket assistance Airport transportation (surcharge) Dry cleaning/laundry service secured parking Uncovered parking Wheelchair accessible (may have limitations) Number of meeting rooms - 1 Wheelchair-accessible registration desk 24-hour pool access Free WiFi Number of bars/lounges - 1 Designated smoking areas Luggage storage Wheelchair-accessible on-site restaurant 24-hour front desk Conference center Breakfast available (surcharge) Library Safe-deposit box at front desk Number of coffee shops/cafes - 1 Laundry facilities Sauna Steam room Free self parking Fitness facilities Concierge services,53.72429|91.46783,7-923-5942318,655012,http://www.chalpan.ru/
RU,Russian Federation,100009,Abakan,1368973,Hotel Anzas,ThreeStar,Vokzalnaya Ulitsa 7A Abakan 655017Respublika Khakasiya ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Khakassian Museum of Local Lore - 0.5 km / 0.3 mi <br /> Khakassian Lermontov Drama Theatre - 0.5 km / 0.3 mi <br /> Khakassian National Puppet Theatre - 0.6 km / 0.4 mi <br /> Minusinsk Museum of Local Lore - 0.8 km / 0.5 mi <br /> Totem Stone - 1.3 km / 0.8 mi <br /> Topiary Art Park - 3.3 km / 2 mi <br /> Yenisei - 5.3 km / 3.3 mi <br /> Minusinsk Drama Theater - 24.1 km / 15 mi <br /> </p><p>The preferred airport for Anzas is Abakan (ABA-Abakan Intl.) - 7.2 km / 4.4 mi </p>,"<p>HeadLine : Near Khakassian National Puppet Theatre</p><p>Location : With a stay at Anzas in Abakan, you ll be within a 10-minute walk of Khakassian Museum of Local Lore and Khakassian Lermontov Drama Theatre.  This hotel is 0.4 mi (0.6 km) from Khakassian National Puppet Theatre and 0.5 mi (0.8 km) from Minusinsk Museum of Local Lore.</p><p>Rooms : Make yourself at home in one of the 35 air-conditioned rooms featuring minibars and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and slippers. Conveniences include phones, as well as safes and complimentary newspapers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Continental breakfasts are available daily from 7:00 AM to noon for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",7-3902-226364,Dry cleaning/laundry service Uncovered parking Meeting rooms Number of meeting rooms - 1 Laundry facilities Free WiFi Sauna Steam room Number of bars/lounges - 1 Number of indoor pools - 1 Upper floors accessible by stairs only Free newspapers in lobby Tours/ticket assistance Airport transportation (surcharge) Wheelchair accessible  no Luggage storage Business center 24-hour front desk Breakfast available (surcharge) Library Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Free self parking Concierge services,53.71601|91.44521,7-923-5942318,655017,http://www.anzas.ru
RU,Russian Federation,100009,Abakan,1376363,Khakasia Hotel,ThreeStar,Lenin Avenue 88 Abakan 655017 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Minusinsk Museum of Local Lore - 0.1 km / 0.1 mi <br /> Khakassian Lermontov Drama Theatre - 0.4 km / 0.2 mi <br /> Totem Stone - 0.6 km / 0.4 mi <br /> Khakassian National Puppet Theatre - 0.7 km / 0.4 mi <br /> Khakassian Museum of Local Lore - 1.1 km / 0.7 mi <br /> Topiary Art Park - 2.4 km / 1.5 mi <br /> Yenisei - 4.3 km / 2.7 mi <br /> Minusinsk Drama Theater - 24.5 km / 15.2 mi <br /> </p><p>The preferred airport for Khakasia Hotel is Abakan (ABA-Abakan Intl.) - 4.8 km / 3 mi </p>,"<p>HeadLine : Near Minusinsk Museum of Local Lore</p><p>Location : With a stay at Khakasia Hotel in Abakan, you ll be within a 5-minute walk of Minusinsk Museum of Local Lore and Khakassian Lermontov Drama Theatre.  This hotel is 0.4 mi (0.7 km) from Khakassian National Puppet Theatre and 0.6 mi (0.9 km) from Totem Stone.</p><p>Rooms : Make yourself at home in one of the 70 air-conditioned rooms featuring refrigerators. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",7-3902-223703,Dry cleaning/laundry service Airport transportation (surcharge) Luggage storage Business center Meeting rooms 24-hour front desk Conference center Breakfast available (surcharge) Free WiFi Number of bars/lounges - 1 Safe-deposit box at front desk Smoke-free property Laundry facilities Tours/ticket assistance Free self parking Terrace Wheelchair accessible path of travel,53.722732|91.443548,7-3902-223703,655017,http://www.hotel-khakasia.ru/
RU,Russian Federation,100009,Abakan,1409220,Hotel Sever,TwoStar,Askizskaya Street 248 Abakan 655150 ,,"A 10-minute drive to the centre of Abakan, Hotel Sever offers comfortable rooms with free Wi-Fi. Free private parking is available.

The simply furnished rooms are decorated in warm tones. The private bathrooms come with a shower, hairdryer and free toiletries.

The restaurant at Sever Hotel serves Russian and international cuisine. Abakan Train Station is 9.5 km away, while Abakan International Airport is 9 km away. Please inform Hotel Sever in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that this property does not provide a visa support.

Please note that the hotel will contact you directly regarding the prepayment of your reservation. Prepayment should be made within 5 days after booking. The hotel reserves the right to cancel your reservation in case the deposit has not been transferred.",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Non-smoking rooms Laundry Family rooms Bridal suite Free parking internet services express check-in/check-out gift shop Heating Fax/photocopying shops (on site) wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Private check-in/check-out shuttle service (additional charge) Daily housekeeping On-site parking Private parking wifi available in all areas Street parking,53.67885|91.36632,+73902262762,655017,https://www.booking.com/hotel/ru/sever.html
RU,Russian Federation,100009,Abakan,1410659,Hotel Persona,ThreeStar,Sovetskaya Street 33 Abakan 655017 ,,"Offering simply decorated accommodation with free WiFi, Hotel Persona is located in Abakan. This property has an on-site à la carte restaurant, a bar and a 24-hour reception

Each heated room comes with a kettle, minibar and fridge. The private bathroom features a bathrobe, slippers, hairdryer and free toiletries. Some rooms also offer air conditioning, a flat-screen TV or city views.

A continental breakfast is served daily at Hotel Persona.

Abakan Airport is 7 km from Hotel Persona and an airport shuttle service is available for a surcharge.",3902240088,Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Non-smoking rooms Airport shuttle Laundry Family rooms breakfast in the room Ironing service internet services Tour desk Heating Fax/photocopying wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping wifi available in all areas,53.72132|91.45347,(7) 83902240088,655017,https://www.booking.com/hotel/ru/persona-abakan.html
RU,Russian Federation,100009,Abakan,1429291,Hotel Asia,FourStar,Ulitsa Kirova 114 Abakan 655017 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Minusinsk Museum of Local Lore - 1 km / 0.6 mi <br /> Khakassian National Puppet Theatre - 1.2 km / 0.7 mi <br /> Khakassian Lermontov Drama Theatre - 1.3 km / 0.8 mi <br /> Totem Stone - 1.5 km / 0.9 mi <br /> Khakassian Museum of Local Lore - 1.5 km / 0.9 mi <br /> Topiary Art Park - 2.1 km / 1.3 mi <br /> Minusinsk Drama Theater - 25.4 km / 15.8 mi <br /> Yenisei - 45.5 km / 28.3 mi <br /> </p><p>The preferred airport for Business-Hotel Asia is Abakan (ABA-Abakan Intl.) - 5.5 km / 3.4 mi </p>,"<p>HeadLine : Near Minusinsk Museum of Local Lore</p><p>Location : A stay at Business-Hotel Asia places you in the heart of Abakan, within a 15-minute walk of Minusinsk Museum of Local Lore and Khakassian National Puppet Theatre.  This 4-star hotel is 0.8 mi (1.3 km) from Khakassian Lermontov Drama Theatre and 0.9 mi (1.5 km) from Totem Stone.</p><p>Rooms : Make yourself at home in one of the 116 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy Eastern European cuisine at Food Bar 114, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",7-390-2215777,Gift shops or newsstand Dry cleaning/laundry service Long-term parking (surcharge) Wheelchair accessible (may have limitations) Free parking nearby Babysitting or childcare (surcharge) Express check-in Wheelchair-accessible path to elevator Conference space size (meters) - 105 Television in common areas Free WiFi Number of bars/lounges - 1 In-room accessibility (in select rooms) Roll-in shower (in select rooms) Full-service spa Wedding services Tours/ticket assistance Accessible bathroom (in select rooms) Free Buffet Breakfast Airport transportation (surcharge) Luggage storage Free breakfast Multilingual staff Business center 24-hour front desk Conference center Daily Safe-deposit box at front desk Ecotours nearby Snack bar/deli Laundry facilities Sauna Steam room elevator Free self parking Fitness facilities Conference space Offsite parking reservations required Conference space size (feet) - 1130 Concierge services 24-hour business center,53.726867|91.435901,7-390-2215777,655017,
RU,Russian Federation,100009,Abakan,1493004,Asia Business-Hotel,FourStar,Kirova street 114/1 Abakan 655017 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Minusinsk Museum of Local Lore - 1 km / 0.6 mi <br /> Khakassian National Puppet Theatre - 1.2 km / 0.7 mi <br /> Khakassian Lermontov Drama Theatre - 1.3 km / 0.8 mi <br /> Khakassian Museum of Local Lore - 1.5 km / 0.9 mi <br /> Topiary Art Park - 2.1 km / 1.3 mi <br /> Minusinsk Drama Theater - 38.1 km / 23.7 mi <br /> </p><p>The preferred airport for Business-Hotel Asia is Abakan (ABA-Abakan Intl.) - 5.5 km / 3.4 mi </p>,"<p>HeadLine : Near Minusinsk Museum of Local Lore</p><p>Location : A stay at Business-Hotel Asia places you in the heart of Abakan, within a 15-minute walk of Minusinsk Museum of Local Lore and Khakassian National Puppet Theatre.  This 4-star hotel is 0.8 mi (1.3 km) from Khakassian Lermontov Drama Theatre and 1.1 mi (1.7 km) from Khakassian Museum of Local Lore.</p><p>Rooms : Make yourself at home in one of the 116 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy Eastern European cuisine at Food Bar 114, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",7-390-2215777,Express check-in Daily elevator Fitness facilities Number of bars/lounges - 1 Airport transportation (surcharge) Full-service spa 24-hour front desk Conference space Wheelchair-accessible path to elevator Multilingual staff Free breakfast Business center Tours/ticket assistance Free self parking Dry cleaning/laundry service Steam room Free WiFi Sauna Babysitting or childcare (surcharge) Safe-deposit box at front desk Conference space size (meters) - 105 Luggage storage Long-term parking (surcharge) Free parking nearby Free Buffet Breakfast Offsite parking reservations required 24-hour business center Concierge services Conference space size (feet) - 1130 Gift shops or newsstand Conference center Snack bar/deli Wheelchair accessible (may have limitations) Laundry facilities Television in common areas Accessible bathroom Roll-in shower Wedding services In-room accessibility,53.726867|91.435901,+73902215777,655017,http://asia-hotel.ru
