countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
IN,India,105141,Abu Road,1416145,Hotel Bhagwati,ThreeStar,Mount Road Talhati307026 Abu RoadRajasthan ,,"Ideally located in the prime touristic area of Abu Road, Hotel Bhagwati International promises a relaxing and wonderful visit. The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. To be found at the hotel are 24-hour room service, free Wi-Fi in all rooms, daily housekeeping, taxi service, ticket service. Some of the well-appointed guestrooms feature towels, mirror, internet access  wireless, internet access  wireless (complimentary), air conditioning. The hotel offers various recreational opportunities. Hotel Bhagwati International combines warm hospitality with a lovely ambiance to make your stay in Mount Abu unforgettable.",,available in all rooms getting around for the kids services and conveniences dining  drinking  and snacking things to do  ways to relax Internet access languages spoken,24.46923673216729|72.76929729614255,+912974228274,307026,http://www.hotelbhagwati.org
IN,India,105141,Abu Road,1505601,Hotel Royal Heritage,TwoStar,Near Arbud School Abu Road 307026Rajasthan ,,"Set in a prime location of Mount Abu, Hotel Royal Heritage puts everything the city has to offer just outside your doorstep. The hotel has everything you need for a comfortable stay. Service-minded staff will welcome and guide you at the Hotel Royal Heritage. All rooms are designed and decorated to make guests feel right at home, and some rooms come with television LCD/plasma screen, air conditioning, telephone, fan, television. The hotel offers various recreational opportunities. A welcoming atmosphere and excellent service are what you can expect during your stay at Hotel Royal Heritage.",+912974221199,available in all rooms languages spoken accessibility Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences for the kids access getting around,24.4786369881006|72.7805074454227,+919166889966|+919928370538,307026,http://www.royalheritageabu.com
IN,India,105141,Abu Road,1512652,Hotel Bhumi,TwoStar,"Mount Road Opposite Sai Baba Mandir Abu Road Opposite Sai Temple, Saibaba ColonyAbu Road 307026 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Jessore Sloth Bear Sanctuary - 21 km / 13 mi <br /> Shri Arasuri Ambaji Mata Devasthan - 24.4 km / 15.2 mi <br /> Cottage Hospital - 24.9 km / 15.5 mi <br /> Mount Abu Polo Ground - 25 km / 15.6 mi <br /> Bheru Tarak Dham Jain Temple - 25.2 km / 15.7 mi <br /> Brahma Kumaris Museum - 25.5 km / 15.8 mi <br /> Shankar Math - 25.6 km / 15.9 mi <br /> Nakki Lake - 25.7 km / 16 mi <br /> Shree Ambaji Arts College - 25.8 km / 16 mi <br /> Trevors Tank - 25.9 km / 16.1 mi <br /> Brahma Kumaris Spiritual University & Museum - 26.6 km / 16.5 mi <br /> Luna Vasahi Temple - 27.1 km / 16.9 mi <br /> Dilwara Temples - 27.2 km / 16.9 mi <br /> Universal Peace Hall - 27.4 km / 17 mi <br /> Shri Raghunathji Temple - 27.5 km / 17.1 mi <br /> </p><p>The preferred airport for OYO 2222 Hotel Bhumi is Udaipur (UDR-Dabok) - 161.6 km / 100.4 mi </p>,"<p>HeadLine : In Abu Road</p><p>Location : With a stay at OYO 2222 Hotel Bhumi in Abu Road, you ll be 16 mi (25.7 km) from Nakki Lake and 13 mi (21 km) from Jessore Sloth Bear Sanctuary.  This hotel is 15.2 mi (24.4 km) from Shri Arasuri Ambaji Mata Devasthan and 15.5 mi (24.9 km) from Cottage Hospital.</p><p>Rooms : Make yourself at home in one of the air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with bathtubs or showers are provided.</p><p>Dining : Take advantage of the hotel s room service (during limited hours). A complimentary continental breakfast is served daily from 8:30 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property s policy is to accept bookings only from citizens or residents of India. Front desk staff will greet guests on arrival.  To register at this property, guests who are Indian citizens must provide a valid photo identity card issued by the Government of India. PAN cards are not accepted. Travelers who are not citizens of India must present a valid passport and visa.</p>",,Daily Smoke-free property Ballroom Free newspapers in lobby elevator Free breakfast Free self parking Conference space 24-hour front desk Free continental breakfast Free WiFi,24.49442|72.793,91-93-13931393,307026,http://www.hotelbhumi.com
IN,India,105141,Abu Road,1524275,Hotel Chandrawati Palace,ThreeStar,Sp 2H Ambaji Industrial Areapalanpur Highway Aboroad Dist. Sirohi Rajasthan..307026 Ambaji Industrial AreaAbu Road 307501Rajasthan ,,"Hotel Chandrawati Palace has a garden, shared lounge, a restaurant and bar in Abu Road. This 3-star hotel offers room service and a concierge service. Some units at the property feature a patio with a mountain view.

Complete with a private bathroom fitted with a bidet and free toiletries, all guest rooms at the hotel have a flat-screen TV and air conditioning, and some rooms also offer a balcony. At Hotel Chandrawati Palace all rooms are fitted with bed linen and towels.

The accommodation offers an Asian or vegetarian breakfast.

Free private parking and a business centre are available, as well as a 24-hour front desk.

The nearest airport is Maharana Pratap Airport, 178 km from Hotel Chandrawati Palace. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.",,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Non-smoking rooms Business centre Laundry dry cleaning breakfast in the room Ironing service Free parking Tour desk Fax/photocopying Luggage storage Air conditioning concierge service Special diet menus (on request) Trouser press shared lounge/TV area Daily housekeeping parking on site Private parking kids' outdoor play equipment secured parking Accessible parking Wine/champagne Fruits Outdoor furniture Picnic area 24-hour security Key access CCTV in common areas Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,24.4596|72.76549,912974226037,307026,https://www.booking.com/hotel/in/chandrawati-palace.html
IN,India,105141,Abu Road,1529822,OYO 3784 Hotel Durga,ThreeStar,Saini Market Outside Gurunanak Colony Abu Road 307026 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Shri Arasuri Ambaji Mata Devasthan - 21.9 km / 13.6 mi <br /> Cottage Hospital - 22.7 km / 14.1 mi <br /> Shankar Math - 28.6 km / 17.8 mi <br /> Mount Abu - 29.5 km / 18.3 mi <br /> Nakki Lake - 30.2 km / 18.7 mi <br /> Dilwara Jain Temples - 30.2 km / 18.8 mi <br /> Dilwara Temples - 30.2 km / 18.8 mi <br /> Luna Vasahi Temple - 30.2 km / 18.8 mi <br /> Shree Ambaji Arts College - 34 km / 21.1 mi <br /> Achalgarh Fort - 36.4 km / 22.6 mi <br /> </p>,"<p>HeadLine : In Abu Road</p><p>Location : With a stay at OYO 3784 Hotel Durga in Abu Road, you ll be 18.7 mi (30.2 km) from Nakki Lake and 13.6 mi (21.9 km) from Shri Arasuri Ambaji Mata Devasthan.  This hotel is 14.1 mi (22.7 km) from Cottage Hospital and 17.8 mi (28.6 km) from Shankar Math.</p><p>Rooms : Make yourself at home in one of the 18 guestrooms. Bathrooms feature showers with rainfall showerheads.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>",,Designated smoking areas,24.481725|72.780791,91-9313931393,307026,http://www.hoteldurgaabu.com
IN,India,105141,Abu Road,1530047,Hotel Kunal,OneStar,Ambaji Road Near Punjab National BankAbu Road 307026 ,,"Hotel Kunal is perfectly located for both business and leisure guests in Mount Abu. Both business travelers and tourists can enjoy the hotel's facilities and services. To be found at the hotel are 24-hour room service, fireplace, taxi service, ticket service, Wi-Fi in public areas. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as television in bathroom, towels, fireplace, additional toilet, separate living room. The hotel offers various recreational opportunities. Discover all Mount Abu has to offer by making Hotel Kunal your base.",,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences for the kids access getting around available in all rooms,24.4825393|72.78376189999994,,307026,https://www.agoda.com/partners/partnersearch.aspx?hid=1160500
IN,India,105141,Abu Road,1531163,Oyo 10499 Hotel Shiv Shakti,ThreeStar,06 Near Forest Office Mount Way Talheti Abu Road Near Forest OfficeTalhetiAbu Road 307026 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Shankar Math - 20.2 km / 12.6 mi <br /> Nakki Lake - 21.3 km / 13.2 mi <br /> Luna Vasahi Temple - 21.7 km / 13.5 mi <br /> Dilwara Jain Temples - 21.8 km / 13.5 mi <br /> Dilwara Temples - 21.8 km / 13.5 mi <br /> Jessore Sloth Bear Sanctuary - 23 km / 14.3 mi <br /> Achalgarh Fort - 28.5 km / 17.7 mi <br /> Shri Arasuri Ambaji Mata Devasthan - 29.8 km / 18.5 mi <br /> Cottage Hospital - 30.2 km / 18.8 mi <br /> Shree Ambaji Arts College - 31.1 km / 19.3 mi <br /> Mount Abu InfraRed Observatory - 34.3 km / 21.3 mi <br /> </p>,"<p>HeadLine : In Abu Road</p><p>Location : With a stay at OYO 10499 Hotel Shiv Shakti in Abu Road, you ll be 13.2 mi (21.3 km) from Nakki Lake and 12.6 mi (20.2 km) from Shankar Math.  This hotel is 13.5 mi (21.7 km) from Luna Vasahi Temple and 13.5 mi (21.8 km) from Dilwara Jain Temples.</p><p>Rooms : Make yourself at home in one of the 15 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have bathtubs or showers and complimentary toiletries.</p><p>Dining : At OYO 10499 Hotel Shiv Shakti, enjoy a satisfying meal at the restaurant. A complimentary continental breakfast is included.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed This property accepts credit cards and cash Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : There is no front desk at this property. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.  To register at this property, guests who are Indian citizens must provide a valid photo identity card issued by the Government of India. PAN cards are not accepted. Guests who are foreign nationals must present a valid passport and visa.</p>",,Laundry facilities Free breakfast Terrace Restaurant Meeting rooms Accessible bathroom Free self parking Free WiFi Smoke-free property Garden 24-hour front desk,24.538179|72.793867,91-93-13931393,307026,http://hotelshivshakti.com
IN,India,105141,Abu Road,1531426,OYO 15650 Tourist Inn,ThreeStar,0 Sadar Bazar Near Bus Stand Mount Rd Sadar Bazar Abu Road Opposite Bus StandAbu Road 307026 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Shri Arasuri Ambaji Mata Devasthan - 23.4 km / 14.5 mi <br /> Cottage Hospital - 23.8 km / 14.8 mi <br /> Shree Ambaji Arts College - 24.7 km / 15.4 mi <br /> Mount Abu - 26.7 km / 16.6 mi <br /> Shankar Math - 26.9 km / 16.7 mi <br /> Nakki Lake - 28 km / 17.4 mi <br /> Luna Vasahi Temple - 28.4 km / 17.7 mi <br /> Dilwara Jain Temples - 28.5 km / 17.7 mi <br /> Dilwara Temples - 28.5 km / 17.7 mi <br /> Achalgarh Fort - 35.2 km / 21.9 mi <br /> </p>,"<p>HeadLine : In Abu Road</p><p>Location : With a stay at OYO 15650 Tourist Inn in Abu Road, you ll be 17.4 mi (28 km) from Nakki Lake and 14.5 mi (23.4 km) from Shri Arasuri Ambaji Mata Devasthan.  This hotel is 14.8 mi (23.8 km) from Cottage Hospital and 15.4 mi (24.7 km) from Shree Ambaji Arts College.</p><p>Rooms : Make yourself at home in one of the 16 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have bathtubs or showers and complimentary toiletries.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>",,Smoke-free property Accessible bathroom Free WiFi,24.484793|72.788062,91-93-13931393,307026,
IN,India,105141,Abu Road,1531489,Hotel Jaydeep,All,Ambaji Road Near Arbud SchoolAbu Road 307026Rajasthan ,,"Hotel Jai Deep is offering accommodation in Abu Road. Boasting room service, this property also provides guests with a restaurant. Guests can make use of a garden.

At the hotel, the rooms include a terrace. Rooms have a private bathroom. At Hotel Jai Deep rooms include air conditioning and a flat-screen TV.",,Free self parking Restaurant Room service Garden Family rooms Air conditioning Parking onsite Private parking,24.4813|72.78534,,307026,https://www.booking.com/hotel/in/jai-deep.html
IN,India,105141,Abu Road,1570295,Hotel Shivalik Abu Road,FourStar,National Highway 14 Abu Road Maruti ComplexAbu Road 307026Rajasthan ,,"Hotel Shivalik Abu Road is perfectly located for both business and leisure guests in Mount Abu. The hotel has everything you need for a comfortable stay. 24-hour room service, taxi service, ticket service, 24-hour front desk, car park are there for guest's enjoyment. All rooms are designed and decorated to make guests feel right at home, and some rooms come with towels, mirror, air conditioning, desk, telephone. The hotel offers various recreational opportunities. Friendly staff, great facilities and close proximity to all that Mount Abu has to offer are three great reasons you should stay at Hotel Shivalik Abu Road.",,languages spoken things to do  ways to relax dining  drinking  and snacking services and conveniences for the kids access getting around available in all rooms,24.472150437226862|72.79266357421875,+912974222515,307026,http://www.hotelshivalikabu.com
