countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SN,Senegal,100437,Abene,1786675,Guesthouse Diabatalo,All,Badala 29 AbeneRegion Casamance ,,"With garden views, Guesthouse Diabatalo is set in Abémé and has free WiFi.

There is also a kitchenette in some of the units equipped with a toaster, a fridge, and a stovetop.

A continental breakfast is available every morning at the bed and breakfast.

Guesthouse Diabatalo offers a terrace.

If you would like to discover the area, snorkelling is possible in the surroundings and the property can arrange a bicycle rental service.",,Free self parking 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Fishing Internet access Express check-in Currency exchange Massage Bicycle rental (additional charge) Business services BBQ facilities Packed lunches Car hire Cycling Tour desk Snorkelling Shopping on site Free WiFi Free WiFi Terrace Nightclub Private check-in/check-out On private beach Evening entertainment Daily housekeeping Parking onsite Private parking Children's books Street parking,12.99513|-16.73604,,40251,https://www.booking.com/hotel/sn/guesthouse-diabatalo.html
SN,Senegal,113356,Cape Skirring,1164894,Le Cap Ocean,TwoStar,ROUTE DE SAVANA CASAMANCE - CAP SKIIRRING ,Museum OpenSky of BOUCOTTE Village: within 4000 metre  CABROUSSE Village: within 5000 metre ,"The hotel is located in the centre of a large tropical park, with a staircase that leads directly to the beach. Public transport is available in the centre of the village of Cap Skirring, which is 1 km away. The main road is also 1 km from the hotel and guests will find restaurants, bars, nightlife venues, shops and a bus station in the village. The open-air museum in the village of Boucotte is 4 km from the hotel, Cabrousse is 5 km away and Ziguinchor is around 7 km away. Cap Skirring airport is approximately 1.5 km from the hotel and Dakar-Yoff-Leopold Sedar Senghor International airport is roughly 450 km away.

This apartment hotel overlooking the sea welcomes its guests in lush, tropical grounds which are both private and secure, and cover a total of 1.5 hectares. Renovated in 2010, the charming, 10-room beach hotel is designed in a traditional Senegalese style with roofs made of straw. Its panoramic views over the sea and private beach will provide guests with a unique atmosphere. It offers bike rental and private free parking, as well as a lobby and room service.

The rooms are spacious, quiet and air-conditioned. Each is en suite with a shower and has a private terrace with sea views. Internet access also features in all rooms as standard.

Walks, fishing trips, quad or 4x4 excursions, massages and other leisure activities are provided on site.",,Hotel MasterCard Visa Bathroom Shower Individually adjustable air conditioning Terrace Room service Garden Bicycle storage,12.38461|-16.74138,,,http://www.lecapocean.com
SN,Senegal,113356,Cape Skirring,1272788,La Paillote Village Hotel,ThreeStar,PLAGE DU CAP SKIRRING CABO SKIRRING ,,"The hotel consists of 30 bungalows spread by a tropical park and very close to the beach. Each bungalow features air conditioning, television, private terrace, bathroom and hairdryer. The hotel has a restaurant and bar, a shop, offers massage services and transfers.",,Hotel,12.382754|-16.740824,,0,http://www.paillote.sn
SN,Senegal,113356,Cape Skirring,1292220,Royal Kabrousse,ThreeStar,Plage Du Cap Cap Skirring ,,"HotelDescription#This family-friendly hotel is located in the south of Cap Skirring, approximately 10 minutes from Cap Skirring village and 75 km from the town of Ziguinchor. The hotel is located on the beach in a beautiful tropical garden. The hotel is approximately 10 minutes from the airport.

This all-inclusive hotel, renovated in 2007, features 92 beach bungalows in a quiet tropical garden in front of the beach. The hotel's architecture is African style and the facilities include 2 restaurants, 2 bars, currency exchange facilities, souvenir shop, and games room. The hotel features a lobby with 24-hour reception and check-out service, hotel safe, cloakroom, hairdressing salon, conference facilities and a car park. For an additional fee, guests can take advantage of the room and laundry services and bicycle hire.

The beach bungalows are equipped with double beds, a separate toilet and a bathroom with shower and bath, closet and table with chair. They also include a hairdryer, satellite/cable TV, minibar, individually regulated air conditioning, a safe and a balcony or terrace.

There is an outdoor swimming pool with sun loungers and parasols and a poolside snack bar. Tennis, VTT, pétanque, beach volleyball, table tennis, canoeing, surfing, mini-golf, surfcasting and the giant's chest game are just a few of the activities that this hotel offers. There is a hotel gym, and basketball, handball and volleyball are also offered. For an additional fee, guests can receive massage treatments and go jet skiing and windsurfing.

Guests can serve themselves at the breakfast, lunch and dinner buffets. Drinks are also included.

From the airport, take the road towards Kabrousse and the hotel is on your right at about 10 km.",,Breakfast buffet   Buffet lunch Buffet dinner Jet ski(Additional Fee) Windsurfing(Additional Fee) Table tennis Fitness Handball Basketball Volleyball Beach volleyball Bocce Tennis Year of construction : 1977 Suites : 4 Apartments : 2 Bungalows : 16 NO Connecting rooms Hotel MasterCard Visa Bathroom Shower Bathtub Hairdryer TV Minibar Individually adjustable air conditioning   Safe Balcony Terrace YES Wheelchair-accessible NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage 24-hour reception Room service(Additional Fee) Laundry service(Additional Fee) Medical service Bicycle hire service(Additional Fee) Hotel safe Currency exchange facilities Cloakroom Shop Garden Gym Bar Restaurant Non-smoking area Smoking area Highchairs Poolside snack bar Air conditioning in Restaurant   Conference room Sun loungers Parasols Massage(Additional Fee) Hairdressing salon,12.346615|-16.719199,+221902907566,,
SN,Senegal,113356,Cape Skirring,1313372,Les Alizés Beach Resort,FiveStar,"PLAGE DU CAP SKIRRING, BP21 CAP SKIRRING ",,"The hotel is located in Cap Skirring. It is 5 km from the town centre. Club Med Golf is a 5-minute drive from the hotel and day trips can also be organised to Ziguinchor, which is a 1-hour drive away to 67.8 km.

This spacious hotel in traditional-style huts and have an LCD TV and a DVD player. Offering a private beach and panoramic views of the sea, it also features an outdoor swimming pool and massages on the beach, the 2 restaurants. Wi-Fi and private parking are just some of the other facilities at this luxury hotel.",,Bicycle hire service Hotel safe Currency exchange facilities Shop Garden Sun terrace Bar Highchairs Poolside snack bar Air conditioning in Restaurant Sun loungers Parasols Massage Breakfast buffet Set menu lunch Set menu dinner Windsurfing Catamaran sailing Canoeing Table tennis Aerobics Bocce Golf Hotel MasterCard Visa Bathroom Shower Hairdryer Hi-fi Kitchenette Minibar Fridge Cooker Individually adjustable air conditioning Safe Terrace Mobile phone coverage,12.363772|-16.730897,,,www.les-alizes-hotel.com
SN,Senegal,113356,Cape Skirring,1355633,Hotel Maya,ThreeStar,Plage De Boucotte Route De Diembering 7 Km Au Nord De Cap Skirring CabrousseCap SkirringCasamance ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boucotto Beach - 0.5 km / 0.3 mi <br /> Saint Maixent Church - 7.6 km / 4.7 mi <br /> Club Med Golf - 8 km / 5 mi <br /> </p><p>The preferred airport for Hotel Maya is Cap Skirring (CSK) - 9.6 km / 6 mi </p>,"<p>HeadLine : Near Boucotto Beach</p><p>Location : When you stay at Hotel Maya in Cap Skirring, you ll be 6 minutes by foot from Boucotto Beach.  This beach hotel is 4.7 mi (7.6 km) from Saint Maixent Church and 5 mi (8 km) from Club Med Golf.</p><p>Rooms : Make yourself at home in one of the 20 guestrooms. Rooms have private furnished patios. Bathrooms with showers are provided. Conveniences include desks and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",221-33-9932300,Beach volleyball on site Wheelchair accessible (may have limitations) Free breakfast Pool umbrellas Multilingual staff 24-hour front desk 24-hour pool access Free WiFi Number of bars/lounges - 1 Daily Number of outdoor pools - 1 Safe-deposit box at front desk Smoke-free property In-room accessibility (in select rooms) Rowing or canoeing on site Coffee/tea in common areas Number of coffee shops/cafes - 1 Accessible bathroom (in select rooms) Volleyball on site Windsurfing on site Free continental breakfast Pool sun loungers,12.42375|-16.775061,221-77-6163307,BP 70 Cabrousse,http://www.hotel-maya.com
SN,Senegal,113356,Cape Skirring,1564228,Les Palétuviers Kaloa,TwoStar,BP 70 Cap skirring Kabrousse ,,"Les Palétuviers Kaloa is located in a park and provides a free shuttle service to Cap Skirring Beaches, 600 metres away. It is a 2-star hotel with an outdoor swimming pool and massage facilities.

Rooms at Les Palétuviers surround the pool and are brightly decorated in black and white. Each is air-conditioned, offers a view of the garden, and also features a TV with satellite channels.

A continental breakfast is served every day in the thatched restaurant or on the terrace by the pool. The restaurant serves innovative, international cuisine made from fresh, local produce. The property also features a cafe, and a jazz club every weekend.

Additional services and facilities include organised fishing days and quad bike excursions. The hotel also has a 24-hour reception with Wi-Fi access and a currency exchange service.",,Non-smoking rooms meeting/banquet facilities gift shop express check-in/check-out Airport shuttle Swimming pool Table tennis Packed lunches Library Tour desk Currency exchange nightclub/dj Air conditioning outdoor pool (seasonal) Room service Luggage storage shops (on site) airport shuttle (additional charge) Garden Fishing Special diet menus (on request) internet services Newspapers Bar Pets allowed Massage Non-smoking throughout Restaurant Free WiFi babysitting/child services Terrace wifi shuttle service (free),12.38687|-16.73621,+221339935210,BP 70,http://www.hotel-les-paletuviers.com
SN,Senegal,113356,Cape Skirring,1628517,Oudja Hotel,ThreeStar,Boucotto Plage Cap Skiring ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Club Med Golf - 3.6 km / 2.2 mi <br /> Saint Maixent Church - 3.9 km / 2.4 mi <br /> Boucotto Beach - 11.8 km / 7.3 mi <br /> </p><p>The nearest airports are:<br />Cap Skirring (CSK) - 3.5 km / 2.2 mi<br /> Ziguinchor (ZIG) - 68.3 km / 42.4 mi<br /> </p><p>The preferred airport for Oudja Hotel is Ziguinchor (ZIG). </p>,"<p>HeadLine : On the beach</p><p>Location : When you stay at Oudja Hotel in Cap Skirring, you ll be on the beach, within a 5-minute drive of Club Med Golf and Saint Maixent Church.  This beach hotel is 7.3 mi (11.8 km) from Boucotto Beach.</p><p>Rooms : Make yourself at home in one of the 16 guestrooms. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : For lunch or dinner, stop by 1, a restaurant that specializes in international cuisine. You can also grab snacks at the coffee shop/cafe. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests will receive an email 24 hours before arrival with check-in instructions. Guests can access their accommodation through a private entrance.</p>",221-33-860 53 17,Number of bars/lounges - 1 No elevator (single level property) Airport transportation (surcharge) Designated smoking areas Daily Wheelchair accessible (may have limitations) Number of coffee shops/cafes - 1 Luggage storage Free breakfast Free continental breakfast,12.35764|-16.718203,221-33-992 06 48,00,http://www.casamance-ecoparc.com/rub_content.php?rub_ID=3
SN,Senegal,113356,Cape Skirring,1690977,Residence Hotel La Marsu,ThreeStar,Cap Randoulene 85000 Cap Skirring ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Saint Maixent Church - 3.4 km / 2.1 mi <br /> Club Med Golf - 4.1 km / 2.5 mi <br /> Boucotto Beach - 11.3 km / 7 mi <br /> </p><p>The nearest airports are:<br />Cap Skirring (CSK) - 3 km / 1.8 mi<br /> Ziguinchor (ZIG) - 67.8 km / 42.1 mi<br /> </p><p></p>,"<p>HeadLine : Near Club Med Golf</p><p>Location : When you stay at Résidence Hôtel la Marsu in Cap Skirring, you ll be on the beach and 6 minutes by car from Saint Maixent Church.  This beach hotel is 2.6 mi (4.1 km) from Club Med Golf and 7 mi (11.3 km) from Boucotto Beach.</p><p>Rooms : Make yourself at home in one of the 43 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include phones and safes, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Continental breakfasts are available daily from 6 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",221-03-39930238,Dry cleaning/laundry service Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Number of indoor pools - 1 Garden Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) 24-hour fitness facilities Rooftop terrace Luggage storage 24-hour front desk Breakfast available (surcharge) Playground on site Barbecue grill(s) Safe-deposit box at front desk Laundry facilities Children's pool Free self parking Free valet parking Wheelchair accessible path of travel,12.362057|-16.728564,221-03-39930238,85000,http://www.lamarsucap.com
SN,Senegal,113356,Cape Skirring,1759041,Hotel Cisko Centre,ThreeStar,BP 64 10000 Cap Skirring ,,"Located in Cap Skirring, Cisko Centre offers a 24-hour front desk, a terrace and an outdoor swimming pool with sunbeds. Free Wi-Fi is available in all areas.

Featuring garden or city views, all accommodations are fitted with air-conditioning, minibar and flat-screen TV. Some suites feature a seating area or a kitchenette. Each unit includes a private bathroom fitted with shower.

Guest can enjoy local and international dishes at the property restaurant. A range of drinks is provided at the bar.

Cisko Centre is a 30-minute drive from Basse Casamance National Park and 65 km from Ziguinchor City. Excursions and guided tours can be arranged at the property. Free private parking is possible on site.

Cap Skirring Airport is a 10-minute drive from the property. A shuttle to the airport is available upon request.",,guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar Hot tub/jacuzzi Hiking 24-hour front desk BBQ facilities Packed lunches Car hire Cycling Tour desk Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing Business centre Laundry Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box Valet parking Currency exchange Massage Billiards Windsurfing Parking garage Accessible parking Wine/champagne Fruits airport pick up airport drop off designated smoking area Snack Bar Sun terrace Pet bowls Yoga classes kids' pool Swimming pool Beach Shuttle service temporary art galleries Pub crawls Stand-up comedy Movie nights Walking tours Bike tours Themed dinner nights Happy hour Tour or class about local culture Live music/performance Live sport events (broadcast) 24-hour security Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines concierge service coffee house on site Entertainment staff sun loungers or beach chairs nightclub/dj Sun umbrellas Outdoor furniture Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Evening entertainment Daily housekeeping grocery deliveries parking on site Private parking wifi available in all areas Open-air bath kids' outdoor play equipment Kid meals Kid-friendly buffet,12.38048|-16.73009,+221339903921|+221781328405,10000,https://www.booking.com/hotel/sn/cisko-centre.html
