countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PY,Paraguay,101642,Areguá,1750861,Posada La Estacion,All,Hermanas Dominicas 2000 Aregua ,,"Featuring free WiFi throughout the property, Posada La Estación offers accommodation in Areguá. Free private parking is available on site.

The rooms have shared bathroom.

You will find a 24-hour front desk, a shared kitchen, gift shop and shops at the property. To access the property the guest will have stair to climb

The hostel also offers bike hire. Asuncion is 25 km from Posada La Estación, while San Bernardino is 8 km away. The nearest airport is Silvio Pettirossi International Airport, 15 km from the property. Please inform Posada La Estación in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Note that to access the property guests will have to climb stairs.",,Private parking Parking onsite Daily housekeeping Television in common areas Shared kitchen Airport transportation (surcharge) Air conditioning Free WiFi Free WiFi Shopping on site Heating Tour desk Gift shops or newsstand Internet access Family rooms Laundry facilities Airport shuttle Terrace Garden Free self parking,-25.30696|-57.38213,,2000,https://www.booking.com/hotel/py/posada-la-estacion.html
PY,Paraguay,101642,Areguá,1755089,Aregua Oga,All,003 De Las Residentas 2000 Areguá ,,"Set in Areguá, Aregua Oga Hotel has a shared lounge, garden and free WiFi. Private parking can be arranged at an extra charge.

The hotel offers a childrens playground.

Asuncion is 30 km from Aregua Oga Hotel, while San Bernardino is 29 km from the property. Please inform Aregua Oga Alquileres in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
 A damage deposit of USD 15 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.",,Garden children's playground internet services On-site parking Private parking Free parking Outdoor pool wifi Free WiFi shared lounge/TV area Parking Air conditioning Open-air bath,-25.32115|-57.3876,,2000,https://www.booking.com/hotel/py/aregua-oga.html
PY,Paraguay,109641,Asuncion,1062062,Aspen Apart Hotel,FourStar,esq. General Díaz Ayolas 581Asunción ,,"Aspen Hotel offers practical town accommodation downtown Asunción, 15-minutes drive from Silvio Pettirossi Airport.  It features a panoramic rooftop pool and terrace with city views, a gym and free Wi-Fi.

The spacious rooms at Aspen Hotel & Apart have large queen-size beds and wooden furniture.  All have air conditioning and private balconies, while some have a fully equipped kitchenette.

American breakfast buffet with tropical fruits and pastries is served, and the a la carte restaurant serves international cuisine.  Shopping Multiplaza is 5 km from the hotel, and offers additional dining options.

The Aspen is 10-minutes walk from the historic Asuncion Cathedral.  It offers free parking and a massage service.  Pets are accepted on request.",,Swimming pool Shuttle service Swimming pool wifi available in all areas Private parking parking on site Trouser press Special diet menus (on request) shuttle service (additional charge) Sun terrace Snack Bar designated smoking area Air conditioning Free WiFi Outdoor pool Restaurant Parking wifi Heating BBQ facilities Table tennis Billiards Massage Spa and wellness centre Solarium lift internet services Free parking Ironing service breakfast in the room Games room Facilities for disabled guests dry cleaning Laundry Non-smoking rooms Terrace Garden Fitness centre Sauna Bar Room service Pets allowed,-25.28158|-57.64066,+59521496066|+59521493097,1234,https://www.booking.com/hotel/py/aspen-apart.html
PY,Paraguay,109641,Asuncion,1062086,Aparthotel Lipa,All,Capitan Elias Ayala  ,,"Situated in Asuncion, Apart Hotel Lipa offers accommodation with a patio or a balcony, free WiFi and flat-screen TV, as well as a shared lounge and a garden.

There is a private bathroom with shower and a hairdryer in each unit, along with free toiletries.

Continental and à la carte breakfast options are available each morning at the aparthotel.

Apart Hotel Lipa offers a terrace.

A car rental service is available at the accommodation.

Paseo La Galeria Shopping Mall is 2.6 km from Apart Hotel Lipa, while Del Sol Shopping Mall is 2.6 km from the property. The nearest airport is Silvio Pettirossi International, 9 km from the aparthotel, and the property offers a paid airport shuttle service. This property will not accommodate hen, stag or similar parties.",,Lockers Fax/photocopying Tour desk shared lounge/TV area Safety Deposit Box Picnic area Sun terrace wifi Garden On-site parking Airport shuttle Free parking 24-hour security Car hire Laundry Key access Family rooms internet services Air conditioning airport shuttle (additional charge) Non-smoking rooms Terrace Ironing service Pets allowed Free WiFi Parking Luggage storage wifi available in all areas Daily housekeeping Outdoor furniture breakfast options Street parking on-site coffee house,-25.27055|-57.56964,,1209,https://www.booking.com/hotel/py/apart-lipa.html
PY,Paraguay,109641,Asuncion,1063953,Hotel Royal Gardens,FourStar,Procer A. Yegros 1203 Las CarmelitasAsunción ,,"An outdoor swimming pool with decorated tiles and gym facilities can be enjoyed in the residential Carmelitas neighbourhood. Rooms have free Wi-Fi. There are free shuttles for stays longer than 3 days.

Hotel Royal Gardens has air-conditioned rooms with flat-screen TVs. They feature decorative wall mouldings, work desks and minibars. Some bathrooms include baths.

A continental breakfast with fresh juices and regional breads can be enjoyed daily. The restaurant serves light meals and a variety of drinks can be ordered at the bar.

Del Sol Shopping Mall is 8 blocks from Royal Gardens and Plaza de los Heroes is 7 blocks away.

The hotel offers babysitting services around the clock and a 24-hour front desk is ready to help. Silvio Pettirossi Airport is 7 km away. Please note that the property offers airport shuttles to all guests staying more than 6 days. The service should be confirmed prior to their arrival. Guests staying for 3 days can request the service as well.",+59521662889,Free self parking Room service Bar/lounge 24-hour front desk Fitness facilities Garden Non-smoking rooms Airport shuttle Laundry facilities Facilities for disabled guests Ironing service Internet access Safe-deposit box at front desk Currency exchange Tour desk Heating Luggage storage Free WiFi Outdoor pool Free WiFi Air conditioning Designated smoking areas Concierge services Area shuttle (surcharge) Television in common areas Private parking,-25.27566|-57.56835,+59521662889,1430,https://www.booking.com/hotel/py/royal-gardens.html
PY,Paraguay,109641,Asuncion,1063955,Hostal Maison Suisse,All,Malutin 482 Bertoni Y Del Maestro Barrio Villa MorraAsunción ,,"ApartHotel Maison Suisse is located in the centre of scenic Villa Morra, in Asunción. It features an outdoor pool and decorative rooms with free Wi-Fi and parking.

Rooms at ApartHotel Maison Suisse are simply furnished. All are equipped with a cable TV, private bathroom facilities, a minibar, an electric kettle and ironing facilities. Some rooms include a kitchenette.

The property is centrally located within a few steps from lively restaurants and bars. The Bus Terminal is 7 km away, whereas the airport is 12 km from the property. The historic centre is a 30-minute walk from ApartHotel Maison Suisse. Please inform ApartHotel Maison Suisse in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
A negative Coronavirus (COVID-19) PCR test result is mandatory to check-in to this property.
Swimming pool #1 is closed from Wed 31 Jan 2024 until Wed 31 Jan 2024
Bar is closed from Wed 31 Jan 2024 until Wed 31 Jan 2024",+595(0)21600003,Packed lunches Tour desk Heating Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site outdoor pool (seasonal) concierge service Trouser press minimarket on site Daily housekeeping parking on site Private parking wifi available in all areas Accessible parking Wheelchair accessible coffee house on site sun loungers or beach chairs Sun umbrellas Swimming pool temporary art galleries 24-hour security Security alarm Smoke alarms Parking Pets allowed meeting/banquet facilities Bar 24-hour front desk Garden Non-smoking rooms Business centre Laundry Facilities for disabled guests Barber/beauty shop Family rooms Free parking internet services lift express check-in/check-out Safety Deposit Box children's playground Soundproof rooms BBQ facilities CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property,-25.29098|-57.57911,+59521600003,1825,https://www.booking.com/hotel/py/maison-suisse.html
PY,Paraguay,109641,Asuncion,1063966,Hotel Le Pelican,FourStar,Av. Santa Teresa 2489 esq. Gumercindo Sosaa 2 cuadras de la Avda. Aviadores del ChacoAsuncion ,,"Located a 10-minute drive from Silvio Pettirossi International Airport, Hotel Le Pelican features free Wi-Fi, free parking and a garden in Paraguays Asunción. El Sol shopping mall is 300 metres away.

The modern guest rooms of Le Pelican are decorated in pastel colours and equipped with air conditioning and a TV. Each room has a private bathroom with a hairdryer and shower.

Hotel Le Pelican offers a wholesome breakfast with fresh bread, cakes and cereals. When weather is sunny, breakfast can be served in the garden as well.

Hotel Le Pelican is situated a 10-minute drive from Parque Ñu Guazú. The Multiplaza Mall, Villa Morra and Mac. Lopez are a 5-minute drive away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.",,Toilet with grab rails Lower bathroom sink Restaurant Pets allowed Room service meeting/banquet facilities Bar 24-hour front desk Fitness centre Terrace Business centre Laundry dry cleaning Facilities for disabled guests Barber/beauty shop Family rooms breakfast in the room Ironing service internet services lift Safety Deposit Box Spa and wellness centre Soundproof rooms Car hire Tour desk Heating Fax/photocopying Luggage storage wifi Allergy-free room Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (all year) concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Trouser press vending machine (drinks) Lockers shared lounge/TV area Daily housekeeping grocery deliveries wifi available in all areas Public Bath Swimming pool toys secured parking Pool with view Heated pool Plunge pool Pool Bar Shallow end Wine/champagne Fruits Visual aids: Tactile signs coffee house on site sun loungers or beach chairs Outdoor furniture Picnic area Outdoor fireplace Spa Facilities Spa lounge/relaxation area Spa/wellness packages Fitness all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas property is cleaned by professional cleaning companies fitness/spa locker rooms kids' pool Swimming pool Shuttle service Pub crawls Themed dinner nights Happy hour Live music/performance Live sport events (broadcast) 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas,-25.28462|-57.56087,59521661436/3295842/3/0982886242,1827,https://www.booking.com/hotel/py/le-pelican.html
PY,Paraguay,109641,Asuncion,1063971,La Española,ThreeStar,"Luis Alberto de Herrera ,142 ASUNCION ",,This charming hotel is in Asuncion. No pets are allowed on the premises.,+59521447312,Hotel,-25.28559|-57.6352,+715024839784,,http://www.hotellaespanola.com.py
PY,Paraguay,109641,Asuncion,1063982,La Morada Posada Boutique,ThreeStar,Patria 777 Esq. Solano Lopez Barrio JaraAsunción ,,"Situated in the residential Jara neighbourhood, this design hotel offers modern rooms and an outdoor pool. It is just a 10 minutes´ walk to the commercial centre of Las Carmelitas.

Rooms at La Morada Posada Boutique all feature a private balcony or patio, providing city or pool views. They are air conditioned and include LCD cable TV and a minibar.

Guests can relax in Morada´s steam sauna, enjoy a massage treatments or sun bath at the terrace by the pool. Films are watched in the living and free Wi-Fi is available. There is a games room where billiards can be played.

A daily continental breakfast is served in the dining area. Posada La Morada includes Charcoal Grill, where outdoor barbecues can be shared. Alternatively, restaurants and bars are within a short walking distance.

Free private parking is available at the hotel. Silvio Pettirossi International Airport is 10 km away and a shuttle service is possible upon request.",+595(0)21212170,airport shuttle (additional charge) Shared kitchen shared lounge/TV area Daily housekeeping parking on site wifi available in all areas Parking Open-air bath 24-hour front desk Sauna Public Bath Parking garage Outdoor furniture Swimming pool Shuttle service Smoke alarms CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed Garden Terrace Non-smoking rooms Airport shuttle Laundry Family rooms breakfast in the room Ironing service Free parking internet services Solarium Safety Deposit Box Billiards Tour desk Heating Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning Sun terrace outdoor pool (all year) concierge service shuttle service (additional charge) screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers thermometers for guests provided by property face masks for guests available,-25.28341|-57.60182,+59521212170,1434,https://www.booking.com/hotel/py/la-morada-posada-boutique.html
PY,Paraguay,109641,Asuncion,1070696,Las Margaritas,ThreeStar,15 De Agosto Esq Estrella 59521 Asuncion Asuncion ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Galería Palma - 0.3 km / 0.2 mi <br /> Casa de la Independencia Museum - 0.3 km / 0.2 mi <br /> Manzana de la Rivera Cultural Complex - 0.3 km / 0.2 mi <br /> Panteon Nacional de los Heroes - 0.4 km / 0.3 mi <br /> Church of the Incarnation - 0.4 km / 0.3 mi <br /> Municipal Theater - 0.5 km / 0.3 mi <br /> Plaza de Armas - 0.5 km / 0.3 mi <br /> Palacio de los Lopez - 0.5 km / 0.3 mi <br /> National Congress - 0.5 km / 0.3 mi <br /> Cabildo - 0.6 km / 0.4 mi <br /> Cultural Center of the Republic - 0.6 km / 0.4 mi <br /> Metropolitan Cathedral of Our Lady of the Assumption - 0.7 km / 0.4 mi <br /> Asuncion Bay - 0.7 km / 0.5 mi <br /> Playa de La Costanera - 0.9 km / 0.5 mi <br /> Humaita Naval Museum - 0.9 km / 0.6 mi <br /> </p><p>The preferred airport for Hotel Las Margaritas is Asuncion (ASU-Silvio Pettirossi Intl.) - 19.9 km / 12.4 mi </p>,"<p>HeadLine : Near Galería Palma</p><p>Location : A stay at Hotel Las Margaritas places you in the heart of Asuncion, within a 5-minute walk of Galería Palma and Manzana de la Rivera Cultural Complex.  This romantic hotel is 5.3 mi (8.5 km) from Shopping del Sol and 0.2 mi (0.3 km) from Casa de la Independencia Museum.</p><p>Rooms : Make yourself at home in one of the 60 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature designer toiletries and bidets. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Las Margaritas, a restaurant which features a bar, or stay in and take advantage of the room service (during limited hours). A complimentary hot/cold buffet breakfast is served daily from 6:30 AM to 10:30 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",595-21-448785,Free breakfast Porter/bellhop Meeting rooms Restaurant Television in common areas Free self parking Free WiFi Sauna Outdoor pool Smoke-free property Multilingual staff Luggage storage Elevator/lift Rooftop terrace Fitness facilities Concierge services 24-hour front desk Conference space Laundry facilities Parking (limited spaces),-25.280839|-57.638483,595-21-448765,6311,http://www.lasmargaritas.com.py/
