countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
TT,Trinidad & Tobago,101643,Arima,1472330,The Cannons of Trinidad and Tobago W.I  Arima,TwoStar,"Lot 5, 20B, Tunpuna Road Arima ",,"Located in the district of Arima, The Cannons Of Trinidad and Tobago, W.I. offers its guests a self-catering accommodation that features free WiFi access.

This apartment is fully appointed and has an equipped kitchen with stove, oven and fridge, seating and dining areas, plus a full bathroom with shower. The apartment also has a patio.

Guests will find all what they need to cook a full meal en-suite. The Shanes Supermarket, a grocery store, is located 8 km away. There guests will be able to shop for supplies.

The Cannons Of Trinidad And Tobago, W.I. also features free parking and is a smoke-free venue.

Piarco International Airport can be reached in a 15-minute drive. Please inform The Cannons Of Trinidad And Tobago, W.I. - Arima in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
 A damage deposit of USD 100 is required on arrival. You should be reimbursed on check-out.
This property will not accommodate hen, stag or similar parties.",,Free self parking Terrace Non-smoking rooms Airport shuttle Facilities for disabled guests Family rooms Bridal suite Internet access Express check-in Soundproof rooms Free WiFi Allergy-free room Free WiFi Non-smoking throughout Air conditioning Parking onsite Street parking Wheelchair accessible Toilet with grab rails,10.6319|-61.27581,,,https://www.booking.com/hotel/tt/the-cannons-of-trinidad-and-tobago-w-i.html
TT,Trinidad & Tobago,101643,Arima,1682309,C&C Bed and Breakfast,TwoStar,OMeara Road Arima ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Santa Rosa First Peoples Community Centre - 4.6 km / 2.8 mi <br /> Cleaver Woods Park - 4.7 km / 2.9 mi <br /> Millenium Golf Club - 8.3 km / 5.1 mi <br /> Eco Park - 9.5 km / 5.9 mi <br /> Tunapuna Market - 13.3 km / 8.3 mi <br /> University of the West Indies - 13.7 km / 8.5 mi <br /> Mohammed Ali Jinnah Memorial Mosque - 15.7 km / 9.7 mi <br /> Mount St. Benedict Monastery - 17.8 km / 11.1 mi <br /> Brian Lara Promenade - 26.7 km / 16.6 mi <br /> Holy Trinity Cathedral - 27 km / 16.7 mi <br /> Woodford Square - 27 km / 16.7 mi <br /> Caroni Lagoon National Park - 27.3 km / 16.9 mi <br /> National Museum and Art Gallery - 28.4 km / 17.6 mi <br /> Movietowne - 28.9 km / 18 mi <br /> Queen's Park Oval - 29 km / 18 mi <br /> </p><p>The preferred airport for this bed & breakfast is Port of Spain (POS-Piarco Intl.) - 8.6 km / 5.3 mi </p>,"<p><b>Property Location</b> <br />With a stay at this bed & breakfast in Arima, you'll be 5.1 mi (8.3 km) from Millenium Golf Club and 8.3 mi (13.3 km) from Tunapuna Market.  This bed & breakfast is 8.5 mi (13.7 km) from University of the West Indies and 11.1 mi (17.8 km) from Mount St. Benedict Monastery.</p><p><b>Rooms</b> <br />Make yourself comfortable in your air-conditioned accommodation, featuring a refrigerator and a flat-screen TV. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. A private bathroom with a shower features complimentary toiletries and a hair dryer.</p><p><b>Amenities</b> <br />Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and a television in a common area.</p><p><b>Dining</b> <br />A complimentary buffet breakfast is served daily from 7:30 AM to 10 AM.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a business center, laundry facilities, and a safe deposit box at the front desk. A roundtrip airport shuttle is complimentary (available 24 hours).</p>",,Business center Free WiFi Free airport transportation Free breakfast Free self parking Garden Laundry facilities Number of buildings/towers - 1 Number of floors - 1 Safe-deposit box at front desk Shared microwave Shared refrigerator Smoke-free property Television in common areas Total number of rooms - 1 Tours/ticket assistance Year Built - 2007,10.61101|-61.29308,,,
TT,Trinidad & Tobago,110371,Bacolet Bay,1035522,Ade's Domicil,OneStar,19 Old Lighthouse Road Bacolet Point Tobago Bacolet PointScarboroughTobago ,,"Located 1 km away from Bacolet Bay Beach in Scarborough, Ades Domicil features free private on-site parking and free Wi-Fi access throughout the property.

The rooms at Ades Domicil feature a seating area, a fully equipped kitchenette and a private bathroom with a shower.

The bed and breakfast has a tour desk which can assist with diving, snorkelling, and fishing outings. Additionally, guests will be able to find a wide variety of restaurants, bars, and supermarkets within a 10-minute drive.

Ades Domicil is located within a 30-minute drive to Arthur Napoleon Raymond Robinson International Airport and 6 minutes away by car from Trinidad and Tobagos Port Authority. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.
Please note, if you are arriving from the airport, the property can arrange a taxi for you to ensure that the driver has correct directions.",+18686393779,guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available Garden Terrace Non-smoking rooms Fishing breakfast in the room Free parking internet services Safety Deposit Box Car hire Diving Horse riding Snorkelling wifi Free WiFi Non-smoking throughout Air conditioning Daily housekeeping parking on site wifi available in all areas Smoke alarms CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines Parking Golf course (within 3 km),11.17044|-60.71715,+18686394306,00000,https://www.booking.com/hotel/tt/ade-s-domicil.html
TT,Trinidad & Tobago,110371,Bacolet Bay,1153610,Blue Haven Hotel Bacolet Bay Tobago,FourStar,Po.Box 8 ScarboroughTobago ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tobago Museum - 1.6 km / 1 mi <br /> Royalton Casino - 1.9 km / 1.2 mi <br /> Scarborough Botanical Garden - 2.1 km / 1.3 mi <br /> Fort King George - 2.4 km / 1.5 mi <br /> Dwight Yorke Stadium - 2.7 km / 1.7 mi <br /> Botanical Gardens - 3.3 km / 2.1 mi <br /> Shaw Park Cultural Complex - 4.5 km / 2.8 mi <br /> Gulf City Mall - 8.4 km / 5.2 mi <br /> Tobago Main Ridge Forest Reserve - 8.6 km / 5.4 mi <br /> Turtle Beach - 9.7 km / 6 mi <br /> Adventure Farm and Nature Reserve - 9.9 km / 6.2 mi <br /> Fort Bennett - 9.9 km / 6.2 mi <br /> Stonehaven Bay - 10.9 km / 6.8 mi <br /> Grafton Caledonia Wildlife Sanctuary - 10.9 km / 6.8 mi <br /> The Kimme Museum Institute - 11.9 km / 7.4 mi <br /> </p><p>The preferred airport for Blue Haven Hotel is Tobago (TAB-A.N.R. Robinson Intl.) - 16.1 km / 10 mi </p>,"<p>HeadLine : Near Fort King George</p><p>Location : When you stay at Blue Haven Hotel in Scarborough, you ll be on the beach, within a 5-minute drive of Royalton Casino and Scarborough Botanical Garden.  This 4-star hotel is 9.4 mi (15.1 km) from Store Bay and 10.6 mi (17 km) from Pigeon Point Beach.</p><p>Rooms : Make yourself at home in one of the 51 individually decorated guestrooms, featuring refrigerators and LCD televisions. Rooms have private balconies. Cable television is provided for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve onsite parking</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",1-868-6607900,Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Babysitting or childcare (surcharge) Number of meeting rooms - 1 Swimming pool Wheelchair-accessible registration desk Sailing nearby Windsurfing nearby Scuba diving nearby Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 1 Garden Picnic area In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Wedding services Tours/ticket assistance Beach towels Yoga classes/instruction on site Airport transportation (surcharge) Luggage storage Porter/bellhop Multilingual staff 24-hour front desk Breakfast available (surcharge) Golfing nearby Snorkeling nearby Hiking/biking trails nearby Laundry facilities Surfing/bodyboarding nearby Beach sun loungers Terrace Pool sun loungers,11.172723|-60.724571,1-868-6607500,Po.Box 8,https://www.ivhtravel.com/hotel-bluegrass-beachin
TT,Trinidad & Tobago,110371,Bacolet Bay,1165548,Half Moon Blue,ThreeStar,73 Bacolet Street Bacolet Bay Tobago ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royalton Casino - 1.8 km / 1.1 mi <br /> Scarborough Botanical Garden - 2 km / 1.3 mi <br /> Fort King George - 2.3 km / 1.5 mi <br /> Tobago Museum - 2.4 km / 1.5 mi <br /> Botanical Gardens - 2.6 km / 1.6 mi <br /> Dwight Yorke Stadium - 2.8 km / 1.7 mi <br /> Shaw Park Cultural Complex - 3.8 km / 2.4 mi <br /> Gulf City Mall - 8.3 km / 5.1 mi <br /> Tobago Main Ridge Forest Reserve - 8.6 km / 5.3 mi <br /> Turtle Beach - 9.6 km / 5.9 mi <br /> Adventure Farm and Nature Reserve - 9.8 km / 6.1 mi <br /> Fort Bennett - 9.8 km / 6.1 mi <br /> Stonehaven Bay - 10.8 km / 6.7 mi <br /> Grafton Caledonia Wildlife Sanctuary - 10.8 km / 6.7 mi <br /> The Kimme Museum Institute - 11.8 km / 7.3 mi <br /> </p><p>The preferred airport for Half Moon Blue is Tobago (TAB-A.N.R. Robinson Intl.) - 15.6 km / 9.7 mi </p>,"<p>HeadLine : Near Fort King George</p><p>Location : A stay at Half Moon Blue places you in the heart of Scarborough, within a 5-minute drive of Royalton Casino and Scarborough Botanical Garden.  This beach hotel is 9.3 mi (15 km) from Store Bay and 10.5 mi (16.9 km) from Pigeon Point Beach.</p><p>Rooms : Make yourself at home in one of the 9 individually furnished guestrooms, featuring refrigerators and flat-screen televisions. Rooms have private balconies. Cable programming along with DVD players are provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite to eat at one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Relax with a refreshing drink from the beach bar or one of the 2 bars/lounges.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the cruise terminal, ferry terminal, and airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. The front desk is open during the following times:<ul><li>Monday - Sunday: 6:00 AM - midnight</li></ul> Front desk staff will greet guests on arrival.</p>",868-6-396124,Cruise terminal shuttle (surcharge) Airport transportation (surcharge) On private beach Golf lessons available nearby Multilingual staff Conference center Theme park shuttle (surcharge) Number of coffee shops/cafes - 1 Laundry facilities Wheelchair accessible (may have limitations) Beach umbrellas Windsurfing nearby Spa treatment room(s) Garden Picnic area Full-service spa Wedding services Beach towels Area shuttle (surcharge) Beach shuttle (surcharge) Luggage storage Business center 24-hour front desk Scooter/moped rentals nearby Library Golfing nearby Spa services on site Safe-deposit box at front desk Smoke-free property Surfing/bodyboarding nearby Conference space Computer station Beach sun loungers Terrace Pool sun loungers Conference space size (feet) - 1076 Concierge services Dry cleaning/laundry service Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 Conference space size (meters) - 100 Sailing nearby Scuba diving nearby Number of bars/lounges - 2 Number of outdoor pools - 1 Number of beach bars - 1 Bicycle rentals nearby Wheelchair accessible parking Tours/ticket assistance Shopping center shuttle (surcharge) Ferry terminal shuttle (surcharge),11.173432|-60.72502,868-6-393551,N A,http://www.halfmoonblue.com/02_labellecreole/labelle_house_history.html
TT,Trinidad & Tobago,110371,Bacolet Bay,1315161,Bacolet Beach Club,FourStar,73 Bacolet Street Bacolet Bay 100 Bacolet BayScarborough ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Dwight Yorke Stadium - 2.2 km / 1.4 mi <br /> Royalton Casino - 2.3 km / 1.4 mi <br /> Scarborough Botanical Garden - 2.6 km / 1.6 mi <br /> Fort King George - 2.9 km / 1.8 mi <br /> Tobago Museum - 2.9 km / 1.8 mi <br /> Botanical Gardens - 3.2 km / 2 mi <br /> Shaw Park Cultural Complex - 4.8 km / 3 mi <br /> Gulf City Mall - 8.8 km / 5.5 mi <br /> Tobago Main Ridge Forest Reserve - 9.3 km / 5.8 mi <br /> Turtle Beach - 10.1 km / 6.3 mi <br /> Adventure Farm and Nature Reserve - 10.4 km / 6.4 mi <br /> Fort Bennett - 10.4 km / 6.5 mi <br /> Stonehaven Bay - 11.3 km / 7.1 mi <br /> Grafton Caledonia Wildlife Sanctuary - 11.4 km / 7.1 mi <br /> The Kimme Museum Institute - 12.4 km / 7.7 mi <br /> </p><p>The preferred airport for Bacolet Beach Club is Tobago (TAB-A.N.R. Robinson Intl.) - 16.2 km / 10 mi </p>,"<p>HeadLine : Near Fort King George</p><p>Location : A stay at Bacolet Beach Club places you in the heart of Scarborough, within a 5-minute drive of Dwight Yorke Stadium and Royalton Casino.  This 4-star hotel is 9.7 mi (15.6 km) from Store Bay and 10.9 mi (17.5 km) from Pigeon Point Beach.</p><p>Rooms : Make yourself at home in one of the 50 individually decorated guestrooms, featuring refrigerators and iPod docking stations. Rooms have private balconies. 42-inch Smart televisions with digital programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Enjoy Caribbean cuisine at Cafe Havana, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the beach bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:00 AM - midnight. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 11 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",001 868 639 6124,Dry cleaning/laundry service Babysitting or childcare (surcharge) Number of meeting rooms - 1 Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of outdoor pools - 2 Number of beach bars - 1 Water skiing nearby Bicycle rentals nearby Wheelchair accessible parking Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) On private beach Multilingual staff Parasailing nearby Ecotours nearby Laundry facilities elevator Snorkeling on site Mountain biking nearby Beach umbrellas Reception hall Windsurfing nearby Garden Picnic area Wedding services Beach towels Boat tours nearby Luggage storage Business center Front desk (limited hours) Scooter/moped rentals nearby Library Golfing nearby Spa services on site Safe-deposit box at front desk Hiking/biking trails nearby Surfing/bodyboarding nearby Kayaking nearby Free self parking Computer station Beach sun loungers Terrace Wheelchair accessible path of travel Concierge services,11.171776|-60.721313,8686392357,950001,http://www.bacoletbeachclub.com/
TT,Trinidad & Tobago,110371,Bacolet Bay,1456147,Ann's Villa,OneStar,81 Bacolet Street Scarborough ,,"Anns Villa is a fully equipped studio situated just a 2-minute walk from the beautiful Bacolet Beach in Scarborough. Guests enjoy free Wi-Fi and on-site parking.

The studio features bright colors and a seating area with a sofa. There is also a full kitchen with a fridge, oven and stove.

At Anns Villa you will find a garden and laundry services. A wide range of restaurants and bars are available within a 15-minute walk.

The popular Buccoo Reef can be reached in 20 minutes by car, while Arthur Napoleon Raymond Robinson International Airport is just a 25-minute drive away. Please inform Anns Villa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,Private parking wifi available in all areas secured parking Parking Garden Non-smoking rooms Airport shuttle babysitting/child services Laundry Family rooms breakfast in the room Free parking internet services express check-in/check-out Bicycle rental (additional charge) Car hire wifi Free WiFi Air conditioning Shared kitchen shared lounge/TV area Mini-market on site On-site parking,11.17311|-60.72367,,Na,https://www.booking.com/hotel/tt/ann-s-villa.html
TT,Trinidad & Tobago,110371,Bacolet Bay,1498600,The Marion Villa,FourStar,7 Bacolet Bay Scarborough ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Fort King George - 2.1 km / 1.3 mi <br /> Tobago Museum - 2.1 km / 1.3 mi <br /> Dwight Yorke Stadium - 2.4 km / 1.5 mi <br /> Royalton Casino - 2.9 km / 1.8 mi <br /> Scarborough Botanical Garden - 3.2 km / 2 mi <br /> Botanical Gardens - 3.8 km / 2.3 mi <br /> Shaw Park Cultural Complex - 5 km / 3.1 mi <br /> Gulf City Mall - 9 km / 5.6 mi <br /> Tobago Main Ridge Forest Reserve - 9.6 km / 5.9 mi <br /> Turtle Beach - 10.3 km / 6.4 mi <br /> Adventure Farm and Nature Reserve - 10.5 km / 6.6 mi <br /> Fort Bennett - 10.6 km / 6.6 mi <br /> Stonehaven Bay - 11.5 km / 7.2 mi <br /> Grafton Caledonia Wildlife Sanctuary - 11.6 km / 7.2 mi <br /> The Kimme Museum Institute - 12.5 km / 7.8 mi <br /> </p><p>The preferred airport for this villa is Tobago (TAB-A.N.R. Robinson Intl.) - 16.7 km / 10.4 mi </p>,"<p>HeadLine : Near Fort King George</p><p>Location : When you stay at this villa in Scarborough, you ll be on the beach, within a 5-minute drive of Royalton Casino and Scarborough Botanical Garden.  This 4-star villa is 9.8 mi (15.8 km) from Store Bay and 11 mi (17.7 km) from Pigeon Point Beach.</p><p>Rooms : Make yourself comfortable in this air-conditioned villa, which features a private pool and a flat-screen TV. There s a private balcony or patio. A kitchen is outfitted with a full-sized refrigerator/freezer, a stovetop, and a microwave. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. There is no front desk at this property.</p>",1-212-3350529,Scuba diving nearby Free WiFi Number of spa tubs - 1 Number of outdoor pools - 1 Spa services on site Garden Smoke-free property Laundry facilities Tours/ticket assistance Free self parking Terrace Free airport transportation Concierge services,11.17177|-60.72254,1-212-3350529,99999,http://themarionvilla.com/
TT,Trinidad & Tobago,111223,Black Rock,1044357,Birdie's Nest,ThreeStar,Courland Bush Extension  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Grafton Caledonia Wildlife Sanctuary - 1 km / 0.7 mi <br /> Stonehaven Bay - 1.1 km / 0.7 mi <br /> Turtle Beach - 1.2 km / 0.7 mi <br /> Mount Irvine Bay - 3.5 km / 2.2 mi <br /> Fort Bennett - 4 km / 2.5 mi <br /> Adventure Farm and Nature Reserve - 4.1 km / 2.5 mi <br /> Buccoo Beach - 5 km / 3.1 mi <br /> The Kimme Museum Institute - 5 km / 3.1 mi <br /> Buccoo Reef - 5.8 km / 3.6 mi <br /> Shaw Park Cultural Complex - 7.2 km / 4.4 mi <br /> Gulf City Mall - 8.6 km / 5.4 mi <br /> Botanical Gardens - 8.8 km / 5.5 mi <br /> Scarborough Botanical Garden - 9.2 km / 5.7 mi <br /> Canoe Bay - 9.4 km / 5.9 mi <br /> Royalton Casino - 9.5 km / 5.9 mi <br /> </p><p>The nearest major airport is Tobago (TAB-A.N.R. Robinson Intl.) - 12.3 km / 7.6 mi</p>,"<p>HeadLine : Near Grafton Caledonia Wildlife Sanctuary</p><p>Location : When you stay at this apartment in Black Rock, you ll be on the beach, within a 5-minute drive of Mount Irvine Bay and Turtle Beach.  This beach apartment is 2.5 mi (4 km) from Fort Bennett and 3.6 mi (5.8 km) from Buccoo Reef.</p><p>Rooms : Make yourself comfortable in this air-conditioned apartment, featuring a kitchen with a full-sized refrigerator/freezer and an oven. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include a separate sitting area and a microwave, and housekeeping is provided on a limited basis.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a security system</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Prior to arrival, guests must complete online registration with the property via a secure link. Guests must contact the property in advance for check-in instructions and key retrieval information. The host will greet guests on arrival.</p>",1-868-6397988,Free self parking Beach towels Terrace Pool sun loungers Bicycle rentals on site Covered parking Uncovered parking Wheelchair accessible  no Beach umbrellas Pool umbrellas Handrails in stairways Free WiFi Number of outdoor pools - 1 Well-lit path to entrance Horse riding/rental on site Garden Smoke-free property Hiking/biking trails nearby Use of nearby fitness center (discount),11.20786|-60.78425,1-868-7216970,00000,
TT,Trinidad & Tobago,111223,Black Rock,1093571,Tobago Island Suites,TwoStar,"CORNER BUCCOO & SHIRVAN ROADS, MT IRVINE MT. IRVINE ",,"The hotel has a central location.

Small hotel with 20 apartments units and offering with personalised service.

The hotel has a sasino.

The hotel features a grill restaurant.",,Hairdryer Direct dial telephone TV Kitchenette Ironing set Individually adjustable air conditioning Safe Terrace Mobile phone coverage Room service Laundry service Bicycle hire service Air conditioning in public areas Hotel safe Currency exchange facilities Bar Restaurant Sun loungers Hotel MasterCard Visa Bathroom Shower Parasols Casino Massage Spa treatments Breakfast Continental Breakfast Buffet lunch À la carte lunch Set menu lunch À la carte dinner Set menu dinner Special dietary options,11.188306|-60.789883,,0,http://www.tobagosuites.com
