countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
TH,Thailand,150184,Amphawa,1002226,Amphawa Na Non Hotel & Spa,ThreeStar,96 Prachaseth Road AmphawaSamut Songkhram75110 Amphawa ,,"Amphawa Nanon Hotel offers modern air-conditioned rooms with a private balcony and free Wi-Fi. Guests can rent a bicycle to go explore the area or book a canal tour at the tour desk. For deep relaxation, guests can arrange massage treatments at the front desk.

The hotel is 50 metres from Amphawa Evening Floating Market. It is a 10-minute drive to Maekon Railway Market and a 15-minute drive to Don Hoi Lot. Suvarnabhumi Airport is a 2-hr drive away.

Colourful rooms at Amphawa Nanon Hotel are fitted with a flat-screen TV, a minibar and a safety deposit box. Shower facilities are included in an en suite bathroom.

For convenience, the hotel is equipped with luggage storage and meeting facilities. Free public parking is possible on site.

Thai and European cuisines are offered at the restaurant, located in the lobby of the property. Guests can enjoy seafood dishes at The Deck Terrace.",006634752011,first aid kit available cashless payment available physical distancing rules followed Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms Free parking internet services lift express check-in/check-out Safety Deposit Box Valet parking Spa and wellness centre Massage Packed lunches Cycling Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area concierge service shuttle service (additional charge) parking on site wifi available in all areas Kid-friendly buffet Street parking Accessible parking Wine/champagne coffee house on site Spa Facilities Spa/wellness packages Shuttle service Live music/performance Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered thermometers for guests provided by property face masks for guests available,13.42623|99.95529,0066347521116656596164,75110,https://www.booking.com/hotel/th/amphawa-na-non-amp-spa.html
TH,Thailand,150184,Amphawa,1363576,Baan Amphawa Resort and Spa,ThreeStar,22 Bangkapom Keawfa Road 75110 Amphawa ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bang Khae Noi Temple - 11.4 km / 7.1 mi <br /> Wat Bang Kung - 12.6 km / 7.8 mi <br /> Rom Hoop Market - 13.3 km / 8.2 mi <br /> Mae Klong Railway Market - 13.3 km / 8.2 mi <br /> Wat Pechsamut Worawiharn - 13.5 km / 8.4 mi <br /> Muang Samut Songkhram Municipal Health Garden - 13.6 km / 8.5 mi <br /> Wat Tham Nimit - 13.8 km / 8.6 mi <br /> Samut Songkhram Provincial Stadium - 14.1 km / 8.8 mi <br /> Amphawa Floating Market - 14.2 km / 8.8 mi <br /> Amphawa Chai Pattananurak Project - 14.6 km / 9.1 mi <br /> King Rama II Memorial Park - 14.8 km / 9.2 mi <br /> Bang Khonthi Floating Market - 14.8 km / 9.2 mi <br /> Wat Chulamanee - 15.3 km / 9.5 mi <br /> Don Hoi Lot - 15.9 km / 9.9 mi <br /> Nativity of Our Lady Cathedral - 19.4 km / 12 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 119.1 km / 74 mi<br /> Don Mueang Intl. Airport (DMK) - 111.5 km / 69.3 mi<br /> </p><p></p>,"<p>HeadLine : In Amphawa</p><p>Location : With a stay at Baan Amphawa Resort & Spa in Amphawa, you ll be within a 15-minute drive of Rom Hoop Market and Mae Klong Railway Market.  This spa hotel is 8.8 mi (14.2 km) from Amphawa Floating Market and 7.1 mi (11.4 km) from Bang Khae Noi Temple.</p><p>Rooms : Make yourself at home in one of the 50 air-conditioned rooms featuring refrigerators and LCD televisions. Rooms have private balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Satisfy your appetite for lunch, dinner, or brunch at Sabannga, a restaurant which specializes in Thai cuisine, or stay in and take advantage of the room service (during limited hours). Relax with your favorite drink at the bar/lounge or the poolside bar. English breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6 AM - 10:00 PM. If you are planning to arrive after 10:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival. At check-in, guests must provide a record of full COVID-19 vaccination. Guests providing vaccine records must have received complete COVID-19 vaccination at least 14 days prior to check-in.</p>",66-034-752229,Dry cleaning/laundry service Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 2 Garden Full-service spa Free bicycles on site Luggage storage Front desk (limited hours) Breakfast available (surcharge) Playground on site Spa services on site Laundry facilities Children's pool Sauna Free self parking Fitness facilities Terrace Pool sun loungers,13.363742|99.925724,66-034-752222,75110,http://www.baanamphawa.com/
TH,Thailand,150184,Amphawa,1422826,Warakorn Baansuan Amphawa,TwoStar,21 Bangjak Rongje Rd. AmphawaSamut Songkhram 75110 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amphawa Chai Pattananurak Project - 0.7 km / 0.4 mi <br /> Amphawa Floating Market - 0.9 km / 0.5 mi <br /> King Rama II Memorial Park - 1.2 km / 0.8 mi <br /> Wat Chulamanee - 1.9 km / 1.2 mi <br /> Bang Khonthi Floating Market - 4 km / 2.5 mi <br /> Wat Bang Kung - 6 km / 3.7 mi <br /> Muang Samut Songkhram Municipal Health Garden - 7.8 km / 4.8 mi <br /> Bang Khae Noi Temple - 7.9 km / 4.9 mi <br /> Samut Songkhram Provincial Stadium - 8.3 km / 5.1 mi <br /> Wat Pechsamut Worawiharn - 8.3 km / 5.2 mi <br /> Rom Hoop Market - 8.4 km / 5.2 mi <br /> Mae Klong Railway Market - 8.4 km / 5.2 mi <br /> Nativity of Our Lady Cathedral - 8.6 km / 5.3 mi <br /> Bang Nok Khwaek Floating Market - 8.9 km / 5.5 mi <br /> Wat Tham Nimit - 9.2 km / 5.7 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 116.3 km / 72.3 mi<br /> Don Mueang Intl. Airport (DMK) - 108.7 km / 67.6 mi<br /> </p><p></p>,"<p>HeadLine : Near Amphawa Chai Pattananurak Project</p><p>Location : With a stay at Warakorn Baansuan - Amphawa in Amphawa, you ll be within a 15-minute walk of Amphawa Chai Pattananurak Project and Amphawa Floating Market.  This hotel is 0.7 mi (1.1 km) from King Rama II Memorial Park and 1.7 mi (2.7 km) from Wat Chulamanee.</p><p>Rooms : Make yourself at home in one of the 10 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include desks and complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 6 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",66-81-9853207,Barbecue grill(s) Garden Tours/ticket assistance Free self parking Meeting rooms 24-hour front desk Terrace Breakfast available (surcharge) Free WiFi,13.430598|99.9545,+66 93 2655051,75110,http://warakornbaansuan-amphawa.com/
TH,Thailand,150184,Amphawa,1487899,Kulnatee Resort,TwoStar,93 1 Tambol Plaipongpang Samutsongkram AmphawaSamut Songkhram 75110 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bang Khae Noi Temple - 6.7 km / 4.2 mi <br /> Amphawa Floating Market - 7.2 km / 4.5 mi <br /> Amphawa Chai Pattananurak Project - 7.6 km / 4.8 mi <br /> King Rama II Memorial Park - 7.9 km / 4.9 mi <br /> Wat Bang Kung - 7.9 km / 4.9 mi <br /> Wat Chulamanee - 8.3 km / 5.2 mi <br /> Bang Khonthi Floating Market - 10.2 km / 6.3 mi <br /> Muang Samut Songkhram Municipal Health Garden - 12.3 km / 7.7 mi <br /> Samut Songkhram Provincial Stadium - 12.8 km / 7.9 mi <br /> Wat Pechsamut Worawiharn - 12.8 km / 8 mi <br /> Rom Hoop Market - 12.9 km / 8 mi <br /> Mae Klong Railway Market - 12.9 km / 8 mi <br /> Wat Tham Nimit - 13.7 km / 8.5 mi <br /> Nativity of Our Lady Cathedral - 14.7 km / 9.1 mi <br /> Bang Nok Khwaek Floating Market - 15 km / 9.3 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 119.5 km / 74.3 mi<br /> Don Mueang Intl. Airport (DMK) - 111.9 km / 69.6 mi<br /> </p><p></p>,"<p>HeadLine : In Amphawa</p><p>Location : With a stay at Aioun At Amphawa in Amphawa, you ll be within a 15-minute drive of Bang Khae Noi Temple and Wat Bang Kung.  This hotel is 4.5 mi (7.2 km) from Amphawa Floating Market and 4.8 mi (7.6 km) from Amphawa Chai Pattananurak Project.</p><p>Rooms : Make yourself at home in one of the 35 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include complimentary bottled water, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Local cuisine breakfasts are available daily from 6:30 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 9 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 9 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",66-81-2517523,Designated smoking areas Garden Number of coffee shops/cafes - 1 Luggage storage Free self parking Meeting rooms Front desk (limited hours) Breakfast available (surcharge) Free WiFi,13.399103|99.92597,+66812517523,75110,http://www.kulnateeresortamphawa.com/
TH,Thailand,150184,Amphawa,1488280,At Casa Amphawa,ThreeStar,"353 Klong Amphawa, Soi Rong J sompao Amphawa (Samut Songkhram) ",,"At Casa Guesthouse Amphawa is perfectly located for both business and leisure guests in Amphawa (Samut Songkhram). The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. Free Wi-Fi in all rooms, Wi-Fi in public areas, room service, family room, BBQ facilities are on the list of things guests can enjoy. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like internet access  wireless, internet access  wireless (complimentary), air conditioning, balcony/terrace, television. Access to the hotel's massage will further enhance your satisfying stay. At Casa Guesthouse Amphawa combines warm hospitality with a lovely ambiance to make your stay in Amphawa (Samut Songkhram) unforgettable.",,Hotel,13.428037|99.958818,,75110,
TH,Thailand,150184,Amphawa,1488321,Baan Suan Sriwara,TwoStar,10 Moo 5 Tambon WatpradooWat PraduAmphawa ,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Amphawa Floating Market - 7 km / 4.4 mi &lt;br /&gt;Wat Tham Nimit - 11.8 km / 7.3 mi &lt;br /&gt;Samut Songkhram Provincial Stadium - 11.8 km / 7.3 mi &lt;br /&gt;Maeklong Railway Market - 11.9 km / 7.4 mi &lt;br /&gt;Muang Samut Songkhram Municipal Health Garden - 12.2 km / 7.6 mi &lt;br /&gt;Wat Chorng Lohm Temple - 15.3 km / 9.5 mi &lt;br /&gt;Khao Yoi Hospital - 21.9 km / 13.6 mi &lt;br /&gt;Tham Khao Bin Cave - 30.5 km / 18.9 mi &lt;br /&gt;Phra Nakhon Khiri Historical Park - 35.5 km / 22.1 mi &lt;br /&gt;Big C Superstore - 39 km / 24.3 mi &lt;br /&gt;Muban Chom Bueng Rajabhat University - 39.2 km / 24.4 mi &lt;br /&gt;Ratchaburi Technical College 2 - 40.3 km / 25 mi &lt;br /&gt;Wat Lin Chang - 40.7 km / 25.3 mi &lt;br /&gt;Ban Pong Hospital - 43.6 km / 27.1 mi &lt;br /&gt;Nongyapong Hot Springs - 43.7 km / 27.1 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The nearest airports are:&lt;br /&gt;Bangkok (DMK-Don Mueang Intl.) - 94.6 km / 58.8 mi&lt;br /&gt;Bangkok (BKK-Suvarnabhumi Intl.) - 97.4 km / 60.5 mi&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;/p&gt;,"Set in a prime location of Amphawa (Samut Songkhram), Baan Suan Sriwara puts everything the city has to offer just outside your doorstep. Offering a variety of facilities and services, the hotel provides all you need for a good night''s sleep. Facilities like meeting facilities, car park, tours, shuttle service, laundry service are readily available for you to enjoy. Guestrooms are fitted with all the amenities you need for a good night''s sleep. In some of the rooms, guests can find refrigerator, air conditioning, television, complimentary bottled water, shower. The hotel''s peaceful atmosphere extends to its recreational facilities which include garden, water sports (non-motorized). Baan Suan Sriwara is an excellent choice from which to explore Amphawa (Samut Songkhram) or to simply relax and rejuvenate.",,Meeting rooms Tour desk Air Conditioned Shuttle service Water Sports Laundry service Car Parking Garden,13.4253539203643|99.8907852172852,,75110,
TH,Thailand,150184,Amphawa,1502596,Ploen Amphawa Resort,TwoStar,279 Tanon Khlong Amphawa Tambon KhlongAmphawaAmphawa Amphoe ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amphawa Floating Market - 0.1 km / 0.1 mi <br /> Amphawa Chai Pattananurak Project - 0.3 km / 0.2 mi <br /> King Rama II Memorial Park - 0.5 km / 0.3 mi <br /> Wat Chulamanee - 1.8 km / 1.1 mi <br /> Bang Khonthi Floating Market - 4.6 km / 2.9 mi <br /> Wat Bang Kung - 6.5 km / 4 mi <br /> Muang Samut Songkhram Municipal Health Garden - 6.9 km / 4.3 mi <br /> Samut Songkhram Provincial Stadium - 7.3 km / 4.6 mi <br /> Mae Klong Railway Market - 7.4 km / 4.6 mi <br /> Rom Hoop Market - 7.4 km / 4.6 mi <br /> Bang Khae Noi Temple - 7.8 km / 4.9 mi <br /> Wat Tham Nimit - 8.3 km / 5.1 mi <br /> Nativity of Our Lady Cathedral - 9.1 km / 5.6 mi <br /> Damnoen Saduak Floating Market - 14.4 km / 9 mi <br /> Don Hoi Lot - 16.1 km / 10 mi <br /> </p>,"<p>HeadLine : Near Amphawa Floating Market</p><p>Location : With a stay at Ploen Amphawa Resort in Amphawa, you ll be within a 5-minute walk of Amphawa Floating Market and Amphawa Chai Pattananurak Project.  This guesthouse is 0.3 mi (0.6 km) from King Rama II Memorial Park and 1.9 mi (3.1 km) from Wat Chulamanee.</p><p>Rooms : Make yourself at home in one of the 4 air-conditioned rooms featuring refrigerators. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include complimentary bottled water, housekeeping is provided daily, and rollaway/extra beds (surcharge) can be requested.</p><p>Dining : Breakfast is available daily from 7 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7 AM - 9 PM. If you are planning to arrive after 7 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",66-81-4589411,Front desk (limited hours) Breakfast available (surcharge) Smoke-free property Free self parking Free WiFi,13.42571|99.95457,66-93-2826655,75100,http://www.ploenamphawa.com
TH,Thailand,150184,Amphawa,1555069,Thanicha Resort Amphawa,ThreeStar,261 Amphawa Floating Market AmphawaSamut Songkhram 75110 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amphawa Chai Pattananurak Project - 0.2 km / 0.1 mi <br /> Amphawa Floating Market - 0.4 km / 0.2 mi <br /> King Rama II Memorial Park - 0.9 km / 0.6 mi <br /> Wat Chulamanee - 1.3 km / 0.8 mi <br /> Bang Khonthi Floating Market - 4.6 km / 2.8 mi <br /> Wat Bang Kung - 6.5 km / 4 mi <br /> Muang Samut Songkhram Municipal Health Garden - 7.2 km / 4.5 mi <br /> Samut Songkhram Provincial Stadium - 7.6 km / 4.7 mi <br /> Wat Pechsamut Worawiharn - 7.7 km / 4.8 mi <br /> Rom Hoop Market - 7.7 km / 4.8 mi <br /> Mae Klong Railway Market - 7.7 km / 4.8 mi <br /> Bang Khae Noi Temple - 8.3 km / 5.2 mi <br /> Wat Tham Nimit - 8.6 km / 5.3 mi <br /> Nativity of Our Lady Cathedral - 9 km / 5.6 mi <br /> Bang Nok Khwaek Floating Market - 9.4 km / 5.8 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 115.7 km / 71.9 mi<br /> Don Mueang Intl. Airport (DMK) - 108.1 km / 67.2 mi<br /> </p><p></p>,"<p>HeadLine : Near Amphawa Chai Pattananurak Project</p><p>Location : When you a stay at Thanicha Resort Amphawa in Amphawa, you ll be on the riverwalk, within a 5-minute walk of Amphawa Chai Pattananurak Project and Amphawa Floating Market.  This hotel is 0.6 mi (0.9 km) from King Rama II Memorial Park and 1.5 mi (2.4 km) from Wat Chulamanee.</p><p>Rooms : Make yourself at home in one of the 25 individually decorated guestrooms, featuring refrigerators and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include minibars and electric kettles, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at the hotel s coffee shop/cafe. Buffet breakfasts are available daily from 6:30 AM to 9:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 11:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 5:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",66-34-710942,Arcade/game room Number of coffee shops/cafes - 1 Free self parking Porter/bellhop Number of meeting rooms - 1 Front desk (limited hours) Breakfast available (surcharge) Free WiFi,13.427392|99.957334,+66 34 751942,75110,http://www.thanicha.com
TH,Thailand,150184,Amphawa,1557008,Baanbon Homestay,TwoStar,89 Moo 7 Kwae Aom Kwae-AomAmphawa 75110 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Bang Khae Noi Temple - 0.8 km / 0.5 mi <br /> Wat Bang Kung - 1.4 km / 0.9 mi <br /> Bang Khonthi Floating Market - 3.7 km / 2.3 mi <br /> Amphawa Floating Market - 6.2 km / 3.9 mi <br /> Amphawa Chai Pattananurak Project - 6.6 km / 4.1 mi <br /> King Rama II Memorial Park - 6.8 km / 4.2 mi <br /> Wat Chulamanee - 7.3 km / 4.5 mi <br /> Nativity of Our Lady Cathedral - 8.2 km / 5.1 mi <br /> Bang Nok Khwaek Floating Market - 8.5 km / 5.3 mi <br /> Tha Kha Floating Market - 10.9 km / 6.8 mi <br /> Muang Samut Songkhram Municipal Health Garden - 11.1 km / 6.9 mi <br /> Samut Songkhram Provincial Stadium - 11.5 km / 7.2 mi <br /> Wat Pechsamut Worawiharn - 11.6 km / 7.2 mi <br /> Rom Hoop Market - 11.6 km / 7.2 mi <br /> Mae Klong Railway Market - 11.6 km / 7.2 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 119.6 km / 74.3 mi<br /> Don Mueang Intl. Airport (DMK) - 112 km / 69.6 mi<br /> </p><p></p>,"<p>HeadLine : Near Bang Khae Noi Temple</p><p>Location : Located in Amphawa, Baanbon Homestay is a 2-minute drive from Wat Bang Kung and 9 minutes from Amphawa Floating Market.  This guesthouse is 4.2 mi (6.8 km) from King Rama II Memorial Park and 5.1 mi (8.2 km) from Nativity of Our Lady Cathedral.</p><p>Rooms : Make yourself at home in one of the 7 air-conditioned rooms featuring microwaves. Rooms have private balconies. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided.</p><p>Dining : At Baanbon Homestay, enjoy a satisfying meal at the restaurant. English breakfasts are available daily from 7 AM to 9 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts cash</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6 AM - 10 PM. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Number of meeting rooms - 1 Front desk (limited hours) Karaoke Breakfast available (surcharge) Free WiFi Library Barbecue grill(s) Garden Picnic area Tours/ticket assistance Free self parking Terrace Free bicycles on site,13.43789|99.94594,+66 86 5444090,75110,
TH,Thailand,150184,Amphawa,1558718,House of Passion Amphawa,ThreeStar,62 Moo.7 Bangchang Amphawa Bang ChangAmphawaSamut Songkhram 75110 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amphawa Chai Pattananurak Project - 0.8 km / 0.5 mi <br /> Amphawa Floating Market - 0.9 km / 0.6 mi <br /> Wat Chulamanee - 1.3 km / 0.8 mi <br /> King Rama II Memorial Park - 1.4 km / 0.9 mi <br /> Bang Khonthi Floating Market - 5 km / 3.1 mi <br /> Wat Bang Kung - 7 km / 4.3 mi <br /> Muang Samut Songkhram Municipal Health Garden - 8 km / 5 mi <br /> Samut Songkhram Provincial Stadium - 8.4 km / 5.2 mi <br /> Wat Pechsamut Worawiharn - 8.5 km / 5.3 mi <br /> Rom Hoop Market - 8.6 km / 5.3 mi <br /> Mae Klong Railway Market - 8.6 km / 5.3 mi <br /> Bang Khae Noi Temple - 8.9 km / 5.5 mi <br /> Wat Tham Nimit - 9.4 km / 5.8 mi <br /> Nativity of Our Lady Cathedral - 9.6 km / 5.9 mi <br /> Bang Nok Khwaek Floating Market - 9.9 km / 6.1 mi <br /> </p><p>The nearest airports are:<br />Suvarnabhumi Intl. Airport (BKK) - 116.5 km / 72.4 mi<br /> Don Mueang Intl. Airport (DMK) - 108.9 km / 67.7 mi<br /> </p><p></p>,"<p>HeadLine : Near Amphawa Chai Pattananurak Project</p><p>Location : Located in Amphawa, House of Passion Amphawa is in a rural location, within a 15-minute walk of Amphawa Chai Pattananurak Project and Amphawa Floating Market.  This hotel is 0.9 mi (1.5 km) from King Rama II Memorial Park and 1.3 mi (2 km) from Wat Chulamanee.</p><p>Rooms : Make yourself at home in one of the 29 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Stop by the hotel s restaurant for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 7:00 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:00 AM - 11:00 PM. Front desk staff will greet guests on arrival.</p>",,Garden Wedding services Tours/ticket assistance Airport transportation (surcharge) Luggage storage Front desk (limited hours) Breakfast available (surcharge) Barbecue grill(s) Safe-deposit box at front desk Designated smoking areas (fines apply) Number of coffee shops/cafes - 1 Laundry facilities Free self parking Terrace Bicycle rentals on site Banquet hall Wheelchair accessible (may have limitations) Ballroom Pool umbrellas Number of meeting rooms - 1 Karaoke Wheelchair-accessible registration desk Free WiFi Number of bars/lounges - 1 No elevator (single level property) Designated smoking areas Number of outdoor pools - 1 Well-lit path to entrance,13.43012|99.960321,+66 81 8950883,75110,
